campaign_id,run_id,variant_id,panel,sma_window,gate,top_k,rank,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months,holding,control_net,control_dd,incremental_net
CAM-0610,RUN-0024,sp500__ma100__daily__top3__momentum,sp500,100,ma100,3,momentum,1,2.0,1.8008355695686469,1.86876890290198,0.06793333333333332,511,1019,1107,598,509,0.8820717131474104,1.0,339.66666666666663,58,51,0.5982557558469864,0.04673124863065149,SNDK,0.6274634563390092,1.1733721132296377,0,1,0.03001392615947745,0.016794941246482877,34,19,7,0.41291830265986146,2022-05-04,2022-10-12,190.0,0.0,12,0.11896292081339523,0.06345539662965513,11,1,0,15,0.0844106121506141,0.056308823017040155,11,4,0,18,0.08852819210270875,0.058169687610942024,14,4,0,open_to_next_open,2.2315061378056757,0.363577079856537,-0.4306705682370289
CAM-0610,RUN-0024,sp500__ma100__daily__top3__risk_adjusted,sp500,100,ma100,3,risk_adjusted,1,2.0,0.7330020665899777,0.8198912828387501,0.08688921624877258,562,3878,1107,581,526,0.8810142974645556,1.0000000000000002,434.44608124386286,80,74,0.31721453036164493,0.048910911799286916,WDC,0.18274523244887306,0.5502568341411046,2,1,0.012216701109832962,0.0,28,25,7,0.3153421062424929,2021-05-03,2022-02-14,333.0,0.0,12,0.02607969293177605,0.01555177295820595,8,4,0,15,0.014390743025374597,0.014489033868137558,9,6,0,18,0.025331887208676268,0.01555177295820595,11,7,0,open_to_next_open,0.5605049886856032,0.2703079048630237,0.17249707790437452
CAM-0610,RUN-0024,sp500__ma100__daily__top5__momentum,sp500,100,ma100,5,momentum,1,2.0,1.4172461539143755,1.4831261539143752,0.06588000000000001,826,1647,1107,596,511,0.8819123505976095,1.0,329.4,81,70,0.47274745725702655,0.047012587267381244,SNDK,0.37647807380340553,1.04076808011097,1,1,0.02362076923190625,0.003684501468581106,30,23,7,0.42215480299421265,2022-04-20,2022-10-12,349.0,0.0,12,0.10953637123051019,0.08428401919881096,10,2,0,15,0.07537022475340137,0.05403836177774164,10,5,0,18,0.07708938859513988,0.0568468078213958,12,6,0,open_to_next_open,1.842260920883052,0.38090552144102785,-0.42501476696867657
CAM-0610,RUN-0024,sp500__ma100__daily__top5__risk_adjusted,sp500,100,ma100,5,risk_adjusted,1,2.0,0.3685310387443431,0.45428655650325206,0.08575551775890909,911,6439,1107,601,506,0.8811967408239422,1.0000000000000002,428.77758879454547,95,102,0.25563207530786847,0.044110600222969525,WDC,0.10281548340755793,0.2657155553367852,2,1,0.006142183979072386,0.0,26,27,7,0.26122196526209707,2021-05-03,2022-02-14,352.0,0.0,12,0.02543504778494068,0.02437465786173652,7,5,0,15,0.013699072625471936,0.01988417428966539,8,7,0,18,0.017080535530371626,0.02437465786173652,10,8,0,open_to_next_open,0.7735694769594978,0.24190395913523344,-0.40503843821515473
CAM-0610,RUN-0024,sp500__ma100__daily__top10__momentum,sp500,100,ma100,10,momentum,1,2.0,1.0519484186725798,1.11398841867258,0.06204,1556,3102,1107,600,507,0.8819920318725101,1.0000000000000002,310.20000000000005,111,104,0.36887108115240025,0.04569934086928262,SNDK,0.18823903690170277,0.8637093817708771,1,1,0.017532473644543002,0.00010494893622466084,30,23,7,0.36577402219845434,2022-05-27,2022-10-12,347.0,0.0,12,0.09619377345919157,0.06881029921876053,10,2,0,15,0.061108069494579156,0.04806551105427619,10,5,0,18,0.06179777109683572,0.05182022176402358,12,6,0,open_to_next_open,1.4754198929413167,0.31259069606143564,-0.4234714742687369
CAM-0610,RUN-0024,sp500__ma100__daily__top10__risk_adjusted,sp500,100,ma100,10,risk_adjusted,1,2.0,0.2577559019235277,0.33336165673022655,0.07560575480669876,1644,12702,1107,600,507,0.8814312971451898,1.0000000000000004,378.0287740334938,123,132,0.19690056271836073,0.044216457438456175,WDC,0.06684946092758347,0.19090644099594423,2,2,0.004295931698725461,0.0,27,26,7,0.3007127282574468,2022-04-20,2023-03-15,254.0,0.0,12,0.02319603908446301,0.014263666329019153,7,5,0,15,0.009355276920252165,0.0071554410390377845,8,7,0,18,0.011039381065343575,0.014263666329019153,10,8,0,open_to_next_open,0.5046931709631657,0.2101324031645573,-0.24693726903963797
CAM-0610,RUN-0024,sp500__ma150__daily__top3__momentum,sp500,150,ma150,3,momentum,1,2.0,2.250175025269996,2.3055750252699965,0.05539999999999999,417,831,1105,600,505,0.8804780876494024,1.0,277.0,53,43,0.6445459935855851,0.04512957628784119,SNDK,0.6274634563390092,1.6227115689309866,0,0,0.03750291708783327,0.03944115391121261,35,18,7,0.32926551227502315,2022-05-04,2022-07-13,100.0,0.0,12,0.12462345976301799,0.07925895521227785,11,1,0,15,0.09801887031272578,0.06688024105446637,12,3,0,18,0.09974361911321689,0.06724946538852991,15,3,0,open_to_next_open,2.2315061378056757,0.363577079856537,0.01866888746432016
CAM-0610,RUN-0024,sp500__ma150__daily__top3__risk_adjusted,sp500,150,ma150,3,risk_adjusted,1,2.0,0.7290217116220927,0.811432512531625,0.08241080090953208,530,3840,1105,592,513,0.8794206719665477,1.0000000000000002,412.0540045476604,80,69,0.29902528634596526,0.05082940998157673,SNDK,0.14392408997040423,0.5850976216516885,2,1,0.012150361860368214,0.0046732686711711754,33,20,7,0.22550256814971678,2021-12-27,2022-02-14,182.0,0.0017690789274900642,12,0.02031054460334508,0.019433674945021493,8,4,0,15,0.012286438034079913,0.01661451204827434,10,5,0,18,0.020339509163993318,0.019433674945021493,12,6,0,open_to_next_open,0.5605049886856032,0.2703079048630237,0.16851672293648956
CAM-0610,RUN-0024,sp500__ma150__daily__top5__momentum,sp500,150,ma150,5,momentum,1,2.0,1.7078339849529498,1.7633139849529498,0.05548000000000001,696,1387,1105,601,504,0.8803187250996015,1.0,277.40000000000003,81,51,0.48964044290339376,0.04601808167025801,SNDK,0.37647807380340553,1.3313559111495443,1,0,0.028463899749215826,0.02291943240031165,32,21,7,0.32235737048509966,2022-04-20,2022-07-13,260.0,0.0,12,0.10767841603904453,0.08428401919881096,10,2,0,15,0.07808389897853703,0.061789286486001536,11,4,0,18,0.07845943359921771,0.062490651534801,13,5,0,open_to_next_open,1.842260920883052,0.38090552144102785,-0.13442693593010224
CAM-0610,RUN-0024,sp500__ma150__daily__top5__risk_adjusted,sp500,150,ma150,5,risk_adjusted,1,2.0,0.7366054856078323,0.8139995258046343,0.07739404019680216,823,6341,1105,601,504,0.8796031153259342,1.0000000000000002,386.9702009840108,107,89,0.23481798894494127,0.0468350021077454,MCK,0.11424936592350145,0.6223561196843309,2,1,0.012276758093463873,0.002958275355851565,32,21,7,0.24384205694853733,2021-12-07,2022-02-14,185.0,0.006429936095208502,12,0.023527014618544367,0.025762073505664174,8,4,0,15,0.014682719054700715,0.022659005577520697,9,6,0,18,0.017993191887730926,0.025762073505664174,11,7,0,open_to_next_open,0.7735694769594978,0.24190395913523344,-0.036963991351665504
