variant,mode,threshold,blocked,substituted,cash_slots,fixed_return,fixed_maximum_drawdown,fixed_recent12_return,fixed_positive_months,fixed_negative_months,fixed_worst_month,fixed_turnover,fixed_trade_sessions,fixed_chronology,compound_return,compound_maximum_drawdown,compound_recent12_return,compound_positive_months,compound_negative_months,compound_worst_month,compound_rebalance_sessions,compound_minimum_cash,compound_maximum_gross_to_equity,compound_chronology
control,control,,0,0,0,3.6282963573555858,0.1723335217322944,1.1551976793158751,48,25,-0.16536813445772058,127.66666666666666,173,"[1.2903113320295252, 0.5416755009031996, 1.796309524422861]",633.7051760859271,0.4253171656004435,1.6446001197350686,50,23,-0.14656677248084127,227,1.0,0.9984244653459946,"[67.8022811340485, 1.448868598122254, 2.7670702594235514]"
substitute_10,substitute,0.1,114,114,0,2.811463283589362,0.2202578405877543,0.9729945272030562,45,28,-0.16536813445772058,221.66666666666663,245,"[1.0558571147476474, 0.30859241138829685, 1.4470137574534179]",460.12768562130975,0.43472597703495097,1.2383325123308442,52,21,-0.16318526830553148,271,1.0,0.9978314032508098,"[76.14275784091876, 1.0282292968169289, 1.94719577018353]"
entry_only_10,entry_only,0.1,18,18,0,3.4561559232870662,0.18592356804828208,1.1274386128394553,47,26,-0.16536813445772058,131.0,177,"[1.244396775201013, 0.5106715827538837, 1.7010875653321698]",582.1156426990175,0.42537462260213854,1.5878614524540624,50,23,-0.14659097320872339,228,1.0,0.9982850743029781,"[71.59893047562181, 1.3262538085489508, 2.4527677938576407]"
cash_10,cash,0.1,114,0,114,2.434478685619699,0.22787982553604477,0.8598450954590662,48,25,-0.16536813445772058,172.33333333333331,249,"[0.8291788300199349, 0.2968964420826513, 1.3084034135171136]",2.165626289891253,0.9490037681537119,2.165626289891253,45,28,-0.8042961897545304,273,1.0,0.9490037681537119,"[8.419569232161559, -0.0013839946601318376, -0.6634651231264783]"
substitute_15,substitute,0.15,53,53,0,3.4265321932684865,0.19048756694988295,1.1071251989730015,50,23,-0.16536813445772058,173.0,211,"[1.048689453988192, 0.6309319900566803, 1.746910749223614]",644.3020796681453,0.4259405759494431,1.4319454492774946,51,22,-0.1459203178426295,247,1.0,0.9984503381726055,"[70.0254378280442, 1.5533099164814113, 2.5583250110717524]"
entry_only_15,entry_only,0.15,9,9,0,3.5338348608682386,0.1849190905382107,1.1221290408006372,48,25,-0.16536813445772058,131.0,176,"[1.2580035461206265, 0.5175603516621847, 1.7582709630854272]",607.8702117888521,0.42523457602082715,1.5542419232598332,51,22,-0.1465319907053777,228,1.0,0.9983576138549101,"[68.50124237263138, 1.4160970802019328, 2.625916334601647]"
cash_15,cash,0.15,53,0,53,3.3488218192578163,0.1889448571380004,1.0976204995210628,51,22,-0.16536813445772058,149.66666666666666,214,"[0.9528993967599573, 0.6171993309365421, 1.7787230915613168]",19.728087430725523,0.9780887640363355,19.728087430725523,46,27,-0.8347379624731693,249,1.0,0.9780887640363355,"[16.859858492705705, 0.9151106706845806, -0.39397946264794337]"
substitute_20,substitute,0.2,21,21,0,3.5717042981624534,0.17781189398303435,1.1670121607074917,48,25,-0.16536813445772058,147.0,195,"[1.0660406830341733, 0.647145645007696, 1.8585179701205836]",708.9971972897793,0.4173566969625747,1.6669592456237141,50,23,-0.13317438433097728,237,1.0,0.9985915437359228,"[66.67807921035073, 1.6346205145413717, 2.981901757717546]"
entry_only_20,entry_only,0.2,4,4,0,3.519599474293938,0.17963827480499978,1.1551976793158751,48,25,-0.16536813445772058,129.66666666666666,175,"[1.1865843717900735, 0.5416755009031996, 1.791339601600665]",628.6177342304117,0.42516471318275983,1.647159320557765,50,23,-0.14650257301872038,227,1.0,0.9984117346992738,"[66.6645012803167, 1.474645291238326, 2.760132161074705]"
cash_20,cash,0.2,21,0,21,3.637178633977409,0.17676705409636137,1.1640930459076158,49,24,-0.16536813445772058,136.33333333333331,195,"[1.0856096051525888, 0.645789117249749, 1.9057799115750715]",75.73878303752834,0.9119159966490448,7.580232099305583,47,26,-0.46617152739806544,236,1.0,0.989923195385293,"[28.5874341026403, 1.1430647757352563, 0.21024223780783058]"
substitute_25,substitute,0.25,8,8,0,3.6452138015832247,0.1711179276508947,1.1551976793158751,48,25,-0.16536813445772058,134.33333333333331,181,"[1.218567495065886, 0.6151520195402671, 1.8114942869770714]",665.4952517092545,0.42642568089103317,1.633885966699982,50,23,-0.14703415239347561,231,1.0,0.9984996142171524,"[70.31907710813658, 1.4738334554112393, 2.7776427683736062]"
entry_only_25,entry_only,0.25,2,2,0,3.5404218903502707,0.17848206596224214,1.1551976793158751,48,25,-0.16536813445772058,129.0,175,"[1.2024368650242103, 0.5416755009031996, 1.796309524422861]",633.0769388740339,0.42528248864165086,1.6449136611965236,50,23,-0.14655216794797443,227,1.0,0.9984229043217125,"[67.5423610806306, 1.4546817353304107, 2.768666495744579]"
cash_25,cash,0.25,8,0,8,3.707915718893306,0.16954443761495394,1.1551976793158751,48,25,-0.16536813445772058,130.33333333333331,181,"[1.2356328831934194, 0.627800854081115, 1.8444819816187725]",179.9887803507555,0.8325769060245906,2.783627580289925,52,21,-0.5631546250155619,230,1.0,0.9949614497363162,"[61.68916238027235, 1.3163748772134967, 0.24637962352641196]"
substitute_30,substitute,0.3,5,5,0,3.673401661549768,0.16955614203900837,1.1551976793158751,48,25,-0.16536813445772058,133.0,179,"[1.2480586522322794, 0.6151520195402671, 1.810190989777221]",656.7414716383398,0.42606856943726334,1.6378631024635366,50,23,-0.14688347479451924,229,1.0,0.9984796458135609,"[67.62978525769849, 1.532423331002442, 2.7844805686533896]"
entry_only_30,entry_only,0.3,0,0,0,3.6282963573555858,0.1723335217322944,1.1551976793158751,48,25,-0.16536813445772058,127.66666666666666,173,"[1.2903113320295252, 0.5416755009031996, 1.796309524422861]",633.7051760859271,0.4253171656004435,1.6446001197350686,50,23,-0.14656677248084127,227,1.0,0.9984244653459946,"[67.8022811340485, 1.448868598122254, 2.7670702594235514]"
cash_30,cash,0.3,5,0,5,3.755722066428397,0.166906268956045,1.1551976793158751,48,25,-0.16536813445772058,130.33333333333331,179,"[1.28670993199786, 0.627800854081115, 1.8412112803494227]",234.7244370390969,0.7568325273945897,2.321494011461271,50,23,-0.5717986200597158,229,1.0,0.9957577584549109,"[66.37701558986767, 1.199825893975023, 0.590393261991466]"
substitute_35,substitute,0.35,1,1,0,3.6825437872448896,0.1723335217322944,1.1551976793158751,48,25,-0.16536813445772058,129.0,175,"[1.2903113320295252, 0.5416755009031996, 1.8505569543121654]",663.3168959308352,0.4253171656004435,1.6348647568719326,50,23,-0.14656677248084127,228,1.0,0.9984946943151298,"[67.8022811340485, 1.448868598122254, 2.94282025069672]"
entry_only_35,entry_only,0.35,0,0,0,3.6282963573555858,0.1723335217322944,1.1551976793158751,48,25,-0.16536813445772058,127.66666666666666,173,"[1.2903113320295252, 0.5416755009031996, 1.796309524422861]",633.7051760859271,0.4253171656004435,1.6446001197350686,50,23,-0.14656677248084127,227,1.0,0.9984244653459946,"[67.8022811340485, 1.448868598122254, 2.7670702594235514]"
cash_35,cash,0.35,1,0,1,3.698940527748521,0.1723335217322944,1.1551976793158751,48,25,-0.16536813445772058,128.33333333333331,175,"[1.2903113320295252, 0.5416755009031996, 1.8669536948157963]",450.43429547220626,0.5886959245586427,1.7841435517985893,50,23,-0.38758659951145324,228,1.0,0.997784838214487,"[67.8022811340485, 1.448868598122254, 1.6793301404035543]"
substitute_40,substitute,0.4,0,0,0,3.6282963573555858,0.1723335217322944,1.1551976793158751,48,25,-0.16536813445772058,127.66666666666666,173,"[1.2903113320295252, 0.5416755009031996, 1.796309524422861]",633.7051760859271,0.4253171656004435,1.6446001197350686,50,23,-0.14656677248084127,227,1.0,0.9984244653459946,"[67.8022811340485, 1.448868598122254, 2.7670702594235514]"
entry_only_40,entry_only,0.4,0,0,0,3.6282963573555858,0.1723335217322944,1.1551976793158751,48,25,-0.16536813445772058,127.66666666666666,173,"[1.2903113320295252, 0.5416755009031996, 1.796309524422861]",633.7051760859271,0.4253171656004435,1.6446001197350686,50,23,-0.14656677248084127,227,1.0,0.9984244653459946,"[67.8022811340485, 1.448868598122254, 2.7670702594235514]"
cash_40,cash,0.4,0,0,0,3.6282963573555858,0.1723335217322944,1.1551976793158751,48,25,-0.16536813445772058,127.66666666666666,173,"[1.2903113320295252, 0.5416755009031996, 1.796309524422861]",633.7051760859271,0.4253171656004435,1.6446001197350686,50,23,-0.14656677248084127,227,1.0,0.9984244653459946,"[67.8022811340485, 1.448868598122254, 2.7670702594235514]"
