variant,top_day,bottom_day,top_5_day_profit_share
continuation_all_product_long_only_combined_available_c10,0.1559933410826061,-0.14359222895822982,
continuation_all_product_long_only_combined_available_c2,0.1575933410826061,-0.14199222895822983,
continuation_all_product_long_only_combined_available_c5,0.1569933410826061,-0.14259222895822982,
continuation_all_product_long_only_qqq_c10,0.11398668216521202,-0.13119363475749457,
continuation_all_product_long_only_qqq_c2,0.11558668216521202,-0.12959363475749458,
continuation_all_product_long_only_qqq_c5,0.11498668216521202,-0.13019363475749457,
continuation_all_product_long_only_smh_c10,0.19800000000000018,-0.16005471124620063,
continuation_all_product_long_only_smh_c2,0.19960000000000017,-0.15845471124620064,
continuation_all_product_long_only_smh_c5,0.19900000000000018,-0.15905471124620063,
continuation_all_underlying_signed_diagnostic_combined_available_c0,0.04929714797988982,-0.05436802250961731,
continuation_all_underlying_signed_diagnostic_qqq_c0,0.03882798893555983,-0.043022475679302175,
continuation_all_underlying_signed_diagnostic_smh_c0,0.05983419741027385,-0.0733366453930524,
continuation_q50_product_long_only_combined_available_c10,0.1387271154651657,-0.14359222895822982,
continuation_q50_product_long_only_combined_available_c2,0.14032711546516569,-0.14199222895822983,
continuation_q50_product_long_only_combined_available_c5,0.1397271154651657,-0.14259222895822982,
continuation_q50_product_long_only_qqq_c10,0.10393316662877927,-0.13119363475749457,
continuation_q50_product_long_only_qqq_c2,0.10553316662877928,-0.12959363475749458,
continuation_q50_product_long_only_qqq_c5,0.10493316662877927,-0.13019363475749457,
continuation_q50_product_long_only_smh_c10,0.17352106430155212,-0.15777889447236182,
continuation_q50_product_long_only_smh_c2,0.1751210643015521,-0.15617889447236183,
continuation_q50_product_long_only_smh_c5,0.17452106430155212,-0.15677889447236182,
continuation_q50_underlying_signed_diagnostic_combined_available_c0,0.047536445972947594,-0.04873180137762462,
continuation_q50_underlying_signed_diagnostic_qqq_c0,0.03523869453562134,-0.043022475679302175,
continuation_q50_underlying_signed_diagnostic_smh_c0,0.05983419741027385,-0.05444112707594706,
continuation_q67_product_long_only_combined_available_c10,0.1387271154651657,-0.14359222895822982,
continuation_q67_product_long_only_combined_available_c2,0.14032711546516569,-0.14199222895822983,
continuation_q67_product_long_only_combined_available_c5,0.1397271154651657,-0.14259222895822982,
continuation_q67_product_long_only_qqq_c10,0.10393316662877927,-0.13119363475749457,
continuation_q67_product_long_only_qqq_c2,0.10553316662877928,-0.12959363475749458,
continuation_q67_product_long_only_qqq_c5,0.10493316662877927,-0.13019363475749457,
continuation_q67_product_long_only_smh_c10,0.17352106430155212,-0.15777889447236182,
continuation_q67_product_long_only_smh_c2,0.1751210643015521,-0.15617889447236183,
continuation_q67_product_long_only_smh_c5,0.17452106430155212,-0.15677889447236182,
continuation_q67_underlying_signed_diagnostic_combined_available_c0,0.047536445972947594,-0.04873180137762462,
continuation_q67_underlying_signed_diagnostic_qqq_c0,0.03523869453562134,-0.043022475679302175,
continuation_q67_underlying_signed_diagnostic_smh_c0,0.05983419741027385,-0.05444112707594706,
