variant,mapping,threshold,expression,portfolio,cost_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,decision_count,trading_days,top_5_day_profit_share,average_month_18m,negative_months_18m,zero_months_18m,average_month_15m,negative_months_15m,zero_months_15m,average_month_12m,negative_months_12m,zero_months_12m
reversal_q50_product_long_only_smh_c2,reversal,q50,product_long_only,smh,2,0.9090215003221688,0.6177470215130326,40.0,False,187,187,0.7432453545053688,0.05050119446234272,6,0,0.09285742009279853,3,0,0.07395853112089178,2,0
reversal_q50_product_long_only_smh_c5,reversal,q50,product_long_only,smh,5,0.7968215003221685,0.6397070319969632,40.0,False,187,187,0.8441363680422759,0.04426786112900936,6,0,0.08633742009279853,3,0,0.06770853112089176,2,0
reversal_all_product_long_only_smh_c2,reversal,all,product_long_only,smh,2,1.1665136584544018,0.30331557873561016,52.0,False,365,365,0.6573388936751324,0.06480631435857791,7,0,0.08033150460809932,6,0,0.0573164012048435,5,0
reversal_q50_product_long_only_smh_c10,reversal,q50,product_long_only,smh,10,0.6098215003221683,0.676365639706463,40.0,False,187,187,1.094789224235692,0.03387897224012046,6,0,0.07547075342613185,3,0,0.05729186445422508,2,0
reversal_all_product_long_only_smh_c5,reversal,all,product_long_only,smh,5,0.9475136584544016,0.32521397176993605,56.0,False,365,365,0.8061042612844876,0.052639647691911186,9,0,0.0680515046080993,7,0,0.04501640120484348,6,0
reversal_q50_product_long_only_combined_available_c2,reversal,q50,product_long_only,combined_available,2,0.542441378848193,0.41481760058447437,30.0,False,231,231,1.0686301639408657,0.030135632158232967,8,0,0.056623099025758926,5,0,0.043128004882647675,4,0
reversal_q50_product_long_only_combined_available_c5,reversal,q50,product_long_only,combined_available,5,0.40384137884819316,0.44432390759036217,30.0,False,231,231,1.4279597134191337,0.02243563215823295,8,0,0.04874309902575891,5,0,0.035428004882647655,4,0
reversal_q67_product_long_only_smh_c2,reversal,q67,product_long_only,smh,2,0.5259328112644381,0.3285874500844964,26.0,False,125,125,1.2651774406502296,0.029218489514691033,6,0,0.04827982777423115,4,0,0.02497568138162792,3,0
reversal_all_product_long_only_smh_c10,reversal,all,product_long_only,smh,10,0.5825136584544013,0.3621981188876494,66.0,False,365,365,1.3026214693723712,0.032361869914133395,9,0,0.047584837941432596,7,0,0.02451640120484346,6,0
reversal_all_product_long_only_combined_available_c2,reversal,all,product_long_only,combined_available,2,0.5458947661052049,0.28618852220159546,58.0,False,366,366,1.1306224205281388,0.03032748700584473,11,0,0.0446673023211839,8,0,0.026076775453441586,7,0
reversal_q67_product_long_only_smh_c5,reversal,q67,product_long_only,smh,5,0.4509328112644383,0.34285685230173707,26.0,False,125,125,1.4689512751403562,0.02505182284802435,6,0,0.04395982777423113,4,0,0.021025681381627914,3,0
reversal_q80_product_long_only_smh_c2,reversal,q80,product_long_only,smh,2,0.3216559988271832,0.2690212012908143,32.0,False,81,81,1.9764282526925636,0.017869777712621295,10,0,0.037745862145287544,7,0,0.010006869982316651,6,0
reversal_q67_product_long_only_combined_available_c2,reversal,q67,product_long_only,combined_available,2,0.3342731313650559,0.33927153211024413,29.0,False,152,152,1.721465724211636,0.01857072952028089,8,0,0.03714599355170368,5,0,0.02182867158760172,4,0
reversal_q67_product_long_only_smh_c10,reversal,q67,product_long_only,smh,10,0.3259328112644382,0.3667127345251303,32.0,False,125,125,2.016974988063282,0.0181073784035799,7,0,0.036759827774231126,5,0,0.014442348048294576,4,0
reversal_q50_product_long_only_combined_available_c10,reversal,q50,product_long_only,combined_available,10,0.17284137884819295,0.49357946903071154,102.0,False,231,231,3.3074789348270146,0.009602298824899602,10,0,0.03560976569242557,7,0,0.02259467154931431,6,0
reversal_q80_product_long_only_smh_c5,reversal,q80,product_long_only,smh,5,0.27305599882718323,0.2803977412076495,32.0,False,81,81,2.3172170047454075,0.01516977771262129,10,0,0.03498586214528754,7,0,0.007606869982316643,6,0
reversal_q80_product_long_only_combined_available_c2,reversal,q80,product_long_only,combined_available,2,0.2757629491187869,0.24645166095534055,28.0,False,102,102,1.9791324959877448,0.015320163839932606,9,0,0.03272733364624799,6,0,0.014912083305315765,5,0
reversal_all_product_long_only_combined_available_c5,reversal,all,product_long_only,combined_available,5,0.3262947661052047,0.3140813161102191,115.0,False,366,366,1.8823497205881536,0.018127487005844708,11,0,0.032347302321183866,8,0,0.013726775453441553,7,0
reversal_q67_product_long_only_combined_available_c5,reversal,q67,product_long_only,combined_available,5,0.24307313136505565,0.35792097910328646,30.0,False,152,152,2.3550103417647072,0.013504062853614206,9,0,0.03194599355170366,6,0,0.016978671587601704,5,0
reversal_q80_product_long_only_smh_c10,reversal,q80,product_long_only,smh,10,0.19205599882718316,0.2993901601516193,33.0,False,81,81,3.268473817862562,0.010669777712621287,10,0,0.030385862145287535,7,0,0.0036068699823166386,6,0
reversal_q80_product_long_only_combined_available_c5,reversal,q80,product_long_only,combined_available,5,0.21456294911878687,0.2615025731358931,29.0,False,102,102,2.5296604843453925,0.011920163839932604,10,0,0.029327333646247986,7,0,0.01181208330531576,6,0
reversal_q50_underlying_signed_diagnostic_smh_c0,reversal,q50,underlying_signed_diagnostic,smh,0,0.23656575658257983,0.22132609615651258,37.0,False,187,187,0.8788830645773091,0.013142542032365546,6,0,0.026714298896307217,3,0,0.022304957287069327,2,0
