variant,mapping,threshold,expression,portfolio,cost_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,decision_count,trading_days,top_5_day_profit_share,average_month_18m,negative_months_18m,zero_months_18m,average_month_15m,negative_months_15m,zero_months_15m,average_month_12m,negative_months_12m,zero_months_12m
reversal_all_underlying_signed_diagnostic_smh_c0,reversal,all,underlying_signed_diagnostic,smh,0,0.3688973615312431,0.11160275807872788,15.0,False,365,365,0.7314050051336282,0.020494297862846837,6,0,0.024681981047173125,5,0,0.0195941928506989,4,0
reversal_q80_product_long_only_combined_available_c10,reversal,q80,product_long_only,combined_available,10,0.11256294911878678,0.28662899336789466,30.0,False,102,102,4.777517095993107,0.006253497173265932,10,0,0.023660666979581312,7,0,0.006645416638649089,6,0
reversal_q67_product_long_only_combined_available_c10,reversal,q67,product_long_only,combined_available,10,0.09107313136505552,0.38910117464056526,30.0,False,152,152,6.230594354940147,0.005059618409169754,9,0,0.023279326885036988,6,0,0.008895338254268364,5,0
reversal_q50_underlying_signed_diagnostic_combined_available_c0,reversal,q50,underlying_signed_diagnostic,combined_available,0,0.159091765537984,0.14166005681688287,30.0,False,231,231,1.1490722726201086,0.008838431418776889,8,0,0.017139488990425944,5,0,0.01334008344874349,4,0
reversal_all_underlying_signed_diagnostic_combined_available_c0,reversal,all,underlying_signed_diagnostic,combined_available,0,0.2009908930971011,0.0962029728264019,58.0,False,366,366,1.0413713121632182,0.011166160727616729,8,0,0.015479612285129755,6,0,0.010585616539352328,5,0
reversal_q50_product_long_only_qqq_c2,reversal,q50,product_long_only,qqq,2,0.11487726946418991,0.23431249717797006,149.0,False,187,187,3.7183173147528943,0.006382070525788323,10,0,0.013966300586657836,7,0,0.005748778219255392,6,0
reversal_q67_underlying_signed_diagnostic_smh_c0,reversal,q67,underlying_signed_diagnostic,smh,0,0.1293931730850676,0.12399725167307761,29.0,False,125,125,1.5990570188623847,0.007188509615837089,6,0,0.01342321777410608,4,0,0.007010599902361368,3,0
reversal_all_product_long_only_combined_available_c10,reversal,all,product_long_only,combined_available,10,-0.03970523389479563,0.4273237446643439,138.0,False,366,366,,-0.002205846327488643,11,0,0.011813968987850516,8,0,-0.006856557879891793,7,0
reversal_q67_underlying_signed_diagnostic_combined_available_c0,reversal,q67,underlying_signed_diagnostic,combined_available,0,0.10021979318469232,0.11845519310905821,30.0,False,152,152,1.8071182528094827,0.005567766288038462,8,0,0.011522960610959473,5,0,0.007210695420008313,4,0
reversal_q67_product_long_only_qqq_c2,reversal,q67,product_long_only,qqq,2,0.031367737598487294,0.23936122054516992,157.0,False,125,125,11.741703113182336,0.0017426520888048466,9,0,0.011233191943273352,6,0,0.006927473135933053,5,0
reversal_q80_underlying_signed_diagnostic_smh_c0,reversal,q80,underlying_signed_diagnostic,smh,0,0.07238609134059859,0.10151428383098744,29.0,False,81,81,2.7623617190755545,0.004021449518922144,10,0,0.011042959434936309,7,0,0.002208076480815215,6,0
reversal_all_product_long_only_qqq_c2,reversal,all,product_long_only,qqq,2,-0.04685662944853296,0.40195390953240434,172.0,False,366,366,,-0.002603146080474064,11,0,0.01086093315396571,8,0,-0.0028405588983387953,7,0
reversal_q80_underlying_signed_diagnostic_combined_available_c0,reversal,q80,underlying_signed_diagnostic,combined_available,0,0.0852686230185597,0.08545981019660828,29.0,False,102,102,2.0424690523871196,0.0047371457232533165,10,0,0.010726785151466973,7,0,0.004982219063693533,6,0
reversal_q50_product_long_only_qqq_c5,reversal,q50,product_long_only,qqq,5,0.002677269464189558,0.2661604731779107,,True,187,187,158.4263914385722,0.00014873719245497543,10,0,0.007686300586657824,7,0,-0.0001012217807446203,6,0
reversal_q80_product_long_only_qqq_c2,reversal,q80,product_long_only,qqq,2,0.01278759963549254,0.16990308149784264,163.0,False,79,79,27.52194579455646,0.0007104222019718103,10,1,0.007123391223139042,8,1,0.0001277495472372774,7,1
reversal_q67_product_long_only_qqq_c5,reversal,q67,product_long_only,qqq,5,-0.043632262401512856,0.2604844600758105,163.0,False,125,125,,-0.002424014577861825,9,0,0.00699319194327334,6,0,0.0031274731359330434,5,0
reversal_all_underlying_signed_diagnostic_qqq_c0,reversal,all,underlying_signed_diagnostic,qqq,0,0.04219221634644721,0.11936058286303657,150.0,False,366,366,4.06191558985429,0.002344012019247067,11,0,0.0068844296353189225,8,0,0.002336022868296428,7,0
reversal_q50_underlying_signed_diagnostic_qqq_c0,reversal,q50,underlying_signed_diagnostic,qqq,0,0.06572406182261381,0.08266290471700123,146.0,False,187,187,2.150431703168785,0.0036513367679229893,10,0,0.006216191107821456,7,0,0.0032518385010091855,6,0
reversal_q67_underlying_signed_diagnostic_qqq_c0,reversal,q67,underlying_signed_diagnostic,qqq,0,0.02584856900828192,0.08271483620243694,154.0,False,125,125,4.742024323368989,0.0014360316115712177,8,0,0.0046357111679056874,6,0,0.003304091908010139,5,0
reversal_q80_product_long_only_qqq_c5,reversal,q80,product_long_only,qqq,5,-0.03461240036450752,0.18067293880536325,,True,79,79,,-0.001922911131361529,10,1,0.004523391223139036,8,1,-0.002122250452762727,7,1
reversal_q80_underlying_signed_diagnostic_qqq_c0,reversal,q80,underlying_signed_diagnostic,qqq,0,0.016075396720320323,0.056825579409421845,163.0,False,79,79,7.313024814640684,0.0008930775955733513,10,1,0.0029975908255807982,8,1,0.0007660564226942371,7,1
reversal_q80_product_long_only_qqq_c10,reversal,q80,product_long_only,qqq,10,-0.11361240036450759,0.19976349562095183,,True,79,79,,-0.006311800020250422,11,1,0.00019005788980569854,8,1,-0.005872250452762729,7,1
reversal_q67_product_long_only_qqq_c10,reversal,q67,product_long_only,qqq,10,-0.16863226240151297,0.2979253581088991,,True,125,125,,-0.009368459022306274,9,0,-7.347472339333157e-05,6,0,-0.003205860197400293,5,0
reversal_all_product_long_only_qqq_c5,reversal,all,product_long_only,qqq,5,-0.26645662944853354,0.5180250342865905,,True,366,366,,-0.014803146080474085,11,0,-0.0014590668460343107,8,0,-0.015190558898338813,7,0
reversal_q50_product_long_only_qqq_c10,reversal,q50,product_long_only,qqq,10,-0.1843227305358106,0.32403973647581985,,True,187,187,,-0.010240151696433922,10,0,-0.0027803660800088483,7,0,-0.009851221780744627,6,0
continuation_q80_underlying_signed_diagnostic_qqq_c0,continuation,q80,underlying_signed_diagnostic,qqq,0,-0.016075396720320323,0.09908747263317125,,True,79,79,,-0.0008930775955733513,7,1,-0.0029975908255807982,6,1,-0.0007660564226942371,4,1
continuation_q67_underlying_signed_diagnostic_qqq_c0,continuation,q67,underlying_signed_diagnostic,qqq,0,-0.02584856900828192,0.13519167948700223,,True,125,125,,-0.0014360316115712177,10,0,-0.0046357111679056874,9,0,-0.003304091908010139,7,0
continuation_q50_underlying_signed_diagnostic_qqq_c0,continuation,q50,underlying_signed_diagnostic,qqq,0,-0.06572406182261381,0.15599461164692346,,True,187,187,,-0.0036513367679229893,8,0,-0.006216191107821456,8,0,-0.0032518385010091855,6,0
continuation_all_underlying_signed_diagnostic_qqq_c0,continuation,all,underlying_signed_diagnostic,qqq,0,-0.04219221634644721,0.16060338661333337,,True,366,366,,-0.002344012019247067,7,0,-0.0068844296353189225,7,0,-0.002336022868296428,5,0
continuation_q80_product_long_only_qqq_c2,continuation,q80,product_long_only,qqq,2,-0.09243764003697788,0.29161825716886297,,True,79,79,,-0.005135424446498762,7,1,-0.009821602482842055,6,1,-0.0029947041806169146,4,1
continuation_q80_underlying_signed_diagnostic_combined_available_c0,continuation,q80,underlying_signed_diagnostic,combined_available,0,-0.0852686230185597,0.2026154173255525,,True,102,102,,-0.0047371457232533165,8,0,-0.010726785151466973,8,0,-0.004982219063693533,6,0
continuation_q80_underlying_signed_diagnostic_smh_c0,continuation,q80,underlying_signed_diagnostic,smh,0,-0.07238609134059859,0.2208582630111151,,True,81,81,,-0.004021449518922144,8,0,-0.011042959434936309,8,0,-0.002208076480815215,6,0
continuation_q67_underlying_signed_diagnostic_combined_available_c0,continuation,q67,underlying_signed_diagnostic,combined_available,0,-0.10021979318469232,0.24690586733644102,,True,152,152,,-0.005567766288038462,10,0,-0.011522960610959473,10,0,-0.007210695420008313,8,0
continuation_q80_product_long_only_qqq_c5,continuation,q80,product_long_only,qqq,5,-0.13983764003697785,0.3239830047233385,,True,79,79,,-0.007768757779832103,7,1,-0.01242160248284206,6,1,-0.0052447041806169175,4,1
continuation_q67_underlying_signed_diagnostic_smh_c0,continuation,q67,underlying_signed_diagnostic,smh,0,-0.1293931730850676,0.295474854311386,,True,125,125,,-0.007188509615837089,12,0,-0.01342321777410608,11,0,-0.007010599902361368,9,0
continuation_all_underlying_signed_diagnostic_combined_available_c0,continuation,all,underlying_signed_diagnostic,combined_available,0,-0.2009908930971011,0.32612291272948196,,True,366,366,,-0.011166160727616729,10,0,-0.015479612285129755,9,0,-0.010585616539352328,7,0
continuation_q67_product_long_only_qqq_c2,continuation,q67,product_long_only,qqq,2,-0.1400238935230306,0.38143490296763594,,True,125,125,,-0.007779105195723921,10,0,-0.01577587008830739,9,0,-0.011870244016434902,7,0
continuation_q80_product_long_only_qqq_c10,continuation,q80,product_long_only,qqq,10,-0.21883764003697792,0.37961010091682473,,True,79,79,,-0.012157646668720996,7,1,-0.016754935816175397,6,1,-0.008994704180616922,4,1
continuation_q50_underlying_signed_diagnostic_combined_available_c0,continuation,q50,underlying_signed_diagnostic,combined_available,0,-0.159091765537984,0.31377940537577315,,True,231,231,,-0.008838431418776889,10,0,-0.017139488990425944,10,0,-0.01334008344874349,8,0
continuation_q67_product_long_only_qqq_c5,continuation,q67,product_long_only,qqq,5,-0.21502389352303064,0.4312166391357394,,True,125,125,,-0.01194577186239059,10,0,-0.0200158700883074,9,0,-0.01567024401643491,7,0
continuation_q50_product_long_only_qqq_c2,continuation,q50,product_long_only,qqq,2,-0.27331542212173815,0.4608993842178543,,True,187,187,,-0.015184190117874348,8,0,-0.0213079732230405,8,0,-0.012382142493060003,6,0
reversal_all_product_long_only_qqq_c10,reversal,all,product_long_only,qqq,10,-0.6324566294485339,0.7380168489813467,,True,366,366,,-0.035136479413807424,12,0,-0.021992400179367648,9,0,-0.03577389223167215,8,0
continuation_all_underlying_signed_diagnostic_smh_c0,continuation,all,underlying_signed_diagnostic,smh,0,-0.3688973615312431,0.525263792523979,,True,365,365,,-0.020494297862846837,12,0,-0.024681981047173125,10,0,-0.0195941928506989,8,0
continuation_q50_underlying_signed_diagnostic_smh_c0,continuation,q50,underlying_signed_diagnostic,smh,0,-0.23656575658257983,0.42982718234691536,,True,187,187,,-0.013142542032365546,12,0,-0.026714298896307217,12,0,-0.022304957287069327,10,0
continuation_all_product_long_only_qqq_c2,continuation,all,product_long_only,qqq,2,-0.25872776645218853,0.4844544777828606,,True,365,365,,-0.01437376480289937,8,0,-0.027000771096074218,7,0,-0.014127140495872256,5,0
continuation_q67_product_long_only_qqq_c10,continuation,q67,product_long_only,qqq,10,-0.34002389352303075,0.520358139471235,,True,125,125,,-0.01889021630683504,10,0,-0.027082536754974074,9,0,-0.02200357734976825,7,0
continuation_q50_product_long_only_qqq_c5,continuation,q50,product_long_only,qqq,5,-0.3855154221217385,0.5484286791518339,,True,187,187,,-0.021417523451207694,10,0,-0.02758797322304051,8,0,-0.018232142493060016,6,0
continuation_q80_product_long_only_combined_available_c2,continuation,q80,product_long_only,combined_available,2,-0.3236297520976601,0.5504399482783185,,True,102,102,,-0.017979430672092227,10,0,-0.034260099003800136,9,0,-0.01778806656323517,7,0
continuation_q80_product_long_only_smh_c2,continuation,q80,product_long_only,smh,2,-0.31713195339869305,0.5942226816280735,,True,81,81,,-0.01761844185548294,8,0,-0.036749452145759316,8,0,-0.011100738406233232,6,0
continuation_q80_product_long_only_combined_available_c5,continuation,q80,product_long_only,combined_available,5,-0.3848297520976602,0.5913981555618623,,True,102,102,,-0.021379430672092234,10,0,-0.03766009900380016,9,0,-0.020888066563235174,7,0
continuation_q50_product_long_only_qqq_c10,continuation,q50,product_long_only,qqq,10,-0.5725154221217387,0.6993072394987773,,True,187,187,,-0.031806412340096596,10,0,-0.038054639889707184,8,0,-0.02798214249306002,6,0
continuation_all_product_long_only_qqq_c5,continuation,all,product_long_only,qqq,5,-0.47772776645218906,0.6449074431088315,,True,365,365,,-0.02654043146956606,9,0,-0.03928077109607424,8,0,-0.026427140495872276,6,0
continuation_q80_product_long_only_smh_c5,continuation,q80,product_long_only,smh,5,-0.365731953398693,0.6152043133629208,,True,81,81,,-0.020318441855482944,8,0,-0.03950945214575932,8,0,-0.013500738406233235,6,0
continuation_q67_product_long_only_combined_available_c2,continuation,q67,product_long_only,combined_available,2,-0.40688747263546443,0.678474313164886,,True,152,152,,-0.02260485959085913,11,0,-0.04014922782260415,10,0,-0.02631525092055975,8,0
continuation_q80_product_long_only_combined_available_c10,continuation,q80,product_long_only,combined_available,10,-0.4868297520976602,0.661933463658351,,True,102,102,,-0.0270460973387589,10,0,-0.04332676567046683,9,0,-0.026054733229901844,7,0
continuation_q80_product_long_only_smh_c10,continuation,q80,product_long_only,smh,10,-0.4467319533986931,0.6611330430787097,,True,81,81,,-0.02481844185548295,8,0,-0.04410945214575933,8,0,-0.01750073840623324,6,0
continuation_q67_product_long_only_combined_available_c5,continuation,q67,product_long_only,combined_available,5,-0.49808747263546466,0.738507107917256,,True,152,152,,-0.02767152625752581,11,0,-0.045349227822604164,10,0,-0.031165250920559762,8,0
continuation_q67_product_long_only_smh_c2,continuation,q67,product_long_only,smh,2,-0.5373675240164495,0.8391898964140916,,True,125,125,,-0.029853751334247183,12,0,-0.04813364998823671,11,0,-0.02712505296215167,9,0
continuation_q67_product_long_only_smh_c5,continuation,q67,product_long_only,smh,5,-0.6123675240164493,0.8912335597436142,,True,125,125,,-0.03402041800091385,12,0,-0.052453649988236734,11,0,-0.031075052962151684,9,0
continuation_q67_product_long_only_combined_available_c10,continuation,q67,product_long_only,combined_available,10,-0.6500874726354648,0.843484098663864,,True,152,152,,-0.03611597070197027,11,0,-0.05401589448927084,10,0,-0.039248584253893104,8,0
continuation_all_product_long_only_combined_available_c2,continuation,all,product_long_only,combined_available,2,-0.7462219135143586,0.9513821085745028,,True,365,365,,-0.0414567729730199,8,0,-0.05534833440072514,8,0,-0.038302783012300674,6,0
continuation_q67_product_long_only_smh_c10,continuation,q67,product_long_only,smh,10,-0.7373675240164494,0.980882782727148,,True,125,125,,-0.040964862445358304,12,0,-0.059653649988236745,11,0,-0.03765838629548502,9,0
continuation_all_product_long_only_qqq_c10,continuation,all,product_long_only,qqq,10,-0.8427277664521894,0.929308838071379,,True,365,365,,-0.04681820924734384,10,0,-0.05974743776274092,9,0,-0.04692714049587227,7,0
continuation_q50_product_long_only_combined_available_c2,continuation,q50,product_long_only,combined_available,2,-0.66505257379516,0.8686089859427127,,True,231,231,,-0.036947365210842194,10,0,-0.06256359659397599,10,0,-0.049061441420281175,8,0
continuation_all_product_long_only_combined_available_c5,continuation,all,product_long_only,combined_available,5,-0.9652219135143587,1.1232247930173784,,True,365,365,,-0.05362343963968659,9,0,-0.06762833440072517,9,0,-0.05060278301230071,7,0
continuation_q50_product_long_only_combined_available_c5,continuation,q50,product_long_only,combined_available,5,-0.8036525737951599,0.9607164522538226,,True,231,231,,-0.04464736521084222,10,0,-0.07044359659397603,10,0,-0.056761441420281195,8,0
continuation_q50_product_long_only_combined_available_c10,continuation,q50,product_long_only,combined_available,10,-1.0346525737951602,1.1237623454833343,,True,231,231,,-0.05748069854417556,11,0,-0.08357692992730938,11,0,-0.06959477475361454,9,0
continuation_all_product_long_only_smh_c2,continuation,all,product_long_only,smh,2,-1.2337160605765283,1.4884717571846051,,True,365,365,,-0.06853978114314044,11,0,-0.08369589770537608,9,0,-0.06247842552872909,7,0
continuation_all_product_long_only_combined_available_c10,continuation,all,product_long_only,combined_available,10,-1.3302219135143587,1.4278912969867381,,True,365,365,,-0.07390121741746437,12,0,-0.08809500106739183,10,0,-0.0711027830123007,8,0
continuation_q50_product_long_only_smh_c2,continuation,q50,product_long_only,smh,2,-0.9351974853706554,1.0734922751239377,,True,187,187,,-0.05195541585392528,12,0,-0.0936928131882259,12,0,-0.07669828678473252,10,0
continuation_all_product_long_only_smh_c5,continuation,all,product_long_only,smh,5,-1.4527160605765284,1.6673940301939054,,True,365,365,,-0.08070644780980712,11,0,-0.09597589770537611,9,0,-0.07477842552872915,7,0
continuation_q50_product_long_only_smh_c5,continuation,q50,product_long_only,smh,5,-1.0473974853706554,1.1398951240263195,,True,187,187,,-0.05818874918725863,12,0,-0.10021281318822589,12,0,-0.08294828678473254,10,0
continuation_q50_product_long_only_smh_c10,continuation,q50,product_long_only,smh,10,-1.2343974853706556,1.254841226435051,,True,187,187,,-0.06857763807614753,12,0,-0.1110794798548926,12,0,-0.09336495345139921,10,0
continuation_all_product_long_only_smh_c10,continuation,all,product_long_only,smh,10,-1.8177160605765286,1.9846929967442755,,True,365,365,,-0.10098422558758492,13,0,-0.11644256437204277,11,0,-0.09527842552872916,9,0
