clock,extra_slippage_bps_per_side,net_simple_return,maximum_drawdown,trades,stop_hits,green_trades,red_trades,win_rate,positive_months,negative_months,inactive_months,worst_month,best_month
0930,0,0.015658832199134665,0.01549391172917376,66,9,32,34,0.48484848484848486,5,3,4,-0.011695989124757,0.014551515845931673
0930,2,-0.010741167800865347,0.02167258041428458,66,9,31,35,0.4696969696969697,5,3,4,-0.017695989124757,0.009751515845931672
0930,5,-0.050341167800865345,0.05681473332195806,66,9,22,44,0.3333333333333333,3,5,4,-0.026695989124757,0.0025515158459316727
0930,10,-0.11634116780086534,0.12002793387898335,66,9,15,51,0.22727272727272727,0,8,4,-0.041695989124757,0.0
0940,0,0.04224026508189993,0.00845938247497668,66,6,39,27,0.5909090909090909,6,2,4,-0.0008115706659190813,0.01613912586353272
0940,2,0.01584026508189992,0.012028247969889405,66,6,33,33,0.5,4,4,4,-0.006334789857130258,0.01133912586353272
0940,5,-0.023759734918100073,0.03046291752851764,66,6,23,43,0.3484848484848485,3,5,4,-0.015334789857130257,0.0041391258635327215
0940,10,-0.08975973491810008,0.09150495338208858,66,6,15,51,0.22727272727272727,0,8,4,-0.030334789857130257,0.0
