variant,pair,threshold_bp,hold_min,confirmation,overshoot_bp,cost_bp_side,trades,trades_per_session,gross_return,net_return,recent12_return,recent18_return,mean_trade_bp,green_all_days,green_active_days,positive_month_fraction,positive_week_fraction,max_drawdown,recovery_sessions,block_returns,worst_day
SMH_SOXL_SOXS_reversal_t30_h10_none_ov0,SMH_SOXL_SOXS,30,10,none,0,2,2400,1.4010507880910683,-0.3983931415805664,-1.3583931415805661,0.11230272948365728,0.31768421736200847,-5.659971423252357,0.2177466433158202,0.47275031685678076,0.39759036144578314,0.35376044568245124,1.7855572502542374,,"[-0.530511707100735, -1.079454264203155, 0.25157282972332373]",-0.2656032655392964
SMH_SOXL_SOXS_reversal_t30_h10_none_ov0,SMH_SOXL_SOXS,30,10,none,0,5,2400,1.4010507880910683,-0.3983931415805664,-2.7983931415805685,-0.05329727051634303,-0.018315782637992162,-11.659971423252369,0.20490367775831875,0.4448669201520912,0.30120481927710846,0.3286908077994429,2.9632557453757205,,"[-0.9409117071007356, -1.6074542642031557, -0.2500271702766772]",-0.2812032655392964
SMH_SOXL_SOXS_reversal_t30_h10_none_ov0,SMH_SOXL_SOXS,30,10,none,0,10,2400,1.4010507880910683,-0.3983931415805664,-5.198393141580569,-0.3292972705163431,-0.5783157826379923,-21.659971423252372,0.1833041447752481,0.3979721166032953,0.20481927710843373,0.2841225626740947,5.24782937408365,,"[-1.6249117071007357, -2.487454264203156, -1.0860271702766773]",-0.30720326553929644
SMH_SOXL_SOXS_reversal_t30_h10_none_ov10,SMH_SOXL_SOXS,30,10,none,10,2,905,0.5283129013426737,-0.13623772940243162,-0.49823772940243155,0.13010823433264485,0.17429072896834652,-5.505389275164988,0.11558669001751314,0.4900990099009901,0.3614457831325301,0.25069637883008355,1.0160718228911856,,"[-0.17471750969380195, -0.4422342618687023, 0.1187140421600727]",-0.38958919817705956
SMH_SOXL_SOXS_reversal_t30_h10_none_ov10,SMH_SOXL_SOXS,30,10,none,10,5,905,0.5283129013426737,-0.13623772940243162,-1.0412377294024324,0.04550823433264473,0.015890728968346313,-11.505389275165,0.10974897840046702,0.46534653465346537,0.2891566265060241,0.23119777158774374,1.404666406359929,,"[-0.3229175096938022, -0.6366342618687026, -0.0816859578399276]",-0.4009891981770596
SMH_SOXL_SOXS_reversal_t30_h10_none_ov10,SMH_SOXL_SOXS,30,10,none,10,10,905,0.5283129013426737,-0.13623772940243162,-1.946237729402433,-0.0954917656673553,-0.24810927103165378,-21.505389275165008,0.1039112667834209,0.4405940594059406,0.24096385542168675,0.20055710306406685,2.095215073201246,,"[-0.5699175096938023, -0.9606342618687029, -0.4156859578399277]",-0.4199891981770596
SMH_SOXL_SOXS_reversal_t30_h10_none_ov20,SMH_SOXL_SOXS,30,10,none,20,2,481,0.28079392877991827,0.27107273423069367,0.07867273423069365,0.20853623082265876,0.3905583855286849,1.6356077802639024,0.07238762405137186,0.5276595744680851,0.37349397590361444,0.18384401114206128,0.5321059969348519,,"[-0.04108989170531418, -0.3878014896933288, 0.5075641156293367]",-0.13198831896959992
SMH_SOXL_SOXS_reversal_t30_h10_none_ov20,SMH_SOXL_SOXS,30,10,none,20,5,481,0.28079392877991827,0.27107273423069367,-0.20992726576930676,0.16593623082265874,0.3023583855286849,-4.364392219736107,0.06654991243432574,0.4851063829787234,0.3132530120481928,0.16991643454038996,0.7086997407360113,,"[-0.13408989170531438, -0.47840148969332896, 0.4025641156293366]",-0.13618831896959993
SMH_SOXL_SOXS_reversal_t30_h10_none_ov20,SMH_SOXL_SOXS,30,10,none,20,10,481,0.28079392877991827,0.27107273423069367,-0.6909272657693072,0.0949362308226587,0.1553583855286848,-14.364392219736114,0.0642148277875073,0.46808510638297873,0.25301204819277107,0.1615598885793872,1.0296092675494575,,"[-0.2890898917053145, -0.6294014896933291, 0.2275641156293365]",-0.148388569858652
SMH_SOXL_SOXS_reversal_t30_h10_one_bar_opposite_ov0,SMH_SOXL_SOXS,30,10,one_bar_opposite,0,2,1443,0.8423817863397548,-0.41997190163723574,-0.9971719016372358,0.006979459880282569,-0.06794136237937734,-6.9104081887542295,0.1634559252772913,0.4612850082372323,0.4578313253012048,0.3203342618384401,1.098040330366792,,"[-0.23788875838296672, -0.6259773151885251, -0.13330582806574376]",-0.23685273469660761
