variant,pair,threshold_bp,hold_min,confirmation,overshoot_bp,cost_bp_side,trades,trades_per_session,gross_return,net_return,recent12_return,recent18_return,mean_trade_bp,green_all_days,green_active_days,positive_month_fraction,positive_week_fraction,max_drawdown,recovery_sessions,block_returns,worst_day,all_blocks_positive
SMH_SOXL_SOXS_reversal_t60_h15_none_ov0,SMH_SOXL_SOXS,60,15,none,0,5,147,0.08581436077057793,0.5625852147655528,0.41558521476555266,0.10752802360252411,0.062101970313510946,28.27110304527569,0.02918855808523059,0.6024096385542169,0.2289156626506024,0.09749303621169916,0.17160844014880255,247.0,"[0.10395985056883639, 0.17653836568451098, 0.1350869985122053]",-0.1925614714926741,True
SMH_SOXL_SOXS_reversal_t50_h20_none_ov20,SMH_SOXL_SOXS,50,20,none,20,5,108,0.06304728546409807,0.9511861617136399,0.8431861617136398,0.016935918885804147,0.3863243451008017,78.07279275126294,0.023350846468184472,0.5797101449275363,0.18072289156626506,0.07799442896935933,0.07958147447655146,616.0,"[0.24371898263255465, 0.16386578670243035, 0.4356013923786548]",-0.08018178986181945,True
SMH_SOXL_SOXS_reversal_t50_h20_none_ov10,SMH_SOXL_SOXS,50,20,none,10,5,150,0.08756567425569177,0.7918906794606773,0.6418906794606771,0.006465298472985825,0.35701526570035613,42.79271196404515,0.030356100408639813,0.5473684210526316,0.20481927710843373,0.08635097493036212,0.1800068021613297,563.0,"[0.10388912035148712, 0.16528316347433802, 0.372718395634852]",-0.21537633226935504,True
QQQ_TQQQ_SQQQ_reversal_t40_h15_one_bar_opposite_ov0,QQQ_TQQQ_SQQQ,40,15,one_bar_opposite,0,5,206,0.12025685931115003,0.7685590482537299,0.5625590482537297,0.005007813927352835,0.03835238103008776,27.308691662802413,0.030356100408639813,0.5777777777777777,0.25301204819277107,0.0947075208913649,0.08411774547332357,60.0,"[0.2907037845952414, 0.19151060782507612, 0.08034465583341222]",-0.08773940332502894,True
SMH_SOXL_SOXS_reversal_t50_h10_none_ov20,SMH_SOXL_SOXS,50,10,none,20,5,120,0.07005253940455342,0.44541966498607066,0.32541966498607056,-0.0010206675515961328,0.0741271830556054,27.11830541550588,0.023934617629889084,0.5942028985507246,0.1927710843373494,0.07242339832869081,0.2134212185974955,2.0,"[0.07533258533497689, 0.08442976052605056, 0.1656573191250431]",-0.20535679916954996,True
SMH_SOXL_SOXS_reversal_t50_h15_none_ov20,SMH_SOXL_SOXS,50,15,none,20,5,112,0.06538237011091652,0.5211388628774315,0.4091388628774314,-0.007328222218650371,0.15283028893362294,36.53025561405637,0.024518388791593695,0.6086956521739131,0.1927710843373494,0.08356545961002786,0.07020277937223779,1.0,"[0.03332929215662794, 0.15213490042644895, 0.2236746702943545]",-0.07080218090361401,True
SMH_SOXL_SOXS_reversal_t40_h15_none_ov0,SMH_SOXL_SOXS,40,15,none,0,5,776,0.45300642148277875,0.39457374233073883,-0.38142625766926186,0.21634253861972919,0.5235529215485983,-4.9152868256348174,0.10040863981319323,0.46612466124661245,0.3614457831325301,0.23676880222841226,1.0050293426732986,,"[-0.5254747880231249, -0.2713211272034567, 0.4153696575573197]",-0.18577700003036768,False
SMH_SOXL_SOXS_reversal_t40_h20_none_ov0,SMH_SOXL_SOXS,40,20,none,0,5,721,0.4208990075890251,0.9203829337269404,0.19938293372693972,0.2050410887062145,0.817405824468919,2.765366625893755,0.10566258026853473,0.4905149051490515,0.3493975903614458,0.2479108635097493,0.8356170150512114,736.0,"[-0.0024653896778008555, -0.7400171533533947, 0.9418654767581353]",-0.2434773568092229,False
SMH_SOXL_SOXS_reversal_t30_h10_none_ov20,SMH_SOXL_SOXS,30,10,none,20,5,481,0.28079392877991827,0.27107273423069367,-0.20992726576930676,0.16593623082265874,0.3023583855286849,-4.364392219736107,0.06654991243432574,0.4851063829787234,0.3132530120481928,0.16991643454038996,0.7086997407360113,,"[-0.13408989170531438, -0.47840148969332896, 0.4025641156293366]",-0.13618831896959993,False
SMH_SOXL_SOXS_reversal_t30_h10_one_bar_opposite_ov20,SMH_SOXL_SOXS,30,10,one_bar_opposite,20,5,263,0.1535318155283129,-0.09150312567022612,-0.35450312567022635,0.161070213931224,0.1810859031345905,-13.479206299248151,0.03677758318739054,0.43448275862068964,0.24096385542168675,0.11420612813370473,0.7026870204838549,,"[0.021618799582555644, -0.6161157685037324, 0.2399938432509504]",-0.1859890854745807,False
