candidate,variant,panel,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months
ma200_uncapped,ma150_top5_histnative_p1,sp500,1,2.0,1.7078339849529498,1.7633139849529498,0.05548000000000001,696,1387,1105,601,504,0.8803187250996015,1.0,277.40000000000003,81,51,0.48964044290339376,0.04601808167025801,SNDK,0.37647807380340553,1.3313559111495443,1,0,0.028463899749215826,0.02291943240031165,32,21,7,0.32235737048509966,2022-04-20,2022-07-13,260.0,0.0,12,0.10767841603904453,0.08428401919881096,10,2,0,15,0.07808389897853703,0.061789286486001536,11,4,0,18,0.07845943359921771,0.062490651534801,13,5,0
ma200_uncapped,ma150_top5_histnative_p1,sp500,1,5.0,1.62461398495295,1.7633139849529498,0.13870000000000002,696,1387,1105,599,506,0.8803187250996015,1.0,277.40000000000003,80,52,0.49749973174666734,0.04617312745338766,SNDK,0.37641807380340553,1.2481959111495444,1,0,0.02707689974921583,0.02051943240031165,32,21,7,0.33284116474444525,2022-04-20,2022-10-12,292.0,0.0,12,0.10629841603904451,0.08260401919881094,10,2,0,15,0.07661989897853702,0.06010928648600154,11,4,0,18,0.07704610026588438,0.06153065153480101,13,5,0
ma200_uncapped,ma150_top5_histnative_p1,sp500,1,10.0,1.48591398495295,1.7633139849529498,0.27740000000000004,696,1387,1105,598,507,0.8803187250996015,1.0,277.40000000000003,78,54,0.5107529203646076,0.046431095106526876,SNDK,0.37631807380340554,1.1095959111495444,1,0,0.024765233082549166,0.01651943240031164,31,22,7,0.36283271772317094,2021-05-03,2022-10-12,321.0,0.0,12,0.10399841603904453,0.07980401919881094,10,2,0,15,0.07417989897853702,0.05730928648600153,11,4,0,18,0.07469054471032882,0.05993065153480101,13,5,0
ma200_uncapped,ma150_top5_histnative_p2,sp500,1,2.0,1.892860073321291,1.954726739987957,0.06186666666666666,418,2675,1104,593,511,0.8796812749003984,1.0,309.3333333333333,67,49,0.48789268262011076,0.04819855852188355,PLTR,0.46030036558474274,1.4325597077365484,0,0,0.03154766788868818,0.021562636694185348,35,18,7,0.329328246724238,2021-12-27,2022-10-12,187.0,0.0,12,0.10596111289576998,0.07035263442634337,10,2,0,15,0.08251273339661785,0.06977064179331943,11,4,0,18,0.08476817844639806,0.07035263442634337,13,5,0
ma200_uncapped,ma150_top5_histnative_p2,sp500,1,5.0,1.80006007332129,1.954726739987957,0.15466666666666667,418,2675,1104,592,512,0.8796812749003984,1.0,309.3333333333333,67,49,0.4945772438681294,0.0483764654006597,PLTR,0.4571703655847428,1.3428897077365471,0,0,0.0300010012220215,0.019583921608471725,34,19,7,0.34878602408284565,2021-12-27,2022-10-12,190.0,0.0,12,0.10452777956243664,0.06852763442634335,10,2,0,15,0.08094406672995118,0.0682746270593673,11,4,0,18,0.08324595622417581,0.06852763442634335,13,5,0
ma200_uncapped,ma150_top5_histnative_p2,sp500,1,10.0,1.6453934066546234,1.954726739987957,0.30933333333333335,418,2675,1104,591,513,0.8796812749003984,1.0,309.3333333333333,67,49,0.5063567914447843,0.04867482274297008,PLTR,0.45195369891807624,1.1934397077365473,0,0,0.02742322344424373,0.015214379105323493,34,19,7,0.38134127430102516,2021-12-27,2022-10-12,321.0,0.0,12,0.10213889067354776,0.06548596775967669,10,2,0,15,0.07832962228550674,0.06384129372603396,11,4,0,18,0.0807089191871388,0.06548596775967669,13,5,0
ma200_uncapped,ma150_top5_histnative_p3,sp500,1,2.0,1.9619603091072186,2.0166536424405517,0.05469333333333333,319,2115,1102,590,513,0.8780876494023905,1.0,273.4666666666667,61,46,0.5550949759738701,0.04729981246085669,PLTR,0.5598940759513326,1.4020662331558862,0,0,0.032699338485120306,0.02297248385930598,35,18,7,0.48211819151153373,2021-12-27,2022-10-12,273.0,0.0,12,0.10944438583668259,0.06703111425227454,10,2,0,15,0.0882373466875414,0.06308772356113757,11,4,0,18,0.0881317503018038,0.062019583846401216,13,5,0
ma200_uncapped,ma150_top5_histnative_p3,sp500,1,5.0,1.8799203091072183,2.0166536424405517,0.13673333333333332,319,2115,1102,588,515,0.8780876494023905,1.0,273.4666666666667,61,46,0.5605963013824531,0.047452970757118434,PLTR,0.5566040759513328,1.3233162331558854,0,0,0.031332005151786975,0.02068748385930597,35,18,7,0.49833180348573947,2021-12-27,2022-10-12,293.0,0.0,12,0.10806771917001591,0.06569111425227454,10,2,0,15,0.08683534668754136,0.06135772356113756,11,4,0,18,0.0867967503018038,0.061034583846401216,13,5,0
ma200_uncapped,ma150_top5_histnative_p3,sp500,1,10.0,1.7431869757738854,2.0166536424405517,0.27346666666666664,319,2115,1102,587,516,0.8780876494023905,1.0,273.4666666666667,60,47,0.5700309538649051,0.04770932062873084,PLTR,0.5511207426179993,1.1920662331558862,0,0,0.029053116262898086,0.016879150525972636,35,18,7,0.5254226480483015,2021-12-27,2022-10-12,341.0,0.0,12,0.10577327472557146,0.0634577809189412,10,2,0,15,0.0844986800208747,0.058474390227804235,11,4,0,18,0.0845717503018038,0.05939291717973455,13,5,0
ma200_uncapped,ma150_top5_histnative_p5,sp500,1,2.0,2.036816825902721,2.0825434925693878,0.045726666666666665,225,1441,1097,593,505,0.8741035856573706,1.0,228.63333333333333,55,38,0.6135777018564975,0.046824562143919425,PLTR,0.6792702349497836,1.3575465909529374,0,0,0.03394694709837868,0.03202877566836897,33,20,7,0.3607013126815794,2021-12-27,2022-10-12,187.0,0.0,12,0.11228551866170207,0.07518599828668655,11,1,0,15,0.08959943054612404,0.07227995879203986,12,3,0,18,0.08983409426482863,0.06473309483506384,14,4,0
