candidate,variant,panel,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months,net_10bps,robust_score
ma200_uncapped,ma150_top5_histnative_p1,sp500,1,2.0,1.7078339849529498,1.7633139849529498,0.05548000000000001,696,1387,1105,601,504,0.8803187250996015,1.0,277.40000000000003,81,51,0.48964044290339376,0.04601808167025801,SNDK,0.37647807380340553,1.3313559111495443,1,0,0.028463899749215826,0.02291943240031165,32,21,7,0.32235737048509966,2022-04-20,2022-07-13,260.0,0.0,12,0.10767841603904453,0.08428401919881096,10,2,0,15,0.07808389897853703,0.061789286486001536,11,4,0,18,0.07845943359921771,0.062490651534801,13,5,0,1.48591398495295,1.9085118625849835
ma200_uncapped,ma150_top5_histnative_p2,sp500,1,2.0,1.892860073321291,1.954726739987957,0.06186666666666666,418,2675,1104,593,511,0.8796812749003984,1.0,309.3333333333333,67,49,0.48789268262011076,0.04819855852188355,PLTR,0.46030036558474274,1.4325597077365484,0,0,0.03154766788868818,0.021562636694185348,35,18,7,0.329328246724238,2021-12-27,2022-10-12,187.0,0.0,12,0.10596111289576998,0.07035263442634337,10,2,0,15,0.08251273339661785,0.06977064179331943,11,4,0,18,0.08476817844639806,0.07035263442634337,13,5,0,1.6453934066546234,2.081415165284363
ma200_uncapped,ma150_top5_histnative_p3,sp500,1,2.0,1.9619603091072186,2.0166536424405517,0.05469333333333333,319,2115,1102,590,513,0.8780876494023905,1.0,273.4666666666667,61,46,0.5550949759738701,0.04729981246085669,PLTR,0.5598940759513326,1.4020662331558862,0,0,0.032699338485120306,0.02297248385930598,35,18,7,0.48211819151153373,2021-12-27,2022-10-12,273.0,0.0,12,0.10944438583668259,0.06703111425227454,10,2,0,15,0.0882373466875414,0.06308772356113757,11,4,0,18,0.0881317503018038,0.062019583846401216,13,5,0,1.7431869757738854,2.008175275105733
ma200_uncapped,ma150_top5_histnative_p5,sp500,1,2.0,2.036816825902721,2.0825434925693878,0.045726666666666665,225,1441,1097,593,505,0.8741035856573706,1.0,228.63333333333333,55,38,0.6135777018564975,0.046824562143919425,PLTR,0.6792702349497836,1.3575465909529374,0,0,0.03394694709837868,0.03202877566836897,33,20,7,0.3607013126815794,2021-12-27,2022-10-12,187.0,0.0,12,0.11228551866170207,0.07518599828668655,11,1,0,15,0.08959943054612404,0.07227995879203986,12,3,0,18,0.08983409426482863,0.06473309483506384,14,4,0,1.853910159236054,2.2329720692062476
ma200_uncapped,ma150_top5_hist252_p1,sp500,1,2.0,1.6586565297279021,1.7106165297279017,0.05196,652,1299,1002,546,456,0.798406374501992,1.0,259.80000000000007,75,51,0.4680813658852335,0.053551823277769056,PLTR,0.35635100535990644,1.3023055243679957,0,0,0.02764427549546503,0.009025091533880323,31,17,12,0.3162345929635801,2022-05-04,2022-10-12,278.0,0.0,12,0.09335179973764952,0.08922283176339799,10,2,0,15,0.0716248333753031,0.061789286486001536,12,3,0,18,0.07149821670436556,0.0544943528432405,14,4,0,1.4508165297279019,1.8224773359772706
ma200_uncapped,ma150_top5_hist252_p2,sp500,1,2.0,1.783412972017352,1.8416063053506848,0.05819333333333334,397,2492,1001,542,459,0.797609561752988,1.0,290.96666666666664,66,46,0.47995457683243903,0.056145078795852565,PLTR,0.4501338782599271,1.3332790937574248,0,0,0.029723549533622533,0.004428504455241522,32,16,12,0.36325259825452594,2022-05-16,2022-10-12,190.0,0.0,12,0.09388252521113362,0.0860875793977347,10,2,0,15,0.08188844757385143,0.0709346270593673,12,3,0,18,0.08166583259151171,0.06973483329179883,14,4,0,1.550639638684018,1.901807949396227
ma200_uncapped,ma150_top5_hist252_p3,sp500,1,2.0,1.9201326743306573,1.9721926743306573,0.05206,304,1963,999,540,460,0.7960159362549801,1.0,260.29999999999995,53,49,0.5452860710652322,0.05470066997739175,PLTR,0.5598855829779642,1.3602470913526932,0,0,0.03200221123884429,0.004011730919286847,31,17,12,0.4142038681785403,2022-05-16,2022-10-12,186.0,0.0,12,0.09818199975038377,0.08046194418028935,10,2,0,15,0.08257192682922278,0.07097450494341152,11,4,0,18,0.0832747013825553,0.06703111425227454,13,5,0,1.7118926743306575,2.0004748054032686
ma200_uncapped,ma150_top5_hist252_p5,sp500,1,2.0,2.0076033077934428,2.048876641126777,0.04127333333333333,204,1314,994,544,451,0.7920318725099602,1.0,206.36666666666667,46,43,0.6184581860821479,0.053493293302543155,PLTR,0.7189074865149575,1.2886958212784854,0,0,0.033460055129890726,0.009903544019939982,32,16,12,0.3640530074205065,2022-05-17,2022-10-12,190.0,0.0,12,0.0985018374585895,0.07848673996402496,11,1,0,15,0.08291388804685812,0.07809203778133325,13,2,0,18,0.08755911052555282,0.07518599828668655,16,2,0,1.84250997446011,2.1590558127487047
ma200_uncapped,ma150_top10_histnative_p1,sp500,1,2.0,1.3246275375540566,1.3810675375540569,0.056440000000000004,1416,2822,1105,600,505,0.8803984063745021,1.0000000000000002,282.20000000000005,112,84,0.3501027396489303,0.04413637472202177,SNDK,0.18823903690170277,1.1363885006523538,1,1,0.02207712562590095,0.007215260929052444,32,21,7,0.2844931253614935,2022-05-27,2022-07-13,356.0,0.0,12,0.08695570405043179,0.06872177782371575,10,2,0,15,0.05938276933652166,0.04466047423607704,11,4,0,18,0.059820153510489825,0.050097703354924,13,5,0,1.098867537554057,1.5010015243438584
ma200_uncapped,ma150_top10_histnative_p2,sp500,1,2.0,1.4047400927965412,1.4629813626378112,0.058241269841269844,883,6830,1104,601,503,0.879581673306773,1.0000000000000002,291.2063492063492,105,75,0.3668443167371579,0.045946212132766284,PLTR,0.21638942215929202,1.188350670637249,1,1,0.02341233487994236,0.023250908572401682,32,21,7,0.2863568207082679,2025-02-18,2025-04-04,82.0,0.0,12,0.09125496721096475,0.06925640200234065,9,3,0,15,0.06658982863626092,0.05541876710747674,10,5,0,18,0.06543291720842125,0.05827266862567933,12,6,0,1.171775013431462,1.5721481737211676
ma200_uncapped,ma150_top10_histnative_p3,sp500,1,2.0,1.5797381482815698,1.6323814816149034,0.052643333333333334,669,5702,1103,601,502,0.8787250996015936,1.0000000000000002,263.2166666666667,98,68,0.3966794267157644,0.04732736244795029,PLTR,0.2638976471414224,1.3158405011401473,1,1,0.026328969138026164,0.03139399494998349,32,21,7,0.2722436243585588,2025-02-14,2025-04-04,82.0,0.0,12,0.0955812535307735,0.07451667273651646,9,3,0,15,0.0704189199257622,0.059491890958265625,10,5,0,18,0.0695252694032208,0.06786617882689011,12,6,0,1.3691648149482365,1.7742382845153313
