symbol,decision_date,entry_date,exit_date,net_pnl,position_return,holding_sessions,close_mfe,close_mae,terminal_giveback,winner,large_winner,large_loser,momentum_126_21,volatility_63,dollar_volume_median63,relative_volume_1_20,distance_sma50,distance_sma200,market_cap,revenue_cagr,eps_cagr
AAPL,2024-10-04,2024-10-07,2024-10-11,0.008673721635193036,0.026021164905579108,5,0.022449888641425275,-0.012516703786191519,0.008864142538975273,True,False,False,0.31492431409649946,0.2299679543541007,10152273159.96,0.8289110083410158,0.018525670619216728,0.14573143055026194,3527364153600.0,0.11731516081633497,0.23100881228118775
ADBE,2023-09-22,2023-09-25,2023-11-03,0.033943553277308455,0.10183065983192537,30,0.1020823149868022,-0.017303744256525477,0.0,True,False,False,0.5218800183528343,0.27772317129657376,1292873732.2900002,1.1412893785050942,-0.03415756658173885,0.22764687571768816,234805620000.0,0.16321893484842565,0.18895959260584738
ADBE,2023-11-10,2023-11-13,2023-11-17,0.012683670685039231,0.0380510120551177,5,0.024322858401979675,0.0006101901759381079,0.0028306044272687902,True,False,False,0.4773759239704334,0.29937401708566336,1319199580.15,1.1675416686351037,0.10352621359797376,0.31964297472742964,273407316000.0,0.16321893484842565,0.18895959260584738
ADBE,2023-11-24,2023-11-27,2024-01-12,-0.012740392010089153,-0.038221176030267465,33,0.024014221073044517,-0.08758888170652868,0.05998707175177753,False,False,False,0.43541012504820165,0.28786281779773315,1350064565.22,0.36977884857533105,0.12648705821077266,0.3382586239936809,283575054000.0,0.16321893484842565,0.18895959260584738
ADP,2022-09-16,2022-09-19,2022-10-07,-0.0027898895098904296,-0.00836966852967129,15,0.03565548912572569,-0.020058920370851774,0.05168529590156834,False,False,False,0.27776688559945195,0.27180039877020024,404142960.64,1.7135292831418472,-0.02138674574652566,0.04183829790270055,97081388141.76,0.053489421676222726,0.10131787584122187
ADP,2022-10-21,2022-10-24,2022-10-28,0.009964396228835552,0.029893188686506655,5,0.031194220144496354,-0.0014024649383765908,0.0,True,False,False,0.08420755515830103,0.27397207286038167,478454773.79999995,1.2089904904670445,-0.028076942029554353,0.04142219414151915,96707422856.16,0.053489421676222726,0.10131787584122187
AMAT,2021-04-09,2021-04-12,2021-08-06,0.017334503724201613,0.05200351117260484,83,0.03584385430271375,-0.16644899143810765,0.000798142504716326,True,False,False,1.02552579543412,0.6053860442794397,1089874750.62,0.948215387079319,0.184640522875817,0.6785636927676211,127011551293.98999,0.054027089233597225,0.06470039723454635
AMAT,2026-04-10,2026-04-13,2026-04-24,0.009713427077429415,0.029140281232288248,10,0.048247433045532695,-0.01997008885369944,0.0,True,False,False,1.1472171253822645,0.5577296355138602,2433851450.32,1.0703080184686726,0.13793352934574732,0.5728146261642,316772945283.34,0.032447526413378114,0.05210028585809834
AMD,2020-04-09,2020-04-13,2020-05-01,0.010442048402212988,0.03132614520663896,15,0.17536620590055696,0.029090158861151405,0.14627604703940555,True,False,False,0.5117433013562698,0.8148354202163365,3617672484.8,0.9187975287303989,0.01972469625250972,0.2463397946056236,56588225111.68,0.1599858891328969,
AMD,2020-05-08,2020-05-11,2020-05-15,0.007359426662262324,0.02207827998678697,5,0.05368620037807181,-0.01361058601134213,0.029111531190926243,True,False,False,0.7283032235210782,0.8518781713383571,4102510607.2,0.5957353576070427,0.09533292622670153,0.297854749069276,62214297099.84,0.1599858891328969,
AMD,2021-11-12,2021-11-15,2021-11-19,0.026695587397025582,0.08008676219107676,5,0.04999662184987508,-0.010269576379974166,0.0,True,False,False,0.3632379793061469,0.4004191814966309,5375231192.25,0.9337940865764536,0.2867765416694943,0.565466376981113,179136200531.00998,0.23036344304727852,
AMD,2021-12-10,2021-12-13,2022-02-25,-0.026419990798447597,-0.0792599723953428,52,0.11652802893309233,-0.257866184448463,0.240867992766727,False,False,False,0.9136680804487618,0.4662316587684635,6132625323.72,0.7692677777559954,0.05030231726028411,0.3817154812967283,167822845246.95,0.23036344304727852,
AMD,2023-06-09,2023-06-12,2023-07-21,-0.04701350938935166,-0.14104052816805498,28,0.005213196389666885,-0.16347650171179584,0.14192343604108304,False,False,True,0.5380469245402653,0.5249821379825995,6360888574.17,1.0068416760752028,0.24587351770772048,0.5481923193946037,201294616067.64,0.517329335348222,0.40802995250620744
AMD,2024-02-16,2024-02-20,2024-03-08,0.06707530750735415,0.20122592252206245,14,0.2351291340423045,-0.04002570994507415,0.023314245646838705,True,True,False,0.3971485012453837,0.4513740179976134,9378607263.54,0.7040668550705776,0.12176219957521806,0.43602564396400734,280936858044.67,0.3233023351295625,-0.3631300814163334
AMD,2024-03-22,2024-03-25,2024-05-03,-0.04164194700844027,-0.12492584102532081,29,0.06038172353961824,-0.16558704453441297,0.18935801041064204,False,False,True,0.7211811470755256,0.5344377115170444,12216484422.84,0.7804991543378399,0.0031381220405610755,0.3711157841070776,290276105985.65,0.3233023351295625,-0.3631300814163334
AMD,2025-08-29,2025-09-02,2025-10-10,0.12769671511525887,0.3830901453457766,29,0.4869334679964652,-0.04595379371291508,0.1304128266633,True,True,False,0.5024286322965474,0.45985796160376774,7853110957.440001,0.7125823477000296,0.02189698464044132,0.29753665104218596,263538330960.06,0.16148903944636417,-0.2692653269454688
