feature,quartile,trades,feature_min,feature_max,average_position_return,median_position_return,win_rate,net_pnl,large_winners,large_losers,average_mfe,average_mae,average_giveback
momentum_126_21,1,49,0.025593154414625063,0.3602378929481749,-0.00388785824904373,0.00034166035808653756,0.5102040816326531,-0.06350168473438092,2,5,0.03719318921301826,-0.04548683651632677,0.03934522781708592
momentum_126_21,2,48,0.3632379793061469,0.5117433013562698,0.05470509279164715,0.009484967669129606,0.625,0.8752814846663544,7,3,0.09780888045265489,-0.0400152426959424,0.03910278472564052
momentum_126_21,3,48,0.5218800183528343,0.8642061483872847,0.03811113089920874,0.025719990771543143,0.6041666666666666,0.6097780943873398,2,3,0.09959778263374013,-0.05008077910652342,0.06757534740952736
momentum_126_21,4,48,0.8748256819322802,5.3708646616541325,0.13792115393945747,0.020907955177814644,0.5625,2.2067384630313196,14,10,0.3022372826996082,-0.11746645913078964,0.1417015729600659
volatility_63,1,49,0.1260995525449745,0.3312723246152116,0.0011572240419211856,0.0014445353570276564,0.5714285714285714,0.01890132601804604,0,2,0.025005058745878474,-0.025946153888346486,0.022690043119358655
volatility_63,2,48,0.3359966963607405,0.4895267894153519,0.03974705568935485,0.01524661260152583,0.625,0.6359528910296777,4,2,0.08298363216489446,-0.0351084827614287,0.046803540081992806
volatility_63,3,48,0.49189707350880685,0.6377750685290783,0.04256510918235897,-0.002487624235178552,0.5,0.6810417469177437,8,10,0.13121178508377787,-0.08569857084078103,0.08940477435555683
volatility_63,4,48,0.6405001647191221,1.219282458622154,0.1432750245865729,0.026702212596712967,0.6041666666666666,2.2924003933851655,13,7,0.2978905783892027,-0.1067032075137756,0.1291735583699474
dollar_volume_median63,1,49,385340150.7,616890634.57,0.03078873265233886,0.008574610424182014,0.6122448979591837,0.5028826333215347,4,5,0.06502686422250142,-0.05080246085466894,0.04183464954357943
dollar_volume_median63,2,48,617049160.65,1054450856.01,-0.0035781919613713004,-0.015361597696718288,0.4166666666666667,-0.057251071381940924,1,4,0.05592399325668654,-0.045594594055181605,0.05352681243559535
dollar_volume_median63,3,48,1064307993.96,3528713584.44,0.061708032703729425,0.00714738722433967,0.5416666666666666,0.9873285232596709,7,6,0.17253031539859187,-0.08155923580914858,0.10459347844784717
dollar_volume_median63,4,48,3556125395.0,39324039868.119995,0.13720851700946055,0.032858534923035324,0.7291666666666666,2.1953362721513683,13,6,0.24277609389187738,-0.07498228455686766,0.08771812953266249
relative_volume_1_20,1,49,0.36977884857533105,0.7263567266259414,0.0996804741309153,0.02207827998678697,0.5714285714285714,1.6281144108049501,11,7,0.19453123073572628,-0.062312491176519436,0.06470825638163191
relative_volume_1_20,2,48,0.7407100299446587,0.9565692417337816,0.09569417799113167,0.009031149210940465,0.5833333333333334,1.5311068478581067,8,4,0.20711787697096362,-0.0671155055322808,0.10627794739212613
relative_volume_1_20,3,48,0.9626710479259561,1.1219955392828636,0.0010770789080159007,-0.014039229247022438,0.4583333333333333,0.017233262528254384,3,2,0.0461266606877325,-0.054613946497287964,0.047484747019526784
relative_volume_1_20,4,48,1.1412893785050942,5.104744473831837,0.028240114759957625,0.029398648798027407,0.6875,0.45184183615932194,3,8,0.08578349073954254,-0.06865683977140669,0.06872558569060686
distance_sma50,1,49,-0.3039205650527179,-0.014752288230573396,0.04464214947692664,-0.0009079864796647571,0.4897959183673469,0.729155108123135,5,4,0.10848258686675619,-0.04493436473189334,0.043087912865162545
distance_sma50,2,48,-0.014732644805322659,0.05749408718519389,0.013171006175683092,0.000893097857557097,0.5208333333333334,0.21073609881092947,4,7,0.07190790389981895,-0.05457276771271687,0.058998319368023466
distance_sma50,3,48,0.05779605839550683,0.12176219957521806,0.06855986992934063,0.022518055541620466,0.6875,1.09695791886945,7,3,0.13576496721639245,-0.05642619500825969,0.07111915630657116
distance_sma50,4,48,0.12284441874960494,0.8385571317383471,0.09946545197169492,0.014570551295410303,0.6041666666666666,1.5914472315471186,9,7,0.21919648123160096,-0.09712749982555469,0.11444157176739428
distance_sma200,1,49,-0.11692159688872072,0.14573143055026194,-0.007124462776192401,-0.004410536389749687,0.46938775510204084,-0.1163662253444759,1,4,0.040562560274193686,-0.048309411911293114,0.04608812517074716
distance_sma200,2,48,0.14970459957306192,0.28306732693502834,0.02471304342566834,0.00790676922412543,0.6041666666666666,0.3954086948106935,3,3,0.06051815302287488,-0.04254978875858781,0.03514992678412881
distance_sma200,3,48,0.28496179337427185,0.45533675728239387,0.06022280046349141,0.022513272715118837,0.6666666666666666,0.9635648074158625,8,5,0.11812610627247477,-0.04676096403584778,0.05493773628200834
distance_sma200,4,48,0.45667960687954445,2.2530330963983474,0.14910556752928458,0.04057189620244654,0.5625,2.385689080468553,13,9,0.3175601201990369,-0.11537034908979173,0.15140866764723412
market_cap,1,37,26988320939.079998,83729799312.58,0.05231557366625801,0.009976920316165993,0.5405405405405406,0.6452254085505155,6,5,0.14129251055837114,-0.05875049185511289,0.07236162996860011
market_cap,2,37,84213806957.40999,172936416081.6,0.0002513429508397179,-0.0009079864796647571,0.4864864864864865,0.0030998963936898494,0,1,0.0400601430694975,-0.046305619222523985,0.04920670957384759
market_cap,3,36,174371851354.74,448593550887.75,0.03870012959770549,0.006530217592192749,0.5555555555555556,0.4644015551724658,6,7,0.10905311735285,-0.08025411287068268,0.07025844904601782
market_cap,4,37,695976030111.9601,22002000000000.0,0.10022890949304694,0.026021164905579108,0.6486486486486487,1.2361565504142455,6,2,0.18110980774152535,-0.05044350230642633,0.05333969234288704
revenue_cagr,1,44,-0.20345768745305937,0.07796968973538831,0.0682912522429247,0.00714738722433967,0.5454545454545454,1.001605032896229,7,2,0.103029309325653,-0.055353132543606916,0.02936295388824326
revenue_cagr,2,46,0.08078588381116258,0.1967164440112552,0.020188179999730924,0.0006041467173491628,0.5434782608695652,0.3095520933292076,4,5,0.08164037651729195,-0.041023272649820974,0.056133494480130955
revenue_cagr,3,42,0.2137492548528377,0.38924709218761877,0.05348682514134874,0.012890009157036543,0.5952380952380952,0.7488155519788822,4,5,0.13285619697516626,-0.07775736603854486,0.0860646169559713
revenue_cagr,4,42,0.3961354874072016,4.150114789387345,0.07975910214261425,0.007333373263914768,0.5714285714285714,1.1166274299965997,8,7,0.1981422655736115,-0.07638168679693716,0.09340370119810354
eps_cagr,1,26,-0.5644794490306058,-0.048078374485699404,0.011494338842148129,0.00026827443868144966,0.5,0.09961760329861713,3,3,0.06146992855878316,-0.04575290687721486,0.051085226033115466
eps_cagr,2,26,-0.006953343150291835,0.12662773006197825,0.132905150973737,0.029627445121402987,0.8076923076923077,1.151844641772387,6,0,0.16881262075600464,-0.03267388686646435,0.018432739536771516
eps_cagr,3,26,0.12746701713689035,0.319455901999091,0.03572665800396922,0.008253386109088998,0.5769230769230769,0.3096310360343999,1,1,0.06991004224128697,-0.02869478578946309,0.02440431561413446
eps_cagr,4,26,0.33102697445020857,2.691100174305136,0.020415974197765148,0.0032236421701490403,0.5769230769230769,0.17693844304729794,2,3,0.08210392882911591,-0.05972094464674933,0.06599390146046995
