,net_pnl
2024-11,-0.023301205218495435
2024-12,0.0
2025-01,0.0
2025-02,0.07217360932268857
2025-03,0.0
2025-04,0.009733817380311873
2025-05,0.0
2025-06,0.0
2025-07,0.01011401425178149
2025-08,0.0
2025-09,0.0
2025-10,0.013783410138248799
2025-11,0.0
2025-12,0.0
2026-01,0.038000000000000034
2026-02,0.07600000000000007
2026-03,0.0
2026-04,0.017139481342510754
