stock_surprise,volume_threshold,stop,target,confirmed_events,portfolio_events,portfolio_clusters,net,max_drawdown,recovery_days,unresolved,stops,targets,time_exits,median_exit_offset,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months
10.0,0.0,,0.04,13,13,13,0.21364312721704615,0.023301205218495435,91,False,0,4,9,62.0,0.21364312721704615,0.011869062623169231,0.0,1,10,0.23694433243554158,0.015796288829036106,0.0,0,8,0.15503690573254114,0.012919742144378429,0.0,0,7
10.0,0.0,0.04,0.04,13,13,13,0.19133871276670078,0.0456056196688408,100,False,1,4,8,62.0,0.19133871276670078,0.010629928487038932,0.0,1,10,0.23694433243554158,0.015796288829036106,0.0,0,8,0.15503690573254114,0.012919742144378429,0.0,0,7
10.0,0.0,0.06,0.04,13,13,13,0.17133871276670076,0.06560561966884082,100,False,1,4,8,62.0,0.17133871276670076,0.00951881737592782,0.0,1,10,0.23694433243554158,0.015796288829036106,0.0,0,8,0.15503690573254114,0.012919742144378429,0.0,0,7
10.0,0.0,,,13,13,13,0.20197423706101925,0.023301205218495435,91,False,0,0,13,62.0,0.20197423706101925,0.011220790947834403,0.0,1,10,0.22527544227951468,0.015018362818634312,0.0,0,8,0.16986842777766853,0.01415570231480571,0.0,0,7
10.0,0.0,0.04,,13,13,13,0.17966982261067388,0.0456056196688408,100,False,1,0,12,62.0,0.17966982261067388,0.009981656811704105,0.0,1,10,0.22527544227951468,0.015018362818634312,0.0,0,8,0.16986842777766853,0.01415570231480571,0.0,0,7
10.0,0.0,,0.06,13,13,13,0.20197423706101925,0.023301205218495435,91,False,0,0,13,62.0,0.20197423706101925,0.011220790947834403,0.0,1,10,0.22527544227951468,0.015018362818634312,0.0,0,8,0.16986842777766853,0.01415570231480571,0.0,0,7
10.0,0.0,0.04,0.06,13,13,13,0.17966982261067388,0.0456056196688408,100,False,1,0,12,62.0,0.17966982261067388,0.009981656811704105,0.0,1,10,0.22527544227951468,0.015018362818634312,0.0,0,8,0.16986842777766853,0.01415570231480571,0.0,0,7
10.0,0.0,0.06,0.06,13,13,13,0.15966982261067386,0.06560561966884082,350,False,1,0,12,62.0,0.15966982261067386,0.008870545700592992,0.0,1,10,0.22527544227951468,0.015018362818634312,0.0,0,8,0.16986842777766853,0.01415570231480571,0.0,0,7
10.0,0.0,0.06,,13,13,13,0.15966982261067386,0.06560561966884082,350,False,1,0,12,62.0,0.15966982261067386,0.008870545700592992,0.0,1,10,0.22527544227951468,0.015018362818634312,0.0,0,8,0.16986842777766853,0.01415570231480571,0.0,0,7
10.0,2.0,0.04,0.04,12,12,12,0.1745015034643751,0.0456056196688408,100,False,1,4,7,62.0,0.1745015034643751,0.009694527970243061,0.0,1,10,0.2201071231332159,0.01467380820888106,0.0,0,8,0.13819969643021546,0.011516641369184621,0.0,0,7
10.0,2.0,,0.04,12,12,12,0.19680591791472046,0.023301205218495435,91,False,0,4,8,62.0,0.19680591791472046,0.010933662106373358,0.0,1,10,0.2201071231332159,0.01467380820888106,0.0,0,8,0.13819969643021546,0.011516641369184621,0.0,0,7
10.0,2.0,0.06,0.04,12,12,12,0.15450150346437508,0.06560561966884082,100,False,1,4,7,62.0,0.15450150346437508,0.00858341685913195,0.0,1,10,0.2201071231332159,0.01467380820888106,0.0,0,8,0.13819969643021546,0.011516641369184621,0.0,0,7
8.0,0.0,,0.04,15,14,14,0.2000791083105845,0.047674219973708944,160,False,0,5,9,62.0,0.2000791083105845,0.011115506017254695,0.0,2,9,0.21690577045046766,0.014460384696697843,0.0,0,8,0.15649896565652321,0.013041580471376935,0.0,0,7
8.0,2.0,,0.04,15,14,14,0.2000791083105845,0.047674219973708944,160,False,0,5,9,62.0,0.2000791083105845,0.011115506017254695,0.0,2,9,0.21690577045046766,0.014460384696697843,0.0,0,8,0.15649896565652321,0.013041580471376935,0.0,0,7
