symbol,events,net_contribution,mean_net
CSGP,1,0.038000000000000034,0.038000000000000034
EBAY,1,0.038000000000000034,0.038000000000000034
FTNT,1,0.038000000000000034,0.038000000000000034
PLTR,1,0.038000000000000034,0.038000000000000034
SMCI,1,0.024525882049961423,0.024525882049961423
VRSN,1,0.016837209302325684,0.016837209302325684
INCY,1,0.013783410138248799,0.013783410138248799
SIRI,1,0.01011401425178149,0.01011401425178149
ODFL,2,0.010036089420496944,0.005018044710248472
MRNA,1,0.009647727272727115,0.009647727272727115
AMGN,1,-0.003605619668840763,-0.003605619668840763
MSTR,1,-0.01969558554965467,-0.01969558554965467
