campaign_id,symbol,gross_pnl,execution_adjustment,net_pnl
CAM-0612,SNDK,0.6275301230056759,-0.006096589037873461,0.6336267120435494
CAM-0612,WDC,0.40037782013737105,-0.005588623660156474,0.40596644379752755
CAM-0612,STX,0.214132306670823,0.0029060726603077863,0.2112262340105152
CAM-0612,PLTR,0.19699719171103605,-0.0025202459929125473,0.19951743770394859
CAM-0612,MU,0.16610878813569083,-0.0034147050654653455,0.16952349320115617
CAM-0612,LITE,0.08130489264231065,0.009975381300674737,0.07132951134163591
CAM-0612,NFLX,0.03662270552909015,0.0032484594190242003,0.03337424611006595
CAM-0612,AVGO,0.016469371139840663,-0.0015391456340980566,0.01800851677393872
CAM-0612,TTWO,0.014523446312281493,-5.930025368526461e-05,0.014582746565966757
CAM-0612,MCK,0.006285650992207942,-0.0027430945463449373,0.009028745538552879
CAM-0612,GEV,0.006632528383319477,-0.0012045478560006448,0.007837076239320121
CAM-0612,EQT,0.0,-0.005616304715513176,0.005616304715513176
CAM-0612,WBD,0.006198556719540431,0.001834971685470954,0.004363585034069477
CAM-0612,ABC,0.0,0.0,0.0
CAM-0612,ABMD,0.0,0.0,0.0
CAM-0612,WST,0.0,0.0,0.0
CAM-0612,ADSK,0.0,0.0,0.0
CAM-0612,AEE,0.0,0.0,0.0
CAM-0612,AEP,0.0,0.0,0.0
CAM-0612,AES,0.0,0.0,0.0
CAM-0612,AFL,0.0,0.0,0.0
CAM-0612,AIG,0.0,0.0,0.0
CAM-0612,AIZ,0.0,0.0,0.0
CAM-0612,AJG,0.0,0.0,0.0
CAM-0612,AKAM,0.0,0.0,0.0
CAM-0612,ALB,0.0,0.0,0.0
CAM-0612,ALGN,0.0,0.0,0.0
CAM-0612,ALK,0.0,0.0,0.0
CAM-0612,ALL,0.0,0.0,0.0
CAM-0612,ALLE,0.0,0.0,0.0
CAM-0612,ADM,0.0,0.0,0.0
CAM-0612,AMP,0.0,0.0,0.0
CAM-0612,AMT,0.0,0.0,0.0
CAM-0612,AMTM,0.0,0.0,0.0
CAM-0612,AMZN,0.0,0.0,0.0
CAM-0612,ANET,0.0,0.0,0.0
CAM-0612,ANSS,0.0,0.0,0.0
CAM-0612,ANTM,0.0,0.0,0.0
CAM-0612,AON,0.0,0.0,0.0
CAM-0612,AOS,0.0,0.0,0.0
CAM-0612,APA,0.0,0.0,0.0
CAM-0612,APD,0.0,0.0,0.0
CAM-0612,WAT,0.0,0.0,0.0
CAM-0612,WBA,0.0,0.0,0.0
CAM-0612,WDAY,0.0,0.0,0.0
CAM-0612,ARES,0.0,0.0,0.0
CAM-0612,ATO,0.0,0.0,0.0
CAM-0612,ATVI,0.0,0.0,0.0
CAM-0612,AVB,0.0,0.0,0.0
CAM-0612,AVY,0.0,0.0,0.0
CAM-0612,AWK,0.0,0.0,0.0
CAM-0612,AXON,0.0,0.0,0.0
CAM-0612,AXP,0.0,0.0,0.0
CAM-0612,AZO,0.0,0.0,0.0
CAM-0612,BA,0.0,0.0,0.0
CAM-0612,AMAT,0.0,0.0,0.0
CAM-0612,AMCR,0.0,0.0,0.0
CAM-0612,AMD,0.0,0.0,0.0
CAM-0612,AME,0.0,0.0,0.0
CAM-0612,AMGN,0.0,0.0,0.0
CAM-0612,BBY,0.0,0.0,0.0
CAM-0612,BDX,0.0,0.0,0.0
CAM-0612,BEN,0.0,0.0,0.0
CAM-0612,BF.B,0.0,0.0,0.0
CAM-0612,BG,0.0,0.0,0.0
CAM-0612,BIIB,0.0,0.0,0.0
CAM-0612,BIO,0.0,0.0,0.0
CAM-0612,BK,0.0,0.0,0.0
CAM-0612,BKNG,0.0,0.0,0.0
CAM-0612,BKR,0.0,0.0,0.0
CAM-0612,BLDR,0.0,0.0,0.0
CAM-0612,BLK,0.0,0.0,0.0
CAM-0612,APH,0.0,0.0,0.0
CAM-0612,APO,0.0,0.0,0.0
CAM-0612,APTV,0.0,0.0,0.0
CAM-0612,ARE,0.0,0.0,0.0
CAM-0612,BRO,0.0,0.0,0.0
CAM-0612,BSX,0.0,0.0,0.0
CAM-0612,BWA,0.0,0.0,0.0
CAM-0612,BX,0.0,0.0,0.0
CAM-0612,BXP,0.0,0.0,0.0
CAM-0612,C,0.0,0.0,0.0
CAM-0612,CAG,0.0,0.0,0.0
CAM-0612,CAH,0.0,0.0,0.0
CAM-0612,CARR,0.0,0.0,0.0
CAM-0612,CASY,0.0,0.0,0.0
CAM-0612,CAT,0.0,0.0,0.0
CAM-0612,CB,0.0,0.0,0.0
CAM-0612,BAC,0.0,0.0,0.0
CAM-0612,BALL,0.0,0.0,0.0
CAM-0612,BAX,0.0,0.0,0.0
CAM-0612,BBWI,0.0,0.0,0.0
CAM-0612,CDAY,0.0,0.0,0.0
CAM-0612,CDNS,0.0,0.0,0.0
CAM-0612,CDW,0.0,0.0,0.0
CAM-0612,CE,0.0,0.0,0.0
CAM-0612,CEG,0.0,0.0,0.0
CAM-0612,CERN,0.0,0.0,0.0
CAM-0612,CF,0.0,0.0,0.0
CAM-0612,CFG,0.0,0.0,0.0
CAM-0612,CHD,0.0,0.0,0.0
CAM-0612,CHRW,0.0,0.0,0.0
CAM-0612,CHTR,0.0,0.0,0.0
CAM-0612,CI,0.0,0.0,0.0
CAM-0612,BLL,0.0,0.0,0.0
CAM-0612,BMY,0.0,0.0,0.0
CAM-0612,BR,0.0,0.0,0.0
CAM-0612,BRK.B,0.0,0.0,0.0
CAM-0612,CMA,0.0,0.0,0.0
CAM-0612,CMCSA,0.0,0.0,0.0
CAM-0612,CME,0.0,0.0,0.0
CAM-0612,CMG,0.0,0.0,0.0
CAM-0612,CMI,0.0,0.0,0.0
CAM-0612,CMS,0.0,0.0,0.0
CAM-0612,CNC,0.0,0.0,0.0
CAM-0612,CNP,0.0,0.0,0.0
CAM-0612,COF,0.0,0.0,0.0
CAM-0612,COG,0.0,0.0,0.0
CAM-0612,COHR,0.0,0.0,0.0
CAM-0612,COIN,0.0,0.0,0.0
CAM-0612,CBOE,0.0,0.0,0.0
CAM-0612,CBRE,0.0,0.0,0.0
CAM-0612,CCI,0.0,0.0,0.0
CAM-0612,CCL,0.0,0.0,0.0
CAM-0612,CPAY,0.0,0.0,0.0
CAM-0612,CPB,0.0,0.0,0.0
CAM-0612,CPRT,0.0,0.0,0.0
CAM-0612,CPT,0.0,0.0,0.0
CAM-0612,CRH,0.0,0.0,0.0
CAM-0612,CRL,0.0,0.0,0.0
CAM-0612,CRM,0.0,0.0,0.0
CAM-0612,CRWD,0.0,0.0,0.0
CAM-0612,CSCO,0.0,0.0,0.0
CAM-0612,CSGP,0.0,0.0,0.0
CAM-0612,CSX,0.0,0.0,0.0
CAM-0612,CTAS,0.0,0.0,0.0
CAM-0612,CIEN,0.0,0.0,0.0
CAM-0612,CINF,0.0,0.0,0.0
CAM-0612,CL,0.0,0.0,0.0
CAM-0612,CLX,0.0,0.0,0.0
CAM-0612,CTXS,0.0,0.0,0.0
CAM-0612,CVNA,0.0,0.0,0.0
CAM-0612,CVS,0.0,0.0,0.0
CAM-0612,CVX,0.0,0.0,0.0
CAM-0612,CZR,0.0,0.0,0.0
CAM-0612,D,0.0,0.0,0.0
CAM-0612,DAL,0.0,0.0,0.0
CAM-0612,DASH,0.0,0.0,0.0
CAM-0612,DAY,0.0,0.0,0.0
CAM-0612,DD,0.0,0.0,0.0
CAM-0612,DDOG,0.0,0.0,0.0
CAM-0612,DE,0.0,0.0,0.0
CAM-0612,COO,0.0,0.0,0.0
CAM-0612,COP,0.0,0.0,0.0
CAM-0612,COR,0.0,0.0,0.0
CAM-0612,COST,0.0,0.0,0.0
CAM-0612,DGX,0.0,0.0,0.0
CAM-0612,DHI,0.0,0.0,0.0
CAM-0612,DHR,0.0,0.0,0.0
CAM-0612,DIS,0.0,0.0,0.0
CAM-0612,DISCA,0.0,0.0,0.0
CAM-0612,DISCK,0.0,0.0,0.0
CAM-0612,DISH,0.0,0.0,0.0
CAM-0612,DLR,0.0,0.0,0.0
CAM-0612,DLTR,0.0,0.0,0.0
CAM-0612,DOC,0.0,0.0,0.0
CAM-0612,DOV,0.0,0.0,0.0
CAM-0612,DOW,0.0,0.0,0.0
CAM-0612,CTLT,0.0,0.0,0.0
CAM-0612,CTRA,0.0,0.0,0.0
CAM-0612,CTSH,0.0,0.0,0.0
CAM-0612,CTVA,0.0,0.0,0.0
CAM-0612,DUK,0.0,0.0,0.0
CAM-0612,DVA,0.0,0.0,0.0
CAM-0612,DVN,0.0,0.0,0.0
CAM-0612,DXC,0.0,0.0,0.0
CAM-0612,DXCM,0.0,0.0,0.0
CAM-0612,EA,0.0,0.0,0.0
CAM-0612,EBAY,0.0,0.0,0.0
CAM-0612,ECL,0.0,0.0,0.0
CAM-0612,ED,0.0,0.0,0.0
CAM-0612,EFX,0.0,0.0,0.0
CAM-0612,EG,0.0,0.0,0.0
CAM-0612,EIX,0.0,0.0,0.0
CAM-0612,DECK,0.0,0.0,0.0
CAM-0612,DELL,0.0,0.0,0.0
CAM-0612,DFS,0.0,0.0,0.0
CAM-0612,DG,0.0,0.0,0.0
CAM-0612,EMN,0.0,0.0,0.0
CAM-0612,EMR,0.0,0.0,0.0
CAM-0612,ENPH,0.0,0.0,0.0
CAM-0612,EOG,0.0,0.0,0.0
CAM-0612,EPAM,0.0,0.0,0.0
CAM-0612,EQIX,0.0,0.0,0.0
CAM-0612,EQR,0.0,0.0,0.0
CAM-0612,ERIE,0.0,0.0,0.0
CAM-0612,ES,0.0,0.0,0.0
CAM-0612,ESS,0.0,0.0,0.0
CAM-0612,ETN,0.0,0.0,0.0
CAM-0612,DPZ,0.0,0.0,0.0
CAM-0612,DRE,0.0,0.0,0.0
CAM-0612,DRI,0.0,0.0,0.0
CAM-0612,DTE,0.0,0.0,0.0
CAM-0612,EXC,0.0,0.0,0.0
CAM-0612,EXE,0.0,0.0,0.0
CAM-0612,EXPD,0.0,0.0,0.0
CAM-0612,EXPE,0.0,0.0,0.0
CAM-0612,EXR,0.0,0.0,0.0
CAM-0612,F,0.0,0.0,0.0
CAM-0612,FANG,0.0,0.0,0.0
CAM-0612,FAST,0.0,0.0,0.0
CAM-0612,FB,0.0,0.0,0.0
CAM-0612,FBHS,0.0,0.0,0.0
CAM-0612,FCX,0.0,0.0,0.0
CAM-0612,FDS,0.0,0.0,0.0
CAM-0612,FDX,0.0,0.0,0.0
CAM-0612,EL,0.0,0.0,0.0
CAM-0612,ELV,0.0,0.0,0.0
CAM-0612,EME,0.0,0.0,0.0
CAM-0612,FICO,0.0,0.0,0.0
CAM-0612,FIS,0.0,0.0,0.0
CAM-0612,FISV,0.0,0.0,0.0
CAM-0612,FITB,0.0,0.0,0.0
CAM-0612,FIX,0.0,0.0,0.0
CAM-0612,FLIR,0.0,0.0,0.0
CAM-0612,FLT,0.0,0.0,0.0
CAM-0612,FMC,0.0,0.0,0.0
CAM-0612,FOX,0.0,0.0,0.0
CAM-0612,FOXA,0.0,0.0,0.0
CAM-0612,FRC,0.0,0.0,0.0
CAM-0612,FRT,0.0,0.0,0.0
CAM-0612,FSLR,0.0,0.0,0.0
CAM-0612,ETSY,0.0,0.0,0.0
CAM-0612,EVRG,0.0,0.0,0.0
CAM-0612,EW,0.0,0.0,0.0
CAM-0612,GD,0.0,0.0,0.0
CAM-0612,GDDY,0.0,0.0,0.0
CAM-0612,GE,0.0,0.0,0.0
CAM-0612,GEHC,0.0,0.0,0.0
CAM-0612,GEN,0.0,0.0,0.0
CAM-0612,GIS,0.0,0.0,0.0
CAM-0612,GL,0.0,0.0,0.0
CAM-0612,GLW,0.0,0.0,0.0
CAM-0612,GM,0.0,0.0,0.0
CAM-0612,GNRC,0.0,0.0,0.0
CAM-0612,GOOG,0.0,0.0,0.0
CAM-0612,GOOGL,0.0,0.0,0.0
CAM-0612,FE,0.0,0.0,0.0
CAM-0612,FFIV,0.0,0.0,0.0
CAM-0612,FI,0.0,0.0,0.0
CAM-0612,GPS,0.0,0.0,0.0
CAM-0612,GRMN,0.0,0.0,0.0
CAM-0612,GS,0.0,0.0,0.0
CAM-0612,GWW,0.0,0.0,0.0
CAM-0612,HAL,0.0,0.0,0.0
CAM-0612,HAS,0.0,0.0,0.0
CAM-0612,HBAN,0.0,0.0,0.0
CAM-0612,HBI,0.0,0.0,0.0
CAM-0612,HCA,0.0,0.0,0.0
CAM-0612,HD,0.0,0.0,0.0
CAM-0612,HES,0.0,0.0,0.0
CAM-0612,HFC,0.0,0.0,0.0
CAM-0612,HIG,0.0,0.0,0.0
CAM-0612,HII,0.0,0.0,0.0
CAM-0612,FTNT,0.0,0.0,0.0
CAM-0612,FTV,0.0,0.0,0.0
CAM-0612,HON,0.0,0.0,0.0
CAM-0612,HOOD,0.0,0.0,0.0
CAM-0612,HPE,0.0,0.0,0.0
CAM-0612,HPQ,0.0,0.0,0.0
CAM-0612,HRL,0.0,0.0,0.0
CAM-0612,HSIC,0.0,0.0,0.0
CAM-0612,HST,0.0,0.0,0.0
CAM-0612,HSY,0.0,0.0,0.0
CAM-0612,HUBB,0.0,0.0,0.0
CAM-0612,HUM,0.0,0.0,0.0
CAM-0612,HWM,0.0,0.0,0.0
CAM-0612,IBKR,0.0,0.0,0.0
CAM-0612,IBM,0.0,0.0,0.0
CAM-0612,ICE,0.0,0.0,0.0
CAM-0612,GPC,0.0,0.0,0.0
CAM-0612,GPN,0.0,0.0,0.0
CAM-0612,IFF,0.0,0.0,0.0
CAM-0612,ILMN,0.0,0.0,0.0
CAM-0612,INCY,0.0,0.0,0.0
CAM-0612,INFO,0.0,0.0,0.0
CAM-0612,INTC,0.0,0.0,0.0
CAM-0612,INTU,0.0,0.0,0.0
CAM-0612,INVH,0.0,0.0,0.0
CAM-0612,IP,0.0,0.0,0.0
CAM-0612,IPG,0.0,0.0,0.0
CAM-0612,IPGP,0.0,0.0,0.0
CAM-0612,IQV,0.0,0.0,0.0
CAM-0612,IR,0.0,0.0,0.0
CAM-0612,IRM,0.0,0.0,0.0
CAM-0612,ISRG,0.0,0.0,0.0
CAM-0612,HLT,0.0,0.0,0.0
CAM-0612,HOLX,0.0,0.0,0.0
CAM-0612,IVZ,0.0,0.0,0.0
CAM-0612,J,0.0,0.0,0.0
CAM-0612,JBHT,0.0,0.0,0.0
CAM-0612,JBL,0.0,0.0,0.0
CAM-0612,JCI,0.0,0.0,0.0
CAM-0612,JKHY,0.0,0.0,0.0
CAM-0612,JNJ,0.0,0.0,0.0
CAM-0612,JNPR,0.0,0.0,0.0
CAM-0612,JPM,0.0,0.0,0.0
CAM-0612,K,0.0,0.0,0.0
CAM-0612,KDP,0.0,0.0,0.0
CAM-0612,KEY,0.0,0.0,0.0
CAM-0612,KEYS,0.0,0.0,0.0
CAM-0612,KHC,0.0,0.0,0.0
CAM-0612,IDXX,0.0,0.0,0.0
CAM-0612,IEX,0.0,0.0,0.0
CAM-0612,KLAC,0.0,0.0,0.0
CAM-0612,KMB,0.0,0.0,0.0
CAM-0612,KMI,0.0,0.0,0.0
CAM-0612,KMX,0.0,0.0,0.0
CAM-0612,KO,0.0,0.0,0.0
CAM-0612,KR,0.0,0.0,0.0
CAM-0612,KSU,0.0,0.0,0.0
CAM-0612,KVUE,0.0,0.0,0.0
CAM-0612,L,0.0,0.0,0.0
CAM-0612,LB,0.0,0.0,0.0
CAM-0612,LDOS,0.0,0.0,0.0
CAM-0612,LEG,0.0,0.0,0.0
CAM-0612,LEN,0.0,0.0,0.0
CAM-0612,LH,0.0,0.0,0.0
CAM-0612,IT,0.0,0.0,0.0
CAM-0612,ITW,0.0,0.0,0.0
CAM-0612,LIN,0.0,0.0,0.0
