symbol,asset_class,component,morning,hold,state,cost,signal_days,net,positive_fraction,max_drawdown,recovery_days,unresolved,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,18m_trades,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,15m_trades,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months,12m_trades
SOXL,leveraged,open_session,30,15,high_opening_volatility,10.0,58,0.13072209191162631,0.5517241379310345,0.0668570554510769,176,True,0.13072209191162631,0.007262338439534795,0.0,7,5,58,0.15264121478158477,0.010176080985438984,0.0,5,4,50,-0.05599686086108879,-0.0046664050717574,0.0,5,4,33
SOXL,leveraged,open_session,60,15,high_opening_volatility,10.0,58,0.11978089860333885,0.5689655172413793,0.06842308356113636,2,True,0.11978089860333885,0.006654494366852158,-0.0033503574513107925,10,3,58,0.1454346886279606,0.009695645908530707,0.0,7,3,51,-0.07814920453977581,-0.006512433711647984,-0.003637168070576624,7,3,36
SOXL,leveraged,open_session,60,60,high_opening_volatility,10.0,58,0.12183165816319452,0.5172413793103449,0.09996825055108594,167,True,0.12183165816319452,0.006768425453510807,0.0,8,3,58,0.1449919878903818,0.009666132526025455,0.0,6,3,51,-0.014924881398806322,-0.0012437401165671935,0.0,5,3,36
SOXL,leveraged,open_session,60,60,high_opening_volume,10.0,56,0.11575179598515228,0.5,0.09671855923258443,33,False,0.11575179598515228,0.00643065533250846,-0.00023958085107639304,9,2,56,0.14054615664385184,0.00936974377625679,0.0,7,2,50,-0.01937018611034791,-0.0016141821758623258,0.0,5,2,33
SOXL,leveraged,open_session,30,30,high_opening_volatility,10.0,58,0.10754318824488285,0.5344827586206896,0.11128125045470427,176,True,0.10754318824488285,0.0059746215691601585,0.0,6,5,58,0.12722743477118104,0.008481828984745402,0.0,5,4,50,-0.06250778593759376,-0.005208982161466147,0.0,4,4,33
SOXL,leveraged,open_session,60,15,high_opening_volume,10.0,56,0.06980455375969719,0.48214285714285715,0.12044328915930835,38,True,0.06980455375969719,0.0038780307644276212,-0.00628285508759302,12,2,56,0.09791215601201841,0.006527477067467894,-0.0020394613071080814,9,2,50,-0.14139714893867528,-0.011783095744889607,-0.00628285508759302,9,2,33
SOXL,leveraged,open_session,60,30,high_opening_volatility,10.0,58,0.05472782411471322,0.5,0.10640667790066904,111,True,0.05472782411471322,0.0030404346730396234,-0.002402260344100682,9,3,58,0.09372891202042266,0.006248594134694844,0.0,6,3,51,-0.10016193390896455,-0.008346827825747047,0.0,5,3,36
SOXL,leveraged,open_session,60,60,all,10.0,196,-0.05845128249469822,0.45408163265306123,0.20209678490995708,76,True,-0.05845128249469822,-0.003247293471927679,-0.017541663333187463,11,0,196,0.08981449512861606,0.005987633008574403,-0.002279929010696291,8,0,170,-0.06893232388174786,-0.005744360323478988,-0.013413740175406696,7,0,136
SOXL,leveraged,combined_previous_close,60,15,high_opening_volatility,10.0,55,0.03778647526596435,0.5636363636363636,0.08361530679399598,37,True,0.03778647526596435,0.002099248625886908,-0.0024459049468109617,9,3,55,0.08129848549093077,0.005419899032728718,0.0,6,3,42,-0.07350806516292407,-0.0061256720969103395,-0.0024459049468109617,6,3,31
SOXL,leveraged,open_session,60,30,high_opening_volume,10.0,56,0.01270522543382624,0.44642857142857145,0.1463335258453985,29,True,0.01270522543382624,0.0007058458574347911,-0.007790583745704904,13,2,56,0.05998773774487598,0.003999182516325066,-0.003876433291837289,10,2,50,-0.16435378516174426,-0.013696148763478688,-0.005886888043018845,8,2,33
TQQQ,leveraged,open_session,60,15,high_opening_volatility,10.0,53,0.02545839384746107,0.39622641509433965,0.05765507846555995,79,True,0.02545839384746107,0.001414355213747837,-0.000586840788938725,9,3,53,0.0505495219187605,0.0033699681279173665,0.0,6,3,46,-0.03840568882711448,-0.003200474068926207,-0.000586840788938725,6,3,35
SOXL,leveraged,combined_previous_close,30,15,high_opening_volatility,10.0,53,0.0026636340440545636,0.5283018867924528,0.07738523987207147,20,True,0.0026636340440545636,0.00014797966911414242,-0.001090027853742237,10,4,53,0.048144739804243164,0.0032096493202828777,0.0,7,4,40,-0.06294737901575354,-0.0052456149179794615,-0.001090027853742237,7,4,29
SOXL,leveraged,open_session,30,60,high_opening_volatility,10.0,58,0.07050106435264125,0.5344827586206896,0.16801705717865023,2,True,0.07050106435264125,0.003916725797368958,0.0,6,5,58,0.047779442414702555,0.0031852961609801704,0.0,5,4,50,-0.19037912343689145,-0.015864926953074288,0.0,5,4,33
SOXL,leveraged,open_session,60,15,all,10.0,196,0.0068698382028149485,0.47959183673469385,0.18110341791553242,37,True,0.0068698382028149485,0.0003816576779341638,-0.009278686916824264,13,0,196,0.04301857850526336,0.002867905233684224,-0.013018109855621796,10,0,170,-0.16528725643757158,-0.013773938036464298,-0.014302939792054548,9,0,136
TQQQ,leveraged,combined_previous_close,60,15,high_opening_volatility,10.0,45,0.010590026045612322,0.37777777777777777,0.048052342436807116,51,True,0.010590026045612322,0.0005883347803117957,0.0,8,5,45,0.0359344903301857,0.0023956326886790465,0.0,6,5,33,-0.033520399600993844,-0.0027933666334161535,-0.0013110413626346573,6,5,24
SOXL,leveraged,open_session,60,30,all,10.0,196,-0.10820349010155694,0.45408163265306123,0.21696862662118976,80,True,-0.10820349010155694,-0.006011305005642053,-0.01397972694989319,13,0,196,0.015930266792150816,0.0010620177861433878,-0.007932516192380001,10,0,170,-0.20104473806534295,-0.016753728172111914,-0.009720552322239118,9,0,136
SOXL,leveraged,open_session,30,15,high_opening_volume,10.0,67,-0.02472686841689886,0.43283582089552236,0.16897290581713342,2,True,-0.02472686841689886,-0.0013737149120499367,-0.0053831706909546195,10,4,67,0.015109052369634779,0.0010072701579756519,-0.0012212473952802894,8,3,58,-0.18672832353946023,-0.015560693628288352,-0.014145360587236477,8,3,36
SMH,unlevered,open_session,60,60,high_opening_volume,5.0,61,0.0003090016451114952,0.4918032786885246,0.038308150229427906,57,True,0.0003090016451114952,1.7166758061749733e-05,-0.0003794755644089265,9,1,61,0.012789888694427876,0.0008526592462951917,0.0001817374888511969,6,1,54,-0.022224175981147898,-0.0018520146650956582,9.086874442559845e-05,5,1,42
TQQQ,leveraged,combined_previous_close,60,30,high_opening_volatility,10.0,45,-0.054265764463790056,0.4,0.06598574088477915,455,True,-0.054265764463790056,-0.003014764692432781,-0.0002390420502102475,9,5,45,0.011719976420989098,0.0007813317613992732,0.0,6,5,33,-0.015242906563201042,-0.0012702422136000868,0.0,5,5,24
SOXL,leveraged,combined_previous_close,15,15,high_opening_volatility,10.0,58,-0.03984462794894528,0.5,0.10261943520447425,99,True,-0.03984462794894528,-0.002213590441608071,-0.00302127017220416,10,4,58,0.006975845888574805,0.00046505639257165367,0.0,7,4,44,-0.07278517692789033,-0.0060654314106575275,-0.0009277687184396366,6,4,33
SMH,unlevered,open_session,60,15,high_opening_volatility,5.0,60,-0.000628319167670921,0.45,0.047770869442274044,2,True,-0.000628319167670921,-3.4906620426162276e-05,-0.0015162032939305958,10,3,60,0.00595385692748629,0.0003969237951657526,-0.001185913289106999,8,3,53,-0.049931898169745415,-0.004160991514145451,-0.001857761243946432,8,3,39
SOXL,leveraged,open_session,15,30,high_opening_volatility,10.0,69,-0.04332166625790723,0.43478260869565216,0.12648632607892518,92,True,-0.04332166625790723,-0.0024067592365504017,-0.004217239967632069,9,4,69,0.0016257262622246804,0.00010838175081497869,0.0,7,3,59,-0.11717022631654128,-0.00976418552637844,-0.004217239967632069,6,3,44
SMH,unlevered,open_session,30,60,high_opening_volatility,5.0,59,-0.005636508474439084,0.4576271186440678,0.05276180810366382,55,True,-0.005636508474439084,-0.0003131393596910602,0.0,7,4,59,0.0015030741254969948,0.00010020494169979966,0.0,6,3,51,-0.03943380050013323,-0.003286150041677769,0.0,5,3,37
XLK,unlevered,open_session,60,15,high_opening_volatility,5.0,54,-0.0030904000729761183,0.3888888888888889,0.029192845451756155,38,True,-0.0030904000729761183,-0.0001716888929431177,-0.0010428644252006292,11,3,54,0.0012777370788605857,8.518247192403904e-05,-0.0003121672951063026,8,3,47,-0.026266704436361255,-0.002188892036363438,-0.0017673597638118155,7,3,35
XLK,unlevered,open_session,60,60,high_opening_volatility,5.0,54,-0.0014946617999579415,0.4074074074074074,0.05158379507830624,55,True,-0.0014946617999579415,-8.303676666433008e-05,-0.0004308392813319184,9,3,54,0.0002923605279234742,1.949070186156495e-05,0.0,7,3,47,-0.034737517745096036,-0.00289479314542467,-0.0010178485880582566,7,3,35
SMH,unlevered,open_session,30,30,high_opening_volatility,5.0,59,-0.00828097786951898,0.3728813559322034,0.03608702896186289,2,True,-0.00828097786951898,-0.00046005432608438773,0.0,8,4,59,-0.0008163639073310858,-5.442426048873905e-05,0.0,7,3,51,-0.03653482727432411,-0.0030445689395270092,-0.0008306834099512939,6,3,37
SMH,unlevered,open_session,60,60,high_opening_volatility,5.0,60,-0.0029729199501098424,0.48333333333333334,0.06767559244654175,55,True,-0.0029729199501098424,-0.0001651622194505468,-0.00044198246341836667,9,3,60,-0.0013389862584761714,-8.926575056507809e-05,0.0,7,3,53,-0.04715162810343321,-0.003929302341952767,-0.00044198246341836667,6,3,39
SOXL,leveraged,open_session,15,15,high_opening_volatility,10.0,69,-0.00087420845598285,0.4492753623188406,0.13326820812854145,2,True,-0.00087420845598285,-4.856713644349167e-05,-0.0006313338312880501,10,4,69,-0.0021270163596622815,-0.0001418010906441521,-0.001178905982706424,9,3,59,-0.1536250373908391,-0.012802086449236591,-0.008936982222324752,8,3,44
TQQQ,leveraged,combined_previous_close,60,60,high_opening_volatility,10.0,45,-0.05054807963394148,0.4,0.07572157198833418,387,True,-0.05054807963394148,-0.002808226646330082,-0.00034534823218018706,9,5,45,-0.002257767894334184,-0.00015051785962227893,0.0,6,5,33,-0.01447300392496531,-0.001206083660413776,0.0,5,5,24
SMH,unlevered,open_session,60,15,high_opening_volume,5.0,61,-0.020600797503044,0.36065573770491804,0.055757017990681224,2,True,-0.020600797503044,-0.001144488750169111,-0.0034720028374933265,14,1,61,-0.0064746300108609045,-0.0004316420007240603,-0.003336050619193065,11,1,54,-0.05773684767190157,-0.004811403972658464,-0.004537471237932966,10,1,42
TQQQ,leveraged,open_session,15,60,high_opening_volatility,10.0,68,-0.011502448145669697,0.4411764705882353,0.10706566827391806,38,True,-0.011502448145669697,-0.0006390248969816498,0.0,8,3,68,-0.007793340393717041,-0.0005195560262478028,0.0,7,3,55,-0.09577357412791188,-0.00798113117732599,-0.0003031495885590374,6,3,41
SMH,unlevered,open_session,30,60,high_opening_volume,5.0,61,-0.002158319835477429,0.4918032786885246,0.0532758835154985,55,True,-0.002158319835477429,-0.00011990665752652384,-0.001391074370859835,11,1,61,-0.00887854299878954,-0.0005919028665859694,-0.0021543209502548066,10,1,50,-0.05019066766528779,-0.004182555638773983,-0.004116910328522849,9,1,38
SOXL,leveraged,combined_previous_close,60,15,high_opening_volume,10.0,59,-0.08360507639038395,0.4576271186440678,0.18202306824254488,38,True,-0.08360507639038395,-0.004644726466132442,-0.008128512993919701,12,2,59,-0.009573477532743957,-0.0006382318355162638,-0.005857377916201445,9,2,49,-0.1893254397954991,-0.01577711998295826,-0.008524303307779757,9,2,35
TQQQ,leveraged,open_session,60,30,high_opening_volatility,10.0,53,-0.034894659725844934,0.4339622641509434,0.08688894972462669,79,True,-0.034894659725844934,-0.0019385922069913852,-9.342919999100197e-05,9,3,53,-0.010300019123682724,-0.0006866679415788483,0.0,6,3,46,-0.058007126570497225,-0.004833927214208102,0.0,5,3,35
SMH,unlevered,open_session,30,30,high_opening_volume,5.0,61,-0.015513687759793116,0.39344262295081966,0.052749221617070075,2,True,-0.015513687759793116,-0.0008618715422107286,-0.002969505704875419,12,1,61,-0.010744225694025333,-0.0007162817129350223,-0.00374754901726837,10,1,50,-0.05075313076708876,-0.004229427563924064,-0.004522332904446036,9,1,38
SOXL,leveraged,open_session,15,15,high_opening_volume,10.0,74,-0.03870784994807763,0.43243243243243246,0.18658614639748017,38,True,-0.03870784994807763,-0.0021504361082265353,-0.005115651075012273,11,1,74,-0.011503862130267994,-0.0007669241420178663,-0.00496954237243441,9,1,65,-0.20474709294020488,-0.017062257745017073,-0.013933541983419118,9,1,44
SOXL,leveraged,open_session,30,15,all,10.0,193,-0.03646390951274825,0.46632124352331605,0.22910119136946283,29,True,-0.03646390951274825,-0.002025772750708236,-0.0098864691022984,13,0,193,-0.011901324026832638,-0.0007934216017888425,-0.014318104426428557,10,0,165,-0.2256610996429429,-0.018805091636911908,-0.01950555351379263,10,0,133
QQQ,unlevered,open_session,60,15,high_opening_volatility,5.0,56,-0.02245920565052928,0.32142857142857145,0.03786386398351205,38,True,-0.02245920565052928,-0.0012477336472516266,-0.0016490073325398646,10,4,56,-0.012174713116802183,-0.0008116475411201455,0.0,7,4,49,-0.0384700982428835,-0.0032058415202402915,-0.0017273157192465027,7,4,38
SMH,unlevered,open_session,60,30,high_opening_volatility,5.0,60,-0.02490367725919307,0.36666666666666664,0.05997585039491471,80,True,-0.02490367725919307,-0.0013835376255107261,-0.00259818960936381,11,3,60,-0.012425879948036456,-0.0008283919965357637,-0.0019902473674561216,8,3,53,-0.0578981865637751,-0.004824848880314592,-0.0023041624419509743,7,3,39
SMH,unlevered,combined_previous_close,60,15,high_opening_volatility,5.0,56,-0.0305146771784085,0.42857142857142855,0.0488783350194667,77,True,-0.0305146771784085,-0.0016952598432449168,-2.8163122094415627e-06,9,5,56,-0.01343095116057702,-0.000895396744038468,0.0,6,5,46,-0.044503861670943334,-0.003708655139245278,-2.8163122094415627e-06,6,5,35
