variant,pair,mechanism,formation_min,hold_min,threshold_bp,cost_bp_side,trades,trades_per_session,gross_return,net_return,recent12_return,recent18_return,mean_trade_bp,green_all_days,green_active_days,positive_month_fraction,positive_week_fraction,max_drawdown,recovery_sessions,block_returns,worst_day
SMH_SOXL_SOXS_impulse_reversal_f1_h15_t40,SMH_SOXL_SOXS,impulse_reversal,1,15,40,5,772,0.4506713368359603,-0.10960034966665022,-0.8816003496666509,0.22359199081705472,-0.03773490025531112,-11.419693648531748,0.10099241097489783,0.46630727762803237,0.3614457831325301,0.23119777158774374,1.1529067615807556,,"[-0.49918885130416224, -0.2854654656056169, -0.09694603275687175]",-0.26283155808713765
SMH_SOXL_SOXS_leveraged_lag_convergence_f1_h5_t20,SMH_SOXL_SOXS,leveraged_lag_convergence,1,5,20,5,1287,0.7513134851138353,0.47304290214450895,-0.8139570978554921,0.067067227020595,0.1330773785312002,-6.324452974790149,0.12317571511967308,0.46373626373626375,0.3855421686746988,0.28690807799442897,1.1586353854065266,,"[-0.35399069423324814, -0.6973724537485874, 0.23740605012634342]",-0.11785820457478147
QQQ_TQQQ_SQQQ_impulse_continuation_f2_h10_t40,QQQ_TQQQ_SQQQ,impulse_continuation,2,10,40,5,1063,0.6205487448920023,-0.7811784227098457,-1.8441784227098468,0.05763419147368266,0.0384600796930217,-17.348809244683412,0.09340338587273789,0.47619047619047616,0.40963855421686746,0.21727019498607242,1.9009695860094362,,"[-1.3033400161694226, -0.48458666988787835, -0.05625173665254557]",-0.22254239163366907
SMH_SOXL_SOXS_impulse_reversal_f1_h10_t40,SMH_SOXL_SOXS,impulse_reversal,1,10,40,5,857,0.5002918855808524,-0.07159683488826107,-0.9285968348882618,0.054010569764357585,-0.16977131963739778,-10.835435646304106,0.09982486865148861,0.4609164420485175,0.3855421686746988,0.22562674094707522,1.0293932615493688,,"[-0.17393693324204362, -0.6201787958799786, -0.13448110576623962]",-0.21423142750647906
QQQ_TQQQ_SQQQ_impulse_continuation_f5_h10_t40,QQQ_TQQQ_SQQQ,impulse_continuation,5,10,40,5,3241,1.8920023350846469,-0.8429872786633513,-4.083987278663353,0.04767479596942776,0.17528357634301778,-12.60100980766231,0.19497956800934033,0.4233206590621039,0.3493975903614458,0.30919220055710306,4.195223732420719,,"[-2.0738168792024316, -1.90233359269781, -0.10783680676311186]",-0.2558495108089822
QQQ_TQQQ_SQQQ_impulse_continuation_f2_h15_t40,QQQ_TQQQ_SQQQ,impulse_continuation,2,15,40,5,929,0.5423234092235844,-0.09683141123334138,-1.0258314112333422,0.03064877860856008,-0.5073805225950662,-11.042318743093027,0.09748978400467016,0.49702380952380953,0.3132530120481928,0.21727019498607242,1.069462808791701,,"[-0.2826847958827393, -0.1993886560547128, -0.5437579592958901]",-0.22191127299128377
QQQ_TQQQ_SQQQ_impulse_continuation_f1_h10_t40,QQQ_TQQQ_SQQQ,impulse_continuation,1,10,40,5,377,0.22008172796263864,-0.4473513406940701,-0.8243513406940705,0.029076581268441704,-0.033663172356379834,-21.866083307535025,0.03677758318739054,0.4405594405594406,0.21686746987951808,0.10027855153203342,0.9286288555415607,,"[-0.4512156159671119, -0.2670097429446022, -0.10612598178235633]",-0.22513150899593215
QQQ_TQQQ_SQQQ_leveraged_lag_convergence_f2_h15_t10,QQQ_TQQQ_SQQQ,leveraged_lag_convergence,2,15,10,5,1170,0.6830122591943958,-0.2867995816622718,-1.4567995816622725,0.02889232619335469,-0.042842395289621166,-12.451278475745921,0.08814944541739637,0.380352644836272,0.1927710843373494,0.14763231197771587,1.6135309759237275,,"[-1.099530226223304, -0.3892223074829113, 0.03195295204394254]",-0.20952033448751872
SMH_SOXL_SOXS_leveraged_lag_convergence_f1_h15_t20,SMH_SOXL_SOXS,leveraged_lag_convergence,1,15,20,5,995,0.5808523058960887,-0.3219698844137514,-1.3169698844137523,0.02435678737723701,-0.6306736478912548,-13.235878235314093,0.1237594862813777,0.46593406593406594,0.39759036144578314,0.25348189415041783,1.41247976836411,,"[-0.30495395446049267, -0.33876035928669, -0.6732555706665696]",-0.6168819045041362
SMH_SOXL_SOXS_leveraged_lag_convergence_f1_h10_t20,SMH_SOXL_SOXS,leveraged_lag_convergence,1,10,20,5,1112,0.6491535318155283,0.938043141994624,-0.17395685800537697,0.023361101994743727,0.16359922770110324,-1.5643602338613036,0.12667834208990075,0.47692307692307695,0.40963855421686746,0.2924791086350975,0.7323547382582697,,"[0.16407511553197263, -0.490918309309161, 0.15288633577181143]",-0.17238085323767738
