date,pair,symbol,signal_ts,entry_ts,exit_ts,gross_return,signal_strength,signal_et,time_bucket,impulse_bucket_bp
2019-07-31,QQQ_TQQQ_SQQQ,SQQQ,2019-07-31 18:54:00+00:00,2019-07-31 18:55:00+00:00,2019-07-31 19:10:00+00:00,-0.017963525835866245,0.006382529802721804,2019-07-31 14:54:00-04:00,1400_1540,60_100
2019-08-13,QQQ_TQQQ_SQQQ,SQQQ,2019-08-13 13:46:00+00:00,2019-08-13 13:47:00+00:00,2019-08-13 14:02:00+00:00,-0.022435897435897578,0.004855595251567868,2019-08-13 09:46:00-04:00,pre1000,40_60
2019-08-23,QQQ_TQQQ_SQQQ,TQQQ,2019-08-23 15:00:00+00:00,2019-08-23 15:01:00+00:00,2019-08-23 15:16:00+00:00,-0.027477102414654397,0.005116179918993713,2019-08-23 11:00:00-04:00,1000_1200,40_60
2019-09-12,QQQ_TQQQ_SQQQ,SQQQ,2019-09-12 14:10:00+00:00,2019-09-12 14:11:00+00:00,2019-09-12 14:26:00+00:00,-0.00033200531208499307,0.004442148760330555,2019-09-12 10:10:00-04:00,1000_1200,40_60
2019-09-18,QQQ_TQQQ_SQQQ,TQQQ,2019-09-18 18:01:00+00:00,2019-09-18 18:02:00+00:00,2019-09-18 18:17:00+00:00,-0.006802827842161907,0.004324042719458077,2019-09-18 14:01:00-04:00,1400_1540,40_60
2019-09-20,QQQ_TQQQ_SQQQ,TQQQ,2019-09-20 17:13:00+00:00,2019-09-20 17:14:00+00:00,2019-09-20 17:29:00+00:00,-0.0009417673834563045,0.0048955783552939725,2019-09-20 13:13:00-04:00,1200_1400,40_60
2019-09-24,QQQ_TQQQ_SQQQ,SQQQ,2019-09-24 18:12:00+00:00,2019-09-24 18:13:00+00:00,2019-09-24 18:28:00+00:00,-0.006954944058058521,0.005092132671046468,2019-09-24 14:12:00-04:00,1400_1540,40_60
2019-10-03,QQQ_TQQQ_SQQQ,TQQQ,2019-10-03 14:00:00+00:00,2019-10-03 14:01:00+00:00,2019-10-03 14:16:00+00:00,-0.004436670254754249,0.0075498343381674715,2019-10-03 10:00:00-04:00,1000_1200,60_100
2019-10-08,QQQ_TQQQ_SQQQ,TQQQ,2019-10-08 18:57:00+00:00,2019-10-08 18:58:00+00:00,2019-10-08 19:13:00+00:00,-0.0003396162336559705,0.006772249773369654,2019-10-08 14:57:00-04:00,1400_1540,60_100
2020-01-30,QQQ_TQQQ_SQQQ,TQQQ,2020-01-30 19:43:00+00:00,2020-01-30 19:44:00+00:00,2020-01-30 19:59:00+00:00,0.008016657990629783,0.004195425632697147,2020-01-30 14:43:00-05:00,1400_1540,40_60
