dimension,key,trades,gross_return,net_return_5bp
symbol,SQQQ,190,0.15303045948683047,-0.036969540513169696
symbol,TQQQ,139,0.672476569061046,0.5334765690610459
time_bucket,pre1000,59,-0.16327159369689181,-0.22227159369689187
time_bucket,1000_1200,112,0.33412387979450875,0.22212387979450865
time_bucket,1200_1400,62,0.21684271897332297,0.1548427189733229
time_bucket,1400_1540,96,0.4378120234769366,0.3418120234769365
impulse_bucket_bp,40_60,271,0.7175377270580505,0.4465377270580503
impulse_bucket_bp,60_100,52,0.1490104289409716,0.09701042894097156
impulse_bucket_bp,100_200,5,-0.09179768946864442,-0.09679768946864442
impulse_bucket_bp,200_plus,1,0.050756562017498785,0.049756562017498784
