variant,allocation,net_return,maximum_drawdown,worst_month,positive_months,negative_months,active_sessions,active_fraction,positions,average_qualifiers_when_active,average_utilization,green_active_days,red_active_days,recent12_return,recent12_positive_months,recent12_negative_months,early_return,late_return,top5_positive_day_share
control,cash_slots,1.4710175228771156,0.28516901704047404,-0.15436568512981572,36,37,1520,1.0,4560,3.0,1.0,811,709,0.6755460311461718,7,5,0.6037150355716746,0.8673024873054407,0.051115799397620294
control,full_port,1.4710175228771156,0.28516901704047404,-0.15436568512981572,36,37,1520,1.0,4560,3.0,1.0,811,709,0.6755460311461718,7,5,0.6037150355716746,0.8673024873054407,0.051115799397620294
prior_day_le_-0.01,cash_slots,1.3658471952094025,0.10888778332077542,-0.14855048099396334,48,25,841,0.5532894736842106,1430,1.7003567181926278,0.31359649122807015,465,376,0.5453969559088161,10,2,0.5724617935031653,0.7933854017062371,0.08801111691615487
prior_day_le_-0.01,full_port,2.491814301640249,0.09440579582656061,-0.10200346610919642,47,26,841,0.5532894736842106,1430,1.7003567181926278,0.5532894736842106,465,376,0.8555665866418035,9,3,1.1549353447853825,1.3368789568548662,0.07150268931710872
prior_day_le_-0.02,cash_slots,1.2449016358580463,0.12022840989213246,-0.16386853538386484,51,22,577,0.3796052631578947,934,1.6187175043327557,0.20482456140350877,333,244,0.5224800583102986,12,0,0.5233115937874584,0.7215900420705876,0.11001129625336259
prior_day_le_-0.02,full_port,2.27905561691243,0.09668261645796072,-0.1212405884275123,48,25,577,0.3796052631578947,934,1.6187175043327557,0.3796052631578947,333,244,0.9344118599232473,10,2,0.9430648139282869,1.3359908029841434,0.08452731520131401
prior_day_le_-0.03,cash_slots,0.725635174941816,0.11304700608173057,-0.1414164672788687,48,24,391,0.25723684210526315,609,1.5575447570332481,0.13355263157894737,233,158,0.3362373429708673,10,2,0.2632172512970116,0.4624179236448045,0.1431271195252171
prior_day_le_-0.03,full_port,1.7354740368587134,0.11324185508385343,-0.15901881942124113,48,24,391,0.25723684210526315,609,1.5575447570332481,0.25723684210526315,233,158,0.666011983183384,11,1,0.639475162174937,1.0959988746837763,0.09499749603170837
prior_day_le_-0.04,cash_slots,0.35960351383448375,0.18350107721873699,-0.1482268320451241,44,23,270,0.17763157894736842,399,1.4777777777777779,0.0875,154,116,0.22179942003707329,9,3,0.19064381634003755,0.16895969749444628,0.17802526087842147
prior_day_le_-0.04,full_port,1.1477745950313492,0.13475651018823798,-0.16923436657062424,44,23,270,0.17763157894736842,399,1.4777777777777779,0.17763157894736842,154,116,0.5325422704476072,10,2,0.5046313771439229,0.6431432178874261,0.13020236666117746
prior_day_le_-0.05,cash_slots,0.3179236022402045,0.1394281068951574,-0.11377339158569462,41,23,201,0.13223684210526315,273,1.3582089552238805,0.05986842105263158,119,82,0.19209356824119145,8,4,0.17495341813195625,0.1429701841082483,0.21255996211060094
prior_day_le_-0.05,full_port,0.9239202472292609,0.1998696232308691,-0.26977690660553916,42,22,201,0.13223684210526315,273,1.3582089552238805,0.13223684210526315,119,82,0.5020629622340503,10,2,0.6147023901043791,0.30921785712488176,0.15144936538879095
dist200_ge_0.25,cash_slots,1.4010730134702878,0.18296860714951535,-0.132193085025186,39,31,1310,0.8618421052631579,3098,2.364885496183206,0.6793859649122806,699,611,0.6407443527942569,7,5,0.7158775771359174,0.6851954363343704,0.06763814531163603
dist200_ge_0.25,full_port,1.6184678650030562,0.300788894554729,-0.21755776062723892,40,30,1310,0.8618421052631579,3098,2.364885496183206,0.8618421052631579,699,611,0.6514819097601001,7,5,0.6318722964242363,0.9865955685788195,0.05468994380064004
dist200_ge_0.4,cash_slots,1.3533833599667662,0.13280275616754467,-0.132193085025186,39,24,1116,0.7342105263157894,2180,1.9534050179211468,0.4780701754385965,598,518,0.4109171364014801,8,4,0.794204020171428,0.5591793397953381,0.07584702080505533
dist200_ge_0.4,full_port,2.266502931778958,0.1502862629453241,-0.13757434290110437,40,23,1116,0.7342105263157894,2180,1.9534050179211468,0.7342105263157894,598,518,0.7156005081190433,9,3,1.1441751647161231,1.1223277670628349,0.05585483683705611
dist200_ge_0.5,cash_slots,1.341637301580827,0.11682226792075934,-0.13281703719731638,38,22,967,0.6361842105263158,1719,1.7776628748707342,0.3769736842105263,528,439,0.4510275616143448,9,3,0.7845633025675405,0.5570739990132866,0.08899188231633573
dist200_ge_0.5,full_port,2.005096782701453,0.19528314314832718,-0.1562650838227927,37,23,967,0.6361842105263158,1719,1.7776628748707342,0.6361842105263158,528,439,0.6992616238831078,8,4,1.0753572971168972,0.929739485584556,0.0662179200689719
dist200_ge_0.6,cash_slots,1.1044196250094556,0.1316139135306177,-0.12620021028248593,33,22,787,0.5177631578947368,1330,1.689961880559085,0.2916666666666667,442,345,0.43087382415572456,7,4,0.6890974523530166,0.41532217265643917,0.10353718624303071
dist200_ge_0.6,full_port,1.943287203631377,0.1479861936035647,-0.17269240839648792,35,20,787,0.5177631578947368,1330,1.689961880559085,0.5177631578947368,442,345,0.7780507149402541,7,4,1.1441284627047597,0.7991587409266175,0.08638142946395148
dist200_ge_0.75,cash_slots,0.9076348311967048,0.10734326520689375,-0.10478706362065593,28,14,550,0.3618421052631579,880,1.6,0.19298245614035087,321,229,0.2984834112133153,7,3,0.535049758409041,0.3725850727876639,0.1441575132064967
dist200_ge_0.75,full_port,1.7564448591009936,0.12978199455033768,-0.11970603447151007,28,14,550,0.3618421052631579,880,1.6,0.3618421052631579,321,229,0.5054562863479864,7,3,1.1315809375745047,0.6248639215264884,0.11389181957766742
stock_day_ge_0,cash_slots,1.5525680042224719,0.15709296774441883,-0.10360540711447999,45,28,1163,0.7651315789473684,2280,1.9604471195184867,0.5,618,545,0.24315472391333287,7,5,0.8164456815936973,0.7361223226287745,0.08614440287836897
stock_day_ge_0,full_port,1.722162209069733,0.17348374756998552,-0.2354435551232571,39,34,1163,0.7651315789473684,2280,1.9604471195184867,0.7651315789473684,618,545,0.1368335651903499,7,5,1.243027176775268,0.4791350322944652,0.06649871620245251
stock_day_ge_0.01,cash_slots,1.4593316980758066,0.13080325721408992,-0.08775427059375833,47,26,894,0.5881578947368421,1478,1.6532438478747205,0.32412280701754387,464,430,0.29328902537202584,8,4,0.6562550234174367,0.80307667465837,0.10569585652891982
stock_day_ge_0.01,full_port,2.3228899096938256,0.20039091617744687,-0.18971082985055443,45,28,894,0.5881578947368421,1478,1.6532438478747205,0.5881578947368421,464,430,0.387783898521879,6,6,1.2198481711919769,1.1030417385018487,0.0749793098340954
stock_day_ge_0.02,cash_slots,0.9128512231394955,0.12607585060570037,-0.0838152839186036,44,29,579,0.38092105263157894,870,1.5025906735751295,0.19078947368421054,299,280,0.22254815803031947,7,5,0.4570869597364149,0.4557642634030806,0.14832568978217572
stock_day_ge_0.02,full_port,1.5940911486296447,0.1597756990180913,-0.23394173673366955,42,31,579,0.38092105263157894,870,1.5025906735751295,0.38092105263157894,299,280,0.37298161810723396,6,6,0.9774034784572047,0.6166876701724402,0.10420965243020557
stock_day_ge_0.03,cash_slots,0.4147275676732422,0.11824221496074716,-0.10775472468166983,40,30,382,0.2513157894736842,520,1.361256544502618,0.11403508771929824,200,182,0.06742654975813858,5,7,0.2712869291543065,0.14344063851893568,0.21129495684503907
stock_day_ge_0.03,full_port,0.9285416311644459,0.20136220246628223,-0.24781367024983156,38,32,382,0.2513157894736842,520,1.361256544502618,0.2513157894736842,200,182,0.12733442736832673,6,6,0.9168241709365726,0.011717460227873233,0.1670489461988734
stock_day_ge_0.05,cash_slots,0.09057612608737887,0.12921519702885687,-0.07231522435830329,32,22,170,0.1118421052631579,213,1.2529411764705882,0.04671052631578947,86,84,0.016262873456963065,6,2,0.07033444881403766,0.02024167727334118,0.24568140153449688
stock_day_ge_0.05,full_port,0.32292615888009124,0.2679984247181316,-0.21694567307490986,32,22,170,0.1118421052631579,213,1.2529411764705882,0.1118421052631579,86,84,0.02423792914575445,5,3,0.2128642264760289,0.11006193240406237,0.21373815398994006
qqq_up,cash_slots,1.4782142447611184,0.15973037076682017,-0.09367442911325204,47,26,828,0.5447368421052632,2484,3.0,0.5447368421052632,447,381,0.2831535611079356,8,4,0.7484443663965277,0.7297698783645905,0.08615989417297575
qqq_up,full_port,1.4782142447611184,0.15973037076682017,-0.09367442911325204,47,26,828,0.5447368421052632,2484,3.0,0.5447368421052632,447,381,0.2831535611079356,8,4,0.7484443663965277,0.7297698783645905,0.08615989417297575
qqq_0_1,cash_slots,1.2068407094207403,0.11280801146943442,-0.07998362288286538,49,24,585,0.3848684210526316,1755,3.0,0.3848684210526316,328,257,0.28096617955865877,9,3,0.6504898220378721,0.5563508873828681,0.10078682012138548
qqq_0_1,full_port,1.2068407094207403,0.11280801146943442,-0.07998362288286538,49,24,585,0.3848684210526316,1755,3.0,0.3848684210526316,328,257,0.28096617955865877,9,3,0.6504898220378721,0.5563508873828681,0.10078682012138548
qqq_0_2,cash_slots,1.342556004367176,0.14750438536042998,-0.13905220103110988,44,29,785,0.5164473684210527,2355,3.0,0.5164473684210527,426,359,0.16906271770520445,8,4,0.7472538460117173,0.5953021583554587,0.09261872960396393
qqq_0_2,full_port,1.342556004367176,0.14750438536042998,-0.13905220103110988,44,29,785,0.5164473684210527,2355,3.0,0.5164473684210527,426,359,0.16906271770520445,8,4,0.7472538460117173,0.5953021583554587,0.09261872960396393
qqq_m1_p1,cash_slots,1.460987499641173,0.11234789638737464,-0.13461107892721436,41,32,1046,0.6881578947368421,3138,3.0,0.6881578947368421,574,472,0.7097621794769198,8,4,0.7240149990531396,0.7369725005880332,0.06535877686398787
qqq_m1_p1,full_port,1.460987499641173,0.11234789638737464,-0.13461107892721436,41,32,1046,0.6881578947368421,3138,3.0,0.6881578947368421,574,472,0.7097621794769198,8,4,0.7240149990531396,0.7369725005880332,0.06535877686398787
age_ge_10,cash_slots,1.6056029487198078,0.19140488256832022,-0.0974646049374939,43,30,1499,0.9861842105263158,3151,2.1020680453635756,0.6910087719298246,778,721,0.6295413015727673,8,4,0.6271558037647755,0.978447144955032,0.05903089967656765
age_ge_10,full_port,1.7745641059422472,0.29804024789262407,-0.12989275957031435,39,34,1499,0.9861842105263158,3151,2.1020680453635756,0.9861842105263158,778,721,0.6085622864642668,8,4,0.6399148011935871,1.1346493047486605,0.0527566195596846
