variant,allocation,net_return,maximum_drawdown,worst_month,positive_months,negative_months,active_sessions,active_fraction,positions,average_qualifiers_when_active,average_utilization,green_active_days,red_active_days,recent12_return,recent12_positive_months,recent12_negative_months,early_return,late_return,top5_positive_day_share
age_ge_20,cash_slots,1.389454192085611,0.19734103055073737,-0.10656942252924972,45,27,1391,0.9151315789473684,2374,1.7066858375269591,0.5206140350877193,739,652,0.6145083870485666,9,3,0.5732071568913578,0.8162470351942528,0.0723506588557614
age_ge_20,full_port,2.4336534629302498,0.18603929386237927,-0.13667710580368403,46,26,1391,0.9151315789473684,2374,1.7066858375269591,0.9151315789473684,739,652,0.7332105190260774,9,3,1.1012674587672744,1.3323860041629751,0.06433231138179749
age_ge_40,cash_slots,0.647661030418601,0.2416051664706561,-0.09215148671709512,37,27,1070,0.7039473684210527,1502,1.4037383177570093,0.3293859649122807,556,514,0.30203369723950346,8,4,0.3355350697255788,0.31212596069302223,0.09963590394491849
age_ge_40,full_port,1.5803183925018707,0.369481035094977,-0.18491142388072512,37,27,1070,0.7039473684210527,1502,1.4037383177570093,0.7039473684210527,556,514,0.48284721289733135,8,4,0.7915962468664278,0.788722145635443,0.11626744888639778
prior5_le_m5,cash_slots,0.6798082862888639,0.1481163025095431,-0.10561178809689871,43,26,547,0.35986842105263156,827,1.5118829981718465,0.18135964912280703,297,250,0.14553974832686836,8,3,0.43278226146464865,0.24702602482421537,0.11739968362031676
prior5_le_m5,full_port,1.0550300480864387,0.22096081127065947,-0.2402509643869149,44,25,547,0.35986842105263156,827,1.5118829981718465,0.35986842105263156,297,250,0.22671128613450015,7,4,0.8681155896229716,0.186914458463467,0.07618886647581026
prior5_le_m10,cash_slots,0.3776483634654788,0.11193552805739304,-0.07458786417882735,31,24,242,0.15921052631578947,333,1.3760330578512396,0.07302631578947369,132,110,0.055018914501272845,5,4,0.21188009700520502,0.16576826646027382,0.21187866335518574
prior5_le_m10,full_port,0.7365313163179337,0.19533097035985347,-0.19032448272959424,31,24,242,0.15921052631578947,333,1.3760330578512396,0.15921052631578947,132,110,0.06484011470228357,5,4,0.41939157153384493,0.3171397447840888,0.13365779524631854
prior5_ge_5,cash_slots,0.7681429378505586,0.18153189216208165,-0.10096230316428856,37,35,737,0.48486842105263156,1170,1.587516960651289,0.2565789473684211,371,366,0.36553363800866273,7,5,0.29233900978288124,0.47580392806767746,0.10037386474643348
prior5_ge_5,full_port,1.7294863247950718,0.37948868488147136,-0.2730284612109186,38,34,737,0.48486842105263156,1170,1.587516960651289,0.48486842105263156,371,366,0.904391028051357,8,4,0.5282773872207152,1.2012089375743569,0.12248461217362988
