end_month,net,avg_month,median_month,negative_months,max_dd,recovery_days,unresolved
2019-12,0.4971966735092891,0.04143305612577409,0.042003327751150066,4,0.23143847938109385,141,True
2020-01,0.5750832094557661,0.047923600787980504,0.07040475054863923,4,0.23143847938109385,141,True
2020-02,0.22182609467664838,0.018485507889720698,0.049485113148987916,5,0.26803760875594795,141,True
2020-03,0.3607113556836371,0.030059279640303093,0.10486478963717505,4,0.2669115625695121,141,True
2020-04,0.40211997712267666,0.03350999809355639,0.10486478963717505,4,0.2913974392794281,141,True
2020-05,0.6293714741672007,0.05244762284726673,0.10486478963717505,3,0.26425450244940213,141,True
2020-06,0.6556009235251569,0.05463341029376307,0.10486478963717505,3,0.2949539440039574,141,True
2020-07,0.7789891060711992,0.0649157588392666,0.10486478963717505,3,0.3273254241535822,106,True
2020-08,1.2418661185014284,0.10348884320845236,0.13728088583377612,2,0.2872479572468184,104,False
2020-09,1.085108307675681,0.09042569230630675,0.13728088583377612,2,0.28628396634562364,104,True
2020-10,0.9680425164830943,0.08067020970692453,0.13728088583377612,3,0.2901988876317543,104,True
2020-11,0.9180500537619039,0.07650417114682533,0.12296606052385045,3,0.3247612401526051,104,True
2020-12,0.9441481803575352,0.0786790150297946,0.12296606052385045,3,0.3622920175268366,120,True
2021-01,1.0817043503972552,0.09014202919977127,0.15032994913159187,3,0.3866788388340055,128,True
2021-02,1.4088983426019501,0.11740819521682917,0.15032994913159187,2,0.19485147543837822,128,True
2021-03,1.1484190985572316,0.09570159154643597,0.14145296632756932,3,0.206920633131653,128,True
2021-04,0.9684679890664438,0.08070566575553699,0.09181422677611548,3,0.22629834747205305,128,True
2021-05,0.911863616865123,0.07598863473876025,0.07547446014810316,3,0.23468342002106934,128,True
2021-06,0.8315620257272398,0.06929683547726999,0.07547446014810316,3,0.26306139949396945,134,True
2021-07,0.5068299662552312,0.04223583052126927,0.024897423103730252,4,0.3144024150995234,164,True
2021-08,0.2939813188293124,0.024498443235776032,0.024897423103730252,4,0.3902132069320524,196,True
2021-09,0.32950549929707695,0.027458791608089745,0.024897423103730252,4,0.2138580480996418,226,True
2021-10,0.48291014917517755,0.040242512431264796,0.04714119580669547,3,0.20205925321478496,255,True
2021-11,0.6542624193059007,0.05452186827549172,0.04714119580669547,3,0.21624009787630424,266,True
2021-12,0.49229172212755506,0.041024310177296255,0.024897423103730252,3,0.2412982643377909,266,True
2022-01,0.22579105997044754,0.018815921664203962,0.009890580694023616,4,0.28317626054546585,266,True
2022-02,0.18893121739406912,0.015744268116172428,0.004580410895150634,4,0.23370728448740846,247,True
2022-03,0.40849090486950534,0.03404090873912544,0.009890580694023616,3,0.1694472414313377,127,True
2022-04,0.21718076493053168,0.018098397077544306,0.009890580694023616,4,0.16972658120134232,127,True
2022-05,0.2042457612994496,0.017020480108287467,0.0034230788784825675,4,0.17130472363847457,127,True
2022-06,0.08209180081478151,0.006840983401231793,0.0,4,0.18779472624896507,127,True
2022-07,0.30626519734300073,0.025522099778583395,0.0034230788784825675,3,0.18732523806863327,127,True
2022-08,0.17304104140096377,0.014420086783413647,0.0,4,0.19575794260622953,127,True
2022-09,0.2995195489545869,0.02495996241288224,0.0,3,0.17861314431416514,127,True
2022-10,0.2583735366995696,0.021531128058297464,0.0,3,0.21404119335128047,127,True
2022-11,-0.0033347276202446395,-0.00027789396835371994,0.0,3,0.34033431492850164,127,True
2022-12,-0.2793238366687886,-0.02327698638906572,0.0,4,0.40978527454233965,136,True
2023-01,-0.1616452579297846,-0.013470438160815383,0.0,3,0.39324170478230663,168,True
2023-02,-0.14305879212411315,-0.011921566010342763,0.008138268390997652,3,0.39324170478230663,196,True
2023-03,-0.11965075867744612,-0.009970896556453843,0.008138268390997652,3,0.42370290235409114,227,True
2023-04,0.013910283131870288,0.0011591902609891906,0.008138268390997652,3,0.3649422189446776,255,True
2023-05,0.3434326780915077,0.028619389840958975,0.01743150129383337,3,0.3649422189446776,287,True
2023-06,0.43866501226638865,0.03655541768886572,0.021159774668204144,3,0.3649422189446776,287,True
2023-07,0.4011463646271006,0.033428863718925055,0.021159774668204144,3,0.4179532484843551,287,False
2023-08,0.3469869458984854,0.02891557882487378,0.021159774668204144,3,0.36512716723794103,196,True
2023-09,0.229799039923847,0.019149919993653917,0.021159774668204144,4,0.36512716723794103,196,True
2023-10,0.21352250314185164,0.017793541928487637,0.021159774668204144,4,0.3701168454760746,196,True
2023-11,0.41178264722404984,0.034315220602004155,0.042603544186882475,4,0.37173895844491595,180,True
2023-12,0.9434049620710372,0.07861708017258644,0.08092647837148723,3,0.18083787113395203,133,True
2024-01,0.9108406938352938,0.07590339115294115,0.06464434425361554,3,0.19085961894765247,133,True
2024-02,1.0684448425083986,0.08903707020903322,0.10478192719006912,3,0.15845794743373878,133,True
2024-03,1.0572816275843406,0.08810680229869505,0.09920031972804016,3,0.17049844946536577,133,True
2024-04,1.0086913550493941,0.08405761292078284,0.09920031972804016,3,0.16444013201403376,133,True
2024-05,0.7388056746440418,0.06156713955367015,0.07743452436458304,3,0.20847425358215865,133,True
2024-06,0.7732695486382632,0.0644391290531886,0.08140250991774226,3,0.22596123959312683,133,True
2024-07,0.4172399948836266,0.03476999957363555,0.04684653444331761,4,0.24246504655126228,120,True
2024-08,0.46723168716398145,0.03893597393033179,0.04684653444331761,4,0.27366823363356013,97,True
2024-09,0.5350914489154511,0.044590954076287596,0.04684653444331761,4,0.32300550295787,97,True
2024-10,0.5216264299211325,0.043468869160094376,0.04684653444331761,5,0.32300550295787,112,True
2024-11,0.23922678493641983,0.01993556541136832,0.010295667669015815,6,0.36121718229380906,141,True
2024-12,-0.002500729150612179,-0.00020839409588434827,0.003643415237028956,6,0.41995918142773486,173,True
2025-01,-0.18256826662687214,-0.015214022218906012,-0.03139658160874358,7,0.52157646622124,204,True
2025-02,-0.3363072155070784,-0.028025601292256536,-0.03139658160874358,7,0.5977522060087577,232,True
2025-03,-0.4394755207882778,-0.03662296006568982,-0.03139658160874358,7,0.645167101419305,263,True
2025-04,-0.3354508141570102,-0.027954234513084184,-0.006732509497159237,6,0.597387762724247,293,True
2025-05,-0.1222737741410691,-0.010189481178422425,-0.006732509497159237,6,0.6238753854609015,323,True
2025-06,0.0130146687739352,0.0010845557311612668,-0.006732509497159237,6,0.6904540383407668,354,True
2025-07,0.28753902784397645,0.023961585653664703,0.0,5,0.4031029226704623,266,True
2025-08,0.3701534763510278,0.030846123029252315,0.0022690442041107,4,0.3604269781967342,187,True
2025-09,0.5905071284205868,0.049208927368382234,0.012644968938298893,3,0.34433252315057955,187,True
2025-10,0.8335868197328967,0.06946556831107473,0.021601757533473147,2,0.34018596678796326,187,True
