decision_date,entry_date,exit_date,symbol,weight,signal,entry_price,exit_price,gross_return_contribution,net_return_contribution
2019-02-06,2019-02-07,2019-02-22,SOXL,0.5,0.15162200282087435,7.867,8.643,0.0493199440701666,0.0488199440701666
2019-02-06,2019-02-07,2019-02-22,TQQQ,0.5,0.08793746669035363,5.959,6.258,0.025088102030542125,0.024588102030542125
2019-02-21,2019-02-22,2019-03-08,SOXL,0.5,0.022534528713351154,8.643,7.443,-0.06942034015966686,-0.06992034015966686
2019-02-21,2019-02-22,2019-03-08,TQQQ,0.5,0.009256252029879786,6.258,5.968,-0.023170341962288288,-0.023670341962288288
2019-03-11,2019-03-12,2019-03-26,TQQQ,1.0,0.002919035182055607,6.579,7.086,0.07706338349293218,0.07606338349293218
2019-03-29,2019-04-01,2019-04-15,TQQQ,1.0,0.0163581575548859,7.288,7.809,0.07148737650933046,0.07048737650933046
2019-04-12,2019-04-15,2019-04-30,SOXL,0.5,0.03693444136657442,11.23,12.21,0.04363312555654497,0.04313312555654497
2019-04-12,2019-04-15,2019-04-30,TQQQ,0.5,0.017591868647380826,7.809,8.25,0.02823665001920861,0.02773665001920861
2019-04-29,2019-04-30,2019-05-14,TQQQ,1.0,0.04861714002232409,8.25,6.953,-0.15721212121212114,-0.15821212121212114
2019-07-01,2019-07-02,2019-07-17,SOXL,0.5,0.18580144204104254,10.56,10.9,0.016098484848484862,0.015598484848484861
2019-07-01,2019-07-02,2019-07-17,TQQQ,0.5,0.014274886306215206,8.02,8.515,0.030860349127182163,0.030360349127182162
2019-07-16,2019-07-17,2019-07-31,SOXL,0.5,0.0766589233410766,10.9,12.5,0.07339449541284404,0.07289449541284404
2019-07-16,2019-07-17,2019-07-31,TQQQ,0.5,0.037926829268292606,8.515,8.629,0.006694069289489124,0.006194069289489124
2019-07-30,2019-07-31,2019-08-14,SOXL,1.0,0.03585982070089666,12.5,9.467,-0.24263999999999997,-0.24363999999999997
2019-09-04,2019-09-05,2019-09-19,SOXL,0.5,0.13371159404774646,11.27,12.47,0.05323868677905952,0.05273868677905952
2019-09-04,2019-09-05,2019-09-19,TQQQ,0.5,0.060879212314519426,7.903,8.191,0.018220928761229938,0.017720928761229937
2019-09-18,2019-09-19,2019-10-03,TQQQ,1.0,0.0003682789098942152,8.191,7.128,-0.12977658405567094,-0.13077658405567094
2019-12-02,2019-12-03,2019-12-17,TQQQ,1.0,0.014016172506738478,9.038,10.32,0.14184554104890457,0.14084554104890457
2019-12-16,2019-12-17,2020-01-02,SOXL,0.5,0.17847411444141703,17.56,19.01,0.04128701594533035,0.04078701594533035
2019-12-16,2019-12-17,2020-01-02,TQQQ,0.5,0.07539267015706796,10.32,11.09,0.03730620155038755,0.03680620155038755
2019-12-31,2020-01-02,2020-01-16,TQQQ,1.0,0.009328358208955168,11.09,12.14,0.09467989179440939,0.09367989179440939
2020-01-15,2020-01-16,2020-01-31,TQQQ,0.5,0.04173913043478272,12.14,12.46,0.01317957166392092,0.012679571663920919
2020-01-15,2020-01-16,2020-01-31,SOXL,0.5,0.0047897817988291624,19.34,17.76,-0.04084798345398133,-0.04134798345398133
2020-02-03,2020-02-04,2020-02-19,TQQQ,1.0,0.056082830025884434,12.75,14.6,0.1450980392156862,0.1440980392156862
2020-02-18,2020-02-19,2020-03-04,SOXL,0.5,0.05657412257726557,20.99,14.31,-0.15912339209147208,-0.15962339209147208
2020-02-18,2020-02-19,2020-03-04,TQQQ,0.5,0.03463203463203457,14.6,10.44,-0.14246575342465756,-0.14296575342465756
2020-05-05,2020-05-06,2020-05-20,TQQQ,1.0,0.08065749235474007,8.693,9.901,0.13896238352697576,0.13796238352697576
2020-05-19,2020-05-20,2020-06-04,SOXL,0.5,0.07863308501832789,9.677,11.64,0.10142606179601121,0.10092606179601121
2020-05-19,2020-05-20,2020-06-04,TQQQ,0.5,0.06025968261014336,9.901,10.78,0.044389455610544415,0.043889455610544414
2020-06-03,2020-06-04,2020-06-18,SOXL,0.5,0.1487279843444227,11.64,12.21,0.02448453608247425,0.02398453608247425
2020-06-03,2020-06-04,2020-06-18,TQQQ,0.5,0.08299999999999996,10.78,11.62,0.038961038961038974,0.038461038961038974
2020-06-18,2020-06-19,2020-07-06,SOXL,0.5,0.17015209125475295,12.74,13.11,0.014521193092621676,0.014021193092621675
2020-06-18,2020-06-19,2020-07-06,TQQQ,0.5,0.1329479768786126,12.12,13.41,0.053217821782178265,0.052717821782178265
2020-07-02,2020-07-06,2020-07-20,TQQQ,0.5,0.0713692946058091,13.41,14.1,0.02572706935123037,0.02522706935123037
2020-07-02,2020-07-06,2020-07-20,SOXL,0.5,0.044388609715243055,13.11,13.92,0.03089244851258588,0.03039244851258588
2020-07-20,2020-07-21,2020-08-04,SOXL,0.5,0.11355034065102187,14.97,15.93,0.03206412825651295,0.03156412825651295
2020-07-20,2020-07-21,2020-08-04,TQQQ,0.5,0.09451659451659467,15.45,15.42,-0.0009708737864077555,-0.0014708737864077555
2020-08-03,2020-08-04,2020-08-18,TQQQ,0.5,0.10571428571428565,15.42,16.68,0.040856031128404635,0.040356031128404635
2020-08-03,2020-08-04,2020-08-18,SOXL,0.5,0.1049723756906078,15.93,17.28,0.0423728813559322,0.0418728813559322
2020-08-17,2020-08-18,2020-09-01,SOXL,0.5,0.06483790523690769,17.28,18.13,0.02459490740740733,0.02409490740740733
2020-08-17,2020-08-18,2020-09-01,TQQQ,0.5,0.051724137931034475,16.68,20.74,0.12170263788968816,0.12120263788968816
2020-08-31,2020-09-01,2020-09-16,TQQQ,0.5,0.12117843246247939,20.74,16.82,-0.09450337512053997,-0.09500337512053997
2020-08-31,2020-09-01,2020-09-16,SOXL,0.5,0.056973293768545874,18.13,16.59,-0.04247104247104244,-0.04297104247104244
2020-10-09,2020-10-12,2020-10-26,SOXL,0.5,0.24556031843233317,21.09,18.88,-0.05239449976292082,-0.05289449976292082
2020-10-09,2020-10-12,2020-10-26,TQQQ,0.5,0.12213740458015265,18.55,16.97,-0.04258760107816717,-0.04308760107816717
2020-11-05,2020-11-06,2020-11-20,SOXL,0.5,0.28022922636103154,22.15,24.37,0.050112866817155766,0.049612866817155765
2020-11-05,2020-11-06,2020-11-20,TQQQ,0.5,0.1951837769328264,18.73,18.38,-0.00934329951948748,-0.00984329951948748
2020-11-19,2020-11-20,2020-12-07,SOXL,0.5,0.11268248175182483,24.37,31.67,0.149774312679524,0.149274312679524
