year,half,net,avg_month,negative_months,max_dd,recovery_days,unresolved
2019,1,0.2152518806092437,0.035875313434873955,2,0.174881288422251,64,True
2019,2,0.28194479290004526,0.04699079881667422,2,0.2735904763132535,141,True
2020,1,0.37365613062511144,0.06227602177085192,1,0.3622920175268366,104,True
2020,2,0.5704920497324238,0.09508200828873731,2,0.26306139949396945,120,True
2021,1,0.26106997599481596,0.04351166266580266,1,0.2412982643377909,134,True
2021,2,0.23122174613273916,0.03853695768878986,2,0.18779472624896507,113,True
2022,1,-0.14912994531795765,-0.02485499088632628,2,0.22253186288211593,93,True
2022,2,-0.130193891350831,-0.021698981891805153,2,0.3649422189446776,136,True
2023,1,0.5688589036172195,0.09480981726953659,1,0.18083787113395203,99,True
2023,2,0.3745460584538177,0.06242434307563627,2,0.22596123959312683,133,True
2024,1,0.3987234901844457,0.06645391503074094,1,0.18828344851646464,97,True
2024,2,-0.4012242193350579,-0.06687070322250965,5,0.5577400048867966,173,True
2025,1,0.41423888810899306,0.06903981468483218,1,0.3010374755242677,126,False
2025,2,0.2757931583847817,0.04596552639746362,2,0.17549260208420378,63,True
2026,1,0.4527407479673785,0.11318518699184466,1,0.16715107240239835,77,True
