variant,trade_symbols,lookback,market_sma,holding_sessions,entry_delay_sessions,cost_bps_per_side,breadth,require_positive_momentum,require_market_trend,market_trend_direction,require_all_funds_positive,require_qqq_positive_lookback,require_sma_rising,require_sma_falling,require_orderly_volatility,require_trend_efficiency,weight_scheme,volatility_scaling,stop,stop_slippage_bps,full_net,full_max_dd,full_recovery_days,full_utilization,full_turnover,full_beta,exit_reason_counts,18m_avg_month,18m_median_month,18m_negative_months,18m_max_dd,18m_recovery_days,15m_avg_month,15m_median_month,15m_negative_months,15m_max_dd,15m_recovery_days,12m_avg_month,12m_median_month,12m_negative_months,12m_max_dd,12m_recovery_days
sma20_no_stop,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,,,3.7379897667071695,0.2583008505067076,434,0.6623235613463626,244.0,3.2123095522172243,{},0.06128434591987512,0.012644968938298893,5,0.34018596678796326,187,0.08591893184033755,0.02245166559856991,3,0.12704990787040957,85,0.10552769266720778,0.112424869400546,3,0.12847106283759877,85
sma20_stop10_slip10,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,0.1,10.0,2.635442738897694,0.20144526364919568,554,0.5233441910966341,244.0,3.045066289701144,"{""gap_stop"": 14, ""intraday_stop"": 65, ""max_holding"": 135}",0.036159445780754695,0.0,7,0.3949800152009074,224,0.061365459294033115,0.011941448950116229,4,0.16740631782650572,173,0.07571170337169837,0.05148724447029158,4,0.16852197468680363,173
sma20_stop10_slip100,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,0.1,100.0,2.355992738897694,0.2342600693857944,554,0.5233441910966341,244.0,3.071414581851604,"{""gap_stop"": 14, ""intraday_stop"": 65, ""max_holding"": 135}",0.032784445780754706,0.0,7,0.4130903961274051,228,0.058665459294033113,0.011941448950116229,4,0.17424426585046238,173,0.0723367033716984,0.04946224447029161,4,0.1754214577946279,173
sma20_stop15_slip10,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,0.15,10.0,3.0389515629745736,0.2077163381354994,554,0.5906623235613464,244.0,3.123999183959466,"{""gap_stop"": 12, ""intraday_stop"": 35, ""max_holding"": 167}",0.038879251296960175,0.009633603262936913,6,0.3105500913605928,176,0.05879082568358906,0.019267206525873826,4,0.18700190428705066,176,0.0718829315606635,0.112424869400546,4,0.18898471220366042,176
sma20_stop15_slip100,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,0.15,100.0,2.8821265629745736,0.21556123571379746,554,0.5906623235613464,244.0,3.1403039933081396,"{""gap_stop"": 12, ""intraday_stop"": 35, ""max_holding"": 167}",0.037391751296960166,0.009633603262936913,6,0.31694729279821565,187,0.05751582568358904,0.019267206525873826,4,0.19405898657311305,176,0.0702891815606635,0.112424869400546,4,0.19612532091322873,176
sma20_stop20_slip10,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,0.2,10.0,3.3114262445894154,0.23142884659913038,398,0.6218783930510315,244.0,3.200711462874447,"{""gap_stop"": 4, ""intraday_stop"": 23, ""max_holding"": 187}",0.04529651086260991,0.011902647467047613,5,0.31620960549808275,187,0.06694654782452865,0.019267206525873826,3,0.20537115308611598,177,0.08207758423683802,0.112424869400546,3,0.20734256198191564,177
sma20_stop20_slip100,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,0.2,100.0,3.2178262445894155,0.23658235182045176,398,0.6218783930510315,244.0,3.2130093410233354,"{""gap_stop"": 4, ""intraday_stop"": 23, ""max_holding"": 187}",0.044496510862609896,0.011902647467047613,5,0.31620960549808275,187,0.06598654782452867,0.019267206525873826,3,0.21070073638361583,177,0.08087758423683804,0.112424869400546,3,0.21272330527810912,177
sma50_no_stop,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,,,2.5724242837936586,0.3835781520529808,588,0.6623235613463626,244.0,3.1813439069789693,{},0.0362852896501268,0.00243553143950323,6,0.4091384157242427,245,0.049719655079411985,0.0,5,0.37092604328015905,140,0.074958163025292,0.03727699686227975,3,0.14144495320361056,92
sma50_stop10_slip10,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,0.1,10.0,1.2964656498512888,0.4522597933734298,775,0.509229098805646,244.0,3.0953776616289654,"{""gap_stop"": 12, ""intraday_stop"": 64, ""max_holding"": 140}",0.019351623366304825,0.0,6,0.27146876075703497,212,0.03538717420984296,0.0,4,0.158770877419632,110,0.03937916399776043,0.0018614330874763521,4,0.15815396800633574,92
sma50_stop10_slip100,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,0.1,100.0,0.9886656498512881,0.5209042265761439,796,0.509229098805646,244.0,3.1294217806974483,"{""gap_stop"": 12, ""intraday_stop"": 64, ""max_holding"": 140}",0.01575162336630482,0.0,7,0.28766876075703507,212,0.03214717420984297,0.0,5,0.16924810753194813,111,0.03600416399776044,0.0,5,0.16774356086181216,92
sma50_stop15_slip10,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,0.15,10.0,2.0253796475144012,0.3826247508733215,1129,0.5852334419109664,244.0,3.1519033518245694,"{""gap_stop"": 8, ""intraday_stop"": 37, ""max_holding"": 171}",0.02789963236116386,0.00243553143950323,5,0.26255684264323637,125,0.04264318803801892,0.00487106287900646,3,0.23143593086642184,125,0.05261168128298038,0.016540126939347012,3,0.1335135640468239,92
sma50_stop15_slip100,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,0.15,100.0,1.8379546475144006,0.41782962811344154,1139,0.5852334419109664,244.0,3.1727422288696996,"{""gap_stop"": 8, ""intraday_stop"": 37, ""max_holding"": 171}",0.025774632361163848,0.00032882258725958763,5,0.2720768557668254,125,0.040603188038018906,0.0006576451745191753,3,0.23803270538158383,125,0.05069918128298038,0.014627626939347,3,0.13823082172058018,92
sma50_stop20_slip10,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,0.2,10.0,2.57005302240439,0.346994727874648,878,0.6251357220412594,244.0,3.2556339741508316,"{""gap_stop"": 3, ""intraday_stop"": 18, ""max_holding"": 195}",0.031441161542542916,0.0016170954998438116,5,0.3051699413215356,230,0.043906701350311314,0.0,4,0.2742934071283237,125,0.058353572923345885,0.004052626939347041,3,0.1564915602069277,92
sma50_stop20_slip100,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,0.2,100.0,2.4836530224043902,0.3616737586291351,883,0.6251357220412594,244.0,3.265640700277374,"{""gap_stop"": 3, ""intraday_stop"": 18, ""max_holding"": 195}",0.03044116154254291,0.0,6,0.31185000411588404,230,0.04270670135031132,0.0,5,0.2805021360837702,183,0.05745357292334588,0.00243553143950323,4,0.16049511858655358,183
