family,rule,target,stop,hold,trades,net_return,mean_bp,target_rate,green_rate,top_abs_share,beta,cut
simple,all,1,1,1,91,-0.008514339412084793,-0.9356416936356915,0.37362637362637363,0.37362637362637363,0.01656936316069866,,
simple,green_ge_7.5,1,1,1,55,-0.006882010782838899,-1.2512746877888907,0.2727272727272727,0.2727272727272727,0.025879071107247076,,
simple,green_ge_10,1,1,1,31,-0.0035792438654278502,-1.1545947952993065,0.2903225806451613,0.2903225806451613,0.04050344277372476,,
simple,green_ge_15,1,1,1,11,-0.0007003409377198677,-0.6366735797453342,0.45454545454545453,0.45454545454545453,0.12510622588521847,,
simple,rvol_ge_3,1,1,1,48,-0.004160800964154943,-0.8668335341989464,0.3958333333333333,0.3958333333333333,0.03168663519132415,,
simple,rvol_ge_4,1,1,1,30,-0.0021902532111540696,-0.7300844037180232,0.43333333333333335,0.43333333333333335,0.04704429090371728,,
simple,rvol_ge_5,1,1,1,14,-0.0013577754312318335,-0.9698395937370239,0.35714285714285715,0.35714285714285715,0.0965591649160625,,
simple,prior3_bp_ge_0,1,1,1,79,-0.00787637890265902,-0.997009987678357,0.35443037974683544,0.35443037974683544,0.018895320310110958,,
simple,prior3_bp_ge_5,1,1,1,74,-0.007119065741764352,-0.9620359110492368,0.36486486486486486,0.36486486486486486,0.020344854558200745,,
simple,prior3_bp_ge_10,1,1,1,48,-0.0047222503905891555,-0.9838021647060741,0.3541666666666667,0.3541666666666667,0.03145917015956167,,
simple,prior3_bp_le_0,1,1,1,12,-0.0006379605094257723,-0.5316337578548103,0.5,0.5,0.1249322271045954,,
simple,prior3_bp_le_-5,1,1,1,4,9.76320666425945e-05,0.24408016660648624,0.75,0.75,0.410698373528808,,
simple,prior5_bp_ge_0,1,1,1,75,-0.007309588385346344,-0.9746117847128458,0.36,0.36,0.020010044909672536,,
simple,prior5_bp_ge_5,1,1,1,71,-0.007427307893795088,-1.0460997033514208,0.3380281690140845,0.3380281690140845,0.020883748260009237,,
simple,prior5_bp_ge_10,1,1,1,55,-0.006542829860659349,-1.1896054292107907,0.2909090909090909,0.2909090909090909,0.02641966352759609,,
simple,prior5_bp_le_0,1,1,1,15,-0.001306569504755939,-0.8710463365039594,0.4,0.4,0.09290821174588305,,
simple,prior5_bp_le_-5,1,1,1,12,-0.0009687642702673749,-0.8073035585561457,0.4166666666666667,0.4166666666666667,0.11875063592487656,,
simple,range_ge_10,1,1,1,61,-0.005981406660062416,-0.9805584688626912,0.36065573770491804,0.36065573770491804,0.0247050483878974,,
simple,range_ge_15,1,1,1,26,-0.002887588985110101,-1.1106111481192695,0.3076923076923077,0.3076923076923077,0.053536130975637766,,
simple,range_ge_20,1,1,1,15,-0.0015471142554422945,-1.0314095036281965,0.3333333333333333,0.3333333333333333,0.09332617616607582,,
simple,close_loc_ge_0.75,1,1,1,69,-0.006639940110921061,-0.9623101610030523,0.36231884057971014,0.36231884057971014,0.020094617239088796,,
simple,close_loc_ge_0.9,1,1,1,43,-0.004323738203418581,-1.0055205124229258,0.3488372093023256,0.3488372093023256,0.03222152752847034,,
simple,early,1,1,1,22,-0.0021786505889087593,-0.9902957222312543,0.36363636363636365,0.36363636363636365,0.06238010625080689,,
simple,midday,1,1,1,40,-0.003378534189565352,-0.844633547391338,0.4,0.4,0.03849448837394547,,
simple,late,1,1,1,29,-0.0029571546336106813,-1.0197084943485109,0.3448275862068966,0.3448275862068966,0.04795297214341466,,
simple,green10_rvol3,1,1,1,15,-0.0018359059877757211,-1.2239373251838142,0.26666666666666666,0.26666666666666666,0.0807082042301748,,
simple,rvol3_prior3_pos,1,1,1,41,-0.004254623820448389,-1.0377131269386315,0.34146341463414637,0.34146341463414637,0.03597094524771777,,
simple,rvol3_prior3_neg,1,1,1,7,9.382285629344622e-05,0.13403265184778032,0.7142857142857143,0.7142857142857143,0.24692393958891523,,
simple,range15_close90,1,1,1,11,-0.0010134979906387676,-0.9213618096716069,0.36363636363636365,0.36363636363636365,0.11114154757363646,,
simple,all,1,1,3,91,-0.008514339412084793,-0.9356416936356915,0.37362637362637363,0.37362637362637363,0.01656936316069866,,
simple,green_ge_7.5,1,1,3,55,-0.006882010782838899,-1.2512746877888907,0.2727272727272727,0.2727272727272727,0.025879071107247076,,
simple,green_ge_10,1,1,3,31,-0.0035792438654278502,-1.1545947952993065,0.2903225806451613,0.2903225806451613,0.04050344277372476,,
