level,name,additional_delay_sessions,total_execution_lag_sessions,cost_bps_per_side,net_simple_return,maximum_drawdown,recent12_average_month,recent12_positive_months
sleeve,momentum,1,2,2.0,2.07943240220947,0.17289670182547226,0.10169247480495146,10
sleeve,multifactor,1,2,2.0,0.7425650934055299,0.16419615746543972,0.03465794905465811,11
sleeve,ibs,1,2,2.0,1.0687072888943647,0.15558565035001815,0.004593947892592413,6
sleeve,distress,1,2,2.0,0.4636277730415776,0.09767285517616017,0.014712587284808646,8
ensemble,equal_four,1,2,2.0,0.9272350904514925,0.09782070570331908,0.03891423975925266,10
sleeve,momentum,1,2,5.0,2.0573338025016694,0.1750607172849367,0.10119681660925132,10
sleeve,multifactor,1,2,5.0,0.7359161111162387,0.16527492437964264,0.034509127319043716,11
sleeve,ibs,1,2,5.0,0.8703972888943647,0.16883208735159047,0.0019061701148146333,6
sleeve,distress,1,2,5.0,0.458807102972251,0.09911550917057967,0.014662859721183127,8
ensemble,equal_four,1,2,5.0,0.8816578189822255,0.10141560609947044,0.0380687434410732,10
sleeve,momentum,1,2,10.0,2.0205028029886685,0.17873266927390674,0.1003707196164178,10
sleeve,multifactor,1,2,10.0,0.72483447396742,0.16708599836118487,0.03426109109301973,11
sleeve,ibs,1,2,10.0,0.5398806222276981,0.1945077636754552,-0.002573459514814996,6
sleeve,distress,1,2,10.0,0.4507726528567069,0.10152531874130959,0.01457998044847393,8
ensemble,equal_four,1,2,10.0,0.8056956998667809,0.10771975127042908,0.03665958291077411,10
sleeve,momentum,2,3,2.0,2.2516502723627494,0.17354807097086775,0.10008578225608354,10
sleeve,multifactor,2,3,2.0,0.7481971584411649,0.17304549085074447,0.03619975636939531,11
sleeve,ibs,2,3,2.0,0.6542403434400015,0.2154009839137816,0.009493122142149207,6
sleeve,distress,2,3,2.0,0.4309281589598286,0.10108336358501264,0.014362375141717563,8
ensemble,equal_four,2,3,2.0,0.8791239367918307,0.108427195936208,0.040035258977336396,10
sleeve,momentum,2,3,5.0,2.229551672654949,0.17514286395363782,0.09959012406038341,10
sleeve,multifactor,2,3,5.0,0.7415481761518736,0.17436401817057265,0.03605093463378092,11
sleeve,ibs,2,3,5.0,0.45603034344000143,0.23336604190796956,0.006805344364371429,6
sleeve,distress,2,3,5.0,0.4261074888905021,0.1025765348523897,0.014312647578092043,8
ensemble,equal_four,2,3,5.0,0.8335466653225637,0.11176202118305303,0.03918976265915695,10
sleeve,momentum,2,3,10.0,2.1927206731419475,0.17784319830105283,0.09876402706754987,10
sleeve,multifactor,2,3,10.0,0.730466539003055,0.1765760634766621,0.03580289840775693,11
sleeve,ibs,2,3,10.0,0.12568034344000162,0.3296333147070225,0.0023257147347418034,6
sleeve,distress,2,3,10.0,0.4180730387749579,0.10507091254746438,0.014229768305382843,8
ensemble,equal_four,2,3,10.0,0.757584546207119,0.11765661944419581,0.03778060212885786,10
