symbol,peer_group,beta_1s,beta_5s
AAPL,mega_tech,0.5374504293896673,0.5251970638488045
AMD,semiconductors,0.7957411636718108,0.965650020689059
AMZN,mega_tech,0.8296666595878026,0.9328779765108595
AVGO,semiconductors,0.4016543091949822,0.4937262964174517
BAC,banks,0.4312428482619191,0.5811405994110551
COST,consumer,0.09311262703905902,0.10356538114074472
CVX,energy,0.5289939875843296,0.5897514620222384
DIS,consumer,0.3622761920097454,0.23416856126109237
GOOGL,mega_tech,0.7978749266448616,0.6824385811441596
HD,consumer,0.1598835015456999,0.25638777676412106
JNJ,healthcare,0.06500419579652227,0.2374377994993135
JPM,banks,0.3922700470697689,0.4568996918240503
LLY,healthcare,0.055280896469985956,0.030374496504684562
META,mega_tech,0.5500360835844392,0.6652458292144006
MSFT,mega_tech,0.47990546446156473,0.544350419003419
MU,semiconductors,0.5548541246235735,0.6059136013234158
NVDA,semiconductors,0.6205219733621179,0.5513671416374214
PLTR,high_beta_growth,0.30732396209619667,0.39060870283262755
TSLA,high_beta_growth,0.43070727039225415,0.37593357661079085
UBER,high_beta_growth,0.19803834846535995,0.1865476541309651
UNH,healthcare,0.1858920428608469,0.24095974208972687
WFC,banks,0.5878761207623299,0.5468342149768989
WMT,consumer,0.10221052386300761,0.1630064564738544
XOM,energy,0.5788608634865984,0.6585911397315782
