skip,extra_bps,return,maximum_drawdown,positive_months,negative_months,worst_month,recent12_return,turnover,train,validation
0,0.0,2.921655542704238,0.32554367646080246,44,29,-0.29438124736579213,1.2778845058522195,131.0,"{'net': 1.3051800956294697, 'dd': 0.32554367646080246, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.29438124736579213}","{'net': 1.6164754470747678, 'dd': 0.4396739899869787, 'positive_months': 20, 'negative_months': 13, 'worst_month': -0.1845972828685721}"
0,1.0,2.9085555427042378,0.327084175931279,44,29,-0.2947145806991255,1.2760178391855526,131.0,"{'net': 1.2977467622961365, 'dd': 0.327084175931279, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.2947145806991255}","{'net': 1.6108087804081013, 'dd': 0.44053101049529164, 'positive_months': 20, 'negative_months': 13, 'worst_month': -0.18473061620190542}"
0,2.0,2.895455542704238,0.3286283538443521,44,29,-0.29504791403245884,1.274151172518886,131.0,"{'net': 1.2903134289628029, 'dd': 0.3286283538443521, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.29504791403245884}","{'net': 1.6051421137414346, 'dd': 0.44139096122219446, 'positive_months': 20, 'negative_months': 13, 'worst_month': -0.18486394953523877}"
0,5.0,2.8561555427042373,0.33328309046488686,44,29,-0.29604791403245884,1.268551172518886,131.0,"{'net': 1.2680134289628031, 'dd': 0.33328309046488686, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.29604791403245884}","{'net': 1.5881421137414347, 'dd': 0.443988545768759, 'positive_months': 20, 'negative_months': 13, 'worst_month': -0.18526394953523875}"
0,10.0,2.790655542704238,0.3411157973545415,44,29,-0.2977145806991255,1.2592178391855526,131.0,"{'net': 1.2308467622961363, 'dd': 0.3411157973545415, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.2977145806991255}","{'net': 1.5598087804081013, 'dd': 0.44837788326728545, 'positive_months': 20, 'negative_months': 13, 'worst_month': -0.18593061620190543}"
1,0.0,2.8238457763133114,0.3737212291086397,45,28,-0.2682505044964384,1.2019756217108006,131.66666666666669,"{'net': 1.1244201330452417, 'dd': 0.3737212291086397, 'positive_months': 24, 'negative_months': 17, 'worst_month': -0.2682505044964384}","{'net': 1.6994256432680697, 'dd': 0.3922164926720037, 'positive_months': 21, 'negative_months': 12, 'worst_month': -0.1845972828685721}"
1,1.0,2.810679109646645,0.3757798997860291,45,28,-0.2687838378297717,1.1999756217108009,131.66666666666669,"{'net': 1.116520133045242, 'dd': 0.3757798997860291, 'positive_months': 24, 'negative_months': 17, 'worst_month': -0.2687838378297717}","{'net': 1.6941589766014027, 'dd': 0.39279652685482275, 'positive_months': 21, 'negative_months': 12, 'worst_month': -0.18473061620190542}"
1,2.0,2.7975124429799783,0.37784344537023734,45,28,-0.26931717116310505,1.1979756217108006,131.66666666666669,"{'net': 1.1086201330452417, 'dd': 0.37784344537023734, 'positive_months': 24, 'negative_months': 17, 'worst_month': -0.26931717116310505}","{'net': 1.6888923099347364, 'dd': 0.3933779970970016, 'positive_months': 21, 'negative_months': 12, 'worst_month': -0.18486394953523877}"
1,5.0,2.758012442979978,0.3840635053368054,45,28,-0.2709171711631051,1.1919756217108006,131.66666666666669,"{'net': 1.0849201330452418, 'dd': 0.3840635053368054, 'positive_months': 24, 'negative_months': 17, 'worst_month': -0.2709171711631051}","{'net': 1.6730923099347363, 'dd': 0.3951310777098285, 'positive_months': 21, 'negative_months': 12, 'worst_month': -0.18526394953523875}"
1,10.0,2.692179109646645,0.394529404428552,44,29,-0.27358383782977175,1.1819756217108006,131.66666666666669,"{'net': 1.0454201330452415, 'dd': 0.394529404428552, 'positive_months': 23, 'negative_months': 18, 'worst_month': -0.27358383782977175}","{'net': 1.6467589766014032, 'dd': 0.3980821035486577, 'positive_months': 21, 'negative_months': 12, 'worst_month': -0.18593061620190543}"
