skip,extra_bps,return,maximum_drawdown,positive_months,negative_months,worst_month,recent12_return,turnover,train,validation
5,0.0,2.5466802306486285,0.34774422363639457,46,27,-0.2823362051674392,1.2002226472582824,133.66666666666666,"{'net': 1.0871233673094496, 'dd': 0.34774422363639457, 'positive_months': 27, 'negative_months': 14, 'worst_month': -0.2823362051674392}","{'net': 1.459556863339179, 'dd': 0.43488179797639553, 'positive_months': 20, 'negative_months': 13, 'worst_month': -0.17300423074027854}"
5,1.0,2.5333135639819617,0.3496988117203034,46,27,-0.28280287183410585,1.1984226472582824,133.66666666666666,"{'net': 1.0795567006427829, 'dd': 0.3496988117203034, 'positive_months': 27, 'negative_months': 14, 'worst_month': -0.28280287183410585}","{'net': 1.4537568633391789, 'dd': 0.4358360822354353, 'positive_months': 20, 'negative_months': 13, 'worst_month': -0.17320423074027855}"
5,2.0,2.519946897315295,0.3516584724411656,46,27,-0.2832695385007725,1.1966226472582826,133.66666666666666,"{'net': 1.0719900339761161, 'dd': 0.3516584724411656, 'positive_months': 27, 'negative_months': 14, 'worst_month': -0.2832695385007725}","{'net': 1.4479568633391788, 'dd': 0.43679364732109865, 'positive_months': 20, 'negative_months': 13, 'worst_month': -0.17340423074027853}"
5,5.0,2.479846897315295,0.3576786551426824,46,27,-0.28466953850077253,1.1912226472582825,133.66666666666666,"{'net': 1.0492900339761162, 'dd': 0.3576786551426824, 'positive_months': 27, 'negative_months': 14, 'worst_month': -0.28466953850077253}","{'net': 1.4305568633391788, 'dd': 0.4396861976069683, 'positive_months': 20, 'negative_months': 13, 'worst_month': -0.17400423074027854}"
5,10.0,2.413013563981962,0.3679558207254737,46,27,-0.2870028718341059,1.1822226472582824,133.66666666666666,"{'net': 1.0114567006427828, 'dd': 0.3679558207254737, 'positive_months': 27, 'negative_months': 14, 'worst_month': -0.2870028718341059}","{'net': 1.401556863339179, 'dd': 0.4445743363800112, 'positive_months': 20, 'negative_months': 13, 'worst_month': -0.17500423074027854}"
10,0.0,3.20415108088158,0.2073316025286997,43,30,-0.19295982413796336,0.998110712505152,136.33333333333331,"{'net': 1.7593739129713573, 'dd': 0.2073316025286997, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.19295982413796336}","{'net': 1.4447771679102228, 'dd': 0.4326811297745692, 'positive_months': 18, 'negative_months': 15, 'worst_month': -0.19057734741749627}"
10,1.0,3.190517747548247,0.20839839532956436,43,30,-0.19315982413796337,0.996310712505152,136.33333333333331,"{'net': 1.7514739129713575, 'dd': 0.20839839532956436, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.19315982413796337}","{'net': 1.4390438345768894, 'dd': 0.433516314726744, 'positive_months': 18, 'negative_months': 15, 'worst_month': -0.19077734741749625}"
10,2.0,3.176884414214914,0.20946792208688678,43,30,-0.19335982413796338,0.9945107125051521,136.33333333333331,"{'net': 1.7435739129713572, 'dd': 0.20946792208688678, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.19335982413796338}","{'net': 1.433310501243556, 'dd': 0.43435396804225496, 'positive_months': 18, 'negative_months': 15, 'worst_month': -0.19097734741749625}"
10,5.0,3.1359844142149136,0.2126930116011559,43,30,-0.19395982413796337,0.9891107125051521,136.33333333333331,"{'net': 1.719873912971357, 'dd': 0.2126930116011559, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.19395982413796337}","{'net': 1.4161105012435562, 'dd': 0.4368818480836557, 'positive_months': 18, 'negative_months': 15, 'worst_month': -0.19157734741749624}"
10,10.0,3.067817747548247,0.21812383281608627,43,30,-0.19495982413796337,0.9801107125051522,136.33333333333331,"{'net': 1.680373912971357, 'dd': 0.21812383281608627, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.19495982413796337}","{'net': 1.3874438345768894, 'dd': 0.44114538448673013, 'positive_months': 18, 'negative_months': 15, 'worst_month': -0.19257734741749624}"
15,0.0,3.100196814817637,0.1940848795167756,43,30,-0.18812112001265943,0.9468515171669986,132.33333333333334,"{'net': 1.6203930754538205, 'dd': 0.1940848795167756, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.18035807658220435}","{'net': 1.4798037393638162, 'dd': 0.41412570813567406, 'positive_months': 19, 'negative_months': 14, 'worst_month': -0.18812112001265943}"
15,1.0,3.086963481484303,0.1951308733366695,43,30,-0.1883877866793261,0.9450515171669986,132.33333333333334,"{'net': 1.6125597421204874, 'dd': 0.1951308733366695, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.1804914099155377}","{'net': 1.474403739363816, 'dd': 0.4149255597507772, 'positive_months': 19, 'negative_months': 14, 'worst_month': -0.1883877866793261}"
15,2.0,3.07373014815097,0.19617947370443156,43,30,-0.18865445334599276,0.9432515171669987,132.33333333333334,"{'net': 1.6047264087871538, 'dd': 0.19617947370443156, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.180624743248871}","{'net': 1.469003739363816, 'dd': 0.41572757310110797, 'positive_months': 19, 'negative_months': 14, 'worst_month': -0.18865445334599276}"
15,5.0,3.03403014815097,0.19934101189067144,43,30,-0.18945445334599276,0.9378515171669985,132.33333333333334,"{'net': 1.581226408787154, 'dd': 0.19934101189067144, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.18102474324887102}","{'net': 1.4528037393638162, 'dd': 0.4181466715570583, 'positive_months': 19, 'negative_months': 14, 'worst_month': -0.18945445334599276}"
15,10.0,2.9678634814843035,0.2046632933033206,43,30,-0.19078778667932608,0.9288515171669987,132.33333333333334,"{'net': 1.5420597421204871, 'dd': 0.2046632933033206, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.18169140991553767}","{'net': 1.425803739363816, 'dd': 0.4222225655075507, 'positive_months': 19, 'negative_months': 14, 'worst_month': -0.19078778667932608}"
21,0.0,3.6538296906839665,0.17395434721087405,48,25,-0.1657034400917875,1.1742773974975118,127.66666666666669,"{'net': 1.6502265798831643, 'dd': 0.16815445245848307, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.1657034400917875}","{'net': 2.0036031108008023, 'dd': 0.3632330766231803, 'positive_months': 23, 'negative_months': 10, 'worst_month': -0.16540944938580016}"
21,1.0,3.6410630240173,0.17458701078164507,48,25,-0.16597010675845417,1.172610730830845,127.66666666666669,"{'net': 1.6424599132164976, 'dd': 0.16898587299550885, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.16597010675845417}","{'net': 1.9986031108008022, 'dd': 0.3638847396911376, 'positive_months': 23, 'negative_months': 10, 'worst_month': -0.16567611605246682}"
21,2.0,3.628296357350633,0.1752235199883951,48,25,-0.16623677342512083,1.1709440641641784,127.66666666666669,"{'net': 1.634693246549831, 'dd': 0.16981948117011214, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.16623677342512083}","{'net': 1.993603110800802, 'dd': 0.3645379532908546, 'positive_months': 23, 'negative_months': 10, 'worst_month': -0.16594278271913349}"
21,5.0,3.589996357350633,0.17715647528553358,48,25,-0.16703677342512083,1.1659440641641785,127.66666666666669,"{'net': 1.6113932465498308, 'dd': 0.1723335182033474, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.16703677342512083}","{'net': 1.9786031108008024, 'dd': 0.36650695281754453, 'positive_months': 23, 'negative_months': 10, 'worst_month': -0.16674278271913348}"
21,10.0,3.526163024017299,0.18045834900600155,48,25,-0.16837010675845415,1.1576107308308452,127.66666666666669,"{'net': 1.5725599132164978, 'dd': 0.17656814864250925, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.16837010675845415}","{'net': 1.9536031108008025, 'dd': 0.36982015167804577, 'positive_months': 23, 'negative_months': 10, 'worst_month': -0.1680761160524668}"
30,0.0,4.19034514354385,0.1533075507415588,48,25,-0.13151816385777354,1.5133987006767329,136.33333333333331,"{'net': 1.9323989082828705, 'dd': 0.1533075507415588, 'positive_months': 26, 'negative_months': 15, 'worst_month': -0.13151816385777354}","{'net': 2.2579462352609805, 'dd': 0.3508375055089441, 'positive_months': 23, 'negative_months': 10, 'worst_month': -0.12664521110542912}"
30,1.0,4.1767118102105165,0.1534752381446435,48,25,-0.13158483052444023,1.5112653673433996,136.33333333333331,"{'net': 1.9242322416162037, 'dd': 0.1534752381446435, 'positive_months': 26, 'negative_months': 15, 'worst_month': -0.13158483052444023}","{'net': 2.2524795685943135, 'dd': 0.3514838803631046, 'positive_months': 23, 'negative_months': 10, 'worst_month': -0.1269118777720958}"
30,2.0,4.163078476877184,0.15364310391045893,48,25,-0.1316514971911069,1.509132034010066,136.33333333333331,"{'net': 1.9160655749495372, 'dd': 0.15364310391045893, 'positive_months': 26, 'negative_months': 15, 'worst_month': -0.1316514971911069}","{'net': 2.247012901927647, 'dd': 0.3521319319883721, 'positive_months': 23, 'negative_months': 10, 'worst_month': -0.12717854443876248}"
30,5.0,4.122178476877184,0.15414777423460305,48,25,-0.1318514971911069,1.5027320340100658,136.33333333333331,"{'net': 1.891565574949537, 'dd': 0.15414777423460305, 'positive_months': 26, 'negative_months': 15, 'worst_month': -0.1318514971911069}","{'net': 2.230612901927647, 'dd': 0.35408621299176385, 'positive_months': 23, 'negative_months': 10, 'worst_month': -0.12797854443876247}"
30,10.0,4.054011810210517,0.1549924853903872,48,25,-0.13218483052444022,1.4920653673433995,136.33333333333331,"{'net': 1.8507322416162035, 'dd': 0.1549924853903872, 'positive_months': 26, 'negative_months': 15, 'worst_month': -0.13218483052444022}","{'net': 2.203279568594313, 'dd': 0.35737749991269235, 'positive_months': 23, 'negative_months': 10, 'worst_month': -0.1293118777720958}"
