skip,compounded_return,maximum_drawdown,drawdown_peak,drawdown_trough
0,1.845718422496689,0.444462992586272,2026-06-18,2026-07-28
1,1.870904434493124,0.44253247333049206,2026-06-18,2026-07-28
5,2.4214040873496545,0.3867506578896527,2026-06-18,2026-07-31
10,1.7275648018096699,0.4210256104064042,2026-06-18,2026-07-27
15,1.078472336881637,0.43907299688423373,2026-06-18,2026-08-05
21,2.242113204755375,0.4078072978745625,2026-06-18,2026-07-29
30,3.6898371039733684,0.43748809779843356,2026-06-18,2026-08-05
