candidate,extra_adverse_bps_per_side,year,net_pnl
qqq_single_ma150_weekly_top1,0.0,2019,0.0
qqq_single_ma150_weekly_top1,0.0,2020,1.3132214412685617
qqq_single_ma150_weekly_top1,0.0,2021,-0.0024683683306180315
qqq_single_ma150_weekly_top1,0.0,2022,-0.25043323027145936
qqq_single_ma150_weekly_top1,0.0,2023,0.9297595057785768
qqq_single_ma150_weekly_top1,0.0,2024,0.5553078526253276
qqq_single_ma150_weekly_top1,0.0,2025,0.7413902706882971
qqq_single_ma150_weekly_top1,0.0,2026,0.9521839597079731
qqq_single_ma150_weekly_top1,1.0,2019,0.0
qqq_single_ma150_weekly_top1,1.0,2020,1.3109214412685615
qqq_single_ma150_weekly_top1,1.0,2021,-0.005668368330618033
qqq_single_ma150_weekly_top1,1.0,2022,-0.25463323027145934
qqq_single_ma150_weekly_top1,1.0,2023,0.9281595057785768
qqq_single_ma150_weekly_top1,1.0,2024,0.5535078526253275
qqq_single_ma150_weekly_top1,1.0,2025,0.7395902706882971
qqq_single_ma150_weekly_top1,1.0,2026,0.951583959707973
qqq_single_ma150_weekly_top1,2.0,2019,0.0
qqq_single_ma150_weekly_top1,2.0,2020,1.3086214412685615
qqq_single_ma150_weekly_top1,2.0,2021,-0.008868368330617993
qqq_single_ma150_weekly_top1,2.0,2022,-0.2588332302714593
qqq_single_ma150_weekly_top1,2.0,2023,0.9265595057785768
qqq_single_ma150_weekly_top1,2.0,2024,0.5517078526253275
qqq_single_ma150_weekly_top1,2.0,2025,0.7377902706882971
qqq_single_ma150_weekly_top1,2.0,2026,0.9509839597079731
qqq_single_ma150_weekly_top1,5.0,2019,0.0
qqq_single_ma150_weekly_top1,5.0,2020,1.3017214412685616
qqq_single_ma150_weekly_top1,5.0,2021,-0.018468368330618046
qqq_single_ma150_weekly_top1,5.0,2022,-0.2714332302714594
qqq_single_ma150_weekly_top1,5.0,2023,0.9217595057785768
qqq_single_ma150_weekly_top1,5.0,2024,0.5463078526253276
qqq_single_ma150_weekly_top1,5.0,2025,0.7323902706882971
qqq_single_ma150_weekly_top1,5.0,2026,0.9491839597079731
qqq_single_ma150_weekly_top1,10.0,2019,0.0
qqq_single_ma150_weekly_top1,10.0,2020,1.2902214412685615
qqq_single_ma150_weekly_top1,10.0,2021,-0.03446836833061806
qqq_single_ma150_weekly_top1,10.0,2022,-0.2924332302714594
qqq_single_ma150_weekly_top1,10.0,2023,0.9137595057785768
qqq_single_ma150_weekly_top1,10.0,2024,0.5373078526253275
qqq_single_ma150_weekly_top1,10.0,2025,0.7233902706882971
qqq_single_ma150_weekly_top1,10.0,2026,0.9461839597079731
qqq_single_ma150_weekly_top10,0.0,2019,0.0
qqq_single_ma150_weekly_top10,0.0,2020,0.7351622918031268
qqq_single_ma150_weekly_top10,0.0,2021,0.17183565704224502
qqq_single_ma150_weekly_top10,0.0,2022,-0.42140713648396694
qqq_single_ma150_weekly_top10,0.0,2023,0.3418850576187108
qqq_single_ma150_weekly_top10,0.0,2024,0.08460061866026963
qqq_single_ma150_weekly_top10,0.0,2025,0.39375636822850013
qqq_single_ma150_weekly_top10,0.0,2026,0.4243092693820583
qqq_single_ma150_weekly_top10,1.0,2019,0.0
qqq_single_ma150_weekly_top10,1.0,2020,0.7336422918031268
qqq_single_ma150_weekly_top10,1.0,2021,0.170275657042245
qqq_single_ma150_weekly_top10,1.0,2022,-0.42418062854745897
qqq_single_ma150_weekly_top10,1.0,2023,0.33978505761871075
qqq_single_ma150_weekly_top10,1.0,2024,0.08226061866026961
