candidate,extra_adverse_bps_per_side,symbol,net_pnl
qqq_single_ma150_weekly_top1,0.0,DLTR,0.0
qqq_single_ma150_weekly_top1,0.0,DOCU,0.0
qqq_single_ma150_weekly_top1,0.0,EA,0.0
qqq_single_ma150_weekly_top1,0.0,CSX,0.0
qqq_single_ma150_weekly_top1,0.0,CTAS,0.0
qqq_single_ma150_weekly_top1,0.0,CTSH,0.0
qqq_single_ma150_weekly_top1,0.0,LBTYK,0.0
qqq_single_ma150_weekly_top1,0.0,LBTYA,0.0
qqq_single_ma150_weekly_top1,0.0,GOOG,0.0
qqq_single_ma150_weekly_top1,0.0,HON,0.0
qqq_single_ma150_weekly_top1,0.0,INCY,0.0
qqq_single_ma150_weekly_top1,0.0,HSIC,0.0
qqq_single_ma150_weekly_top1,0.0,IDXX,0.0
qqq_single_ma150_weekly_top1,0.0,ILMN,0.0
qqq_single_ma150_weekly_top1,0.0,ISRG,0.0
qqq_single_ma150_weekly_top1,0.0,JBHT,0.0
qqq_single_ma150_weekly_top1,0.0,JD,0.0
qqq_single_ma150_weekly_top1,0.0,KDP,0.0
qqq_single_ma150_weekly_top1,0.0,KHC,0.0
qqq_single_ma150_weekly_top1,0.0,INSM,0.0
qqq_single_ma150_weekly_top1,0.0,INTC,0.0
qqq_single_ma150_weekly_top1,0.0,INTU,0.0
qqq_single_ma150_weekly_top1,0.0,MDLZ,0.0
qqq_single_ma150_weekly_top1,0.0,MDB,0.0
qqq_single_ma150_weekly_top1,0.0,KLAC,0.0
qqq_single_ma150_weekly_top1,0.0,LIN,0.0
qqq_single_ma150_weekly_top1,0.0,MAR,0.0
qqq_single_ma150_weekly_top1,0.0,FER,0.0
qqq_single_ma150_weekly_top1,0.0,FOX,0.0
qqq_single_ma150_weekly_top1,0.0,FOXA,0.0
qqq_single_ma150_weekly_top1,0.0,GOOGL,0.0
qqq_single_ma150_weekly_top1,0.0,FTNT,0.0
qqq_single_ma150_weekly_top1,0.0,GEHC,0.0
qqq_single_ma150_weekly_top1,0.0,GFS,0.0
qqq_single_ma150_weekly_top1,0.0,HAS,0.0
qqq_single_ma150_weekly_top1,0.0,DXCM,0.0
qqq_single_ma150_weekly_top1,0.0,EBAY,0.0
qqq_single_ma150_weekly_top1,0.0,EXC,0.0
qqq_single_ma150_weekly_top1,0.0,WYNN,0.0
qqq_single_ma150_weekly_top1,0.0,WBA,0.0
qqq_single_ma150_weekly_top1,0.0,WTW,0.0
qqq_single_ma150_weekly_top1,0.0,SGEN,0.0
qqq_single_ma150_weekly_top1,0.0,SBUX,0.0
qqq_single_ma150_weekly_top1,0.0,ROST,0.0
qqq_single_ma150_weekly_top1,0.0,MSFT,0.0
