clock,execution,extra_slippage_bps_per_side,net_simple_return,maximum_drawdown,orders,filled_orders,fill_rate,active_sessions,calendar_sessions,active_session_fraction,trades_per_active_session,green_sessions,red_sessions,positive_months,negative_months,inactive_months,monthly_average,monthly_median,worst_month,best_month
0930,bid_touch_5m,0,0.11186144303911748,0.05611091672774633,2503,1273,0.508589692369157,251,251,1.0,5.0717131474103585,147,104,9,3,0,0.009321786919926455,0.009847534974065587,-0.02773157034381022,0.03319198469825126
0930,bid_touch_5m,1,0.08628501446768887,0.05989458224680571,2503,1273,0.508589692369157,251,251,1.0,5.0717131474103585,143,108,9,3,0,0.007190417872307404,0.007854320688351298,-0.029751570343810225,0.03080198469825126
0930,bid_touch_5m,2,0.060708585896260256,0.06484139268907209,2503,1273,0.508589692369157,251,251,1.0,5.0717131474103585,141,110,9,3,0,0.005059048824688357,0.00586110640263701,-0.03177157034381023,0.028411984698251264
0930,bid_touch_5m,5,-0.01602069981802539,0.09754847127339615,2503,1273,0.508589692369157,251,251,1.0,5.0717131474103585,136,115,6,6,0,-0.0013350583181687815,-0.00011853645450584315,-0.03783157034381022,0.021241984698251264
0930,marketable_post_cross,0,-0.969613752223925,0.9705201475505566,2503,2503,1.0,251,251,1.0,9.97211155378486,62,189,0,12,0,-0.08080114601866041,-0.08583905593513433,-0.11413228219122912,-0.053783379060073556
0930,marketable_post_cross,1,-1.019813752223925,1.0208430521904732,2503,2503,1.0,251,251,1.0,9.97211155378486,59,192,0,12,0,-0.08498447935199376,-0.09003905593513434,-0.11853228219122912,-0.05758337906007356
0930,marketable_post_cross,2,-1.070013752223925,1.0711862224572521,2503,2503,1.0,251,251,1.0,9.97211155378486,55,196,0,12,0,-0.08916781268532707,-0.09423905593513433,-0.12293228219122912,-0.06138337906007356
0930,marketable_post_cross,5,-1.2206137522239249,1.2223374495108599,2503,2503,1.0,251,251,1.0,9.97211155378486,46,205,0,12,0,-0.10171781268532708,-0.10683905593513433,-0.1361322821912291,-0.07278337906007355
0930,marketable_target_limit,0,-0.8808304080974199,0.8828677123011535,2503,2503,1.0,251,251,1.0,9.97211155378486,70,181,0,12,0,-0.07340253400811833,-0.077733496178531,-0.10341419515065577,-0.04832586952350647
0930,marketable_target_limit,1,-0.9310304080974201,0.9331703953220142,2503,2503,1.0,251,251,1.0,9.97211155378486,67,184,0,12,0,-0.07758586734145166,-0.08193349617853099,-0.10781419515065578,-0.05212586952350648
