campaign_id,variant_id,decision,quote_net_return,maximum_drawdown,coverage_rate,positive_months,negative_months,mean_entry_spread_bps,mean_exit_spread_bps
CAM-0601,qqq__sue_sec__hold1__q20__long,quote_rejected,-0.12144697005499175,0.28992413280040485,0.9792,5,7,14.507916204936295,14.563217149452797
CAM-0602,qqq__btp__profitable__hold1__q10,quote_rejected,-0.2616981817211751,0.2916625391344538,0.9741816505301982,4,8,15.478969355413936,15.405121389133761
CAM-0603,qqq__lowvol63__hold1__q10,quote_rejected,-0.35702035995884573,0.43250745094065707,0.964,3,9,12.80218231247806,12.793935867044947
CAM-0604,qqq__mom50_val50__profitable__q10,quote_survives_incomplete,0.15242250438627103,0.11264430744866935,0.9912402028584602,7,5,10.239828968508032,10.247425374252298
CAM-0605,qqq__residual_mom__q10__regime0,quote_rejected,-0.24214543824735757,0.4316588093355089,0.9694545454545455,4,8,17.434990927037408,17.445791795108732
CAM-0611,etf__sma50_200__long,quote_survives_incomplete,0.0715580129153684,0.13855641278914926,0.9991699522722557,8,4,1.34667827866584,1.3495290571581848
CAM-0612,etf__sma10_50_200__long,quote_survives_incomplete,0.09476041671264546,0.15245982477612974,0.9988748241912799,9,3,1.2796340719127448,1.2819913377172456
CAM-0614,qqq__donchian10__long,quote_rejected,-0.2519579558155075,0.34016353050753134,0.9697282421740626,4,8,17.309100619331318,17.2506854364276
CAM-0615,qqq__fullcov_shrink50__mom60__long,quote_rejected,-0.2401615174845646,0.28762107299583206,0.968920164195359,4,8,16.190357279099633,16.19243577027334
CAM-0618,sector11__mom252__hold6__top1,quote_rejected,-0.014928557627454181,0.25366534427588605,1.0,7,5,1.2964992497946444,1.293781257298565
CAM-0619,sector11__mom126__sma200__top1,quote_rejected,-0.12063896278448627,0.45250874313706846,1.0,7,5,1.1475493014575149,1.1490565416177063
CAM-0620,sector11__mom126__sma200__fallback_GLD,quote_rejected,-0.13893399094930603,0.45582284977328663,1.0,7,5,1.0838170015767026,1.0832773932855142
CAM-0621,etf__ibs_le20__trend0__long,quote_rejected,-0.05339169481846455,0.1464653507074894,0.9970544918998527,6,6,2.5163394656882985,2.5801632149748177
CAM-0623,qqq__chs_safe__q10__none,quote_survives_incomplete,0.5701707459575127,0.13228003078463085,0.9848888888888889,6,6,13.19039147320446,13.254513886874898
CAM-0624,sp500__chs_safe_q20__target15__vol126,quote_rejected,-0.26644312651044944,0.3342606786378671,0.9827150986180636,2,10,26.49962526728413,26.49898335907903
