campaign_id,run_id,variant_id,clock,extra_slippage_bps_per_side,net_simple_return,maximum_drawdown,trade_roles,complete_trade_roles,role_coverage,active_sessions,green_sessions,red_sessions,positive_months,negative_months,monthly_average,monthly_median,worst_month,best_month,mean_spread_bps,reference_price,holdout_rows_loaded,broker_margin,direct_short
CAM-0600,RUN-0009,sp500__mom63_skip0__top3__liquid__panic1,0930,0.0,1.1529141840661845,0.13577727701455242,66,66,1.0,235,133,102,10,2,0.09607618200551536,0.08484150145180185,-0.14298765207696068,0.4042279457404074,77.25762287609055,09:30 SIP midpoint,0,False,False
CAM-0600,RUN-0009,sp500__mom63_skip0__top3__liquid__panic1,0930,2.0,1.1489489185005832,0.13590965525553977,66,66,1.0,235,133,102,10,2,0.09574574320838196,0.08464150145180185,-0.1433876520769607,0.4039122607657647,77.25762287609055,09:30 SIP midpoint,0,False,False
CAM-0600,RUN-0009,sp500__mom63_skip0__top3__liquid__panic1,0930,5.0,1.1430010201521816,0.13610870731698008,66,66,1.0,235,133,102,10,2,0.09525008501268183,0.08434150145180185,-0.14398765207696068,0.4034387333038007,77.25762287609055,09:30 SIP midpoint,0,False,False
CAM-0600,RUN-0009,sp500__mom63_skip0__top3__liquid__panic1,0930,10.0,1.1330878562381794,0.13644175961148866,66,66,1.0,235,133,102,10,2,0.09442398801984832,0.08384150145180184,-0.14498765207696068,0.4026495208671941,77.25762287609055,09:30 SIP midpoint,0,False,False
CAM-0601,RUN-0009,qqq__sue__hold3__top5__price20,0930,0.0,0.41255772844342886,0.14257035464556347,94,94,1.0,251,151,100,8,4,0.03437981070361907,0.03516653004729174,-0.07376326236649117,0.1407172084448787,58.577112377226854,09:30 SIP midpoint,0,False,False
CAM-0601,RUN-0009,qqq__sue__hold3__top5__price20,0930,2.0,0.41155855225285276,0.14290130773351095,94,94,1.0,251,151,100,8,4,0.034296546021071066,0.03507088645403867,-0.07382641475415888,0.14058387511154538,58.577112377226854,09:30 SIP midpoint,0,False,False
CAM-0601,RUN-0009,qqq__sue__hold3__top5__price20,0930,5.0,0.41005978796698855,0.14339828459564888,94,94,1.0,251,151,100,8,4,0.034171648997249046,0.034927421064159074,-0.07392114333566045,0.14038387511154538,58.577112377226854,09:30 SIP midpoint,0,False,False
CAM-0601,RUN-0009,qqq__sue__hold3__top5__price20,0930,10.0,0.40756184749054813,0.14422804186722893,94,94,1.0,251,151,100,8,4,0.03396348729087901,0.03468831208102641,-0.07407902430482974,0.14005054177821202,58.577112377226854,09:30 SIP midpoint,0,False,False
CAM-0602,RUN-0009,qqq__value_quality__top5__trend0,0930,0.0,0.8154537264649119,0.10854454424326851,70,70,1.0,251,155,96,10,2,0.06795447720540933,0.06455554309563123,-0.04518285106890832,0.28910185848019543,59.35369927329044,09:30 SIP midpoint,0,False,False
CAM-0602,RUN-0009,qqq__value_quality__top5__trend0,0930,2.0,0.8144166966840625,0.10872366882116498,70,70,1.0,251,155,96,10,2,0.0678680580570052,0.06446074829005241,-0.04530276165850318,0.28899471037680846,59.35369927329044,09:30 SIP midpoint,0,False,False
CAM-0602,RUN-0009,qqq__value_quality__top5__trend0,0930,5.0,0.8128611520127884,0.10899264246375119,70,70,1.0,251,155,96,10,2,0.06773842933439904,0.06431855608168416,-0.04548262754289545,0.28883398822172807,59.35369927329044,09:30 SIP midpoint,0,False,False
CAM-0602,RUN-0009,qqq__value_quality__top5__trend0,0930,10.0,0.8102685775606648,0.10944169823755605,70,70,1.0,251,155,96,10,2,0.06752238146338872,0.06408156906773707,-0.04578240401688259,0.2885661179632607,59.35369927329044,09:30 SIP midpoint,0,False,False
CAM-0603,RUN-0009,qqq__lowvol_quality__top20__trend1,0930,0.0,0.2428914979150033,0.0715195364463339,280,280,1.0,251,141,110,8,4,0.020240958159583614,0.01633316115403059,-0.04204841233871921,0.13052120446376647,65.45663347926363,09:30 SIP midpoint,0,False,False
CAM-0603,RUN-0009,qqq__lowvol_quality__top20__trend1,0930,2.0,0.24177419466621994,0.07163358083130691,280,280,1.0,251,141,110,8,4,0.020147849555518328,0.016263436423903165,-0.04211045865364088,0.13047236656389383,65.45663347926363,09:30 SIP midpoint,0,False,False
CAM-0603,RUN-0009,qqq__lowvol_quality__top20__trend1,0930,5.0,0.24009823979304484,0.07180501412535169,280,280,1.0,251,141,110,8,4,0.0200081866494204,0.016158849328712033,-0.04220352812602339,0.13039910971408486,65.45663347926363,09:30 SIP midpoint,0,False,False
