campaign_id,variant_id,full_net,maximum_drawdown,months,positive_months,negative_months,recent12,recent12_percentile,worst_rolling12,median_rolling12,positive_rolling12_fraction,quote0940_net_2bps_extra,quote0940_drawdown,quote0940_positive_months,quote0940_negative_months,quote_role_coverage
CAM-0600,sp500__mom63_skip0__top3__liquid__panic1,2.1876168834767507,0.14093626462837813,60,30,14,1.2334652168342766,0.9795918367346939,-0.016612751565260125,0.3734423209936568,0.9795918367346939,1.2305489938735057,0.1346774237715125,11,1,1.0
CAM-0611,qqq__ma50_200__weekly__top3__momentum,3.0797545172018594,0.22109792703808825,83,47,26,1.2015300266866626,0.9722222222222222,-0.21563615464722974,0.4175507618797679,0.8055555555555556,1.2192463411988794,0.1244686332285264,9,3,1.0
CAM-0610,qqq__ma150__weekly__top3__momentum,3.0023638737957645,0.3852959489879379,83,46,30,1.1628901748660547,0.9444444444444444,-0.3766870940495478,0.41616669520228566,0.7916666666666666,1.167548461701624,0.1289192533684452,9,3,1.0
CAM-0612,qqq__ma10_50_200__monthly__top3__momentum,1.7814822583729635,0.394706181591689,83,42,30,0.9819644563142311,0.9861111111111112,-0.5514717010026122,0.26516204236573926,0.6527777777777778,0.9482490651522631,0.1581444836327301,8,4,1.0
CAM-0602,qqq__value_quality__top5__trend0,1.6700600671809762,0.23690387467614765,83,53,27,0.8285437601174361,1.0,-0.27900099298684794,0.26365116860641413,0.7361111111111112,0.8200971172595702,0.1036657929065338,10,2,1.0
CAM-0623,qqq__chs_safe__top5__liquid__raw,1.4481768131275465,0.29228017248611465,83,43,27,0.7778119593124746,1.0,-0.36727977127820177,0.1628822789309943,0.75,0.7624743443316921,0.0965200903520299,9,3,1.0
CAM-0617,etf__alpha_M20_E5__top5__monthly__trend0,1.959860560613951,0.3241075343847185,88,55,29,0.5888757818477502,0.935064935064935,-0.30917085071427963,0.2532108771097991,0.9090909090909091,0.6428665575104067,0.1567266608989109,9,3,1.0
CAM-0601,qqq__sue__hold3__top5__price20,1.220179706169107,0.3488160298874995,83,48,32,0.4301849840951246,0.9861111111111112,-0.39298002994289727,0.209421119892424,0.8055555555555556,0.4240549555508304,0.1425334705883656,8,4,1.0
CAM-0604,sp500__value_quality__top20__trend0,0.7279868185181768,0.1603618908709209,60,28,18,0.418617568377714,1.0,-0.07580387107207273,0.13283752372047117,0.8367346938775511,0.4217224252118287,0.0522079178182284,11,1,1.0
CAM-0619,sector11__mom63_skip0__monthly__top1,1.299563398714651,0.1755432227380992,88,48,33,0.36873269567233413,0.8571428571428571,-0.11425614534375872,0.13824616603983458,0.8181818181818182,0.3948595818432061,0.1000197855629909,8,4,1.0
CAM-0620,sector11__mom63_skip0__monthly__top1,1.1793742131261447,0.16864232653582745,88,57,30,0.3446736092217322,0.8441558441558441,-0.0764685012997983,0.11523678497232481,0.8571428571428571,0.3587493542799908,0.0931690477026406,8,4,1.0
CAM-0616,qqq__fullcov_s50__mom60__positive_top10,1.310421409718649,0.24090118250828466,83,49,27,0.33264895786595544,0.8194444444444444,-0.2500817581226839,0.21306982430886784,0.8333333333333334,0.338826861351149,0.0742299694753227,9,3,1.0
CAM-0615,qqq__fullcov_s50__mom60__positive_top10,1.3165253882517265,0.2519729147311602,83,48,28,0.325774638666863,0.8194444444444444,-0.22687838892014217,0.21345105182695756,0.8333333333333334,0.3296707300537226,0.0701176713230585,9,3,1.0
CAM-0605,qqq__resmom__top3__liquid,1.1588505721801217,0.17821778291731663,83,32,13,0.30273138691291207,0.75,-0.053794280440178255,0.08609423217094304,0.5694444444444444,0.2838760632745659,0.2249890169561286,9,3,1.0
CAM-0621,etf__ibs30__top5__hold3__trend1,1.5363342674432792,0.14018655578431077,88,52,27,0.2341663808601803,0.5454545454545454,-0.0047203393756961864,0.22230440624466236,0.987012987012987,0.276740936192023,0.0488262496777003,7,5,1.0
CAM-0608,qqq__slow_residual_r10__top10__monthly,1.4493756065312868,0.30090896021232594,83,46,30,0.2908538470649436,0.5277777777777778,-0.37798607935755657,0.26392121149897685,0.7638888888888888,0.270828995043932,0.3266130980392224,8,4,1.0
CAM-0618,sector11__mom252_skip21__weekly__top3,1.1156596031290853,0.34090770672697784,88,53,22,0.2520377922569115,0.8181818181818182,-0.24087703607546904,0.1614194389431678,0.8961038961038961,0.2636976965844868,0.0557124982713536,11,1,1.0
CAM-0603,qqq__lowvol_quality__top20__trend1,0.8519523022799581,0.26530722178974836,83,48,24,0.26192783861802,0.8194444444444444,-0.29452771510840325,0.14406566164821633,0.8055555555555556,0.2602756484935316,0.0699137623784907,8,4,1.0
CAM-0607,etf__long_cheap_r2__top1__z1__trend0,3.0485405953615663,0.21982208755417687,88,56,31,0.7872816467862238,0.7922077922077922,-0.4208441280825875,0.4586573292273741,0.8571428571428571,0.2512686923042891,0.3002210618639839,8,4,1.0
CAM-0609,qqq__slow_residual_r10__top10__monthly,1.2660302455680363,0.2534769281484921,83,47,29,0.255553614959627,0.7361111111111112,-0.1404814203221537,0.1520197131694349,0.8611111111111112,0.2466179565224733,0.1379507750594768,8,4,1.0
CAM-0622,QQQ__target15__vol20__monthly__thr20__def1,1.1621951104344348,0.16180775617267684,88,58,29,0.18333817106657654,0.5324675324675324,-0.10620372301357274,0.17103183066835217,0.9090909090909091,0.1802407899773932,0.0944374048595443,8,4,1.0
CAM-0624,qqq__chs_safe__top5__liquid__target8,0.5048929865508118,0.1054286736972994,83,43,27,0.17795976594232824,0.8888888888888888,-0.09530213790580319,0.06761566334196661,0.7638888888888888,0.1750609269087059,0.0371801285829414,9,3,1.0
CAM-0614,sp500__donchian20__reversal,0.48823657670052895,0.220505244449053,60,33,26,0.11639752633742932,0.7142857142857143,-0.17555854742667923,0.07516268448853396,0.7551020408163265,0.0888823741056381,0.0745390026631851,8,4,0.999301252229557
