campaign_id,run_id,variant_id,clock,extra_slippage_bps_per_side,net_simple_return,maximum_drawdown,trade_roles,complete_trade_roles,role_coverage,active_sessions,green_sessions,red_sessions,positive_months,negative_months,monthly_average,monthly_median,worst_month,best_month,mean_spread_bps,holdout_rows_loaded,broker_margin,direct_short
CAM-0600,RUN-0009,sp500__mom63_skip0__top3__liquid__panic1,0930,0.0,1.1632090152096863,0.13475625689994744,66,66,1.0,235,133,102,10,2,0.0969340846008072,0.08354569006022994,-0.14123090885502843,0.4048563764412736,77.25762287609055,0,False,False
CAM-0600,RUN-0009,sp500__mom63_skip0__top3__liquid__panic1,0930,2.0,1.1592437496440855,0.13488665075064016,66,66,1.0,235,133,102,10,2,0.0966036458036738,0.08334569006022996,-0.14163090885502844,0.40454069146663096,77.25762287609055,0,False,False
CAM-0600,RUN-0009,sp500__mom63_skip0__top3__liquid__panic1,0930,5.0,1.1532958512956841,0.1350827153619233,66,66,1.0,235,133,102,10,2,0.09610798760797368,0.08304569006022994,-0.14223090885502843,0.40406716400466697,77.25762287609055,0,False,False
CAM-0600,RUN-0009,sp500__mom63_skip0__top3__liquid__panic1,0930,10.0,1.1433826873816817,0.13541075941174713,66,66,1.0,235,133,102,10,2,0.09528189061514014,0.08254569006022994,-0.14323090885502843,0.40327795156806034,77.25762287609055,0,False,False
CAM-0601,RUN-0009,qqq__sue__hold3__top5__price20,0930,0.0,0.41056767403846683,0.14369139615723947,94,94,1.0,251,151,100,8,4,0.034213972836538896,0.035189300796731014,-0.07403265367319677,0.1397769545842475,58.577112377226854,0,False,False
CAM-0601,RUN-0009,qqq__sue__hold3__top5__price20,0930,2.0,0.40956849784789073,0.1440229555566438,94,94,1.0,251,151,100,8,4,0.03413070815399089,0.03509365720347795,-0.07409580606086448,0.13964362125091417,58.577112377226854,0,False,False
CAM-0601,RUN-0009,qqq__sue__hold3__top5__price20,0930,5.0,0.40806973356202647,0.14452084307443197,94,94,1.0,251,151,100,8,4,0.03400581113016888,0.034950191813598354,-0.07419053464236605,0.13944362125091417,58.577112377226854,0,False,False
CAM-0601,RUN-0009,qqq__sue__hold3__top5__price20,0930,10.0,0.4055717930855861,0.14535212128275982,94,94,1.0,251,151,100,8,4,0.03379764942379885,0.03471108283046569,-0.07434841561153534,0.13911028791758084,58.577112377226854,0,False,False
CAM-0602,RUN-0009,qqq__value_quality__top5__trend0,0930,0.0,0.8166690191946198,0.10797927639509666,70,70,1.0,251,155,96,10,2,0.06805575159955164,0.06498811556500303,-0.045181062399115776,0.28907779963736946,59.35369927329044,0,False,False
CAM-0602,RUN-0009,qqq__value_quality__top5__trend0,0930,2.0,0.8156319894137702,0.1081581236775248,70,70,1.0,251,155,96,10,2,0.06796933245114752,0.0648933207594242,-0.04530097298871062,0.28897065153398255,59.35369927329044,0,False,False
CAM-0602,RUN-0009,qqq__value_quality__top5__trend0,0930,5.0,0.8140764447424962,0.10842668087510902,70,70,1.0,251,155,96,10,2,0.06783970372854133,0.06475112855105594,-0.045480838873102905,0.2888099293789021,59.35369927329044,0,False,False
CAM-0602,RUN-0009,qqq__value_quality__top5__trend0,0930,10.0,0.8114838702903727,0.10887504123258851,70,70,1.0,251,155,96,10,2,0.06762365585753106,0.06451414153710887,-0.04578061534709005,0.2885420591204348,59.35369927329044,0,False,False
CAM-0603,RUN-0009,qqq__lowvol_quality__top20__trend1,0930,0.0,0.2420230454877469,0.07154588127768734,280,280,1.0,251,141,110,8,4,0.02016858712397891,0.016300072199806198,-0.042011054542829676,0.1305706518876381,65.45663347926363,0,False,False
CAM-0603,RUN-0009,qqq__lowvol_quality__top20__trend1,0930,2.0,0.24090574223896344,0.07166004101828401,280,280,1.0,251,141,110,8,4,0.02007547851991362,0.016230347469678778,-0.042073100857751344,0.13052181398776547,65.45663347926363,0,False,False
CAM-0603,RUN-0009,qqq__lowvol_quality__top20__trend1,0930,5.0,0.23922978736578832,0.0718316480157097,280,280,1.0,251,141,110,8,4,0.019935815613815692,0.01612576037448764,-0.042166170330133854,0.13044855713795653,65.45663347926363,0,False,False
CAM-0603,RUN-0009,qqq__lowvol_quality__top20__trend1,0930,10.0,0.23643652924382985,0.07211864358833017,280,280,1.0,251,141,110,8,4,0.01970304410365249,0.015951448549169092,-0.04232128611743802,0.13032646238827494,65.45663347926363,0,False,False
CAM-0604,RUN-0009,sp500__value_quality__top20__trend0,0930,0.0,0.38603300681142816,0.058087717609577365,286,285,0.9965034965034965,251,146,105,10,2,0.03216941723428568,0.03283564915464335,-0.03697726398224166,0.12115133246090566,102.42025303048038,0,False,False
CAM-0604,RUN-0009,sp500__value_quality__top20__trend0,0930,2.0,0.38484357368627714,0.05825129926906824,286,285,0.9965034965034965,251,146,105,10,2,0.032070297807189764,0.03272039850017724,-0.03713610001385491,0.12109610588658133,102.42025303048038,0,False,False
CAM-0604,RUN-0009,sp500__value_quality__top20__trend0,0930,5.0,0.38305942399855064,0.05849712645247504,286,285,0.9965034965034965,251,145,106,10,2,0.03192161866654589,0.03254752251847807,-0.03737435406127476,0.12101326602509484,102.42025303048038,0,False,False
CAM-0604,RUN-0009,sp500__value_quality__top20__trend0,0930,10.0,0.38008584118567323,0.058908055444728095,286,285,0.9965034965034965,251,145,106,10,2,0.0316738200988061,0.03225939588231279,-0.03777144414030785,0.120875199589284,102.42025303048038,0,False,False
CAM-0605,RUN-0009,qqq__resmom__top3__liquid,0930,0.0,0.2878101683848198,0.23035044200504762,47,47,1.0,251,139,112,8,4,0.02398418069873499,0.023799691703829923,-0.17105233371924347,0.21744295174219838,45.42755218258707,0,False,False
CAM-0605,RUN-0009,qqq__resmom__top3__liquid,0930,2.0,0.28605658304262976,0.23063983766553903,47,47,1.0,251,139,112,7,5,0.023838048586885815,0.02358420257094384,-0.17106024776499282,0.21733867003599652,45.42755218258707,0,False,False
CAM-0605,RUN-0009,qqq__resmom__top3__liquid,0930,5.0,0.2834262050293447,0.23107460857237358,47,47,1.0,251,139,112,7,5,0.023618850419112058,0.023260968871614725,-0.17107211883361684,0.21718224747669373,45.42755218258707,0,False,False
CAM-0605,RUN-0009,qqq__resmom__top3__liquid,0930,10.0,0.27904224167386943,0.23180103884018852,47,47,1.0,251,138,113,7,5,0.023253520139489118,0.022722246039399527,-0.1710919039479902,0.2169215432111891,45.42755218258707,0,False,False
CAM-0607,RUN-0009,etf__long_cheap_r2__top1__z1__trend0,0930,0.0,0.7807584429782913,0.24067692833347787,478,477,0.997907949790795,237,126,111,8,4,0.06506320358152427,0.10656757005368128,-0.18255693429990305,0.26342752550815285,5.4621400023740385,0,False,False
CAM-0607,RUN-0009,etf__long_cheap_r2__top1__z1__trend0,0930,2.0,0.685558442978291,0.25455469007671205,478,477,0.997907949790795,238,126,112,8,4,0.05712987024819096,0.0993675700536813,-0.19095693429990304,0.25622752550815286,5.4621400023740385,0,False,False
CAM-0607,RUN-0009,etf__long_cheap_r2__top1__z1__trend0,0930,5.0,0.5427584429782911,0.27696966084538427,478,477,0.997907949790795,238,124,114,8,4,0.045229870248190925,0.08856757005368127,-0.20355693429990307,0.24542752550815283,5.4621400023740385,0,False,False
CAM-0607,RUN-0009,etf__long_cheap_r2__top1__z1__trend0,0930,10.0,0.3047584429782909,0.31929910342054596,478,477,0.997907949790795,238,122,116,8,4,0.025396536914857586,0.07056757005368126,-0.22455693429990306,0.22742752550815282,5.4621400023740385,0,False,False
CAM-0608,RUN-0011,qqq__slow_residual_r10__top10__monthly,0930,0.0,0.24396463004497726,0.3298833969587422,221,221,1.0,251,138,113,8,4,0.020330385837081435,0.013786732527589395,-0.18921650245256721,0.2488597197523548,52.99641107849989,0,False,False
CAM-0608,RUN-0011,qqq__slow_residual_r10__top10__monthly,0930,2.0,0.23980333764424772,0.33129364171904957,221,221,1.0,251,137,114,8,4,0.019983611470353973,0.013458783532240013,-0.18946225254606397,0.2484838050986288,52.99641107849989,0,False,False
CAM-0608,RUN-0011,qqq__slow_residual_r10__top10__monthly,0930,5.0,0.23356139904315323,0.3334175990046169,221,221,1.0,251,137,114,8,4,0.01946344992026277,0.01296686003921594,-0.1898308776863091,0.2479199331180398,52.99641107849989,0,False,False
CAM-0608,RUN-0011,qqq__slow_residual_r10__top10__monthly,0930,10.0,0.22315816804132918,0.33698062166935705,221,221,1.0,251,137,114,8,4,0.0185965140034441,0.012146987550842484,-0.19044525292005102,0.24698014648372482,52.99641107849989,0,False,False
CAM-0609,RUN-0011,qqq__slow_residual_r10__top10__monthly,0930,0.0,0.20191491208934875,0.16147478289126774,211,211,1.0,251,137,114,8,4,0.016826242674112396,0.021330102817696185,-0.10207526495293547,0.15152450476160675,59.79140767946673,0,False,False
CAM-0609,RUN-0011,qqq__slow_residual_r10__top10__monthly,0930,2.0,0.19808880945311746,0.1630195075866613,211,211,1.0,251,137,114,8,4,0.01650740078775979,0.0210603959025858,-0.10240155368937905,0.15124755952993418,59.79140767946673,0,False,False
CAM-0609,RUN-0011,qqq__slow_residual_r10__top10__monthly,0930,5.0,0.19234965549877053,0.16534630406858744,211,211,1.0,251,137,114,8,4,0.016029137958230872,0.02065583552992023,-0.1028909867940444,0.15083214168242529,59.79140767946673,0,False,False
CAM-0609,RUN-0011,qqq__slow_residual_r10__top10__monthly,0930,10.0,0.18278439890819223,0.16925040794758814,211,211,1.0,251,136,115,8,4,0.015232033242349353,0.019981568242144275,-0.10370670863515336,0.15013977860324382,59.79140767946673,0,False,False
CAM-0610,RUN-0009,qqq__ma150__weekly__top3__momentum,0930,0.0,1.1166738025054384,0.13199892005966596,52,52,1.0,251,133,118,9,3,0.09305615020878653,0.05212002748347556,-0.12125905367596174,0.42958931920855964,54.14628901549547,0,False,False
CAM-0610,RUN-0009,qqq__ma150__weekly__top3__momentum,0930,2.0,1.1132071358387714,0.13238914502420562,52,52,1.0,251,133,118,9,3,0.09276726131989764,0.05185336081680889,-0.12165905367596173,0.4291893192085596,54.14628901549547,0,False,False
CAM-0610,RUN-0009,qqq__ma150__weekly__top3__momentum,0930,5.0,1.1080071358387715,0.13297670947164877,52,52,1.0,251,133,118,9,3,0.0923339279865643,0.051453360816808895,-0.12225905367596174,0.42858931920855964,54.14628901549547,0,False,False
CAM-0610,RUN-0009,qqq__ma150__weekly__top3__momentum,0930,10.0,1.099340469172105,0.13396196758070195,52,52,1.0,251,133,118,9,3,0.09161170576434208,0.050786694150142225,-0.12325905367596174,0.42758931920855964,54.14628901549547,0,False,False
CAM-0611,RUN-0009,qqq__ma50_200__weekly__top3__momentum,0930,0.0,1.1524363818659535,0.1287272799023903,56,56,1.0,251,134,117,9,3,0.09603636515549614,0.05212002748347556,-0.12125905367596174,0.42958931920855964,53.786363643935076,0,False,False
CAM-0611,RUN-0009,qqq__ma50_200__weekly__top3__momentum,0930,2.0,1.1487030485326202,0.1291268741579924,56,56,1.0,251,134,117,9,3,0.09572525404438502,0.05185336081680889,-0.12165905367596173,0.4291893192085596,53.786363643935076,0,False,False
CAM-0611,RUN-0009,qqq__ma50_200__weekly__top3__momentum,0930,5.0,1.1431030485326201,0.12972876840834066,56,56,1.0,251,134,117,9,3,0.09525858737771835,0.051453360816808895,-0.12225905367596174,0.42858931920855964,53.786363643935076,0,False,False
CAM-0611,RUN-0009,qqq__ma50_200__weekly__top3__momentum,0930,10.0,1.133769715199287,0.13073865577742347,56,56,1.0,251,134,117,9,3,0.09448080959994058,0.050786694150142225,-0.12325905367596174,0.42758931920855964,53.786363643935076,0,False,False
CAM-0612,RUN-0009,qqq__ma10_50_200__monthly__top3__momentum,0930,0.0,0.955641922447745,0.1552672326134977,38,38,1.0,251,137,114,8,4,0.0796368268706454,0.052564409856758275,-0.08782565241148678,0.3897925068023795,44.405194345537936,0,False,False
CAM-0612,RUN-0009,qqq__ma10_50_200__monthly__top3__momentum,0930,2.0,0.9531085891144115,0.1555019200916468,38,38,1.0,251,137,114,8,4,0.07942571575953429,0.05243107652342494,-0.0879589857448201,0.38965917346904616,44.405194345537936,0,False,False
CAM-0612,RUN-0009,qqq__ma10_50_200__monthly__top3__momentum,0930,5.0,0.9493085891144116,0.15585528457568118,38,38,1.0,251,137,114,8,4,0.07910904909286763,0.052231076523424944,-0.0881589857448201,0.3894591734690461,44.405194345537936,0,False,False
CAM-0612,RUN-0009,qqq__ma10_50_200__monthly__top3__momentum,0930,10.0,0.9429752557810782,0.15644780779390272,38,38,1.0,251,137,114,8,4,0.07858127131508985,0.051897743190091605,-0.08849231907815343,0.38912584013571283,44.405194345537936,0,False,False
CAM-0614,RUN-0009,sp500__donchian20__reversal,0930,0.0,-0.10937587295623932,0.17299280312015997,54383,54150,0.9957155728812312,251,117,134,5,7,-0.009114656079686609,-0.004647402081172051,-0.048335234183792,0.019070077301831512,152.1812901432069,0,False,False
CAM-0614,RUN-0009,sp500__donchian20__reversal,0930,2.0,-0.11534358786521226,0.1776626668171346,54383,54150,0.9957155728812312,251,117,134,4,8,-0.009611965655434353,-0.005091258048308501,-0.04875453456302525,0.018542965854468227,152.1812901432069,0,False,False
CAM-0614,RUN-0009,sp500__donchian20__reversal,0930,5.0,-0.12429516022867164,0.1847869298054703,54383,54150,0.9957155728812312,251,117,134,4,8,-0.010357930019055968,-0.005757041999013175,-0.04938348513187511,0.017856543838205206,152.1812901432069,0,False,False
CAM-0614,RUN-0009,sp500__donchian20__reversal,0930,10.0,-0.13921444750110387,0.19705010741916945,54383,54150,0.9957155728812312,251,116,135,4,8,-0.011601203958425324,-0.006866681916854298,-0.05043173607995821,0.016712507144433515,152.1812901432069,0,False,False
CAM-0615,RUN-0009,qqq__fullcov_s50__mom60__positive_top10,0930,0.0,0.28087905422340115,0.08043945295408719,276,276,1.0,251,135,116,9,3,0.02340658785195009,0.0330701826254391,-0.06105633263811916,0.08505564363100403,74.16772868972329,0,False,False
CAM-0615,RUN-0009,qqq__fullcov_s50__mom60__positive_top10,0930,2.0,0.27833748715014955,0.08108795759611531,276,276,1.0,251,135,116,9,3,0.023194790595845807,0.03280491969935427,-0.061245125284167014,0.08484091809808368,74.16772868972329,0,False,False
CAM-0615,RUN-0009,qqq__fullcov_s50__mom60__positive_top10,0930,5.0,0.2745251365402724,0.0820619429476883,276,276,1.0,251,135,116,9,3,0.022877094711689364,0.03240702531022702,-0.06152831425323879,0.08451882979870315,74.16772868972329,0,False,False
CAM-0615,RUN-0009,qqq__fullcov_s50__mom60__positive_top10,0930,10.0,0.2681712188571436,0.08368853585323843,276,276,1.0,251,135,116,9,3,0.02234760157142864,0.03174386799501494,-0.062000295868358424,0.08398201596640227,74.16772868972329,0,False,False
CAM-0616,RUN-0009,qqq__fullcov_s50__mom60__positive_top10,0930,0.0,0.2865441983368743,0.08548669893870944,256,256,1.0,251,138,113,9,3,0.023878683194739517,0.03168387530676739,-0.055545722297046615,0.08472567263004531,71.63724733351835,0,False,False
CAM-0616,RUN-0009,qqq__fullcov_s50__mom60__positive_top10,0930,2.0,0.28396557278556545,0.08615212081797144,256,256,1.0,251,138,113,9,3,0.02366379773213045,0.031402726423049365,-0.055715240105269584,0.08448425703355622,71.63724733351835,0,False,False
CAM-0616,RUN-0009,qqq__fullcov_s50__mom60__positive_top10,0930,5.0,0.28009763445860214,0.08715155043723458,256,256,1.0,251,138,113,9,3,0.02334146953821684,0.030981003097472346,-0.05596951681760404,0.08412213363882257,71.63724733351835,0,False,False
CAM-0616,RUN-0009,qqq__fullcov_s50__mom60__positive_top10,0930,10.0,0.27365107058033,0.08882073360114856,256,256,1.0,251,138,113,9,3,0.022804255881694158,0.030314122579304412,-0.056393311338161445,0.08351859464759982,71.63724733351835,0,False,False
CAM-0617,RUN-0011,etf__alpha_M20_E5__top5__monthly__trend0,0930,0.0,0.878306439982552,0.5116764928208017,102,102,1.0,250,132,118,10,2,0.07319220333187931,0.0719412854596849,-0.888746926094032,0.6593566753984312,5.03136915952857,0,False,False
CAM-0617,RUN-0011,etf__alpha_M20_E5__top5__monthly__trend0,0930,2.0,0.8745078036449783,0.5118964876742409,102,102,1.0,250,132,118,10,2,0.0728756503037482,0.07158537613486529,-0.8890256523297685,0.6590779491626949,5.03136915952857,0,False,False
CAM-0617,RUN-0011,etf__alpha_M20_E5__top5__monthly__trend0,0930,5.0,0.868809849138618,0.5122266139507352,102,102,1.0,250,132,118,10,2,0.07240082076155148,0.07105151214763587,-0.8894437416833729,0.6586598598090904,5.03136915952857,0,False,False
CAM-0617,RUN-0011,etf__alpha_M20_E5__top5__monthly__trend0,0930,10.0,0.8593132582946836,0.512777182025427,102,102,1.0,250,132,118,10,2,0.07160943819122363,0.07016173883558686,-0.8901405572727139,0.6579630442197495,5.03136915952857,0,False,False
CAM-0618,RUN-0009,sector11__mom252_skip21__weekly__top3,0930,0.0,0.0818144531552111,0.43631528227447663,175,175,1.0,250,139,111,8,4,0.006817871096267604,0.0046660080853665065,-0.3033087934149475,0.1650218401814583,8.157368493443066,0,False,False
CAM-0618,RUN-0009,sector11__mom252_skip21__weekly__top3,0930,2.0,0.07893642000555096,0.43684695545873625,175,175,1.0,250,139,111,8,4,0.006578035000462595,0.004497897707021034,-0.3034579643444934,0.16485095896192478,8.157368493443066,0,False,False
CAM-0618,RUN-0009,sector11__mom252_skip21__weekly__top3,0930,5.0,0.07461937028106119,0.4376456746019179,175,175,1.0,250,139,111,8,4,0.006218280856755105,0.004245732139502827,-0.30368172073881233,0.1645946371326246,8.157368493443066,0,False,False
CAM-0618,RUN-0009,sector11__mom252_skip21__weekly__top3,0930,10.0,0.06742428740691114,0.4389801079477544,175,175,1.0,250,139,111,8,4,0.005618690617242606,0.003825456193639145,-0.30405464806267707,0.16416743408379086,8.157368493443066,0,False,False
CAM-0619,RUN-0009,sector11__mom63_skip0__monthly__top1,0930,0.0,1.3549628217751728,0.4917758586041842,10,10,1.0,250,150,100,8,4,0.11291356848126438,0.0329858075567781,-0.9719408125796293,1.0317505620499912,8.903442336398976,0,False,False
CAM-0619,RUN-0009,sector11__mom63_skip0__monthly__top1,0930,2.0,1.352962821775173,0.4921621552192879,10,10,1.0,250,150,100,8,4,0.11274690181459772,0.032785807556778124,-0.9723408125796292,1.0313505620499912,8.903442336398976,0,False,False
CAM-0619,RUN-0009,sector11__mom63_skip0__monthly__top1,0930,5.0,1.3499628217751733,0.49274216470616394,10,10,1.0,250,150,100,8,4,0.11249690181459775,0.03248580755677816,-0.9729408125796292,1.0307505620499913,8.903442336398976,0,False,False
CAM-0619,RUN-0009,sector11__mom63_skip0__monthly__top1,0930,10.0,1.344962821775173,0.49371035562542337,10,10,1.0,250,150,100,8,4,0.11208023514793107,0.031985807556778156,-0.9739408125796291,1.0297505620499912,8.903442336398976,0,False,False
CAM-0620,RUN-0009,sector11__mom63_skip0__monthly__top1,0930,0.0,0.3718402747197642,0.9323769413816165,10,10,1.0,239,153,86,7,5,0.030986689559980334,0.023336041623051695,-0.9719408125796293,0.9882250909030318,6.146775825477026,0,False,False
CAM-0620,RUN-0009,sector11__mom63_skip0__monthly__top1,0930,2.0,0.36984027471976444,0.9330904262035128,10,10,1.0,239,153,86,7,5,0.030820022893313676,0.023336041623051695,-0.9723408125796292,0.9878250909030318,6.146775825477026,0,False,False
CAM-0620,RUN-0009,sector11__mom63_skip0__monthly__top1,0930,5.0,0.36684027471976444,0.9341616418744972,10,10,1.0,239,153,86,7,5,0.030570022893313686,0.023336041623051695,-0.9729408125796292,0.9872250909030319,6.146775825477026,0,False,False
CAM-0620,RUN-0009,sector11__mom63_skip0__monthly__top1,0930,10.0,0.36184027471976443,0.935949642034477,10,10,1.0,239,153,86,7,5,0.030153356226647037,0.023336041623051695,-0.9739408125796291,0.9862250909030318,6.146775825477026,0,False,False
CAM-0621,RUN-0011,etf__ibs30__top5__hold3__trend1,0930,0.0,0.21606259054468835,0.4991895292678324,988,988,1.0,249,119,130,6,6,0.01800521587872402,-0.0011077241530037425,-0.16569329465129368,0.23730581363223774,6.604983372340658,0,False,False
CAM-0621,RUN-0011,etf__ibs30__top5__hold3__trend1,0930,2.0,0.19456036832246543,0.5027922152749027,988,988,1.0,249,119,130,6,6,0.016213364026872148,-0.0030277241530037424,-0.16670662798462704,0.23586359141001548,6.604983372340658,0,False,False
CAM-0621,RUN-0011,etf__ibs30__top5__hold3__trend1,0930,5.0,0.1623070349891331,0.5082685336404054,988,988,1.0,249,114,135,6,6,0.013525586249094425,-0.005907724153003741,-0.168226627984627,0.23370025807668218,6.604983372340658,0,False,False
CAM-0621,RUN-0011,etf__ibs30__top5__hold3__trend1,0930,10.0,0.10855147943357624,0.5175937298421325,988,988,1.0,249,113,136,5,7,0.009045956619464704,-0.010707724153003743,-0.1707599613179604,0.23009470252112643,6.604983372340658,0,False,False
CAM-0622,RUN-0009,QQQ__target15__vol20__monthly__thr20__def1,0930,0.0,0.20567985209279363,0.09173244601722552,12,12,1.0,250,144,106,9,3,0.017139987674399466,0.007693451454165554,-0.031033595072066378,0.07642406577253597,0.8824215232531339,0,False,False
CAM-0622,RUN-0009,QQQ__target15__vol20__monthly__thr20__def1,0930,2.0,0.20479872425190127,0.09177735081190966,12,12,1.0,250,144,106,9,3,0.017066560354325105,0.007693451454165554,-0.031033595072066378,0.07617276906220745,0.8824215232531339,0,False,False
