campaign_id,executed_variants,structured_survivors,selected_variant,decision,raw_best_variant,raw_best_2bps,selected_2bps,selected_recent12_average,selected_recent12_positive,selected_recent18_average,selected_recent18_positive,selected_maximum_drawdown,selected_positive_blocks,selected_worst_block_average_month,selected_entries,selected_top5_day_share,prior_selected_variant,prior_selected_2bps,selection_changed,holdout_rows_loaded
CAM-0600,96,71,qqq__mom252_skip21__top3__liquid_trend__panic1,provisional_repaired_target_change_quote_gate,etf__mom126_skip21__top1__liquid__panic0,3.7540020979853184,2.3535292568426063,0.0716022546140383,10.0,0.0480978088499181,12.0,0.196331972608229,3.0,0.033538449970753566,84.0,0.0545330453456144,sp500__mom63_skip0__top3__liquid__panic1,2.1876168834767507,True,0
CAM-0601,24,6,qqq__sue__hold6__top5__price20,provisional_repaired_target_change_quote_gate,qqq__sue__hold1__top5__price20,1.4718619772523935,1.1235609865202796,0.0295628822552525,8.0,0.0192445322511766,11.0,0.3007199764360217,3.0,0.004267133215416856,105.0,0.037485252362684,qqq__sue__hold3__top5__price20,1.220179706169107,True,0
CAM-0602,36,34,qqq__value_quality__top10__trend1,provisional_repaired_target_change_quote_gate,qqq__value_quality__top5__trend0,1.6232772065755046,1.3872106555681776,0.0537930235905399,9.0,0.0376663405720415,13.0,0.2387873233885919,3.0,0.012304613492993912,181.0,0.034989925274191,qqq__value_quality__top5__trend0,1.6700600671809762,True,0
CAM-0603,36,11,qqq__lowvol_quality__top20__trend1,provisional_repaired_target_change_quote_gate,qqq__lowvol__top20__trend1,0.9324104060998296,0.9312698082061462,0.0211803881122331,8.0,0.0133209808660313,12.0,0.2212323335432565,3.0,0.007261197470050518,307.0,0.040682829565341,qqq__lowvol_quality__top20__trend1,0.8519523022799581,False,0
CAM-0604,36,36,qqq__mom_quality__top5__trend1,provisional_repaired_target_change_quote_gate,qqq__value_quality__top10__trend1,1.3869067503567925,1.1337945295872718,0.0325681392850072,8.0,0.0288559931704612,11.0,0.2562897231954215,3.0,0.014558009811142929,112.0,0.043839280275366,sp500__value_quality__top20__trend0,0.7279868185181768,True,0
CAM-0605,12,12,sp500__resmom__top10__liquid_trend,provisional_repaired_target_change_quote_gate,qqq__resmom__top3__liquid_trend,1.4478882714391232,0.5265625684920615,0.0332217433161236,9.0,0.0271130117450827,13.0,0.1758170227507806,3.0,0.016533356154830998,92.0,0.1087365578491952,qqq__resmom__top3__liquid,1.1588505721801217,True,0
CAM-0606,84,4,,identity_blocked_requires_pair_run,etf__long_cheap_r1__top1__z1__trend0,3.1892957359524754,,,,,,,,,,,,,True,0
CAM-0607,84,4,etf__long_cheap_r2__top1__z1__trend0,provisional_repaired_target_change_quote_gate,etf__long_cheap_r1__top1__z1__trend0,3.1892957359524754,3.0485405953615663,0.0656068038988519,8.0,0.0581625520178565,12.0,0.2198220875541768,3.0,0.022937003383901842,1763.0,0.0596436496652929,etf__long_cheap_r2__top1__z1__trend0,3.0485405953615663,False,0
CAM-0608,24,0,,no_repaired_structured_survivor,sp500__residual_r2__top3__liquid_trend,0.773107633671074,,,,,,,,,,,,,True,0
CAM-0609,24,0,,no_repaired_structured_survivor,sp500__residual_r1__top3__liquid,0.2492468630060484,,,,,,,,,,,,,True,0
