campaign_id,run_id,variant_id,clock,extra_slippage_bps_per_side,net_simple_return,maximum_drawdown,trade_roles,role_coverage,active_sessions,green_sessions,red_sessions,positive_months,negative_months,monthly_average,monthly_median,worst_month,best_month,reference_price,holdout_rows_loaded,broker_margin,direct_short
CAM-0600,RUN-0022,qqq__mom252_skip21__top3__liquid_trend__panic1,0930,0.0,0.8419455638300819,0.13333406201004608,45,1.0,237,134,103,10,2,0.0701621303191735,0.03931824641590218,-0.09889681367459496,0.2651568366304025,09:30 SIP midpoint,0,False,False
CAM-0600,RUN-0022,qqq__mom252_skip21__top3__liquid_trend__panic1,0930,2.0,0.8402938956526604,0.13338320551391455,45,1.0,237,134,103,10,2,0.07002449130438838,0.03913910737762839,-0.09906979803945627,0.26495683663040254,09:30 SIP midpoint,0,False,False
CAM-0600,RUN-0022,qqq__mom252_skip21__top3__liquid_trend__panic1,0930,5.0,0.8378163933865286,0.13345698873115605,45,1.0,237,134,103,10,2,0.0698180327822107,0.03887039882021771,-0.09932927458674823,0.2646568366304025,09:30 SIP midpoint,0,False,False
CAM-0600,RUN-0022,qqq__mom252_skip21__top3__liquid_trend__panic1,0930,10.0,0.833687222942975,0.1335801423248729,45,1.0,237,134,103,10,2,0.06947393524524793,0.03842255122453323,-0.09976173549890148,0.2641568366304025,09:30 SIP midpoint,0,False,False
CAM-0601,RUN-0022,qqq__sue__hold6__top5__price20,0930,0.0,0.34600074716273876,0.16322742968479095,103,1.0,251,151,100,8,4,0.028833395596894896,0.01664524725348894,-0.09629903126496515,0.19750973088011226,09:30 SIP midpoint,0,False,False
CAM-0601,RUN-0022,qqq__sue__hold6__top5__price20,0930,2.0,0.3453782366420778,0.16339319462487503,103,1.0,251,151,100,8,4,0.02878151972017315,0.016600103077997388,-0.09633015239888812,0.1974430642134456,09:30 SIP midpoint,0,False,False
CAM-0601,RUN-0022,qqq__sue__hold6__top5__price20,0930,5.0,0.3444444708610862,0.1636420288519235,103,1.0,251,151,100,8,4,0.028703705905090516,0.01653238681476006,-0.09637683409977256,0.1973430642134456,09:30 SIP midpoint,0,False,False
CAM-0601,RUN-0022,qqq__sue__hold6__top5__price20,0930,10.0,0.34288819455943353,0.16405725149128772,103,1.0,251,151,100,8,4,0.028574016213286136,0.016419526376031175,-0.09645463693457997,0.19717639754677893,09:30 SIP midpoint,0,False,False
CAM-0602,RUN-0022,qqq__value_quality__top10__trend1,0930,0.0,0.6226591416553191,0.0686455722130674,147,1.0,251,144,107,9,3,0.051888261804609925,0.03835408790814082,-0.03509267040683707,0.21209798930696327,09:30 SIP midpoint,0,False,False
CAM-0602,RUN-0022,qqq__value_quality__top10__trend1,0930,2.0,0.6212835193288391,0.06885295656518477,147,1.0,251,144,107,9,3,0.05177362661073659,0.03825928934578085,-0.03515728824419399,0.21205148811150548,09:30 SIP midpoint,0,False,False
