campaign_id,run_id,cost_bps_per_side,adapted_variant,control_variant,adapted_net,control_net,incremental_net,adapted_drawdown,control_drawdown,drawdown_change,adapted_recent12_average_month,control_recent12_average_month,adapted_recent12_positive_months,control_recent12_positive_months,decision
CAM-0600,RUN-0012,2.0,sp500__mom63_skip0__top3__panic1,sp500__mom63_skip0__top3__panic0,2.1876168834767507,2.3564061386064843,-0.16878925512973364,0.1409362646283781,0.4072489712977821,-0.266312706669404,0.102788768069523,0.1124534886010616,10,11,Panic defense sacrifices return but cuts historical drawdown materially; retain as a risk overlay.
CAM-0600,RUN-0012,10.0,sp500__mom63_skip0__top3__panic1,sp500__mom63_skip0__top3__panic0,2.1286872842559488,2.2928084314452626,-0.1641211471893138,0.1459812438731919,0.4155970867987934,-0.26961584292560153,0.1014670128809894,0.1112790904673056,10,11,Panic defense sacrifices return but cuts historical drawdown materially; retain as a risk overlay.
CAM-0602,RUN-0012,2.0,qqq__value_quality__top5,qqq__value__top5,1.6700600671809762,1.0161064802148831,0.6539535869660931,0.2369038746761476,0.3056783191736822,-0.06877444449753461,0.0690453133431196,0.0316573115140144,10,6,"The winner is an adapted value-quality composite, not isolated source value; keep the label explicit and concentration caveat."
CAM-0602,RUN-0012,10.0,qqq__value_quality__top5,qqq__value__top5,1.635721595658313,0.9947759695988212,0.6409456260594919,0.2378908958185106,0.3066711545343586,-0.068780258715848,0.0686996367495032,0.0313403521191353,10,6,"The winner is an adapted value-quality composite, not isolated source value; keep the label explicit and concentration caveat."
CAM-0604,RUN-0012,2.0,sp500__value_quality_mom__top20,sp500__momentum__top20,0.7279868185181768,0.7576988898969163,-0.029712071378739435,0.1603618908709209,0.2534030831862884,-0.0930411923153675,0.0348847973648095,0.0436877256711852,10,8,The multifactor blend slightly trails momentum return but materially improves drawdown and recent positive-month breadth.
CAM-0604,RUN-0012,10.0,sp500__value_quality_mom__top20,sp500__momentum__top20,0.7102561990800667,0.7313636604637841,-0.02110746138371744,0.1637566867095378,0.2603186251886464,-0.0965619384791086,0.0344879394031711,0.043135036098418,10,8,The multifactor blend slightly trails momentum return but materially improves drawdown and recent positive-month breadth.
CAM-0610,RUN-0012,2.0,qqq__ma150__weekly__top3,qqq__ungated__weekly__top3,3.0023638737957645,3.0253854164311464,-0.02302154263538192,0.3852959489879379,0.359956278200333,0.025339670787604907,0.0969075145721712,0.0870288583815264,9,8,The selected MA150 gate raises recent consistency but does not improve full-history return or drawdown; only the neighboring MA200 gate shows clear risk-control value.
CAM-0610,RUN-0012,10.0,qqq__ma150__weekly__top3,qqq__ungated__weekly__top3,2.882097207129098,2.8795099513925786,0.0025872557365191895,0.3876956843869038,0.3629512730163231,0.024744411370580754,0.0957519590166156,0.085663298488487,9,8,The selected MA150 gate raises recent consistency but does not improve full-history return or drawdown; only the neighboring MA200 gate shows clear risk-control value.
CAM-0611,RUN-0012,2.0,qqq__ma50_200__weekly__top3,qqq__ungated__weekly__top3,3.0797545172018594,3.0253854164311464,0.054369100770713,0.2210979270380882,0.359956278200333,-0.1388583511622448,0.1001275022238885,0.0870288583815264,9,8,The 50/200 gate improves return modestly and sharply reduces drawdown versus identical momentum ranking.
CAM-0611,RUN-0012,10.0,qqq__ma50_200__weekly__top3,qqq__ungated__weekly__top3,2.9680211838685264,2.8795099513925786,0.08851123247594783,0.2281885438692063,0.3629512730163231,-0.13476272914711676,0.0988830577794441,0.085663298488487,9,8,The 50/200 gate improves return modestly and sharply reduces drawdown versus identical momentum ranking.
CAM-0612,RUN-0012,2.0,qqq__ma10_50_200__monthly__top3,qqq__ungated__monthly__top3,1.7814822583729637,2.5206706774457857,-0.739188419072822,0.394706181591689,0.402380311388752,-0.007674129797063001,0.0818303713595192,0.0886162794591706,8,9,"The selected triple-MA rule materially trails ungated momentum and barely changes drawdown; it is a filtered momentum expression, not a distinct edge."
