campaign_id,selected_variant,status,panel,panel_dates,panel_symbols,eligible_member_cells,nonzero_target_cells,target_cell_fraction_of_eligible,active_target_dates,active_target_date_fraction,average_names_per_active_date,maximum_names,generated_family_variant_count,maximum_loaded_date,holdout_rows_loaded
CAM-0600,sp500__mom63_skip0__top3__liquid__panic1,selected_development_candidate,sp500,1255.0,607.0,631754.0,2400.0,0.0037989470585069506,800.0,0.6374501992031872,3.0,3.0,96.0,2026-04-30,0.0
CAM-0601,qqq__sue__hold3__top5__price20,selected_development_candidate,qqq,1724.0,165.0,175256.0,17019.0,0.09710937143378828,1675.0,0.9715777262180975,10.160597014925374,14.0,24.0,2026-04-30,0.0
CAM-0602,qqq__value_quality__top5__trend0,selected_development_candidate,qqq,1724.0,165.0,175256.0,8375.0,0.04778723695622404,1675.0,0.9715777262180975,5.0,5.0,36.0,2026-04-30,0.0
CAM-0603,qqq__lowvol_quality__top20__trend1,selected_development_candidate,qqq,1724.0,165.0,175256.0,27700.0,0.15805450312685443,1508.0,0.8747099767981439,18.368700265251988,20.0,36.0,2026-04-30,0.0
CAM-0604,sp500__value_quality__top20__trend0,selected_development_candidate,sp500,1255.0,607.0,631754.0,19240.0,0.030454892252364054,962.0,0.7665338645418327,20.0,20.0,36.0,2026-04-30,0.0
CAM-0605,qqq__resmom__top3__liquid,selected_development_candidate,qqq,1724.0,165.0,175256.0,2826.0,0.016124982882183777,942.0,0.5464037122969838,3.0,3.0,12.0,2026-04-30,0.0
CAM-0606,,no_structured_survivor,,,,,,,,,,,,,
CAM-0607,etf__long_cheap_r2__top1__z1__trend0,selected_development_candidate,etf,1832.0,27.0,49464.0,1764.0,0.03566229985443959,1764.0,0.962882096069869,1.0,1.0,84.0,2026-04-30,0.0
CAM-0608,qqq__slow_residual_r10__top10__monthly,selected_development_candidate,qqq,1724.0,165.0,175256.0,15910.0,0.09078148536997306,1591.0,0.9228538283062645,10.0,10.0,24.0,2026-04-30,0.0
CAM-0609,qqq__slow_residual_r10__top10__monthly,selected_development_candidate,qqq,1724.0,165.0,175256.0,15910.0,0.09078148536997306,1591.0,0.9228538283062645,10.0,10.0,24.0,2026-04-30,0.0
CAM-0610,qqq__ma150__weekly__top3__momentum,selected_development_candidate,qqq,1724.0,165.0,175256.0,4725.0,0.02696056055142192,1575.0,0.9135730858468677,3.0,3.0,72.0,2026-04-30,0.0
CAM-0611,qqq__ma50_200__weekly__top3__momentum,selected_development_candidate,qqq,1724.0,165.0,175256.0,4566.0,0.026053316291596292,1522.0,0.882830626450116,3.0,3.0,72.0,2026-04-30,0.0
CAM-0612,qqq__ma10_50_200__monthly__top3__momentum,selected_development_candidate,qqq,1724.0,165.0,175256.0,4422.0,0.025231661112886293,1508.0,0.8747099767981439,2.9323607427055705,3.0,72.0,2026-04-30,0.0
CAM-0613,,no_structured_survivor,,,,,,,,,,,,,
CAM-0614,sp500__donchian20__reversal,selected_development_candidate,sp500,1255.0,607.0,631754.0,297746.0,0.4713005378675877,1235.0,0.9840637450199203,241.08987854251012,485.0,45.0,2026-04-30,0.0
CAM-0615,qqq__fullcov_s50__mom60__positive_top10,selected_development_candidate,qqq,1724.0,165.0,175256.0,15910.0,0.09078148536997306,1591.0,0.9228538283062645,10.0,10.0,54.0,2026-04-30,0.0
CAM-0616,qqq__fullcov_s50__mom60__positive_top10,selected_development_candidate,qqq,1724.0,165.0,175256.0,15910.0,0.09078148536997306,1591.0,0.9228538283062645,10.0,10.0,54.0,2026-04-30,0.0
CAM-0617,etf__alpha_M20_E5__top5__monthly__trend0,selected_development_candidate,etf,1832.0,27.0,49464.0,7689.0,0.1554463852498787,1751.0,0.9557860262008734,4.3912050256996,5.0,80.0,2026-04-30,0.0
CAM-0618,sector11__mom252_skip21__weekly__top3,selected_development_candidate,etf,1832.0,27.0,49464.0,4618.0,0.09336082807698529,1552.0,0.8471615720524017,2.975515463917526,3.0,16.0,2026-04-30,0.0
CAM-0619,sector11__mom63_skip0__monthly__top1,selected_development_candidate,etf,1832.0,27.0,49464.0,1606.0,0.032468057577227885,1606.0,0.8766375545851528,1.0,1.0,16.0,2026-04-30,0.0
CAM-0620,sector11__mom63_skip0__monthly__top1,selected_development_candidate,etf,1832.0,27.0,49464.0,1812.0,0.0366327025715672,1812.0,0.9890829694323144,1.0,1.0,16.0,2026-04-30,0.0
CAM-0621,etf__ibs30__top5__hold3__trend1,selected_development_candidate,etf,1832.0,27.0,49464.0,8439.0,0.17060892770499758,1580.0,0.8624454148471615,5.341139240506329,14.0,54.0,2026-04-30,0.0
CAM-0622,QQQ__target15__vol20__monthly__thr20__def1,selected_development_candidate,etf,1832.0,27.0,49464.0,3124.0,0.06315704350638848,1812.0,0.9890829694323144,1.7240618101545253,2.0,192.0,2026-04-30,0.0
CAM-0623,qqq__chs_safe__top5__liquid__raw,selected_development_candidate,qqq,1724.0,165.0,175256.0,7330.0,0.041824530971835486,1466.0,0.8503480278422274,5.0,5.0,18.0,2026-04-30,0.0
CAM-0624,qqq__chs_safe__top5__liquid__target8,selected_development_candidate,qqq,1724.0,165.0,175256.0,7330.0,0.041824530971835486,1466.0,0.8503480278422274,5.0,5.0,72.0,2026-04-30,0.0
