campaign_id,baseline_best_2bps_return,raw_best_variant,raw_best_2bps_return,selected_executable_variant,selected_2bps_return,selected_5bps_return,selected_10bps_return,maximum_drawdown,monthly_average,monthly_median,positive_month_rate,recent12_average_month,entries,top5_symbol_positive_share,top5_day_positive_share,leave_best_symbol_out_return,positive_variant_fraction_at_2bps,profitable_variant_fraction_at_10bps,quote_gate,basic_candidate_screen,positive_years,negative_years,years,worst_year,best_year,pre2024_return,post2024_return,post2024_green_day_rate
CAM-0600,2.9821817270244355,etf__mom252_skip0_hold3_q10__all__regime0,2.9524759759508497,etf__mom252_skip0_hold3_q10__all__regime0,2.9524759759508497,2.94737597595085,2.93887597595085,0.4540574600786652,0.0335508633630778,0.0179688348113816,0.5681818181818182,0.0697771720845937,38.0,0.8694679406644756,0.0298591362886739,1.886504013024445,1.0,1.0,True,False,7,0,8,0.0,0.8163416680570001,1.663499896263425,1.2889760796874246,0.5903614457831325
CAM-0601,0.3141052278324922,qqq__sue_sec__hold1__q20__long,0.9142014341370832,qqq__sue_sec__hold1__q20__long,0.9142014341370832,0.909172486768662,0.9007909078212938,0.3696941284272901,0.0110144751100853,0.0090871140661245,0.5783132530120482,0.0291018621443823,171.0,0.3366956882360074,0.0454461097646596,0.7556760191708871,1.0,1.0,True,False,7,1,8,-0.44952379016838384,0.339854178964293,0.5469273623793134,0.3672740717577697,0.535958904109589
CAM-0602,4.7092074973375135,qqq__btp__profitable__hold1__q10,5.132447105704215,qqq__btp__profitable__hold1__q10,5.132447105704215,5.127863772370882,5.120224883481993,0.3064515385993286,0.0618367121169182,0.0129659541746403,0.5421686746987951,0.0120139044575479,65.0,0.8955125496443713,0.374388022195007,0.6247736313977521,1.0,1.0,True,False,5,3,8,-0.15787426659092138,4.650666660711762,5.104150749806219,0.028296355897997394,0.5051369863013698
CAM-0603,3.9761492272527503,qqq__lowvol63__hold1__q10,4.054049676100669,qqq__lowvol63__hold1__q10,4.054049676100669,4.0393933124643056,4.014966039737032,0.3037631393987761,0.0488439720012128,0.0,0.4939759036144578,0.0095193984496655,269.0,0.8769034321056444,0.4224146287925038,0.4788957128810747,1.0,1.0,True,False,5,3,8,-0.14876623941507539,3.512343533601397,3.9257191027866876,0.12833057331398112,0.5051369863013698
CAM-0604,4.942671909819348,qqq__mom50_val50__profitable__q10,5.193995800947391,qqq__mom50_val50__profitable__q10,5.193995800947391,5.181504134280725,5.160684689836281,0.1322466586649876,0.0625782626620167,0.0034458197828316,0.5542168674698795,0.034553968080923,176.0,0.8830576185345208,0.4115167856790619,0.7387276594003254,1.0,1.0,True,False,6,1,8,-0.0857117367641097,4.477226665737785,4.704842565365187,0.48915323558220497,0.5393835616438356
CAM-0605,0.6386119645588125,qqq__residual_mom__q10__regime0,0.6386119645588125,qqq__residual_mom__q10__regime0,0.6386119645588125,0.6302228736497216,0.6162410554679034,0.3071036923973347,0.0076941200549254,0.0,0.3253012048192771,0.0325817236504206,154.0,0.4687728509552898,0.0874944624375129,0.3745461479718323,1.0,1.0,True,False,2,3,8,-0.08879068833010868,0.4497842987720928,0.24720729839282324,0.3914046661659894,0.5667808219178082
CAM-0606,-0.1779458019023293,etf__pairs_f126_d1_c75,-0.049668274482424,,,,,,,,,,,,,,0.0,0.0,False,False,2,6,8,-0.10535236319232757,0.11161163769091469,-0.08707227702293327,0.03740400254050912,0.48709122203098104
CAM-0607,2.988842822872613,etf__cluster_reversal_r1__long_short,2.686073455058444,etf__cluster_reversal_r1__long,2.342658693794359,1.2446586937943591,-0.5853413062056408,0.2659603242834627,0.0266211215203904,0.0168442816552116,0.5568181818181818,0.028675041826905,24595.0,0.9458013064313096,0.0459157140090533,1.1787526233657988,0.2916666666666667,0.0,True,True,6,2,8,-0.30344161069101705,1.0612262042048852,1.2446157530295188,1.0980429407648404,0.5111876075731497
CAM-0608,-0.257800513451091,sp500__sector_clusters_f252_r5__long,-0.0623247074661032,sp500__sector_clusters_f252_r5__long,-0.0623247074661032,-0.6509145021077481,-1.6318974931771564,0.283839569017605,-0.001038745124435,0.0,0.36666666666666664,0.0001954614684733,245170.0,0.1495058815839429,0.094172560436755,-0.1037090928313255,0.0,0.0,False,False,1,4,6,-0.06687217472061291,0.068301971311727,-0.03223934316658511,-0.03008536429951801,0.4794520547945205
CAM-0609,-0.3980999897875303,sp500__weighted_residual_r2__long,-0.2067576260951008,sp500__weighted_residual_r2__long,-0.2067576260951008,-0.8830518959177136,-2.0102090122887346,0.3049347832496674,-0.0034459604349183,0.0,0.4666666666666667,-0.0005696527174556,282637.0,0.1131077418136551,0.0640193699904997,-0.2209587143333489,0.0,0.0,False,False,3,3,6,-0.16319128215680231,0.03403390275195685,-0.11561873175655024,-0.09113889433855069,0.4948630136986301
CAM-0610,0.8921431718220567,etf__sma200__long,0.7986736071512267,etf__sma200__long,0.7986736071512267,0.7433101141497025,0.6510376258138281,0.2291831087185553,0.0090758364449003,0.0131953437505375,0.5909090909090909,0.0288990460913984,723.0,0.5872158859634643,0.0389795960786966,0.5962331241529117,1.0,1.0,True,True,6,2,8,-0.30843110652009414,0.28236086647853126,0.4957591121918764,0.3029144949593503,0.5783132530120482
CAM-0611,0.8081183963713153,etf__sma50_200__long,1.1043326848748525,etf__sma50_200__long,1.1043326848748525,1.0942797004001132,1.077524726275548,0.321181552984944,0.012549235055396,0.0157875556360467,0.6136363636363636,0.0224740343514007,135.0,0.5910965424854538,0.0388313570246226,0.8440223754466827,0.9166666666666666,0.8333333333333334,True,False,7,1,8,-0.15979334744878024,0.3022815171830145,0.7265404030712577,0.3777922818035948,0.5593803786574871
CAM-0612,0.4630335132606862,etf__sma10_50_200__long,1.0238966852569238,etf__sma10_50_200__long,1.0238966852569238,0.9779067967462558,0.9012569825618086,0.1873551395904623,0.0116351896051923,0.0124154716030116,0.5909090909090909,0.0212086858506452,439.0,0.6177242921356458,0.0459252311003753,0.7575473516786477,0.75,0.5,True,True,6,2,8,-0.15253523904436161,0.39030880973338816,0.7807734935960737,0.24312319166085028,0.5714285714285714
CAM-0613,-0.5060399003606286,sp500__pivot_target__long__atr0.5,-0.2183293754425601,sp500__pivot_target__long__atr0.5,-0.2183293754425601,-0.3401734212264111,-0.5432468308661629,0.226855782684694,-0.0036388229240426,-0.0037573423408915,0.4,-0.0017786850280888,64461.0,0.1844824556025329,0.1021736701948668,-0.2242782035855489,0.0,0.0,False,False,1,5,6,-0.08739604602945586,0.004922048901762326,-0.06795167727274125,-0.15037769816981889,0.4657534246575342
CAM-0614,0.7237823120049407,qqq__donchian10__long,0.822599821622957,qqq__donchian10__long,0.822599821622957,0.6899846333492787,0.4689593195598152,0.2994268293747366,0.0099108412243729,0.0160189443178912,0.6144578313253012,0.0118886952182574,5579.0,0.1409870721696456,0.0399450648638124,0.7740281038193648,0.6666666666666666,0.6666666666666666,True,True,6,2,8,-0.26267945183945507,0.42064194373293606,0.6651620729164531,0.15743774870650398,0.5376712328767124
CAM-0615,0.1178695134728083,qqq__fullcov_shrink50__mom60__long,0.6558464668476881,qqq__fullcov_shrink50__mom60__long,0.6558464668476881,0.6358060013028772,0.6024052253948594,0.2960979756038668,0.0079017646608155,0.0085779662836374,0.5180722891566265,0.0104053428173353,1112.0,0.1814367376620129,0.0359561409063816,0.6072717660806115,0.8333333333333334,0.6666666666666666,True,True,6,1,8,-0.14347765070089158,0.36089057968936317,0.48819651275448167,0.16764995409320652,0.5376712328767124
CAM-0616,0.1577703594054958,sp500__fullcov_shrink50__mom60__dollar_neutral,0.0670608711033526,,,,,,,,,,,,,,0.7777777777777778,0.1111111111111111,False,False,4,2,6,-0.007694462103088502,0.030787724769296584,-0.01081600177767833,0.07787687288103101,0.553082191780822
CAM-0617,0.6755337143356052,qqq__alpha_combo_M20_E5,0.6755337143356052,,,,,,,,,,,,,,0.4,0.3,False,False,4,4,8,-0.12373953507841706,0.4018319884676435,0.33972726502992123,0.3358064493056838,0.5188356164383562
CAM-0618,1.76912648753941,sector11__mom252__hold6__top1,1.764087870733533,sector11__mom252__hold6__top1,1.764087870733533,1.7598878707335328,1.752887870733533,0.1445510808987861,0.0200464530765174,0.0086320806590204,0.5681818181818182,0.0177550612863932,15.0,1.0,0.0284957431929568,0.9122784813345628,1.0,1.0,True,True,7,0,8,0.0,0.5186892844839046,1.2814514498800975,0.4826364208534355,0.5611015490533563
CAM-0619,1.0981240465169668,sector11__mom126__sma200__top1,1.1279854400478275,sector11__mom126__sma200__top1,1.1279854400478275,1.1072854400478276,1.0727854400478276,0.3093901456568262,0.0128180163641798,0.0070247428809657,0.5454545454545454,0.0354769774385992,35.0,1.0,0.0304251992879369,0.4602060798943107,1.0,1.0,True,False,8,0,8,0.030808299060811666,0.20269916377416186,0.5961916145463756,0.531793825501452,0.5611015490533563
CAM-0620,1.074989133228471,sector11__mom126__sma200__fallback_GLD,1.116646036091192,sector11__mom126__sma200__fallback_GLD,1.116646036091192,1.0923460360911923,1.051846036091192,0.185178235383479,0.0126891595010362,0.0155055239525326,0.5795454545454546,0.0333232759484838,41.0,1.0,0.0275793072125995,0.5436174781684552,1.0,1.0,True,True,7,1,8,-0.07628337650843645,0.31777475013335754,0.5684378182422238,0.5482082178489683,0.5628227194492255
CAM-0621,1.0542263407934034,etf__ibs_le20__trend0__long,0.2554004978459143,etf__ibs_le20__trend0__long,0.2554004978459143,-0.8023995021540866,-2.565399502154087,0.3570470937444359,0.0029022783846126,-0.00750698623287,0.4772727272727273,-0.011440662741038,10775.0,0.8579862556607588,0.0668034478634052,-0.1695130874551948,0.5,0.0,True,False,3,5,8,-0.26501993563712956,0.6500990798050806,0.45224447228658093,-0.1968439744406667,0.45611015490533563
CAM-0622,0.7175247838249021,QQQ__target15__vol63__monthly__BIL,1.0131003632366442,QQQ__target15__vol63__monthly__BIL,1.0131003632366442,1.0087207571702934,1.0014214137263753,0.2153562584387965,0.0115125041276891,0.011832645087179,0.6363636363636364,0.0196800369003748,8.0,1.0,0.0344256600055114,0.0341562291893526,1.0,1.0,True,True,7,1,8,-0.17971561896823765,0.31149252872695865,0.5796003737106616,0.43349998952598257,0.5817555938037866
