campaign_id,variant_id,decision,quote_net_return,maximum_drawdown,coverage_rate,positive_months,negative_months,mean_entry_spread_bps,mean_exit_spread_bps
CAM-0600,etf__mom252_skip0_hold3_q10__all__regime0,quote_survives_complete,0.41367639560327873,0.27062102603709115,1.0,9,3,9.245654500708527,9.243008963866984
CAM-0601,qqq__sue_sec__hold1__q20__long,quote_rejected,-1.8251094924611457,1.8211366313702646,1.0,0,12,82.63587349818108,82.82737591535927
CAM-0602,qqq__btp__profitable__hold1__q10,quote_rejected,-2.5883286698234933,2.5890764041515584,1.0,0,12,109.16427469937207,108.90757920096948
CAM-0603,qqq__lowvol63__hold1__q10,quote_rejected,-2.7171318640359017,2.7356163438307517,1.0,0,12,106.3285661675339,106.65922861499602
CAM-0604,qqq__mom50_val50__profitable__q10,quote_rejected,-1.9414799176932611,1.9637706856237993,1.0,0,12,94.21193868859017,93.98195367142257
CAM-0605,qqq__residual_mom__q10__regime0,quote_rejected,-1.7379183030621785,1.7680133516112992,1.0,0,12,77.74928788836354,78.36950726536955
CAM-0607,etf__cluster_reversal_r1__long,quote_survives_incomplete,0.2740142604106187,0.21986559323232743,0.9941193766539254,8,4,7.834147190305144,2.4601002643577603
CAM-0610,etf__sma200__long,quote_survives_complete,0.007653896236036628,0.18805961479888575,1.0,8,4,7.020737981391716,7.004155207540097
CAM-0611,etf__sma50_200__long,quote_rejected,-0.06033019557855968,0.2101173764480095,1.0,5,7,6.93051696358844,6.934951580214306
CAM-0612,etf__sma10_50_200__long,quote_rejected,-0.028513464542483644,0.19014924383471832,1.0,7,5,6.331827420047316,6.298660231415423
CAM-0614,qqq__donchian10__long,quote_rejected,-2.3691931646401194,2.3721984833696914,1.0,0,12,102.33874968318469,102.33099306184307
CAM-0615,qqq__fullcov_shrink50__mom60__long,quote_rejected,-2.2200272533472623,2.233629362021436,0.9989947222920331,0,12,94.62500920826498,94.68074561516976
CAM-0618,sector11__mom252__hold6__top1,quote_rejected,-0.19611617856592545,0.3688015541113958,1.0,5,7,8.776617430635692,8.79431234984002
CAM-0619,sector11__mom126__sma200__top1,quote_rejected,-0.30487807564522373,0.5023117624326024,1.0,7,5,7.831715826013579,7.870523220387792
CAM-0620,sector11__mom126__sma200__fallback_GLD,quote_rejected,-0.26415314625543285,0.494725912374951,1.0,7,5,6.28019634041088,6.278827133321466
CAM-0621,etf__ibs_le20__trend0__long,quote_rejected,-0.15549493110031443,0.19670955321452582,0.9970544918998527,5,7,7.6842785768417805,2.5801632149748177
CAM-0622,QQQ__target15__vol63__monthly__BIL,quote_survives_complete,0.20459535160637377,0.09975564486598575,1.0,8,4,0.7654054403524635,0.7638650836055371
CAM-0623,qqq__chs_safe__q10__none,quote_rejected,-0.32563296286641247,0.645426768868613,1.0,4,8,50.78461794201724,50.72289638819607
CAM-0624,sp500__chs_safe_q20__target15__vol126,quote_rejected,-2.3696555328717714,2.3792564302083496,0.9987164677191631,0,12,133.7798510935954,133.42981844137248
