campaign_id,best_variant_2bps,panel,holding,net_return_m1bps,net_return_0bps,net_return_1bps,net_return_2bps,net_return_5bps,net_return_10bps,maximum_drawdown,monthly_average,monthly_median,positive_month_rate,recent12_average_month,recent12_positive_rate,entries,active_days,top5_symbol_positive_share,top5_day_positive_share,leave_best_symbol_out_return,diagnostic_short_or_execution_blocked,passes_low_cost_profit_gate,passes_basic_consistency_screen
CAM-0600,etf__12m_skip1__long,etf,open_to_next_open,2.991681727024436,2.988515060357769,2.985348393691102,2.9821817270244355,2.9726817270244354,2.956848393691102,0.6740896661849738,0.0338884287161867,0.0138407351917738,0.5795454545454546,0.0734255150246096,0.8333333333333334,49,1543,0.8549585157000806,0.0387640093622334,1.81454594678216,False,True,False
CAM-0601,qqq__sue8__hold6__long,qqq,open_to_next_open,0.3190774500547143,0.317420042647307,0.3157626352398995,0.3141052278324922,0.3091330056102699,0.300845968573233,0.4401955920619911,0.0037844003353312,0.0127870201340372,0.5903614457831325,-0.0080443660695186,0.4166666666666667,125,1718,0.3585417619842586,0.0394056285882332,0.2284382577479753,False,True,False
CAM-0602,qqq__book_to_price__long,qqq,open_to_next_open,4.713115830670847,4.71181305289307,4.710510275115292,4.7092074973375135,4.705299164004179,4.698785275115291,0.3769499497611304,0.0567374397269579,0.021401676564218,0.5783132530120482,0.0357158104219853,0.8333333333333334,62,1718,0.9158259266090945,0.3366107997490121,0.6996510872307686,False,True,False
CAM-0603,qqq__vol126__hold6__reversal_long,qqq,open_to_next_open,3.979810136343659,3.978589833313357,3.977369530283053,3.9761492272527503,3.972488318161841,3.966386803010327,0.1296235837348588,0.0479054123765391,0.0017015397707969,0.5060240963855421,-0.008290363843447,0.5,104,1590,0.8902086083549638,0.4203467583281657,0.4582420019888582,False,True,False
CAM-0604,qqq__average_momentum_value_ranks__long,qqq,open_to_next_open,4.954113576486014,4.950299687597126,4.9464857987082365,4.942671909819348,4.93123024315268,4.9121607987082365,0.1563805163419273,0.059550263973727,0.0051848414901301,0.5180722891566265,0.0501916990942403,0.75,175,1443,0.8608260950561002,0.3737428059712499,0.9764933722568871,False,True,False
CAM-0605,qqq__ff3proxy_residual_risk_adjusted__long,qqq,open_to_next_open,0.6470010554679034,0.6442046918315398,0.6414083281951762,0.6386119645588125,0.6302228736497216,0.6162410554679034,0.3071036923973347,0.0076941200549254,0.0,0.3253012048192771,0.0325817236504206,0.6666666666666666,154,941,0.4687728509552898,0.0874944624375129,0.3745461479718323,False,True,False
CAM-0606,etf__corr126__dislocation5__pair_dollar_neutral,etf,open_to_close,0.8336541980976699,0.4964541980976703,0.1592541980976706,-0.1779458019023293,-1.1895458019023295,-2.87554580190233,0.265578647778666,-0.0020221113852537,-0.0029849190995899,0.375,-0.0071507891022363,0.5,21008,1686,0.9794948079997085,0.0523303954776292,-0.4340091539014088,True,False,False
CAM-0607,etf__cluster_all__return1__negative_demeaned,etf,open_to_close,4.0868428228726135,3.720842822872613,3.3548428228726133,2.988842822872613,1.8908428228726133,0.0608428228726136,0.2636530104769821,0.0339641229871887,0.0211506289795036,0.5681818181818182,0.030190321818802,0.75,40260,1830,0.9793559091960036,0.0478746131539222,1.619897057994984,True,True,True
CAM-0608,sp500__sector_proxy_clusters__return1,sp500,open_to_close,0.418648793432306,0.1931656911378403,-0.0323174111566253,-0.257800513451091,-0.934249820334488,-2.061665331806816,0.3020600081778459,-0.0042966752241848,-0.003611757431506,0.31666666666666665,-0.0065435673048399,0.3333333333333333,566603,1128,0.2206344978524425,0.0859980308885906,-0.2876830618125562,True,False,False
CAM-0609,sp500__weighted_regression__return1,sp500,open_to_close,0.2782136866112027,0.0527757944782917,-0.1726620976546192,-0.3980999897875303,-1.074413666186263,-2.2016031268508183,0.4304500190153303,-0.0066349998297921,-0.0051454907745825,0.21666666666666667,-0.0085843192408192,0.16666666666666666,567461,1128,0.1214721714105747,0.0595226931068249,-0.4075940408865163,True,False,False
