campaign_id,decision,walk_forward_net_return,walk_forward_positive_years,walk_forward_negative_years,selected_variant,selected_2bps_return,post2024_return,maximum_drawdown,positive_variant_fraction
CAM-0600,profitable_but_fragile_quote_gate,2.6568900142965406,7.0,0.0,etf__mom252_skip0_hold3_q10__all__regime0,2.9524759759508497,1.2889760796874246,0.4540574600786652,1.0
CAM-0601,profitable_but_fragile_quote_gate,0.4367415814638172,4.0,3.0,qqq__sue_sec__hold1__q20__long,0.9142014341370832,0.3672740717577697,0.3696941284272901,1.0
CAM-0602,profitable_but_fragile_quote_gate,2.652028911918006,4.0,3.0,qqq__btp__profitable__hold1__q10,5.132447105704215,0.0282963558979973,0.3064515385993286,1.0
CAM-0603,profitable_but_fragile_quote_gate,3.689991193309261,5.0,2.0,qqq__lowvol63__hold1__q10,4.054049676100669,0.1283305733139811,0.3037631393987761,1.0
CAM-0604,profitable_but_fragile_quote_gate,4.8040957310082515,4.0,2.0,qqq__mom50_val50__profitable__q10,5.193995800947391,0.4891532355822049,0.1322466586649876,1.0
CAM-0605,profitable_but_fragile_quote_gate,0.4113751994293165,2.0,2.0,qqq__residual_mom__q10__regime0,0.6386119645588125,0.3914046661659894,0.3071036923973347,1.0
CAM-0606,mechanism_failed_after_adaptation,,,,,,0.0374040025405091,,0.0
CAM-0607,profitable_but_fragile_quote_gate,1.566452713397461,5.0,2.0,etf__cluster_reversal_r1__long,2.342658693794359,1.0980429407648404,0.2659603242834627,0.2916666666666667
CAM-0608,mechanism_failed_after_adaptation,-0.6255865787869428,1.0,6.0,sp500__sector_clusters_f252_r5__long,-0.0623247074661032,-0.030085364299518,0.283839569017605,0.0
CAM-0609,mechanism_failed_after_adaptation,-0.544674597405695,2.0,4.0,sp500__weighted_residual_r2__long,-0.2067576260951008,-0.0911388943385506,0.3049347832496674,0.0
CAM-0610,robust_development_candidate_quote_gate,0.5250019622063538,5.0,2.0,etf__sma200__long,0.7986736071512267,0.3029144949593503,0.2291831087185553,1.0
CAM-0611,profitable_but_fragile_quote_gate,0.15995302843404358,4.0,3.0,etf__sma50_200__long,1.1043326848748525,0.3777922818035948,0.321181552984944,0.9166666666666666
CAM-0612,robust_development_candidate_quote_gate,0.7502265886518248,5.0,2.0,etf__sma10_50_200__long,1.0238966852569238,0.2431231916608502,0.1873551395904623,0.75
CAM-0613,mechanism_failed_after_adaptation,-0.28642221870745693,1.0,6.0,sp500__pivot_target__long__atr0.5,-0.2183293754425601,-0.1503776981698188,0.226855782684694,0.0
CAM-0614,robust_development_candidate_quote_gate,0.6720149913559411,4.0,3.0,qqq__donchian10__long,0.822599821622957,0.1574377487065039,0.2994268293747366,0.6666666666666666
CAM-0615,robust_development_candidate_quote_gate,0.25838120839416856,6.0,1.0,qqq__fullcov_shrink50__mom60__long,0.6558464668476881,0.1676499540932065,0.2960979756038668,0.8333333333333334
CAM-0616,execution_blocked_signal_only,,,,,,0.077876872881031,,0.7777777777777778
CAM-0617,execution_blocked_signal_only,,,,,,0.3358064493056838,,0.4
CAM-0618,robust_development_candidate_quote_gate,1.1298644327722753,6.0,1.0,sector11__mom252__hold6__top1,1.764087870733533,0.4826364208534355,0.1445510808987861,1.0
CAM-0619,profitable_but_fragile_quote_gate,0.5174933988366336,5.0,2.0,sector11__mom126__sma200__top1,1.1279854400478275,0.531793825501452,0.3093901456568262,1.0
CAM-0620,robust_development_candidate_quote_gate,0.6536987817820779,6.0,1.0,sector11__mom126__sma200__fallback_GLD,1.116646036091192,0.5482082178489683,0.185178235383479,1.0
CAM-0621,profitable_but_fragile_quote_gate,-0.4926877785900834,1.0,6.0,etf__ibs_le20__trend0__long,0.2554004978459143,-0.1968439744406667,0.3570470937444359,0.5
CAM-0622,robust_development_candidate_quote_gate,0.8569726522914358,6.0,1.0,QQQ__target15__vol63__monthly__BIL,1.0131003632366442,0.4334999895259825,0.2153562584387965,1.0
CAM-0623,profitable_but_fragile_quote_gate,0.5232312604927596,4.0,2.0,qqq__chs_safe__q10__none,1.114243592136951,0.8633460470950248,0.3889253356436405,1.0
CAM-0624,profitable_but_fragile_quote_gate,0.3566015305082921,5.0,1.0,sp500__chs_safe_q20__target15__vol126,0.5653557569229715,0.3841380061982621,0.1414978550134962,1.0
