campaign_id,run_id,net_simple_return,maximum_drawdown,active_days,green_days,red_days,top5_day_positive_share,best_day,worst_day,positive_months,negative_months,monthly_std,worst_month,best_month,role_coverage
CAM-0600,RUN-0009,1.2305489938735055,0.1346774237715125,235,135,100,0.13478204025766347,0.09799426202824614,-0.10986502021478434,11,1,0.13421707244610107,-0.13714429585586413,0.40028408022900897,1.0
CAM-0611,RUN-0009,1.2192463411988794,0.1244686332285264,251,136,115,0.1478783949607104,0.11557089891692084,-0.0910502933711144,9,3,0.15293188008900577,-0.118966159265623,0.4371633493279396,1.0
CAM-0610,RUN-0009,1.1675484617016239,0.1289192533684452,251,134,117,0.1491587435302985,0.11557089891692084,-0.0910502933711144,9,3,0.15081992314335843,-0.118966159265623,0.4371633493279396,1.0
CAM-0612,RUN-0009,0.9482490651522633,0.1581444836327301,251,137,114,0.145300519468707,0.11198862614467571,-0.08793304223356949,8,4,0.12819752590230007,-0.09259227526703519,0.38711333414703936,1.0
CAM-0602,RUN-0009,0.8200971172595702,0.1036657929065338,251,156,95,0.13871521625338928,0.07666612473965448,-0.05962473544298686,10,2,0.08598887052530481,-0.04182555565589549,0.2871695230696883,1.0
CAM-0623,RUN-0009,0.7624743443316921,0.0965200903520299,251,146,105,0.12425830590370456,0.08743297914841619,-0.07847665689953777,9,3,0.09043224322815623,-0.03143565767501205,0.2799308825272313,1.0
CAM-0617,RUN-0011,0.6428665575104067,0.1567266608989109,250,130,120,0.22655594706489401,0.15324291504085194,-0.08056004044414178,9,3,0.11568607101231243,-0.1028538864237568,0.2857922355941006,1.0
CAM-0601,RUN-0009,0.42405495555083045,0.1425334705883656,251,151,100,0.11887011059593577,0.05136550200102152,-0.05992715910712075,8,4,0.06578612297990796,-0.07359153750616411,0.13488350005539795,1.0
CAM-0604,RUN-0009,0.4217224252118287,0.0522079178182284,251,147,104,0.11268225957354928,0.025627577127353276,-0.027312661607540097,11,1,0.036048822429458456,-0.030632714902290043,0.12354825294207517,1.0
CAM-0619,RUN-0009,0.39485958184320613,0.1000197855629909,250,151,99,0.11352570473790799,0.038281811646297736,-0.052332385888647415,8,4,0.05622126681194019,-0.06438080618015551,0.15082536758633563,1.0
CAM-0620,RUN-0009,0.3587493542799908,0.0931690477026406,239,154,85,0.13794864899795573,0.038281811646297736,-0.051628165878096266,8,4,0.05645999448678476,-0.06438080618015551,0.15082536758633563,1.0
CAM-0616,RUN-0009,0.338826861351149,0.0742299694753227,251,140,111,0.12376911811485533,0.03842180578225652,-0.0543500545829771,9,3,0.04636795709532366,-0.05389513225831519,0.08859657236446004,1.0
CAM-0615,RUN-0009,0.3296707300537226,0.0701176713230585,251,136,115,0.12519063766995311,0.03693936757627408,-0.052923009890481335,9,3,0.04612906804004992,-0.05745557047741803,0.0889430939741284,1.0
CAM-0605,RUN-0009,0.28387606327456594,0.2249890169561286,251,138,113,0.15538327303240662,0.07889145222099098,-0.08164004897342028,9,3,0.08842493958297255,-0.17082312936398766,0.2184547778759129,1.0
CAM-0621,RUN-0011,0.276740936192023,0.0488262496777003,249,139,110,0.17798716255615651,0.04702360820481819,-0.039249434830655516,7,5,0.03405989083887563,-0.02120966892810503,0.07435934169126017,1.0
CAM-0608,RUN-0011,0.270828995043932,0.3266130980392224,251,139,112,0.16025577060847457,0.08082649222100687,-0.11500539652753364,8,4,0.1091744128011952,-0.1895608814136392,0.24613192972223305,1.0
CAM-0618,RUN-0009,0.26369769658448683,0.0557124982713536,250,141,109,0.10560576397508321,0.022373652929717793,-0.025806989554420495,11,1,0.02837912196394255,-0.027709286860600445,0.0772590759872366,1.0
CAM-0603,RUN-0009,0.2602756484935316,0.0699137623784907,251,141,110,0.10586121780301584,0.02491439902729285,-0.04509837840209484,8,4,0.045169104459757,-0.04140810705732427,0.12940853466113583,1.0
CAM-0607,RUN-0009,0.2512686923042891,0.3002210618639839,239,119,120,0.20364929078047422,0.17263469477382526,-0.2020588906168999,8,4,0.1298934665848281,-0.21203338170546254,0.1697970931760361,1.0
CAM-0609,RUN-0011,0.24661795652247337,0.1379507750594768,251,141,110,0.14576599291669973,0.05068431175538557,-0.08883170550178615,8,4,0.06003757449331587,-0.09909472546909326,0.14964956503080415,1.0
CAM-0622,RUN-0009,0.18024078997739323,0.0944374048595443,250,143,107,0.12696065563281606,0.030463059774229695,-0.02951747726075118,8,4,0.03354299002121181,-0.031033595072066378,0.06360806917722284,1.0
CAM-0624,RUN-0009,0.17506092690870598,0.0371801285829414,251,146,105,0.12184760650521739,0.018435210302306635,-0.02537510181958179,9,3,0.02050326888054385,-0.007842377096227445,0.05935977185462377,1.0
CAM-0614,RUN-0009,0.08888237410563815,0.0745390026631851,251,121,130,0.12852001820433465,0.02445173076472194,-0.020399639545246307,8,4,0.02522528856689807,-0.03050533317093121,0.044875608825554414,0.999301252229557
