campaign_id,executed_variants,positive_fraction_2bps,positive_fraction_10bps,structured_survivors,selected_variant,decision,raw_best_variant,raw_best_2bps,selected_2bps,selected_recent12_average,selected_recent12_positive,selected_recent18_average,selected_recent18_positive,selected_maximum_drawdown,selected_positive_blocks,selected_worst_block_average_month,selected_entries,selected_top5_day_share,sp500_best_variant,sp500_best_2bps,holdout_rows_loaded
CAM-0600,96,1.0,1.0,51,sp500__mom63_skip0__top3__liquid__panic1,provisional_target_change_quote_gate,etf__mom126_skip21__top1__liquid__panic0,3.7540020979853184,2.1876168834767507,0.102788768069523,10.0,0.0817646107180109,14.0,0.1409362646283781,3.0,0.026118451005940912,105.0,0.0604896148686444,sp500__mom63_skip0__top3__liquid__panic0,2.3564061386064843,0
CAM-0601,24,0.6666666666666666,0.6666666666666666,4,qqq__sue__hold3__top5__price20,provisional_target_change_quote_gate,qqq__sue__hold3__top5__price20,1.220179706169107,1.220179706169107,0.0358487486745937,8.0,0.0249960905660654,11.0,0.3488160298874995,3.0,0.0012741172401078296,149.0,0.0339413751820414,sp500__sue__hold1__top10__none,0.2010321248492045,0
CAM-0602,36,1.0,1.0,34,qqq__value_quality__top5__trend0,provisional_target_change_quote_gate,qqq__value_quality__top5__trend0,1.6700600671809762,1.6700600671809762,0.0690453133431196,10.0,0.0410495025504852,13.0,0.2369038746761476,3.0,0.01157374359227527,82.0,0.0367702119516107,sp500__value_momentum__top5__trend0,1.0303797392349594,0
CAM-0603,36,0.9444444444444444,0.9166666666666666,8,qqq__lowvol_quality__top20__trend1,provisional_target_change_quote_gate,qqq__lowvol_quality__top20__trend1,0.8519523022799581,0.8519523022799581,0.0218273198848349,8.0,0.0147327069939566,12.0,0.2653072217897483,3.0,0.0041350562645935795,298.0,0.0402652069520307,sp500__lowvol__top10__trend0,0.2419003835903661,0
CAM-0604,36,0.9166666666666666,0.8611111111111112,22,sp500__value_quality__top20__trend0,provisional_target_change_quote_gate,qqq__value_quality__top10__trend1,1.2602350244631786,0.7279868185181768,0.0348847973648095,10.0,0.0197621441762894,12.0,0.1603618908709209,3.0,0.010950192225041953,185.0,0.0556961840295145,sp500__value_quality__top5__trend0,0.9164479164531428,0
CAM-0605,12,1.0,1.0,10,qqq__resmom__top3__liquid,provisional_target_change_quote_gate,qqq__resmom__top3__liquid_trend,1.19902992766868,1.1588505721801217,0.025227615576076,10.0,0.0297767315729833,14.0,0.1782177829173166,3.0,0.011169040627019962,45.0,0.0590125964740475,sp500__resmom__top10__liquid_trend,0.5900067563624743,0
CAM-0606,84,0.5595238095238095,0.047619047619047616,4,,identity_blocked_requires_pair_run,etf__long_cheap_r1__top1__z1__trend0,3.1892957359524754,,,,,,,,,,,sp500__long_cheap_r5__top3__z1__trend0,0.4189530915988801,0
CAM-0607,84,0.5595238095238095,0.047619047619047616,4,etf__long_cheap_r2__top1__z1__trend0,provisional_target_change_quote_gate,etf__long_cheap_r1__top1__z1__trend0,3.1892957359524754,3.0485405953615663,0.0656068038988519,8.0,0.0581625520178565,12.0,0.2198220875541768,3.0,0.022937003383901842,1763.0,0.0596436496652929,sp500__long_cheap_r5__top3__z1__trend0,0.4189530915988801,0
CAM-0608,24,0.2916666666666667,0.0,0,,no_structured_survivor,sp500__residual_r2__top3__liquid_trend,0.760305053654197,,,,,,,,,,,sp500__residual_r2__top3__liquid_trend,0.760305053654197,0
CAM-0609,24,0.125,0.0,0,,no_structured_survivor,sp500__residual_r1__top3__liquid,0.2312234157867058,,,,,,,,,,,sp500__residual_r1__top3__liquid,0.2312234157867058,0
