campaign_id,executed_variants,positive_fraction_2bps,positive_fraction_10bps,structured_survivors,selected_variant,decision,raw_best_variant,raw_best_2bps,selected_2bps,selected_recent12_average,selected_recent12_positive,selected_recent18_average,selected_recent18_positive,selected_maximum_drawdown,selected_positive_blocks,selected_worst_block_average_month,selected_entries,selected_top5_day_share,sp500_best_variant,sp500_best_2bps,holdout_rows_loaded
CAM-0610,72,0.9861111111111112,0.9861111111111112,37,qqq__ma150__weekly__top3__momentum,provisional_target_change_quote_gate,qqq__ma200__weekly__top3__momentum,3.1526567491071944,3.0023638737957645,0.0969075145721712,9.0,0.0795287996972465,13.0,0.3852959489879379,3.0,0.028186758391076365,227.0,0.037075859257763,sp500__ma150__monthly__top3__momentum,2.315363307701055,0
CAM-0611,72,0.9444444444444444,0.9027777777777778,24,qqq__ma50_200__weekly__top3__momentum,provisional_target_change_quote_gate,etf__ma50_200__monthly__top1__momentum,3.698353455351906,3.0797545172018594,0.1001275022238885,9.0,0.0798445813169739,13.0,0.2210979270380882,3.0,0.019503101819928835,211.0,0.041136341979039,sp500__ma50_200__weekly__top3__momentum,2.250208682685261,0
CAM-0612,72,0.8194444444444444,0.6944444444444444,11,qqq__ma10_50_200__monthly__top3__momentum,provisional_target_change_quote_gate,qqq__ma3_10_21__monthly__top3__momentum,2.5564483684044736,1.7814822583729637,0.0818303713595192,8.0,0.0606321773760273,13.0,0.394706181591689,3.0,0.009411285901091887,116.0,0.0409373932164569,sp500__ma10_50_200__weekly__top3__momentum,1.905143659008968,0
CAM-0613,12,0.3333333333333333,0.0,0,,no_structured_survivor,sp500__pivot__trend1__volume0,0.1663546235270111,,,,,,,,,,,sp500__pivot__trend1__volume0,0.1663546235270111,0
CAM-0614,45,0.5333333333333333,0.2222222222222222,5,sp500__donchian20__reversal,provisional_target_change_quote_gate,qqq__donchian100__breakout__top10__volume1,1.7422272093563198,0.4882365767005289,0.0096997938614524,8.0,0.0034557393944538,11.0,0.220505244449053,3.0,0.005355288540621019,10362.0,0.0935163890326258,sp500__donchian100__breakout__top3__volume1,0.6584640241188978,0
CAM-0615,54,0.9074074074074074,0.8888888888888888,40,qqq__fullcov_s50__mom60__positive_top10,provisional_target_change_quote_gate,qqq__fullcov_s90__mom126__positive_top5,1.4053670666675582,1.3165253882517265,0.0271478865555719,9.0,0.0195840703387246,12.0,0.2519729147311602,3.0,0.009607188685304852,451.0,0.0379310189892352,sp500__fullcov_s50__mom126__positive_top5,0.4595190999286435,0
CAM-0616,54,0.8888888888888888,0.8333333333333334,36,qqq__fullcov_s50__mom60__positive_top10,provisional_target_change_quote_gate,qqq__fullcov_s90__mom20__positive_top5,1.5143053773035788,1.310421409718649,0.0277207464888296,9.0,0.020446357592268,12.0,0.2409011825082846,3.0,0.009267591964378118,453.0,0.0379638065802679,sp500__fullcov_s50__mom126__positive_top5,0.5049434341865868,0
CAM-0617,20,0.25,0.25,0,,no_structured_survivor,qqq__alpha_M20_E5__positive_top3,1.3673595636288791,,,,,,,,,,,,,0
CAM-0618,16,1.0,1.0,13,sector11__mom252_skip21__weekly__top3,provisional_target_change_quote_gate,sector11__mom252_skip21__monthly__top1,1.7385749140505085,1.1156596031290853,0.0210031493547426,11.0,0.0163117750479115,15.0,0.3409077067269778,3.0,0.013523373573903926,117.0,0.0361921191007817,,,0
CAM-0619,16,1.0,1.0,13,sector11__mom63_skip0__monthly__top1,provisional_target_change_quote_gate,sector11__mom252_skip21__monthly__top1,1.366653216245303,1.299563398714651,0.0307277246393611,8.0,0.0144066642140802,11.0,0.1755432227380992,3.0,0.009232529652382361,44.0,0.0314301145261703,,,0
CAM-0620,16,1.0,1.0,12,sector11__mom63_skip0__monthly__top1,provisional_target_change_quote_gate,sector11__mom63_skip0__monthly__top1,1.1793742131261449,1.1793742131261449,0.0287228007684776,8.0,0.0211239530165422,12.0,0.1686423265358274,3.0,0.008217784518635397,47.0,0.0385551544384376,,,0
CAM-0621,18,0.5555555555555556,0.0,0,,no_structured_survivor,etf__ibs30__top3__trend1,0.472201359758914,,,,,,,,,,,,,0
CAM-0622,192,1.0,1.0,19,QQQ__target15__vol20__monthly__thr20__def1,provisional_target_change_quote_gate,QQQ__target15__vol20__monthly__thr10__def0,1.2208813333946884,1.1621951104344348,0.0152781809222147,8.0,0.0107780197881046,12.0,0.1618077561726768,3.0,0.009991163497318737,10.0,0.0272669720719893,,,0
CAM-0623,18,1.0,1.0,14,qqq__chs_safe__top5__liquid__raw,provisional_target_change_quote_gate,qqq__chs_safe__top5__liquid__raw,1.4481768131275463,1.4481768131275463,0.0648176632760395,9.0,0.0542181352839906,12.0,0.2922801724861146,3.0,0.005467707544873329,104.0,0.0338187772131809,sp500__chs_safe__top5__profitable__raw,1.361892880187223,0
CAM-0624,72,1.0,1.0,72,qqq__chs_safe__top5__liquid__target8,provisional_target_change_quote_gate,qqq__chs_safe__top5__liquid__target15,0.8242485708401016,0.5048929865508118,0.014829980495194,9.0,0.0130603857520102,12.0,0.1054286736972994,3.0,0.005436669618160052,104.0,0.046717998592955,sp500__chs_safe__top10__profitable__target15,0.5632854787880667,0
