campaign_a,campaign_b,daily_correlation
CAM-0611,CAM-0615,0.6040700862770587
CAM-0601,CAM-0623,0.6002563894108256
CAM-0603,CAM-0611,0.5978968451473432
CAM-0605,CAM-0623,0.5926848652591471
CAM-0601,CAM-0611,0.5853051968681883
CAM-0604,CAM-0614,0.5840538474711652
CAM-0616,CAM-0608,0.582859202193831
CAM-0602,CAM-0610,0.5749020137251537
CAM-0615,CAM-0608,0.5733514565547813
CAM-0611,CAM-0608,0.5726050427626211
CAM-0610,CAM-0608,0.572165897626562
CAM-0611,CAM-0622,0.5714362982129961
CAM-0603,CAM-0608,0.5712494942138641
CAM-0603,CAM-0604,0.5639459301617962
CAM-0618,CAM-0619,0.5622392079759857
CAM-0603,CAM-0610,0.558778824566748
CAM-0622,CAM-0624,0.556503631722065
CAM-0618,CAM-0608,0.5554268603481789
CAM-0601,CAM-0624,0.5525523697715512
CAM-0603,CAM-0612,0.5507054018334173
CAM-0601,CAM-0612,0.5493499402013959
CAM-0605,CAM-0611,0.5468441173961287
CAM-0612,CAM-0622,0.5454456777116289
CAM-0603,CAM-0614,0.5449836246198904
CAM-0604,CAM-0618,0.5442120031570439
CAM-0602,CAM-0623,0.5355118747136781
CAM-0614,CAM-0609,0.5354928115455632
CAM-0602,CAM-0604,0.5272296859202977
CAM-0602,CAM-0611,0.523856226693731
CAM-0605,CAM-0610,0.5229769746004703
CAM-0618,CAM-0623,0.5213626316397855
CAM-0610,CAM-0618,0.5195962277449604
CAM-0610,CAM-0609,0.5168439018438871
CAM-0605,CAM-0624,0.5161608621479301
CAM-0600,CAM-0605,0.5116688706993106
CAM-0604,CAM-0609,0.500948109379241
CAM-0605,CAM-0612,0.497382291862675
CAM-0603,CAM-0605,0.4952509770673065
CAM-0602,CAM-0624,0.49069621569672056
CAM-0612,CAM-0608,0.49038921993554363
CAM-0622,CAM-0617,0.488112658003868
CAM-0623,CAM-0608,0.487634501418327
CAM-0614,CAM-0618,0.48702421499147114
CAM-0611,CAM-0609,0.4855571018372777
CAM-0618,CAM-0624,0.484425292074189
CAM-0601,CAM-0605,0.4841490089266717
CAM-0620,CAM-0622,0.4821505278869657
CAM-0601,CAM-0604,0.48094758107705293
CAM-0619,CAM-0622,0.48010456381448247
CAM-0605,CAM-0622,0.47392529781671316
CAM-0601,CAM-0614,0.47116246141239376
CAM-0623,CAM-0609,0.46809325613223
CAM-0614,CAM-0608,0.4656676872239388
CAM-0604,CAM-0623,0.460813774914025
CAM-0604,CAM-0608,0.460167817668091
CAM-0618,CAM-0620,0.45775649849641165
CAM-0602,CAM-0612,0.45072151721693837
CAM-0611,CAM-0618,0.4474546857082668
CAM-0602,CAM-0614,0.445882505136133
CAM-0604,CAM-0622,0.44513668062825684
CAM-0604,CAM-0611,0.4431456685901256
CAM-0600,CAM-0623,0.44279355518606717
CAM-0602,CAM-0617,0.4412120909329007
CAM-0604,CAM-0616,0.4367174589692288
CAM-0616,CAM-0619,0.43554214308150163
CAM-0624,CAM-0609,0.4317504854396889
CAM-0604,CAM-0615,0.43150645398494797
CAM-0604,CAM-0617,0.42888793655650725
CAM-0604,CAM-0610,0.4287644344341988
CAM-0615,CAM-0619,0.42792546726100966
CAM-0612,CAM-0609,0.4273428712558988
CAM-0624,CAM-0608,0.42407705714355576
CAM-0618,CAM-0617,0.4213361092282069
CAM-0605,CAM-0618,0.4211124437329929
CAM-0603,CAM-0617,0.4206881879465021
CAM-0605,CAM-0608,0.4205127308175204
CAM-0605,CAM-0616,0.4196036129195922
CAM-0603,CAM-0619,0.4193816798560358
CAM-0610,CAM-0617,0.4174335526209149
CAM-0605,CAM-0615,0.4151210418441205
CAM-0614,CAM-0615,0.415075578725129
CAM-0614,CAM-0616,0.41438710194500167
CAM-0604,CAM-0624,0.4130022456382156
CAM-0601,CAM-0619,0.41186935082911486
CAM-0600,CAM-0611,0.4097832866006229
CAM-0608,CAM-0617,0.4062761255395732
CAM-0601,CAM-0617,0.4061619037476827
CAM-0612,CAM-0618,0.40613058569738847
CAM-0600,CAM-0612,0.40490339006486675
CAM-0602,CAM-0605,0.4042226669359934
CAM-0600,CAM-0604,0.4037335081969363
CAM-0600,CAM-0610,0.4025381890024478
CAM-0611,CAM-0617,0.4003499058221658
CAM-0609,CAM-0617,0.39401259892809154
CAM-0600,CAM-0622,0.39331879330626734
CAM-0600,CAM-0624,0.386899149387538
CAM-0604,CAM-0619,0.3854675215551638
CAM-0605,CAM-0609,0.38440873104946577
CAM-0616,CAM-0620,0.3830675404691531
CAM-0623,CAM-0617,0.38233608145672127
CAM-0616,CAM-0617,0.3818272760683565
CAM-0605,CAM-0617,0.3799719440422157
CAM-0614,CAM-0622,0.3759518122660173
CAM-0615,CAM-0620,0.37529166160739275
CAM-0604,CAM-0612,0.3733269913527505
CAM-0615,CAM-0617,0.3725905459582423
CAM-0619,CAM-0609,0.3705187978923329
CAM-0611,CAM-0614,0.3647915440490459
CAM-0614,CAM-0623,0.3646860253442096
CAM-0601,CAM-0620,0.3587988778589537
CAM-0602,CAM-0619,0.3467155256201966
CAM-0603,CAM-0620,0.3435089119336762
CAM-0600,CAM-0616,0.3417941694568632
CAM-0605,CAM-0614,0.3387810739980629
CAM-0620,CAM-0609,0.33265388804592133
CAM-0600,CAM-0615,0.3306337482772135
CAM-0610,CAM-0619,0.32681053755475353
CAM-0610,CAM-0614,0.32601662005257537
CAM-0619,CAM-0624,0.3226717606138518
CAM-0600,CAM-0601,0.3196888041894186
CAM-0614,CAM-0619,0.3167419259163732
CAM-0614,CAM-0624,0.3154912814366735
CAM-0619,CAM-0617,0.3134567380389273
CAM-0619,CAM-0623,0.31326988930928645
CAM-0624,CAM-0617,0.31135440936041614
CAM-0612,CAM-0617,0.31121637775479283
CAM-0610,CAM-0620,0.30904462361153634
CAM-0612,CAM-0614,0.308085043411619
CAM-0602,CAM-0620,0.3075528190481484
CAM-0619,CAM-0608,0.306892635092835
CAM-0614,CAM-0617,0.3048750739535954
CAM-0600,CAM-0603,0.30346815094158697
CAM-0611,CAM-0619,0.29956168060768296
CAM-0622,CAM-0621,0.2988274358393947
CAM-0620,CAM-0621,0.29133425107211036
CAM-0600,CAM-0602,0.2886690553007851
CAM-0600,CAM-0620,0.28758000603176065
CAM-0620,CAM-0623,0.28451563176676964
CAM-0600,CAM-0618,0.27742627553638294
CAM-0605,CAM-0619,0.2736143293197911
CAM-0612,CAM-0619,0.2716782794381163
CAM-0620,CAM-0624,0.2712577351106059
CAM-0600,CAM-0619,0.26509285404437055
CAM-0612,CAM-0620,0.2645009922971353
CAM-0604,CAM-0620,0.2641186926214197
CAM-0607,CAM-0617,0.2605982806269147
CAM-0611,CAM-0620,0.2574169296224347
CAM-0620,CAM-0608,0.25450228422592314
CAM-0600,CAM-0621,0.2469855517451928
CAM-0620,CAM-0617,0.2346980364172475
CAM-0605,CAM-0620,0.22336519187148376
CAM-0607,CAM-0611,0.21976144726283475
CAM-0607,CAM-0608,0.21681573472384377
CAM-0604,CAM-0607,0.21635008947803358
CAM-0605,CAM-0607,0.21454502804531198
CAM-0614,CAM-0620,0.21179711577635832
CAM-0618,CAM-0621,0.20894073671157443
CAM-0601,CAM-0607,0.2069035049552158
CAM-0607,CAM-0623,0.20410917587903504
CAM-0600,CAM-0608,0.2020363714962382
CAM-0607,CAM-0622,0.1995310174072557
CAM-0602,CAM-0607,0.19898522196063226
CAM-0603,CAM-0607,0.19852354459418878
CAM-0607,CAM-0610,0.19482768584434024
CAM-0607,CAM-0616,0.19078210922553318
CAM-0607,CAM-0615,0.18921995423887783
CAM-0607,CAM-0618,0.18911168049101706
CAM-0607,CAM-0609,0.1866521341187711
CAM-0607,CAM-0624,0.18576929309650414
CAM-0600,CAM-0614,0.17392497692507042
CAM-0623,CAM-0621,0.17163719850378456
CAM-0607,CAM-0612,0.16982425908298004
CAM-0607,CAM-0614,0.16829405956853885
CAM-0600,CAM-0617,0.16783951332447786
CAM-0624,CAM-0621,0.16206097142588977
CAM-0610,CAM-0621,0.16142524001396438
CAM-0600,CAM-0609,0.15898982439945292
CAM-0619,CAM-0621,0.15728427113124824
CAM-0616,CAM-0621,0.1566073355420148
CAM-0607,CAM-0619,0.14776699449233371
CAM-0615,CAM-0621,0.1452735272366748
CAM-0612,CAM-0621,0.12545281351012882
CAM-0600,CAM-0607,0.11171564884440836
CAM-0603,CAM-0621,0.11079654017394634
CAM-0605,CAM-0621,0.11023207116163522
CAM-0611,CAM-0621,0.10729182089381531
CAM-0607,CAM-0621,0.10351243195908234
CAM-0601,CAM-0621,0.10195296459556923
CAM-0602,CAM-0621,0.09290508727212965
CAM-0604,CAM-0621,0.08231360912623947
CAM-0607,CAM-0620,0.08008034826762216
CAM-0609,CAM-0621,0.05649255924601132
CAM-0617,CAM-0621,0.03490015865830513
CAM-0608,CAM-0621,0.016242456120914985
CAM-0614,CAM-0621,-0.040280173640894756
