campaign_id,paper_section,strategy,baseline_best_variant,baseline_2bps_return,adaptation_selected_variant,adaptation_2bps_return,adaptation_maximum_drawdown,post2024_bar_return,walk_forward_return,quote_model,quote_run,quote_net_return,quote_extra_2bps_return,quote_maximum_drawdown,quote_positive_months,quote_negative_months,quote_coverage_rate,final_decision,promotion_ready
CAM-0611,3.12,Two moving averages,etf__sma10_30__long,0.8081183963713153,etf__sma50_200__long,1.1043326848748525,0.321181552984944,0.3777922818035948,0.1599530284340435,09:40 marketable daily reset,RUN-0007,0.0715265259421856,-0.0280734740578143,0.1385852440615005,8.0,4.0,1.0,execution_sensitive_unpromoted,False
CAM-0612,3.13,Three moving averages,qqq__sma3_10_21__long,0.4630335132606862,etf__sma10_50_200__long,1.0238966852569238,0.1873551395904623,0.2431231916608502,0.7502265886518248,09:40 marketable daily reset,RUN-0007,0.0946256965840201,-0.0049743034159797,0.1525748464466474,9.0,3.0,1.0,execution_sensitive_unpromoted,False
CAM-0613,3.14,Support and resistance,sp500__prior_pivot__target_exit__long,-0.5060399003606286,sp500__pivot_target__long__atr0.5,-0.2183293754425601,0.226855782684694,-0.1503776981698188,-0.2864222187074569,,,,,,,,,retired_mechanism_exhausted,False
CAM-0614,3.15,Donchian channel,qqq__donchian_close20__long,0.7237823120049407,qqq__donchian10__long,0.822599821622957,0.2994268293747366,0.1574377487065039,0.6720149913559411,09:40 marketable daily reset,RUN-0007,-0.2779163605096158,-0.3779003541070548,0.3626130297620486,4.0,8.0,0.999828001375989,retired_quote_execution_failure,False
CAM-0615,3.18,Statistical-arbitrage optimization,qqq__momentum20__diag_cov60__unconstrained,0.1178695134728083,qqq__fullcov_shrink50__mom60__long,0.6558464668476881,0.2960979756038668,0.1676499540932065,0.2583812083941685,09:40 marketable daily reset,RUN-0007,-0.2635445686111814,-0.3634028540535083,0.3092193127243425,4.0,8.0,0.9980732177263968,retired_quote_execution_failure,False
CAM-0616,3.18.1,Dollar-neutral statistical-arbitrage optimization,qqq__momentum20__diag_cov60__dollar_neutral,0.1577703594054958,,,,0.077876872881031,,,,,,,,,,stopped_nonexecutable_short_signal,False
CAM-0617,3.20,Alpha combos,qqq__26alpha_combo__M20__E5,0.6755337143356052,,,,0.3358064493056838,,,,,,,,,,stopped_nonexecutable_short_signal,False
CAM-0618,4.1,Sector momentum rotation,etf_sector__formation252__hold3__long,1.76912648753941,sector11__mom252__hold6__top1,1.764087870733533,0.1445510808987861,0.4826364208534355,1.129864432772275,09:40 marketable daily reset,RUN-0007,-0.0149285576274541,-0.1145285576274541,0.253665344275886,7.0,5.0,1.0,retired_quote_execution_failure,False
CAM-0619,4.1.1,Sector momentum with moving-average filter,etf_sector__mom252__sma200__long,1.0981240465169668,sector11__mom126__sma200__top1,1.1279854400478275,0.3093901456568262,0.531793825501452,0.5174933988366336,09:40 marketable daily reset,RUN-0007,-0.1206389627844862,-0.2202389627844862,0.4525087431370684,7.0,5.0,1.0,retired_quote_execution_failure,False
CAM-0620,4.1.2,Dual-momentum sector rotation,etf_sector__mom252__spy_sma200__fallback_GLD,1.074989133228471,sector11__mom126__sma200__fallback_GLD,1.116646036091192,0.185178235383479,0.5482082178489683,0.6536987817820779,09:40 marketable daily reset,RUN-0007,-0.138933990949306,-0.238533990949306,0.4558228497732866,7.0,5.0,1.0,retired_quote_execution_failure,False
CAM-0621,4.4,ETF IBS mean reversion,etf_all__ibs__hold1__reversal_long_short,1.0542263407934034,etf__ibs_le20__trend0__long,0.2554004978459143,0.3570470937444359,-0.1968439744406667,-0.4926877785900834,09:40 marketable daily reset,RUN-0007,-0.0535007104076938,-0.1496073770743604,0.1465660109739523,6.0,6.0,0.9977908689248896,retired_quote_execution_failure,False
CAM-0622,6.5,Index volatility targeting with risk-free asset,etf__QQQ__target15__vol252__weekly,0.7175247838249021,QQQ__target15__vol63__monthly__BIL,1.0131003632366442,0.2153562584387965,0.4334999895259825,0.8569726522914358,09:30 marketable daily reset,RUN-0005,0.2045953516063737,0.1049953516063737,0.0997556448659857,8.0,4.0,1.0,promising_unpromoted_candidate,False
CAM-0623,15.3,Distress risk puzzle,qqq__chs_annual_proxy__reversal_long,1.114243592136951,qqq__chs_safe__q10__none,1.114243592136951,0.3889253356436405,0.8633460470950248,0.5232312604927596,09:40 marketable daily reset,RUN-0007,0.580092949457045,0.480181838345934,0.1313456900947883,6.0,6.0,0.9991111111111112,profitable_but_fragile_unpromoted,False
CAM-0624,15.3.1,Distress risk puzzle risk management,sp500__chs_proxy__reversal_long__target15,0.5691903991305711,sp500__chs_safe_q20__target15__vol126,0.5653557569229715,0.1414978550134962,0.3841380061982621,0.3566015305082921,09:40 marketable daily reset,RUN-0007,-0.2777697018755558,-0.3565718016979123,0.3437150749583949,2.0,10.0,0.9994010182689428,retired_quote_execution_failure,False
