campaign_id,variant_id,decision,quote_net_return,maximum_drawdown,coverage_rate,positive_months,negative_months,mean_entry_spread_bps,mean_exit_spread_bps
CAM-0601,qqq__sue_sec__hold1__q20__long,quote_rejected,-0.13974311606303252,0.3075607235046792,1.0,3,9,14.954199144791597,14.968506937168666
CAM-0602,qqq__btp__profitable__hold1__q10,quote_rejected,-0.26232001460643417,0.2931597443639332,1.0,4,8,16.000449019807476,15.944800209534122
CAM-0603,qqq__lowvol63__hold1__q10,quote_rejected,-0.3943024393295149,0.4656509349734846,0.9985454545454545,3,9,13.516245160076135,13.49866561177232
CAM-0604,qqq__mom50_val50__profitable__q10,quote_survives_complete,0.15237613312522005,0.11659933042203442,1.0,7,5,10.375670170971075,10.376425313357148
CAM-0605,qqq__residual_mom__q10__regime0,quote_rejected,-0.2623335589570622,0.44952986450524796,0.9992727272727273,4,8,18.227828460736568,18.216516763181588
CAM-0611,etf__sma50_200__long,quote_survives_complete,0.07152652594218564,0.13858524406150055,1.0,8,4,1.3465624907333287,1.3494109634573523
CAM-0612,etf__sma10_50_200__long,quote_survives_complete,0.09462569658402012,0.15257484644664748,1.0,9,3,1.279552551457116,1.2819072469530974
CAM-0614,qqq__donchian10__long,quote_rejected,-0.2779163605096158,0.3626130297620486,0.999828001375989,4,8,17.90998094090418,17.878170624290256
CAM-0615,qqq__fullcov_shrink50__mom60__long,quote_rejected,-0.2635445686111814,0.3092193127243425,0.9980732177263969,4,8,16.922066428980973,16.914285950057206
CAM-0618,sector11__mom252__hold6__top1,quote_rejected,-0.014928557627454181,0.25366534427588605,1.0,7,5,1.2964992497946444,1.293781257298565
CAM-0619,sector11__mom126__sma200__top1,quote_rejected,-0.12063896278448627,0.45250874313706846,1.0,7,5,1.1475493014575149,1.1490565416177063
CAM-0620,sector11__mom126__sma200__fallback_GLD,quote_rejected,-0.13893399094930603,0.45582284977328663,1.0,7,5,1.0838170015767026,1.0832773932855142
CAM-0621,etf__ibs_le20__trend0__long,quote_rejected,-0.05350071040769387,0.14656601097395236,0.9977908689248896,6,6,2.515286975542053,2.578259035480371
CAM-0623,qqq__chs_safe__q10__none,quote_survives_incomplete,0.580092949457045,0.1313456900947883,0.9991111111111111,6,6,13.827787131527321,13.829240018939998
CAM-0624,sp500__chs_safe_q20__target15__vol126,quote_rejected,-0.27776970187555583,0.3437150749583949,0.9994010182689428,2,10,26.869282138088746,26.857740944258673
