campaign_id,run_id,variant_id,panel,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months,holding,metadata_json,net_10bps,positive_blocks,worst_block_average_month,block_returns_json,structured_screen
CAM-0600,RUN-0020,qqq__mom252_skip21__top3__liquid_trend__panic1,qqq,1,2.0,2.3535292568426063,2.3656854601720863,0.0121562033294799,84,288,1187,651,549,0.6885150812064965,1.0000000000000002,60.78101664739991,27,14,0.6095659393148166,0.0545330453456144,MRNA,0.6859564929464222,1.667572763896184,0,0,0.0283557741788265,0.0,38,25,20,0.196331972608229,2024-06-18,2024-08-02,125.0,0.0,12,0.0716022546140383,0.0412036914720214,10,2,0,15,0.0566540253438846,0.0347995663092576,11,3,1,18,0.0480978088499181,0.0226317842649136,12,5,1,open_to_next_open,"{""formation"": 252, ""gate"": ""liquid_trend"", ""panic_defense"": true, ""skip"": 21, ""top_k"": 3, ""weighting"": ""inverse_vol63""}",2.304904443524686,3,0.033538449970753566,"[{""average_month"": 0.033538449970753566, ""block"": 1, ""end"": ""2022-10-13"", ""net"": 0.771384349327332, ""start"": ""2020-08-03""}, {""average_month"": 0.0356251105558418, ""block"": 2, ""end"": ""2024-07-17"", ""net"": 0.7481273216726778, ""start"": ""2022-10-14""}, {""average_month"": 0.039838932659171246, ""block"": 3, ""end"": ""2026-04-30"", ""net"": 0.8366175858425962, ""start"": ""2024-07-18""}]",True
CAM-0601,RUN-0020,qqq__sue__hold6__top5__price20,qqq,1,2.0,1.1235609865202796,1.1275667027780594,0.0040057162577795,105,660,1674,934,740,0.9405452436194895,1.0,20.028581288897996,40,17,0.5093408889383169,0.037485252362684,GOOGL,0.1886159670487883,0.9349450194714912,0,0,0.013536879355666,0.0160488362092005,50,30,3,0.3007199764360217,2021-11-19,2022-10-12,284.0,0.0,12,0.0295628822552525,0.0170657582574523,8,4,0,15,0.019703038635925,0.0059392607008581,9,6,0,18,0.0192445322511766,0.0170657582574523,11,7,0,open_to_next_open,"{""confirmation"": ""price20"", ""hold_months"": 6, ""liquidity"": ""top_half"", ""source_repair"": {""holdout_rows_loaded"": 0, ""latest_event_date"": ""2026-02-27"", ""q4_derivation"": ""annual diluted EPS less first three direct quarterly diluted EPS values"", ""score_cells"": 244560, ""sec_extension_enabled"": true, ""sec_quarter_rows"": 13276, ""sec_symbols"": 389, ""source_rows"": 15501, ""source_symbols"": 458, ""usable_sue_events"": 3349, ""usable_sue_symbols"": 152}, ""top_k"": 5}",1.1075381214891613,3,0.004267133215416856,"[{""average_month"": 0.026310592874458694, ""block"": 1, ""end"": ""2021-11-16"", ""net"": 0.7103860076103847, ""start"": ""2019-09-03""}, {""average_month"": 0.004267133215416856, ""block"": 2, ""end"": ""2024-02-07"", ""net"": 0.11947973003167195, ""start"": ""2021-11-17""}, {""average_month"": 0.010877601810304558, ""block"": 3, ""end"": ""2026-04-30"", ""net"": 0.29369524887822307, ""start"": ""2024-02-08""}]",True
CAM-0602,RUN-0020,qqq__value_quality__top10__trend1,qqq,1,2.0,1.3872106555681776,1.396254849583593,0.0090441940154152,181,866,1507,835,672,0.8737474373499796,1.0000000000000002,45.22097007707619,33,22,0.5444610397796333,0.034989925274191,GOOG,0.2252855885207765,1.161925067047401,10,1,0.0167133813923876,0.0171983586799772,46,26,11,0.2387873233885919,2021-12-29,2022-10-12,298.0,0.0,12,0.0537930235905399,0.0396990554215935,9,3,0,15,0.0407789031022388,0.0297312648618318,11,4,0,18,0.0376663405720415,0.0284276268319285,13,5,0,open_to_next_open,"{""liquidity"": ""top_half"", ""score"": ""value_quality"", ""top_k"": 10, ""trend"": true, ""weighting"": ""inverse_vol63""}",1.3510338795065169,3,0.012304613492993912,"[{""average_month"": 0.015953982933336292, ""block"": 1, ""end"": ""2022-04-28"", ""net"": 0.38289559040007104, ""start"": ""2020-05-01""}, {""average_month"": 0.012304613492993912, ""block"": 2, ""end"": ""2024-04-29"", ""net"": 0.3076153373248478, ""start"": ""2022-04-29""}, {""average_month"": 0.027867989113730354, ""block"": 3, ""end"": ""2026-04-30"", ""net"": 0.6966997278432588, ""start"": ""2024-04-30""}]",True
CAM-0603,RUN-0020,qqq__lowvol_quality__top20__trend1,qqq,1,2.0,0.9312698082061462,0.9391694301363016,0.0078996219301552,307,1617,1507,839,668,0.8739050897967335,1.0000000000000002,39.49810965077627,47,17,0.3596718966750795,0.040682829565341,TMUS,0.0990420758508669,0.8322277323552792,10,1,0.0112201181711583,0.0088852524733637,49,23,11,0.2212323335432565,2021-12-27,2022-10-12,303.0,0.0,12,0.0211803881122331,0.0193605668244294,8,4,0,15,0.0127611797328299,0.011920503739086,10,5,0,18,0.0133209808660313,0.0136625988298868,12,6,0,open_to_next_open,"{""liquidity"": ""top_half"", ""score"": ""lowvol_quality"", ""top_k"": 20, ""trend"": true, ""weighting"": ""inverse_vol63""}",0.8996713204855252,3,0.007261197470050518,"[{""average_month"": 0.016656542888084585, ""block"": 1, ""end"": ""2022-04-28"", ""net"": 0.39975702931403, ""start"": ""2020-05-01""}, {""average_month"": 0.007261197470050518, ""block"": 2, ""end"": ""2024-04-29"", ""net"": 0.18152993675126294, ""start"": ""2022-04-29""}, {""average_month"": 0.013999313685634129, ""block"": 3, ""end"": ""2026-04-30"", ""net"": 0.34998284214085323, ""start"": ""2024-04-30""}]",True
CAM-0604,RUN-0020,qqq__mom_quality__top5__trend1,qqq,1,2.0,1.1337945295872718,1.1440269870926636,0.0102324575053919,112,449,1443,778,665,0.8370069605568445,1.0000000000000002,51.16228752695996,22,24,0.5590952939799282,0.043839280275366,NVDA,0.2825326747478987,0.8512618548393731,0,0,0.0136601750552683,0.0,36,33,14,0.2562897231954215,2021-11-18,2023-05-24,200.0,0.0,12,0.0325681392850072,0.0280707896187564,8,4,0,15,0.0272799750403547,0.0232085450450481,9,6,0,18,0.0288559931704612,0.0280707896187564,11,7,0,open_to_next_open,"{""liquidity"": ""top_half"", ""score"": ""mom_quality"", ""top_k"": 5, ""trend"": true, ""weighting"": ""inverse_vol63""}",1.0928646995657034,3,0.014558009811142929,"[{""average_month"": 0.015962405115469012, ""block"": 1, ""end"": ""2022-06-29"", ""net"": 0.3671353176557873, ""start"": ""2020-08-03""}, {""average_month"": 0.014558009811142929, ""block"": 2, ""end"": ""2024-05-29"", ""net"": 0.3493922354674303, ""start"": ""2022-06-30""}, {""average_month"": 0.017386124019335585, ""block"": 3, ""end"": ""2026-04-30"", ""net"": 0.41726697646405403, ""start"": ""2024-05-30""}]",True
CAM-0605,RUN-0020,sp500__resmom__top10__liquid_trend,sp500,1,2.0,0.5265625684920615,0.5305498159020441,0.0039872474099826,92,302,460,252,208,0.3665338645418327,1.0,19.936237049913487,45,25,0.3857910049452479,0.1087365578491952,GEV,0.0774174741887814,0.44914509430328,0,0,0.008776042808201,0.0,15,7,38,0.1758170227507806,2025-02-18,2025-04-04,29.0,0.0,12,0.0332217433161236,0.0396022480238145,9,3,0,15,0.027591277735972,0.0349998994812016,11,4,0,18,0.0271130117450827,0.0357953648969019,13,5,0,open_to_next_open,"{""gate"": ""liquid_trend"", ""source_fidelity"": {""factor_definition"": ""Causal panel proxies: benchmark MKT, bottom-minus-top market-cap SMB, high-minus-low book-to-price HML."", ""formation_months"": 12, ""regression_months"": 36, ""score_cells"": 11539, ""skip_months"": 1, ""symbols"": 539}, ""top_k"": 10}",0.5106135788521308,3,0.016533356154830998,"[{""average_month"": 0.020011826735219233, ""block"": 1, ""end"": ""2025-02-10"", ""net"": 0.16009461388175386, ""start"": ""2024-07-01""}, {""average_month"": 0.016533356154830998, ""block"": 2, ""end"": ""2025-09-19"", ""net"": 0.13226684923864798, ""start"": ""2025-02-11""}, {""average_month"": 0.02927513817145746, ""block"": 3, ""end"": ""2026-04-30"", ""net"": 0.23420110537165967, ""start"": ""2025-09-22""}]",True
CAM-0607,RUN-0020,etf__long_cheap_r2__top1__z1__trend0,etf,1,2.0,3.0485405953615663,3.753740595361567,0.7052000000000003,1763,2007,1763,893,870,0.9623362445414848,1.0,3526.0,10,9,0.988819560261418,0.0596436496652929,TQQQ,1.7583728145508288,1.2901677808107377,0,0,0.0346425067654723,0.0236260661494755,56,31,1,0.2198220875541768,2022-07-18,2022-10-12,34.0,0.0522760578703058,12,0.0656068038988519,0.1034111485684598,8,4,0,15,0.0606446301767435,0.0951919460164987,10,5,0,18,0.0581625520178565,0.0876028913444603,12,6,0,open_to_close,"{""lookback"": 2, ""mode"": ""long_cheap_intraday"", ""top_k"": 1, ""trend"": false, ""z_threshold"": 1.0}",0.2277405953615638,3,0.022937003383901842,"[{""average_month"": 0.022937003383901842, ""block"": 1, ""end"": ""2021-07-20"", ""net"": 0.6881101015170552, ""start"": ""2019-02-15""}, {""average_month"": 0.05561223708318903, ""block"": 2, ""end"": ""2023-11-30"", ""net"": 1.6127548754124819, ""start"": ""2021-07-21""}, {""average_month"": 0.025781917876966556, ""block"": 3, ""end"": ""2026-04-30"", ""net"": 0.7476756184320301, ""start"": ""2023-12-01""}]",True
CAM-0610,RUN-0020,qqq__ma150__weekly__top3__momentum,qqq,1,2.0,3.489745108524958,3.518745108524958,0.0289999999999999,219,435,1574,858,716,0.9120262954369684,1.0,145.0,37,25,0.562352892244067,0.0389427063473994,TSLA,0.8313276225382804,2.6584174859866776,5,1,0.0420451217894573,0.0218377736301478,49,27,7,0.3852959489879378,2020-02-18,2020-03-18,37.0,0.0015386952781681,12,0.0969075145721712,0.055061235899626,9,3,0,15,0.0889571190342916,0.0669190253126334,11,4,0,18,0.0869121150136074,0.069155146522976,14,4,0,open_to_next_open,"{""cadence"": ""weekly"", ""rank"": ""momentum"", ""top_k"": 3, ""windows"": [150]}",3.3737451085249583,3,0.028186758391076337,"[{""average_month"": 0.040983585790222606, ""block"": 1, ""end"": ""2022-02-23"", ""net"": 1.0655732305457877, ""start"": ""2020-01-27""}, {""average_month"": 0.028186758391076337, ""block"": 2, ""end"": ""2024-03-27"", ""net"": 0.7328557181679848, ""start"": ""2022-02-24""}, {""average_month"": 0.06505062153119946, ""block"": 3, ""end"": ""2026-04-30"", ""net"": 1.6913161598111859, ""start"": ""2024-03-28""}]",True
CAM-0611,RUN-0020,sp500__ma50_200__weekly__top3__momentum,sp500,1,2.0,2.500445477870296,2.5209121445369624,0.0204666666666666,155,307,1051,572,479,0.8374501992031872,1.0,102.33333333333331,49,29,0.5679930521796446,0.0518890914148328,SNDK,0.6274634563390092,1.872982021531286,0,0,0.0416740912978382,0.0245041353487358,35,16,9,0.2635994824702233,2022-05-27,2022-07-13,92.0,0.0,12,0.133978576660951,0.09368722786926,11,1,0,15,0.1102727705635546,0.0919780300850364,13,2,0,18,0.107033388094697,0.0917306521075467,15,3,0,open_to_next_open,"{""cadence"": ""weekly"", ""rank"": ""momentum"", ""top_k"": 3, ""windows"": [50, 200]}",2.418578811203629,3,0.021433899424519214,"[{""average_month"": 0.026180715370296707, ""block"": 1, ""end"": ""2023-07-17"", ""net"": 0.4712528766653407, ""start"": ""2022-02-22""}, {""average_month"": 0.021433899424519214, ""block"": 2, ""end"": ""2024-12-04"", ""net"": 0.38581018964134584, ""start"": ""2023-07-18""}, {""average_month"": 0.09666955362138877, ""block"": 3, ""end"": ""2026-04-30"", ""net"": 1.643382411563609, ""start"": ""2024-12-05""}]",True
CAM-0612,RUN-0020,sp500__ma10_50_200__monthly__top3__momentum,sp500,1,2.0,2.1408196732757503,2.152886339942417,0.0120666666666666,92,181,1046,571,475,0.8334661354581673,1.0,60.33333333333333,35,28,0.6652748536101819,0.0525833709441668,SNDK,0.6274634563390092,1.513356216936741,0,0,0.0356803278879291,0.0174530201260911,34,16,10,0.2819904684630343,2022-06-07,2023-03-15,402.0,0.0,12,0.1415993620458792,0.073253189153274,11,1,0,15,0.1006968207098558,0.0688008000028061,11,4,0,18,0.105370605251,0.0568873965662361,13,5,0,open_to_next_open,"{""cadence"": ""monthly"", ""rank"": ""momentum"", ""top_k"": 3, ""windows"": [10, 50, 200]}",2.092553006609084,3,0.01379443806526031,"[{""average_month"": 0.01379443806526031, ""block"": 1, ""end"": ""2023-07-20"", ""net"": 0.23450544710942528, ""start"": ""2022-03-01""}, {""average_month"": 0.023466940883797447, ""block"": 2, ""end"": ""2024-12-06"", ""net"": 0.42240493590835404, ""start"": ""2023-07-21""}, {""average_month"": 0.08728878177988064, ""block"": 3, ""end"": ""2026-04-30"", ""net"": 1.483909290257971, ""start"": ""2024-12-09""}]",True
