campaign_id,month,net_pnl,quote_model
CAM-0600,2025-05-31,0.023168116948769114,09:30 marketable daily reset
CAM-0600,2025-06-30,0.02437485984690836,09:30 marketable daily reset
CAM-0600,2025-07-31,-0.00612278435076852,09:30 marketable daily reset
CAM-0600,2025-08-31,0.008072516560266509,09:30 marketable daily reset
CAM-0600,2025-09-30,0.11390032076264575,09:30 marketable daily reset
CAM-0600,2025-10-31,0.06961677100125027,09:30 marketable daily reset
CAM-0600,2025-11-30,-0.25108577333888243,09:30 marketable daily reset
CAM-0600,2025-12-31,0.009969288597576623,09:30 marketable daily reset
CAM-0600,2026-01-31,0.07550199698837458,09:30 marketable daily reset
CAM-0600,2026-02-28,0.02449516869498949,09:30 marketable daily reset
CAM-0600,2026-03-31,-0.09245922011203239,09:30 marketable daily reset
CAM-0600,2026-04-30,0.41424513400418134,09:30 marketable daily reset
CAM-0604,2025-05-31,-0.011585572379504475,09:40 marketable daily reset
CAM-0604,2025-06-30,0.0038346176576908707,09:40 marketable daily reset
CAM-0604,2025-07-31,-0.06236893499677857,09:40 marketable daily reset
CAM-0604,2025-08-31,-0.014356144428513726,09:40 marketable daily reset
CAM-0604,2025-09-30,0.01188462006109294,09:40 marketable daily reset
CAM-0604,2025-10-31,0.0076512502048050835,09:40 marketable daily reset
CAM-0604,2025-11-30,0.004670502234968325,09:40 marketable daily reset
CAM-0604,2025-12-31,-0.012784722706522346,09:40 marketable daily reset
CAM-0604,2026-01-31,0.11328436395224299,09:40 marketable daily reset
CAM-0604,2026-02-28,0.028546808042222926,09:40 marketable daily reset
CAM-0604,2026-03-31,-0.055114097833967146,09:40 marketable daily reset
CAM-0604,2026-04-30,0.1387134433174832,09:40 marketable daily reset
CAM-0607,2025-05-31,-0.0030081372960674008,09:30 marketable daily reset
CAM-0607,2025-06-30,0.03905201977823158,09:30 marketable daily reset
CAM-0607,2025-07-31,0.07613763003992705,09:30 marketable daily reset
CAM-0607,2025-08-31,0.07229901682632674,09:30 marketable daily reset
CAM-0607,2025-09-30,0.03986463116800403,09:30 marketable daily reset
CAM-0607,2025-10-31,0.0737256817723981,09:30 marketable daily reset
CAM-0607,2025-11-30,0.19452237534861316,09:30 marketable daily reset
CAM-0607,2025-12-31,-0.21316843876867184,09:30 marketable daily reset
CAM-0607,2026-01-31,-0.019886461767862774,09:30 marketable daily reset
CAM-0607,2026-02-28,0.1240548558898034,09:30 marketable daily reset
CAM-0607,2026-03-31,0.13637447634761182,09:30 marketable daily reset
CAM-0607,2026-04-30,-0.24595338892769517,09:30 marketable daily reset
CAM-0610,2025-05-31,0.002707441481353005,09:30 marketable daily reset
CAM-0610,2025-06-30,0.031393242399339966,09:30 marketable daily reset
CAM-0610,2025-07-31,-0.009679472791521357,09:30 marketable daily reset
CAM-0610,2025-08-31,6.635789736134795e-05,09:30 marketable daily reset
CAM-0610,2025-09-30,0.045118510748765266,09:30 marketable daily reset
CAM-0610,2025-10-31,0.02834761722020356,09:30 marketable daily reset
CAM-0610,2025-11-30,-0.05257150265663667,09:30 marketable daily reset
CAM-0610,2025-12-31,-0.11360596228239395,09:30 marketable daily reset
CAM-0610,2026-01-31,0.018286609054419423,09:30 marketable daily reset
CAM-0610,2026-02-28,0.007902280103808853,09:30 marketable daily reset
CAM-0610,2026-03-31,-0.058710347057535736,09:30 marketable daily reset
CAM-0610,2026-04-30,0.10839912211887294,09:30 marketable daily reset
CAM-0611,2025-05-31,-0.04716021627287646,09:40 marketable daily reset
CAM-0611,2025-06-30,0.022507454062132268,09:40 marketable daily reset
CAM-0611,2025-07-31,0.005843867661897078,09:40 marketable daily reset
CAM-0611,2025-08-31,0.012921947788946668,09:40 marketable daily reset
CAM-0611,2025-09-30,0.058123582626016454,09:40 marketable daily reset
CAM-0611,2025-10-31,0.02925319638482649,09:40 marketable daily reset
CAM-0611,2025-11-30,-0.03398929168195987,09:40 marketable daily reset
CAM-0611,2025-12-31,-0.09812903948841495,09:40 marketable daily reset
CAM-0611,2026-01-31,0.038779685709500925,09:40 marketable daily reset
CAM-0611,2026-02-28,0.004828125315826736,09:40 marketable daily reset
CAM-0611,2026-03-31,-0.02291704289623665,09:40 marketable daily reset
CAM-0611,2026-04-30,0.10146425673252694,09:40 marketable daily reset
CAM-0612,2025-05-31,0.016712777974438375,09:40 marketable daily reset
CAM-0612,2025-06-30,0.02372931860588908,09:40 marketable daily reset
CAM-0612,2025-07-31,0.007649959170840069,09:40 marketable daily reset
CAM-0612,2025-08-31,0.00991842949193128,09:40 marketable daily reset
CAM-0612,2025-09-30,0.06541251725077057,09:40 marketable daily reset
CAM-0612,2025-10-31,0.03798209528225411,09:40 marketable daily reset
CAM-0612,2025-11-30,-0.08544280814008001,09:40 marketable daily reset
CAM-0612,2025-12-31,-0.07330748752542791,09:40 marketable daily reset
CAM-0612,2026-01-31,0.03843589124026781,09:40 marketable daily reset
CAM-0612,2026-02-28,0.016913345126002996,09:40 marketable daily reset
CAM-0612,2026-03-31,-0.010124879319621478,09:40 marketable daily reset
CAM-0612,2026-04-30,0.04674653742675526,09:40 marketable daily reset
CAM-0622,2025-05-31,0.024985088710894363,09:30 marketable daily reset
CAM-0622,2025-06-30,0.021858493684425544,09:30 marketable daily reset
CAM-0622,2025-07-31,0.005356737865902657,09:30 marketable daily reset
