variant,trade_symbols,lookback,market_sma,holding_sessions,entry_delay_sessions,cost_bps_per_side,breadth,require_positive_momentum,require_market_trend,market_trend_direction,require_all_funds_positive,require_qqq_positive_lookback,require_sma_rising,require_sma_falling,require_orderly_volatility,require_trend_efficiency,weight_scheme,volatility_scaling,full_net,full_max_dd,full_recovery_days,full_decisions,full_utilization,full_beta,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_max_dd,18m_recovery_days,18m_decisions,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_max_dd,15m_recovery_days,15m_decisions,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_max_dd,12m_recovery_days,12m_decisions
sma20_bull_leveraged,"('TQQQ', 'SOXL')",5.0,20.0,10.0,1.0,5.0,2.0,True,True,above,False,False,True,False,False,False,equal,none,3.7379897667071695,0.2583008505067076,434,122,0.6623235613463626,3.2123095522172243,1.103118226557752,0.06128434591987512,0.012644968938298893,5,0.34018596678796326,187,25,1.2887839776050631,0.08591893184033755,0.02245166559856991,3,0.12704990787040957,85,20,1.2663323120064933,0.10552769266720778,0.112424869400546,3,0.12847106283759877,85,19
sma20_bull_unleveraged,"('QQQ', 'SMH')",5.0,20.0,10.0,1.0,5.0,2.0,True,True,above,False,False,True,False,False,False,equal,none,1.3554681088167642,0.1382067492716156,419,122,0.6623235613463626,1.101340984124968,0.38677899790958836,0.021487722106088243,0.004621980621050899,5,0.1566042548681186,168,25,0.45366865730594697,0.030244577153729798,0.009213965975965972,3,0.06098043697207954,85,20,0.44445469132998094,0.037037890944165076,0.050162838544021295,3,0.0613929543771515,85,19
sma20_bear_inverse_below,"('SQQQ', 'SOXS')",5.0,20.0,10.0,1.0,5.0,2.0,True,True,below,False,False,False,False,False,False,equal,none,-4.797087041666266,4.336834405176148,2458,91,0.494028230184582,-3.2112094844173673,-0.6601403166618087,-0.036674462036767164,-0.08116851651382762,11,0.8475462083514562,388,22,-0.21212406447128151,-0.014141604298085439,-0.006555521171518745,8,0.6881376250625822,388,18,-1.015417294863493,-0.08461810790529108,-0.10084684257343696,8,1.0648198849827828,267,13
sma20_bear_inverse_falling,"('SQQQ', 'SOXS')",5.0,20.0,10.0,1.0,5.0,2.0,True,True,below,False,False,False,True,False,False,equal,none,-2.83523334251871,2.543028249732303,2523,55,0.2985884907709012,-3.315662583663148,-0.6551755792470046,-0.03639864329150025,0.0,7,0.8352706402468301,388,11,-0.5564782108259521,-0.03709854738839679,0.0,6,0.7976611862623133,388,10,-0.556181783744047,-0.046348481978670586,0.0,5,0.5862531236942918,204,6
sma50_bull_leveraged,"('TQQQ', 'SOXL')",5.0,50.0,10.0,1.0,5.0,2.0,True,True,above,False,False,True,False,False,False,equal,none,2.5724242837936586,0.3835781520529808,588,122,0.6623235613463626,3.1813439069789693,0.6531352137022821,0.0362852896501268,0.00243553143950323,6,0.4091384157242427,245,25,0.7457948261911798,0.049719655079411985,0.0,5,0.37092604328015905,140,20,0.8994979563035039,0.074958163025292,0.03727699686227975,3,0.14144495320361056,92,18
sma50_bull_unleveraged,"('QQQ', 'SMH')",5.0,50.0,10.0,1.0,5.0,2.0,True,True,above,False,False,True,False,False,False,equal,none,1.0024180091511985,0.2179263864656115,571,122,0.6623235613463626,1.089413650886045,0.2647477681604088,0.014708209342244939,0.0,7,0.13464800827363949,139,25,0.24052473305842778,0.016034982203895185,0.0,6,0.1377606256702929,139,20,0.305108520376139,0.02542571003134492,0.012090409866698733,4,0.06532906976037996,92,18
sma50_bear_inverse_below,"('SQQQ', 'SOXS')",5.0,50.0,10.0,1.0,5.0,2.0,True,True,below,False,False,False,False,False,False,equal,none,-3.3900514948723544,3.0095084856302763,2523,66,0.3583061889250814,-3.3982620666925127,-1.2015879706416994,-0.0667548872578722,0.0,7,1.1040282879711418,388,15,-1.0033623038455257,-0.06689082025636837,0.0,6,1.0015740795291481,388,13,-0.9471344989912759,-0.07892787491593965,0.0,5,0.9458221857031476,204,9
sma50_bear_inverse_falling,"('SQQQ', 'SOXS')",5.0,50.0,10.0,1.0,5.0,2.0,True,True,below,False,False,False,True,False,False,equal,none,-2.93065422894506,2.7921824703299962,2240,40,0.21715526601520088,-3.478096602612267,-0.39657530701554905,-0.022031961500863825,0.0,4,0.7247119768661731,388,9,-0.396575307015549,-0.026438353801036592,0.0,4,0.7247119768661731,388,9,-0.39627887993364397,-0.03302323999447033,0.0,3,0.42601534297775007,309,5
sma20_regime_switch,,,,,,,,,,,,,,,,,,,1.165369665850255,0.8676227063404964,1852,165,0.8957654723127035,-0.46993101185268354,1.071095229242774,0.059505290513487456,0.0578875766777192,8,0.3547517072123844,183,34,1.1667494522312412,0.07778329681541608,0.17112801920486062,6,0.3379463711250943,183,29,0.7262667114791272,0.060522225956593956,0.13307566154596132,5,0.25406440188563445,183,23
sma50_regime_switch,,,,,,,,,,,,,,,,,,,0.42141295169285514,1.1140329673903357,1241,156,0.8469055374592834,0.08017862207573667,0.9120508275810739,0.05066949042117078,0.044046539931523146,6,0.40070424430333623,178,33,1.0047104400699713,0.06698069600466475,0.10406602394078988,5,0.38231630836365893,178,28,0.5642276993178575,0.0470189749431548,0.08687447739317146,4,0.22267202220022614,52,22
