rule,a,b,target,stop,hold,trades,net_return,mean_bp,target_rate,green_rate,top_abs_share
prior5_bp_ge_10&close_loc_ge_0.9,prior5_bp_ge_10,close_loc_ge_0.9,5,5,1,24,0.0020440490449470383,0.851687102061266,0.5,0.5416666666666666,0.05877221075371827
green_ge_10&prior5_bp_ge_10,green_ge_10,prior5_bp_ge_10,5,5,3,25,0.001581058245220368,0.6324232980881472,0.6,0.6,0.04714411147310032
green_ge_10&prior3_bp_ge_5,green_ge_10,prior3_bp_ge_5,5,5,3,27,0.0014926385401663467,0.5528290889504988,0.5925925925925926,0.5925925925925926,0.04369800306993285
green_ge_10&prior5_bp_ge_5,green_ge_10,prior5_bp_ge_5,5,5,3,27,0.0014798919677947442,0.5481081362202757,0.5925925925925926,0.5925925925925926,0.0436607944420419
green_ge_10&prior5_bp_ge_10,green_ge_10,prior5_bp_ge_10,5,5,1,25,0.0014490651164086321,0.5796260465634528,0.56,0.56,0.05045424556350822
green_ge_10&prior3_bp_ge_5,green_ge_10,prior3_bp_ge_5,5,5,1,27,0.0013606454113546107,0.5039427449461521,0.5555555555555556,0.5555555555555556,0.04652737858389199
prior3_bp_ge_5&close_loc_ge_0.9,prior3_bp_ge_5,close_loc_ge_0.9,5,5,3,33,0.0013515090586257994,0.40954819958357563,0.5151515151515151,0.5757575757575758,0.037078239386855366
green_ge_10&prior5_bp_ge_5,green_ge_10,prior5_bp_ge_5,5,5,1,27,0.0013478988389830082,0.49922179221592894,0.5555555555555556,0.5555555555555556,0.0464851978919994
range_ge_10&close_loc_ge_0.9,range_ge_10,close_loc_ge_0.9,5,5,3,28,0.001273277222546887,0.4547418651953168,0.5357142857142857,0.5714285714285714,0.04216617006983992
prior5_bp_ge_0&close_loc_ge_0.9,prior5_bp_ge_0,close_loc_ge_0.9,2,5,3,33,0.0011809372478079894,0.3578597720630271,0.7878787878787878,0.7878787878787878,0.06381841203295262
