variant,extra_bps,net_return,maximum_drawdown,worst_month,positive_months,negative_months,active_sessions,active_fraction,green_days,red_days,recent12_return,recent12_positive_months,recent12_negative_months,early_return,late_return,worst_year,top5_positive_trade_share
weakest1,-1,2.5743732277735916,0.2001743342992678,-0.19161595347342342,44,29,1520,1.0,816,704,1.0825101541363282,9,3,1.4555527104274315,1.11882051734616,0.03258073089089186,0.048313514813731175
weakest1,0,2.2698888015706906,0.22838675129221864,-0.19597719415865922,42,31,1517,0.9980263157894737,798,719,1.0320986932515943,9,3,1.2892782273336743,0.9806105742370166,-0.017820745107680724,0.04880428873494382
weakest1,1,1.9654652661639527,0.2617220765785737,-0.20033756268297476,40,33,1520,1.0,795,725,0.9816973136509071,8,4,1.123036995811383,0.8424282703525697,-0.06821214181898294,0.04929861671694321
weakest1,2,1.6611026032897858,0.30171500046644406,-0.20469705930796533,40,33,1520,1.0,783,737,0.9313060123104914,8,4,0.9568290058870682,0.7042735974027176,-0.11859346226619527,0.04979986380930879
weakest1,5,0.748379667336405,0.5155863251783692,-0.21777032040137712,37,36,1520,1.0,758,762,0.7801925476311795,7,5,0.458404386027084,0.28997528130932104,-0.26967699623698027,0.05132870146317029
weakest1,10,-0.7716094777529608,1.3812151337189096,-0.23954167528920922,31,42,1520,1.0,716,804,0.5285380565018678,7,5,-0.37163941148208446,-0.3999700662708764,-0.5212816427198267,0.053983797505946333
weakest2,-1,2.5572578953810465,0.11745573111094187,-0.13485716893800992,44,29,1520,1.0,811,709,0.7992777845663086,7,5,1.4285544071136818,1.128703488267365,0.19719478990741846,0.031247075610059752
weakest2,0,2.2527768919023528,0.12977155904092974,-0.13922976024509093,42,31,1520,1.0,806,714,0.7489229644914086,7,5,1.2622853231406743,0.9904915687616785,0.14716035439299502,0.03157352846647308
weakest2,1,1.9483567785353424,0.14666170487647234,-0.14360147712135402,41,32,1520,1.0,798,722,0.6985782143735269,7,5,1.0960494896594133,0.8523072888759293,0.0971359247650847,0.03190318998426388
weakest2,2,1.6439975370166322,0.1697012829943061,-0.1479723198290755,41,32,1520,1.0,796,724,0.6482435311922815,7,5,0.9298468966967421,0.7141506403198898,0.047121498022523245,0.03223660450610838
weakest2,5,0.7312848610260527,0.36350344157627734,-0.16107960556218537,36,37,1520,1.0,773,747,0.4972998530826489,6,6,0.43143846124856816,0.2998463997774845,-0.10286179488673103,0.033254541725549445
weakest2,10,-0.7886871977915935,1.2084465203028762,-0.18290762286198153,31,42,1520,1.0,730,790,0.2459281134135315,6,6,-0.39857838379857646,-0.390108813993017,-0.3526341717895811,0.03501699343198614
strongest1,-1,2.0380063955060317,0.5246750010390968,-0.1995793540997759,37,36,1520,1.0,777,743,0.8812344436746854,7,5,0.449571610236144,1.5884347852698881,-0.673704908742739,0.09474296071453243
strongest1,0,1.733629231943329,0.5731875296503064,-0.20333906225814014,37,36,1516,0.9973684210526316,767,749,0.830863233906934,7,5,0.28349830324481873,1.4501309286985107,-0.7237651617356835,0.09566075671968782
strongest1,1,1.429312937726404,0.6244044979941372,-0.2070980185500586,37,36,1520,1.0,759,761,0.7805020973738132,7,5,0.1174582075937558,1.3118547301326482,-0.773815403679135,0.09658427757392547
strongest1,2,1.125057494598082,0.6785585379530628,-0.21085622320104747,37,36,1520,1.0,747,773,0.7301510310539527,7,5,-0.04854868667845991,1.1736061812765421,-0.8238556375758084,0.09751288238846186
strongest1,5,0.21265608928287405,0.893685036960023,-0.22212632956222766,33,40,1520,1.0,726,794,0.579158223178416,6,6,-0.5463702607763316,0.7590263500592055,-0.9739163209942917,0.10035140674156229
strongest1,10,-1.306797599688763,1.4620439186738043,-0.2408948283675122,27,46,1520,1.0,692,828,0.3277046660070492,5,7,-1.3754097852730645,0.0686121855843016,-1.2238175789949257,0.10526333508932398
weakest1_nonpositive,-1,2.493405670662579,0.13199228619819026,-0.1794502370420229,45,28,1141,0.7506578947368421,614,527,0.9524002494142888,10,2,1.2195961390858732,1.2738095315767062,0.1482087678160554,0.060286290566078024
weakest1_nonpositive,0,2.264729857109828,0.14951328069329628,-0.18301399061925638,41,32,1139,0.7493421052631579,598,541,0.9150135080385474,10,2,1.0931648629856805,1.1715649941241475,0.11038290864841316,0.060853511577649295
weakest1_nonpositive,1,2.03609977414673,0.169465057635672,-0.1865770315170423,41,32,1141,0.7506578947368421,596,545,0.8776342432634205,10,2,0.966758870612338,1.069340903534392,0.07256461389616242,0.061423018860346214
weakest1_nonpositive,2,1.8075154080568445,0.19239117587507837,-0.190139359949142,40,33,1141,0.7506578947368421,587,554,0.8402624528463769,10,2,0.8403781543822362,0.9671372536746085,0.034753881290434996,0.062000051092788666
weakest1_nonpositive,5,1.1220364739444255,0.2875822873566143,-0.20082207258765072,33,40,1141,0.7506578947368421,570,571,0.7281919053318814,7,5,0.4613875867608749,0.6606488871835506,-0.07863296632272887,0.06375799274062191
weakest1_nonpositive,10,-0.01951535738976884,0.8468617285232758,-0.21861236426437047,25,48,1141,0.7506578947368421,548,593,0.5415569375929349,6,6,-0.16975854333389961,0.15024318594413077,-0.2674600142459689,0.06681049955563201
weakest2_nonpositive,-1,2.1983493277498702,0.14744033963704484,-0.12109946981761338,41,32,1141,0.7506578947368421,615,526,0.8276088118919944,8,4,1.0359711062203465,1.1623782215295235,0.11910938393477749,0.05116797811783425
weakest2_nonpositive,0,1.9697325195651652,0.16196539202671578,-0.12467489238139318,41,32,1141,0.7506578947368421,607,534,0.7902470263081791,8,4,0.9095765514545926,1.0601559681105728,0.08128934406198213,0.05165996240938458
weakest2_nonpositive,1,1.7411614301702172,0.17712885831093728,-0.12824959993216156,41,32,1141,0.7506578947368421,602,539,0.7528927123343186,8,4,0.7832072730721551,0.9579541570980621,0.04347686744083612,0.05215569305184656
weakest2_nonpositive,2,1.5126360458521284,0.19297377418607897,-0.1318235926843792,40,33,1141,0.7506578947368421,596,545,0.7155458677293781,8,4,0.6568632634916307,0.8557727823604978,0.005671951802818764,0.05265890345815373
weakest2_nonpositive,5,0.8273339863123486,0.28207693807960454,-0.14254128429305374,36,37,1141,0.7506578947368421,578,563,0.6035501277311792,7,5,0.27798277179303443,0.5493512145193142,-0.10769745188408586,0.05419279958320023
weakest2_nonpositive,10,-0.3139232896646143,1.0043880849327473,-0.16038982766134835,26,47,1141,0.7506578947368421,554,587,0.4170397395423478,6,6,-0.3529800450517402,0.03905675538712583,-0.2964954498322264,0.05682916305143088
weakest1_le_-0.005,-1,2.743912289356135,0.12184532802472026,-0.14512070671410904,45,28,991,0.6519736842105263,548,443,0.9678888904276969,10,2,1.2453849046525356,1.4985273847035994,0.24034026419035104,0.06197419603998939
weakest1_le_-0.005,0,2.545183379789242,0.13078224945018524,-0.14749144549888693,43,30,989,0.6506578947368421,533,456,0.9356985316854893,9,3,1.1363467314889324,1.4088366483003094,0.20809542062187347,0.06253354420409306
weakest1_le_-0.005,1,2.3464942120300845,0.14149795379568797,-0.1498617101833184,42,31,991,0.6519736842105263,531,460,0.9035146103712867,9,3,1.0273303637794204,1.3191638482506642,0.17585702537727754,0.06309381418641463
weakest1_le_-0.005,2,2.147844774158497,0.1545408785819764,-0.1522315009096049,42,31,991,0.6519736842105263,524,467,0.8713371245542466,9,3,0.9183357949836646,1.2295089791748324,0.14362507652245204,0.0636612158544548
weakest1_le_-0.005,5,1.5521347207390868,0.21809736993177242,-0.15933803076075592,38,35,991,0.6519736842105263,510,481,0.7748432607892681,8,4,0.5914828167148894,0.9606519040241972,0.04696788896709647,0.0653964468002749
weakest1_le_-0.005,10,0.5600781182912683,0.44367288310586117,-0.17117278127211477,31,42,991,0.6519736842105263,492,499,0.6141486844693506,7,5,0.04716322153596986,0.5129148967552984,-0.11399867612260739,0.06840814263928366
weakest1_le_-0.01,-1,3.0806114449394597,0.09260700198047722,-0.13136126908773837,47,26,841,0.5532894736842106,471,370,0.9805249812571468,11,1,1.4413908272693416,1.639220617670118,0.21830727165093045,0.0661495246773728
weakest1_le_-0.01,0,2.911812202574728,0.09817919491383786,-0.13353477948288062,47,26,839,0.5519736842105263,459,380,0.9533315955994642,11,1,1.3487118170049244,1.5631003855698036,0.1912663142923383,0.06671119142293783
weakest1_le_-0.01,1,2.7430467166828234,0.10449006581712217,-0.1357078552194102,47,26,841,0.5532894736842106,457,384,0.9261436480750993,11,1,1.2560513406891674,1.486995375993656,0.16423076458445296,0.0672720557213838
weakest1_le_-0.01,2,2.5743149771388225,0.11143017330691629,-0.1378804964276984,47,26,841,0.5532894736842106,451,390,0.8989611370529385,11,1,1.163409392762993,1.4109055843758296,0.13720062090530594,0.06783894269580902
weakest1_le_-0.01,5,2.0683221354058303,0.1365778077878277,-0.14439581418604508,43,30,841,0.5532894736842106,444,397,0.8174462066983292,11,1,0.8855946637645902,1.1827274716412401,0.05614260983029151,0.06958470817695304
weakest1_le_-0.01,10,1.2256747156565884,0.2216720452131541,-0.15524599870469202,37,36,841,0.5532894736842106,430,411,0.681696567436442,9,3,0.42294016502294995,0.8027345506336385,-0.07884610591602348,0.07263291554621973
weakest1_le_-0.015,-1,3.100116637623039,0.08950432114524332,-0.1473003469602907,50,23,702,0.4618421052631579,403,299,0.9595228258343635,11,1,1.4228094830929514,1.6773071545300875,0.11765960337984382,0.07237136728763992
weakest1_le_-0.015,0,2.959110714887805,0.09370622954083263,-0.1492706898566084,49,24,700,0.4605263157894737,394,306,0.9373331402377592,11,1,1.3449327088737628,1.614178006014042,0.09803803361614527,0.07295556503694597
weakest1_le_-0.015,1,2.8181329905172836,0.09879512124498269,-0.15124063872375015,48,25,702,0.4618421052631579,392,310,0.9151478921345255,11,1,1.2670715084520403,1.551061482065243,0.07842038777400728,0.07353852576917323
weakest1_le_-0.015,2,2.677183456053647,0.10428118019554256,-0.15321019367990096,48,25,702,0.4618421052631579,388,314,0.8929670801936762,11,1,1.1892258771565756,1.4879575788970718,0.058806664676492204,0.07412723052560181
weakest1_le_-0.015,5,2.254503907576651,0.12339275753403922,-0.1591164962635474,44,29,702,0.4618421052631579,383,319,0.8264512480436297,10,2,0.9557823513436978,1.298721556232953,-1.0979910697095363e-05,0.07594838722198942
weakest1_le_-0.015,10,1.5506010031698245,0.16810818830085283,-0.16895246670005093,43,30,702,0.4618421052631579,374,328,0.7156801269705623,10,2,0.5670207554095247,0.9835802477602998,-0.09796204237508466,0.07913655470510311
