clock,extra_slippage_bps_per_side,rule,sleeves,net_simple_return,maximum_drawdown,green_days,red_days,positive_months,negative_months,worst_month,best_month,monthly_std,top5_day_positive_share
0930,0.0,equal,all,0.48309519092536674,0.059036568430032126,149,102,10,2,-0.02334887930019066,0.13911787998290012,0.04509774540602882,0.13351672406560336
0930,0.0,causal_inverse_vol,all,0.3668214771096959,0.04552694568945948,152,99,11,1,-0.01757844640534281,0.08381964132945963,0.028869048558406905,0.12348810605077279
0930,0.0,equal,without_momentum,0.2598221932117608,0.03960027240212301,144,107,10,2,-0.013620549070483563,0.0569094253356804,0.02228239677101304,0.1365038951275936
0930,0.0,causal_inverse_vol,without_momentum,0.2529058581348214,0.03818033786578907,142,109,9,3,-0.013949647623125987,0.06046113198761793,0.022587822017997954,0.1319798372786995
0930,0.0,equal,without_multifactor,0.5149014598496879,0.0673911631412105,145,106,9,3,-0.03232662796888054,0.17025915373173178,0.05526930519971737,0.13900123529579375
0930,0.0,causal_inverse_vol,without_multifactor,0.3518265035372867,0.04865786579172115,142,109,9,3,-0.012268643350289883,0.09569275745551126,0.031047642900321405,0.13378537277233954
0930,0.0,equal,without_ibs,0.5714075381569572,0.06441417174510676,149,102,10,2,-0.039347664650672326,0.16364224926189577,0.05591325244078374,0.13174782685142644
0930,0.0,causal_inverse_vol,without_ibs,0.4127696313337696,0.045185700992187244,150,101,10,2,-0.02573066240695431,0.08713864757049368,0.03373908223941216,0.1086164061069956
0930,0.0,equal,without_distress,0.5862495724830608,0.0651479146321738,150,101,10,2,-0.02839174196464137,0.17182225887424188,0.05489166374336315,0.13498910783482418
0930,0.0,causal_inverse_vol,without_distress,0.44918875158338134,0.0504162746300325,143,108,11,1,-0.02098982524321176,0.10341688873269886,0.03354269159325238,0.12838463352007892
0930,2.0,equal,all,0.4763312203799311,0.05933870666338629,149,102,10,2,-0.024084142985081526,0.13847561196486277,0.045074816748337805,0.13377873294873993
0930,2.0,causal_inverse_vol,all,0.3606285961783684,0.04577810410085119,152,99,10,2,-0.018152819537074948,0.08323663848740889,0.028847192565920717,0.12379224265827157
0930,2.0,equal,without_momentum,0.2521253210063803,0.040771453130823566,144,107,10,2,-0.01429792283734739,0.05621638378272903,0.022241446184164942,0.1371152567786803
0930,2.0,causal_inverse_vol,without_momentum,0.246191491733713,0.03905424519503942,142,109,9,3,-0.014504047225473035,0.059903200193354156,0.02255856512357932,0.13251293889240193
0930,2.0,equal,without_multifactor,0.5062796904174123,0.06780700771832651,145,106,9,3,-0.03298756964705157,0.16943396916916045,0.05522950587118191,0.13922776986523733
0930,2.0,causal_inverse_vol,without_multifactor,0.34283263477644843,0.04905728368046138,141,110,9,3,-0.012936380724135613,0.09478896333050699,0.03099655875550748,0.13425582037872
0930,2.0,equal,without_ibs,0.5695563181704506,0.06446595337269265,149,102,10,2,-0.03953389114521128,0.1634977437563645,0.05594598573088517,0.13169131725405503
0930,2.0,causal_inverse_vol,without_ibs,0.41149260248449726,0.04521550529145429,150,101,10,2,-0.025912464373387664,0.08707348549514271,0.03375820527643236,0.10863151770741132
0930,2.0,equal,without_distress,0.5773635519254814,0.065549909494115,150,101,10,2,-0.029365442899280888,0.17097400590269735,0.05486012725800232,0.13519396079574952
0930,2.0,causal_inverse_vol,without_distress,0.43916741747796395,0.050824451089232094,143,108,11,1,-0.021983921860225956,0.10241757586800522,0.03350075992893308,0.12877758695339725
0930,5.0,equal,all,0.46618526456177767,0.05979501231101976,149,102,10,2,-0.025187038512417832,0.13751220993780672,0.045040928537290435,0.1341749724837547
0930,5.0,causal_inverse_vol,all,0.3513386423381138,0.046157461749315884,152,99,10,2,-0.01901444286163891,0.08236204733861417,0.02881493154574627,0.12425286433102846
0930,5.0,equal,without_momentum,0.24058001269830961,0.04261149970529793,143,108,9,3,-0.015313983487643151,0.05517682145330196,0.022181322309746298,0.13804312612494105
