variant,block,net_pnl,signal_days
tail02_reclaim00_anomaly_ge1_1200_c10,block_1,-0.30070949363155586,56
tail02_reclaim00_anomaly_ge1_1200_c10,block_2,-0.1503246277721191,54
tail02_reclaim00_anomaly_ge1_1200_c10,block_3,-0.2540428030499922,60
tail02_reclaim00_anomaly_ge1_1200_c20,block_1,-0.4127094936315558,56
tail02_reclaim00_anomaly_ge1_1200_c20,block_2,-0.2563246277721191,54
tail02_reclaim00_anomaly_ge1_1200_c20,block_3,-0.3720428030499922,60
tail02_reclaim00_anomaly_ge1_final_c5,block_1,-0.2134367873854025,56
tail02_reclaim00_anomaly_ge1_final_c5,block_2,-0.21992278270786186,54
tail02_reclaim00_anomaly_ge1_final_c5,block_3,-0.18489700195833036,60
tail02_reclaim00_anomaly_ge1_final_c10,block_1,-0.26943678738540255,56
tail02_reclaim00_anomaly_ge1_final_c10,block_2,-0.2739227827078619,54
tail02_reclaim00_anomaly_ge1_final_c10,block_3,-0.24489700195833042,60
tail02_reclaim00_anomaly_ge1_final_c20,block_1,-0.38143678738540265,56
tail02_reclaim00_anomaly_ge1_final_c20,block_2,-0.3819227827078619,54
tail02_reclaim00_anomaly_ge1_final_c20,block_3,-0.3648970019583305,60
tail02_reclaim00_anomaly_ge1_5_1200_c5,block_1,-0.20309830788010497,44
tail02_reclaim00_anomaly_ge1_5_1200_c5,block_2,-0.16512252402225663,41
tail02_reclaim00_anomaly_ge1_5_1200_c5,block_3,-0.20127851227471055,47
tail02_reclaim00_anomaly_ge1_5_1200_c10,block_1,-0.247098307880105,44
tail02_reclaim00_anomaly_ge1_5_1200_c10,block_2,-0.20512252402225667,41
tail02_reclaim00_anomaly_ge1_5_1200_c10,block_3,-0.2472785122747106,47
tail02_reclaim00_anomaly_ge1_5_1200_c20,block_1,-0.33509830788010503,44
tail02_reclaim00_anomaly_ge1_5_1200_c20,block_2,-0.2851225240222567,41
tail02_reclaim00_anomaly_ge1_5_1200_c20,block_3,-0.3392785122747106,47
tail02_reclaim00_anomaly_ge1_5_final_c5,block_1,-0.18337129744646774,44
tail02_reclaim00_anomaly_ge1_5_final_c5,block_2,-0.2695559041698496,41
tail02_reclaim00_anomaly_ge1_5_final_c5,block_3,-0.1646367146613888,47
tail02_reclaim00_anomaly_ge1_5_final_c10,block_1,-0.22737129744646778,44
tail02_reclaim00_anomaly_ge1_5_final_c10,block_2,-0.31055590416984963,41
tail02_reclaim00_anomaly_ge1_5_final_c10,block_3,-0.21163671466138884,47
tail02_reclaim00_anomaly_ge1_5_final_c20,block_1,-0.31537129744646786,44
