feature,bucket,n,net_pnl,average_position_return,win_rate,recent12_net,early_net,late_net
rank,1,1520,0.1815821801183107,0.0003583858818124555,0.49276315789473685,0.14454953750869062,0.016903365060770337,0.1646788150575404
rank,2,1520,0.89765164827337,0.0017716808847500721,0.5197368421052632,0.27888148837046334,0.30135008393203505,0.596301564341335
rank,3,1520,0.3917836944854347,0.0007732572917475686,0.49407894736842106,0.23297593911420775,0.2784611909847062,0.11332250350072856
weekday,Friday,912,0.18558849586764048,0.0006104884732488174,0.5263157894736842,0.44313039665497866,-0.008364959381186032,0.1939534552488265
weekday,Monday,852,0.4133535586963279,0.0014554702770997463,0.4988262910798122,-0.1861245935275613,0.40873074599580456,0.0046228127005233655
weekday,Thursday,912,-0.17761124556142763,-0.0005842475182941696,0.46710526315789475,0.06195563363878377,-0.26344433401519474,0.08583308845376719
weekday,Tuesday,945,0.5430828811847325,0.0017240726386816905,0.5206349206349207,0.35114073157090986,0.1629924248897472,0.38009045629498533
weekday,Wednesday,939,0.5066038326898419,0.0016185425964531691,0.49733759318423854,-0.013695203343749254,0.2968007624883406,0.20980307020150132
age_sessions,"(-0.001, 5.0]",949,0.10890700348084133,0.00034427925231035204,0.49736564805057953,0.05128037354162939,0.14382545459787738,-0.034918451117035974
age_sessions,"(5.0, 10.0]",568,-0.19904343293679289,-0.0010512857373422158,0.4507042253521127,0.013496958139510793,-0.23305564107667806,0.0340122081398852
age_sessions,"(10.0, 20.0]",726,0.20929571423067134,0.000864858323267237,0.4972451790633609,0.06420747207621737,0.09143415992173667,0.11786155430893466
age_sessions,"(20.0, 40.0]",845,0.6457729043731232,0.0022926848675968873,0.5183431952662721,0.2230531174903252,0.27477649999902276,0.37099640437410053
age_sessions,"(40.0, 1000.0]",1472,0.7060853337292723,0.0014390326095025927,0.5183423913043478,0.30436904374567897,0.31973416653555287,0.3863511671937194
stock_open_to_entry,"(-9.001, -0.02]",870,-0.03461390846616719,-0.00011935830505574892,0.5137931034482759,0.41932024654208355,-0.3705145146597234,0.3359006061935563
stock_open_to_entry,"(-0.02, 0.0]",1411,-0.05418493803556472,-0.00011520539624854298,0.49468462083628634,0.013071060690755476,0.15078347304353765,-0.2049684110791024
stock_open_to_entry,"(0.0, 0.02]",1409,0.6469651462393518,0.0013774985370603662,0.48899929027679206,0.015206270322526416,0.3593587218572825,0.2876064243820694
stock_open_to_entry,"(0.02, 0.05]",657,0.8222750970521165,0.0037546808084571535,0.5312024353120244,0.20628528457335643,0.3867525109223771,0.4355225861297395
stock_open_to_entry,"(0.05, 9.0]",213,0.09057612608737883,0.0012757200857377304,0.5023474178403756,0.002524102864639815,0.07033444881403766,0.02024167727334117
stock_prior_close_to_entry,"(-9.001, -0.02]",938,0.12029778522875975,0.0003847477139512574,0.5394456289978679,0.46826906369209875,-0.09937069426298942,0.21966847949174909
stock_prior_close_to_entry,"(-0.02, 0.0]",1275,0.14606835378261418,0.0003436902441943863,0.49411764705882355,0.008296940454783186,0.10755745988193896,0.038510893900675254
stock_prior_close_to_entry,"(0.0, 0.02]",1284,-0.01158157669688159,-2.705975863757368e-05,0.4719626168224299,-0.04906853214183142,-0.09120031627628701,0.07961873957940555
stock_prior_close_to_entry,"(0.02, 0.05]",717,0.9082483272400572,0.0038002022060253434,0.5216178521617852,0.19869602432960878,0.4415846357147378,0.4666636915253194
stock_prior_close_to_entry,"(0.05, 9.0]",346,0.3079846333225658,0.002670386994126293,0.5028901734104047,0.030213468658702444,0.23814355492011133,0.06984107840245445
