variant,candidate,eligibility_rule,additional_slippage_bps_per_side,parent_events,eligible_events,eligible_fraction,symbol_count,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,top_5_day_profit_share,top_symbol_profit_share,average_month_18m,negative_months_18m,zero_months_18m,average_month_15m,negative_months_15m,zero_months_15m,average_month_12m,negative_months_12m,zero_months_12m
vol_high_trade_q50_nbbo_slip2,vol_high,trade_q50,2,122,91,0.7459016393442623,53,0.7000909561318968,0.10841310127286333,7,False,0.4789357554187597,0.1792889121036416,0.03889394200732758,4,3,0.04976651628809399,2,3,0.05130006582449392,1,3
vol_high_trade_q50_nbbo_slip5,vol_high,trade_q50,5,122,91,0.7459016393442623,53,0.6454909561318964,0.12510144430548464,21,False,0.5147997625376047,0.19073628333427586,0.035860608673994245,4,3,0.046846516288093984,2,3,0.048500065824493926,1,3
vol_high_range50_nbbo_slip0,vol_high,range50,0,122,117,0.9590163934426229,71,0.7810777506126863,0.07692550766104993,5,False,0.50593031079061,0.16274762121795533,0.043393208367371455,4,3,0.054276907079770405,2,3,0.04456802275860139,2,3
vol_high_range50_nbbo_slip2,vol_high,range50,2,122,117,0.9590163934426229,71,0.7342777506126864,0.08085919903991057,5,False,0.5354525706260913,0.17094150788819695,0.040793208367371464,5,3,0.051690240413103744,3,3,0.04210135609193472,2,3
vol_high_range50_nbbo_slip5,vol_high,range50,5,122,117,0.9590163934426229,71,0.6640777506126861,0.08691295655209902,5,False,0.5875379934941812,0.1853977878115859,0.03689320836737145,5,3,0.047810240413103736,3,3,0.038401356091934714,2,3
vol_high_range75_nbbo_slip0,vol_high,range75,0,122,93,0.7622950819672131,61,0.6056487446272435,0.07224031896373469,5,False,0.6257920868177791,0.18933847359872027,0.03364715247929131,3,3,0.03730161252740195,3,3,0.029385778462441753,3,3
vol_high_range75_nbbo_slip2,vol_high,range75,2,122,93,0.7622950819672131,61,0.5684487446272436,0.07566368842681193,5,False,0.6632263600583246,0.20102535175732847,0.03158048581262465,4,3,0.035168279194068626,4,3,0.02738577846244176,3,3
vol_high_range75_nbbo_slip5,vol_high,range75,5,122,93,0.7622950819672131,61,0.5126487446272434,0.08088465405586147,5,False,0.7295642400349595,0.22173585722394956,0.028480485812624634,4,3,0.03196827919406862,4,3,0.02438577846244175,3,3
vol_high_close_vwap_nbbo_slip0,vol_high,close_vwap,0,122,122,1.0,73,0.7721234176757393,0.07710720557175929,5,False,0.5117975961778986,0.1646350091040377,0.04289574542642996,5,3,0.05384132993491244,2,3,0.044023551327528936,2,3
vol_high_close_vwap_nbbo_slip2,vol_high,close_vwap,2,122,122,1.0,73,0.7233234176757395,0.0811481377573621,5,False,0.5435617035357239,0.17353032244112285,0.04018463431531885,6,3,0.05120132993491244,3,3,0.041490217994195604,2,3
vol_high_close_vwap_nbbo_slip5,vol_high,close_vwap,5,122,122,1.0,73,0.6501234176757392,0.10070261568339785,5,False,0.6001489848096991,0.18937718985519397,0.03611796764865218,6,3,0.04724132993491244,3,3,0.03769021799419559,2,3
vol_high_dollar_q50_range50_nbbo_slip0,vol_high,dollar_q50_range50,0,122,94,0.7704918032786885,59,0.8223076873151748,0.09487061499407486,5,False,0.48056331615886433,0.15458756844840724,0.0456837604063986,3,3,0.05733745501613346,2,3,0.04867917027314094,1,3
vol_high_dollar_q50_range50_nbbo_slip2,vol_high,dollar_q50_range50,2,122,94,0.7704918032786885,59,0.784707687315175,0.09832365342202008,5,False,0.5010412354494894,0.15995580000998763,0.043594871517509716,3,3,0.055257455016133473,2,3,0.04674583693980761,1,3
vol_high_dollar_q50_range50_nbbo_slip5,vol_high,dollar_q50_range50,5,122,94,0.7704918032786885,59,0.7283076873151747,0.10360490298647237,5,False,0.5357226292055609,0.16904743426826765,0.040461538184176374,3,3,0.052137455016133455,2,3,0.0438458369398076,1,3
