variant,block,net_pnl,event_count
all_state_all_nbbo_slip0,block_1,-0.0024807942852127507,75
all_state_all_nbbo_slip0,block_2,0.515180554171859,77
all_state_all_nbbo_slip0,block_3,0.14607630934372284,80
all_state_all_nbbo_slip2,block_1,-0.03248079428521268,75
all_state_all_nbbo_slip2,block_2,0.48438055417185905,77
all_state_all_nbbo_slip2,block_3,0.1140763093437229,80
all_state_all_nbbo_slip5,block_1,-0.07748079428521282,75
all_state_all_nbbo_slip5,block_2,0.43818055417185897,77
all_state_all_nbbo_slip5,block_3,0.06607630934372277,80
all_state_dollar_q50_nbbo_slip0,block_1,0.05849148250669822,60
all_state_dollar_q50_nbbo_slip0,block_2,0.4519971135847747,65
all_state_dollar_q50_nbbo_slip0,block_3,0.19370989325882682,62
all_state_dollar_q50_nbbo_slip2,block_1,0.034491482506698236,60
all_state_dollar_q50_nbbo_slip2,block_2,0.4259971135847747,65
all_state_dollar_q50_nbbo_slip2,block_3,0.16890989325882683,62
all_state_dollar_q50_nbbo_slip5,block_1,-0.0015085174933018308,60
all_state_dollar_q50_nbbo_slip5,block_2,0.3869971135847746,65
all_state_dollar_q50_nbbo_slip5,block_3,0.13170989325882676,62
all_state_dollar_q67_nbbo_slip0,block_1,-0.0006741669857445176,46
all_state_dollar_q67_nbbo_slip0,block_2,0.45487121899453875,52
all_state_dollar_q67_nbbo_slip0,block_3,0.23956062848264725,51
all_state_dollar_q67_nbbo_slip2,block_1,-0.019074166985744476,46
all_state_dollar_q67_nbbo_slip2,block_2,0.43407121899453865,52
all_state_dollar_q67_nbbo_slip2,block_3,0.21916062848264728,51
all_state_dollar_q67_nbbo_slip5,block_1,-0.04667416698574456,46
all_state_dollar_q67_nbbo_slip5,block_2,0.4028712189945387,52
all_state_dollar_q67_nbbo_slip5,block_3,0.1885606284826472,51
all_state_dollar_q80_nbbo_slip0,block_1,-0.08380757937683625,35
all_state_dollar_q80_nbbo_slip0,block_2,0.4456684557406083,38
all_state_dollar_q80_nbbo_slip0,block_3,0.2247247415124355,36
all_state_dollar_q80_nbbo_slip2,block_1,-0.09780757937683622,35
all_state_dollar_q80_nbbo_slip2,block_2,0.43046845574060827,38
all_state_dollar_q80_nbbo_slip2,block_3,0.21032474151243546,36
all_state_dollar_q80_nbbo_slip5,block_1,-0.11880757937683628,35
all_state_dollar_q80_nbbo_slip5,block_2,0.4076684557406083,38
all_state_dollar_q80_nbbo_slip5,block_3,0.18872474151243546,36
all_state_trade_q50_nbbo_slip0,block_1,-0.05234241707606424,52
