week,return
2020-04-17,0.17767945779552963
2020-04-24,-0.017560281877092798
2020-05-01,-0.07098876231907536
2020-05-08,0.10928072429502644
2020-05-15,0.020549240993911644
2020-05-22,-0.002511010031837735
2020-05-29,0.0026163473695619555
2020-06-05,0.06520489774032368
2020-06-12,0.045345735275275745
2020-06-19,0.094417078238753
2020-06-26,-0.009280123772540616
2020-07-03,0.13308202704918926
2020-07-10,0.1502572465439691
2020-07-17,-0.061553086206307395
2020-07-24,-0.03200931305132115
2020-07-31,-0.003677195519758425
2020-08-07,0.011631997197401711
2020-08-14,0.006674536877255388
2020-08-21,0.13981716967484936
2020-08-28,0.03812777164187153
2020-09-04,0.05629553922281061
2020-09-11,-0.02800696143904069
2020-09-18,0.08253709667827835
2020-09-25,0.024315194641767235
2020-10-02,-0.014959788113417027
2020-10-09,0.02214839686973402
2020-10-16,0.062469793160669695
2020-10-23,-0.06421626952363801
2020-10-30,-0.08533729286732938
2020-11-06,0.11168412855379617
2020-11-13,-0.11820866207257563
2020-11-20,0.12336489315305221
2020-11-27,0.100593817549266
2020-12-04,-0.02690445818863474
2020-12-11,-0.009375359231715952
2020-12-18,0.036566601403405175
2020-12-25,-0.019049916648502863
2021-01-01,-0.03710746579889146
2021-01-08,0.1306191283992384
2021-01-15,0.02423225797839046
2021-01-22,0.01580368373014629
2021-01-29,0.06936828880092039
2021-02-05,0.06225672124270898
2021-02-12,0.0003528091640123687
2021-02-19,-0.046356917338312376
2021-02-26,-0.14037738907695374
2021-03-05,-0.10573875854100212
2021-03-12,0.07437374478259895
2021-03-19,-0.01504782906907809
2021-03-26,-0.08984580648957197
2021-04-02,0.047774545241425104
2021-04-09,0.01636169930848097
2021-04-16,0.054064116941204166
2021-04-23,0.019532056347316473
2021-04-30,-0.00844586028016725
2021-05-07,-0.024992034105352334
2021-05-14,-0.07592159280485922
2021-05-21,0.00260081482554142
2021-05-28,0.10827182589639839
2021-06-04,0.0410860227282539
2021-06-11,0.01929981068281239
2021-06-18,-0.05596639579211593
2021-06-25,0.05397079541450789
2021-07-02,0.02755022129394913
2021-07-09,-0.007942793528870729
2021-07-16,-0.016070945979052786
2021-07-23,0.05095578378354837
2021-07-30,0.007475106617449434
2021-08-06,0.07924906504307327
2021-08-13,-0.02551443283299326
2021-08-20,-0.007801908927302481
2021-08-27,0.03566008859126435
2021-09-03,0.03205561784420663
2021-09-10,0.018684554296954925
2021-09-17,-0.01661461681749432
2021-09-24,-0.01162128810395091
2021-10-01,-0.11977048436619198
2021-10-08,-0.03675200264553802
2021-10-15,0.06413031307659911
2021-10-22,0.020642434722684566
2021-10-29,0.07957434766376803
2021-11-05,-0.05196164786206603
2021-11-12,0.0024038684781420017
2021-11-19,0.09046708552871441
2021-11-26,0.06264414875222402
2021-12-03,-0.051831449920483275
2021-12-10,-0.05507102770823946
2021-12-17,-0.04907037503888789
2021-12-24,0.08938052070886937
2021-12-31,0.01731916138220857
2022-01-07,-0.0191702592700691
2022-01-14,0.009403113980771094
2022-01-21,-0.09759046722098985
2022-01-28,-0.03744935787914305
2022-02-04,0.1101861166539857
2022-02-11,-0.06614977075249295
2022-02-18,0.001953471826733777
2022-02-25,-0.0005176702917824016
2022-03-04,-0.06007937856909529
2022-03-11,-0.023989502012922492
2022-03-18,0.12068474313459765
2022-03-25,0.04778980709849323
2022-04-01,-0.012851840387653302
2022-04-08,-0.040413161615710846
2022-04-15,-0.007562834836363219
2022-04-22,-0.011183109292694948
2022-04-29,-0.0846541145692381
2022-05-06,-0.026927703069197118
2022-05-13,-0.05163306330930073
2022-05-20,-0.10667454176973212
2022-05-27,0.11035853695023623
2022-06-03,-0.0034580084839865854
2022-06-10,-0.04920740417709624
2022-06-17,-0.037162310727321346
2022-06-24,0.05164504943872261
2022-07-01,-0.004594893681500789
2022-07-08,0.009354040117121931
2022-07-15,0.0025889440886528448
2022-07-22,-0.029666108155429916
2022-07-29,0.029561143515457022
2022-08-05,0.015472771828526355
2022-08-12,0.017360379077461463
2022-08-19,0.007553352964796423
2022-08-26,-0.035441297012715256
2022-09-02,-0.0008310593520906018
2022-09-09,0.024983521653978658
2022-09-16,-0.023202747616526076
2022-09-23,-0.030250015088016835
2022-09-30,0.0057475130215329795
2022-10-07,0.03406239295141278
2022-10-14,-0.07365678047088675
2022-10-21,0.059500426893682956
2022-10-28,-0.0005712913519052565
2022-11-04,0.056857358437674366
2022-11-11,0.030466690856977507
2022-11-18,0.03570120627684714
2022-11-25,-0.0062750818488003235
2022-12-02,0.1602305311815606
2022-12-09,-0.019886593843777445
2022-12-16,-0.047445033982758233
2022-12-23,-0.017596220830981113
2022-12-30,-0.04248523059528064
2023-01-06,0.04806780561956181
2023-01-13,0.03685316313267606
2023-01-20,-0.026937926549541746
2023-01-27,-0.00608303855434833
2023-02-03,0.02596781714404739
2023-02-10,-0.002724038263401285
2023-02-17,4.777095258479136e-06
2023-02-24,-0.05538890805453223
2023-03-03,0.06610116027584167
2023-03-10,-0.07408732545134533
2023-03-17,0.012905504065542805
2023-03-24,-0.029440693949338903
2023-03-31,0.044439093398864093
2023-04-07,-0.03167636511574856
2023-04-14,0.01654445828516593
2023-04-21,-0.0062718026825250295
2023-04-28,0.046559777684683556
2023-05-05,-0.015779702306242482
2023-05-12,0.005059487660774575
2023-05-19,0.07344276999137622
2023-05-26,0.1263361511083665
2023-06-02,0.01467745095611761
2023-06-09,-0.030300803549578426
2023-06-16,0.029429627543311465
2023-06-23,-0.01989345493527439
2023-06-30,0.00860527396846078
2023-07-07,0.004156971417168531
2023-07-14,0.05411716861540716
2023-07-21,-0.03806307886944571
2023-07-28,0.0640073293518324
2023-08-04,-0.045376002464380116
2023-08-11,-0.052416099156906815
2023-08-18,-0.03896515129292033
2023-08-25,0.05690067500876084
2023-09-01,0.04001394570000083
2023-09-08,-0.00058870339215078
2023-09-15,-0.014216791655601524
2023-09-22,-0.02737385022545802
2023-09-29,0.014370059146071368
2023-10-06,0.04514002057286359
2023-10-13,0.010380721220941913
2023-10-20,-0.041204614072435364
2023-10-27,-0.04042364296454226
2023-11-03,0.09287356049400519
2023-11-10,0.02470450726846285
2023-11-17,0.024550930816978234
2023-11-24,0.002735359635421153
2023-12-01,0.06488727238035996
2023-12-08,-0.013205775673059805
2023-12-15,0.02139184833867347
2023-12-22,-0.0035534732337726416
2023-12-29,0.008203988757642833
2024-01-05,-0.030872641733913242
2024-01-12,0.07112831522638485
2024-01-19,0.001613590544319754
2024-01-26,-0.00132635735931097
2024-02-02,-0.03156552788731393
2024-02-09,0.0422157497979847
2024-02-16,0.02806862933280585
2024-02-23,-0.023050932422982062
2024-03-01,0.053278160292029586
2024-03-08,-0.01661422455522843
2024-03-15,-0.025165856117685848
2024-03-22,0.022336607958333365
2024-03-29,-0.01678558580949774
2024-04-05,0.003985829233856597
2024-04-12,-0.01995874535053699
2024-04-19,-0.10741993742908729
2024-04-26,0.0992880221214798
2024-05-03,-0.002988445512638438
2024-05-10,0.028898519086075547
2024-05-17,0.02843212415010865
2024-05-24,0.055507485887942076
2024-05-31,-0.014989502228263785
2024-06-07,0.06663570449149336
2024-06-14,0.07503581809996351
2024-06-21,-0.023960142114202387
2024-06-28,-0.070532735606739
2024-07-05,0.02340381326583163
2024-07-12,0.01996544067100925
2024-07-19,-0.1068608782016579
2024-07-26,-0.0524304555050098
2024-08-02,-0.1418005812354982
2024-08-09,-0.061247015255987636
2024-08-16,0.17690741256104192
2024-08-23,0.019740696104785016
2024-08-30,-0.11978709164501344
2024-09-06,-0.12092577163551987
2024-09-13,0.1818345289618024
2024-09-20,0.08943194391940534
2024-09-27,0.010896729203027533
2024-10-04,-0.016886480617246624
2024-10-11,-0.010171157873808623
2024-10-18,0.007389126631710319
2024-10-25,0.061861001458318965
2024-11-01,-0.03316242675890868
2024-11-08,0.09769334373860561
2024-11-15,-0.03124192634733014
2024-11-22,0.0930024792343398
2024-11-29,-0.014834199863139608
2024-12-06,0.09282691842862656
2024-12-13,-0.05493763766574489
2024-12-20,0.0035684606585033585
2024-12-27,0.009141117050545766
2025-01-03,0.04072052449755703
2025-01-10,-0.09354966535055897
2025-01-17,0.12046926254715107
2025-01-24,0.006293555549240493
2025-01-31,0.00160802250662484
2025-02-07,0.11130618605929499
2025-02-14,0.15061836892166158
2025-02-21,-0.1529202609889544
2025-02-28,-0.17655701840366145
2025-03-07,-0.022833019864780812
2025-03-14,0.04137331287134827
2025-03-21,0.049201619372715166
2025-03-28,-0.07671581921098147
2025-04-04,-0.10469402823408591
2025-04-11,0.11722009152832591
2025-04-18,0.030299242792560133
2025-04-25,0.17801322338276515
2025-05-02,0.09284440117846193
2025-05-09,0.010918644532615929
2025-05-16,0.054336478350152984
2025-05-23,-0.04951495004412998
2025-05-30,0.05844111018988518
2025-06-06,0.009740271374925724
2025-06-13,-0.0022511305622210376
2025-06-20,-0.00251143654720809
2025-06-27,0.02430246907422573
2025-07-04,0.004197171534360944
2025-07-11,-0.01019274287959826
2025-07-18,0.038348398032569175
2025-07-25,-0.0009881536502824861
2025-08-01,-0.009850444086494159
2025-08-08,0.05359177045790675
2025-08-15,-0.008505883104250489
2025-08-22,-0.04804642531874348
2025-08-29,-0.010630067923512287
2025-09-05,-0.04084240826681096
2025-09-12,0.07799865792617577
2025-09-19,0.018073670538218733
2025-09-26,-0.018216281277708912
2025-10-03,0.006321859621238435
2025-10-10,0.09640874595935478
2025-10-17,0.04804582740805663
2025-10-24,0.022810900819863145
2025-10-31,0.05373036633710293
2025-11-07,-0.04303354353092881
2025-11-14,0.002602107797361475
2025-11-21,-0.13684722472060895
2025-11-28,0.08821444723536587
2025-12-05,0.03033602439355354
2025-12-12,0.047073886609693805
2025-12-19,0.00843606598094726
2025-12-26,0.040045645213685255
2026-01-02,0.03801595968147464
2026-01-09,0.05966686958359735
2026-01-16,0.05015129156949816
2026-01-23,0.04524815010446637
2026-01-30,0.0396531330731813
2026-02-06,0.024902875776797506
2026-02-13,0.019418490298451108
2026-02-20,0.02648232757300306
2026-02-27,-0.024030154554046446
2026-03-06,-0.11950707035754493
2026-03-13,0.11578530753916261
2026-03-20,0.045353814476439824
2026-03-27,-0.0965002183333914
2026-04-03,0.0763804520664737
2026-04-10,0.19660395002138897
2026-04-17,0.05517284500681319
2026-04-24,0.07592966820730696
2026-05-01,0.05681052056596303
